University,Rank10,Rank11,R10-R11,D2/ R10,E2^2,,ABS
Harvard University,1,1,0,0,0,,0
Stanford University,2,2,0,0,0,,0
Massachusetts Institute of Technology (MIT),3,3,0,0,0,,0
University of California-Berkeley,4,4,0,0,0,,0
University of Cambridge,5,5,0,0,0,,0
Princeton University,6,6,0,0,0,,0
California Institute of Technology,7,7,0,0,0,,0
Columbia University,8,8,0,0,0,,0
University of Chicago,9,9,0,0,0,,0
University of Oxford,9,10,-1,-0.1111111111,0.012345679,,0.1111111111
Yale University,11,11,0,0,0,,0
"University of California, Los Angeles",12,12,0,0,0,,0
Cornell University,13,13,0,0,0,,0
"University of California, San Diego",14,14,0,0,0,,0
University of Washington,15,15,0,0,0,,0
University of Pennsylvania,16,17,-1,-0.0625,0.00390625,,0.0625
Johns Hopkins University,17,16,1,0.0588235294,0.0034602076,,0.0588235294
"University of California, San Francisco",18,18,0,0,0,,0
Swiss Federal Institute of Technology Zurich,19,20,-1,-0.0526315789,0.0027700831,,0.0526315789
University College London,20,18,2,0.1,0.01,,0.1
The University of Tokyo,21,21,0,0,0,,0
University of Michigan-Ann Arbor,22,22,0,0,0,,0
"The Imperial College of Science, Technology and Medicine",22,23,-1,-0.0454545455,0.0020661157,,0.0454545455
University of Wisconsin - Madison,24,24,0,0,0,,0
University of Toronto,24,25,-1,-0.0416666667,0.0017361111,,0.0416666667
Kyoto University,26,26,0,0,0,,0
New York University,27,27,0,0,0,,0
Northwestern University,28,27,1,0.0357142857,0.0012755102,,0.0357142857
University of Illinois at Urbana-Champaign,28,29,-1,-0.0357142857,0.0012755102,,0.0357142857
"University of Minnesota, Twin Cities",30,30,0,0,0,,0
Duke University,31,31,0,0,0,,0
Washington University in St. Louis,32,32,0,0,0,,0
Rockefeller University,33,33,0,0,0,,0
University of Colorado at Boulder,34,34,0,0,0,,0
Pierre and Marie  Curie University - Paris 6,35,36,-1,-0.0285714286,0.0008163265,,0.0285714286
University of North Carolina at Chapel Hill,36,39,-3,-0.0833333333,0.0069444444,,0.0833333333
University of British Columbia,37,40,-3,-0.0810810811,0.0065741417,,0.0810810811
The University of Manchester,38,41,-3,-0.0789473684,0.006232687,,0.0789473684
University of Copenhagen,39,35,4,0.1025641026,0.0105193951,,0.1025641026
The University of Texas at Austin,39,37,2,0.0512820513,0.0026298488,,0.0512820513
