Name,Publications,publication,Citation,h-index
"68. Negi, Ambika",6,2014,22,4
"53. Joshi, Geeta C.",7,2015,21,4
"35. Jadon, Vikash Singh",8,2016,19,4
"79. Nee Pant, Geeta Joshi",5,2016,19,4
"147. Negi, Yogesh Kumar",3,2012,18,4
"54. Kamal, Barkha",7,2016,17,4
"95. Srivastava, Nidhi",5,2015,17,4
"76. Kothiyal, Sudhir Kumar",5,2013,16,4
"188. Faruk, Abdul",2,2016,9,4
"317. Goel, Divya",1,2015,6,4
142. Komal,3,2015,4,4
"173. Bhatt, Archana B.",2,2013,4,4
"191. Gupta, Gaurav",2,2011,4,4
"260. Bhandari, B. S.",1,2011,4,4
"260. Bhandari, B. S.",1,2011,4,4
"340. Khaket, Tejinder Pal",1,2011,4,4
"216. Rawat, Meera",2,2015,3,4
"164. Sood, Anchal",3,2014,2,4
"376. Mishra, Juhi K.",1,2012,2,4
"13. Upadhyay, Trilok Chandra",14,2016,1,4
"392. Negi, Jeetendra Singh Ingh",1,2011,1,4
"475. Singh, Mamta Romeo",1,2011,1,4
"176. Bhattacharya, Indrashis",2,2016,0,4
"314. Garg, Faquir Chand",1,2014,0,4
"335. Kala, Shubhra",1,2016,0,4
"349. Kumar, Ajay P.",1,2017,0,4
"388. Nautiyal, Seema P.",1,2016,0,4
"430. Rawat, Lakhpat Singh",1,2016,0,4
"105. Joshi, Gopal Krishna",4,2013,60,3
"47. Bhat, Jahangeer Ahmad",7,2013,30,3
"59. Rautela, Bhagwat S.",7,2013,29,3
"187. Choudhary, Pooja K.",2,2013,29,3
"25. Rawat, Mukesh",10,2016,25,3
"44. Sheikh, Mehraj Ahmad",8,2014,25,3
"26. Semwal, Anju",10,2017,23,3
"21. Prasad, Mukesh",11,2016,21,3
"52. Dangwal, Anoop",7,2016,21,3
"72. Bahuguna, Satyanand N.",5,2016,18,3
"81. Negi, Nisha",5,2013,17,3
"124. Badoni, Prabhakar P.",3,2014,15,3
"139. Jalal, Poonam",3,2015,13,3
"29. Joshi, Veena B.",9,2016,11,3
"64. Bourai, Abhay Anand",6,2016,11,3
"71. Agarwal, Naresh Kumar",5,2014,11,3
"88. Sati, Manisha Dobhal",5,2015,11,3
"89. Sati, Satish Chandra",5,2015,11,3
"114. Sharma, Amita K.",4,2013,11,3
"30. Saklani, Sarla",9,2014,9,3
"80. Negi, Ajeet K.",5,2014,9,3
"123. Ahmad, Farah",3,2011,9,3
"274. Biyani, Ajay K.",1,2011,9,3
"155. Sati, Om Parkash",3,2013,8,3
"96. Vashistha, Rajiv Kumar",5,2014,7,3
"148. Pala, Nazir A.",3,2013,7,3
"57. Pandey, Rajiv",7,2016,6,3
"122. Uniyal, Manish",4,2014,5,3
"132. Dangwal, L. R.",3,2015,5,3
"412. Pokhriyal, Prerna",1,2012,5,3
"172. Bhardwaj, Kailash N.",2,2011,4,3
"190. Gondwal, Manjul",2,2015,4,3
"233. Tiwari, Punita B.",2,2015,4,3
"431. Rawat, Mohan Singh Muniyari",1,2011,4,3
"156. Semalty, P. D.",3,2016,3,3
"183. Chaturvedi, Ashish Kumar",2,2012,3,3
"129. Bisht, Sandeep",3,2014,2,3
"288. Chauhan, Neha S.",1,2011,2,3
"478. Singh, R. P.",1,2015,2,3
"223. Sharma, Ashok Kumar Umar",2,2013,1,3
"468. Shukla, Nitesh",1,2011,1,3
"374. Mir, Javaid Iqbal",1,2016,0,3
"418. Purohit, Mahesh C.",1,2014,0,3
"446. Semwal, Sushma",1,2011,0,3
"453. Sharma, Devina R.",1,2016,0,3
"Singh, Vikas B.",1,2016,0,3
"379. Mukesh, Rawat",1,2012,45,2
"180. Chamola, Arun",2,2011,20,2
"113. Rawat, Bipin S.",4,2013,19,2
"269. Bisht, Geetika R S",1,2011,18,2
"323. Gupta, Virendra Kumar",1,2011,18,2
"24. Dimri, Ramesh Chandra",10,2015,16,2
"34. Gupta, Sanjay",8,2014,13,2
"165. Tamta, Mahendra Lal",3,2012,12,2
"102. Dhulia, Ishan",4,2012,11,2
"45. Yadav, Manjulata",8,2016,10,2
"101. Bisht, Shivani",4,2012,9,2
"121. Tiwari, J. K.",4,2015,9,2
"126. Bhandari, Snehlata",3,2012,9,2
"126. Bhandari, Snehlata",3,2012,9,2
"192. Gupta, Sanjay",2,2016,9,2
"42. Purohit, K. D.",8,2016,8,2
"77. Mishra, Asheesh Shivam",5,2015,7,2
"32. Bahuguna, Yateesh Mohan",8,2016,6,2
"237. Vishwakarma, M. P.",2,2012,6,2
"389. Nautiyal, Vinod",1,2014,6,2
"455. Sharma, Hitesh",1,2013,6,2
"131. Chauhan, Sheetal K.",3,2012,5,2
"87. Sati, Hemlata",5,2013,4,2
"106. Kala, Surendra P.",4,2014,4,2
"136. Fartyal, Rajendra Singh",3,2016,4,2
"154. Sati, Bhawana",3,2012,4,2
"157. Semwal, Pushpendra",3,2014,4,2
"255. Ballabha, Radha",1,2013,4,2
"297. Devi, Archana Renuka",1,2011,4,2
"65. Dasgupta, Sabyasachi",6,2016,3,2
"193. Gusain, Manju P.",2,2014,3,2
"205. Maithani, Alok",2,2014,3,2
"217. Rawat, Neelam",2,2012,3,2
"236. Uniyal, Veena",2,2014,3,2
"242. Ajmal, Mohammad",1,2011,3,2
"347. Kukreti, Ashish",1,2011,3,2
"421. Raturi, Aasheesh",1,2012,3,2
"99. Bhatt, Rakesh Mohan",4,2016,2,2
"141. Khan, Amir",3,2014,2,2
"158. Singh, Amit Bhooshan",3,2012,2,2
"207. Mishra, Abhay Prakash",2,2012,2,2
243. Aradhana,1,2012,2,2
"308. Gairola, R. P.",1,2012,2,2
"315. Gausain, Manju P.",1,2012,2,2
"344. Kishore, Garima",1,2013,2,2
"364. Kumar, Vijay Jyoti",1,2011,2,2
"433. Reshi, Mohammad Latif",1,2013,2,2
"462. Sharma, Rekha C.",1,2014,2,2
"480. Singh, Rattan Deep",1,2012,2,2
"111. Nautiyal, Annpurna R.",4,2017,1,2
"143. Malik, Zubair A.",3,2016,1,2
"270. Bisht, Hemlata",1,2013,1,2
"328. Joshi, Deepak C.",1,2012,1,2
"403. Pandey, Piyush",1,2014,1,2
"422. Raturi, Aparna",1,2014,1,2
"100. Bisht, Balwant Singh",4,2016,0,2
"195. Jangwan, J. S.",2,2016,0,2
"286. Chauhan, Jaspal Singh",1,2016,0,2
"289. Chauniyal, Devi Datt",1,2016,0,2
"309. Gairola, Subodh C.",1,2016,0,2
"310. Gairola, Vandana",1,2016,0,2
"311. Gangil, Brijesh",1,2016,0,2
"318. Goel, Garima",1,2012,0,2
"353. Kumar, Dinesh",1,2016,0,2
"356. Kumar, Ranjeet Suresh",1,2017,0,2
"448. Senthilkumar, Govindaraj R.",1,2012,0,2
"Uniyal, Shivani",1,2016,0,2
"481. Singh, Ravindra N.",1,2011,24,1
"178. Bisht, M. P S",2,2011,19,1
"467. Shukla, C.",1,2011,18,1
"259. Belwal, O. K.",1,2011,15,1
"295. Dangwal, Surekha",1,2011,15,1
"151. Rawat, Aanchal S.",3,2016,14,1
"189. Ghosh, Aniket",2,2016,13,1
"235. Uniyal, Priyanka",2,2016,13,1
"127. Bhatt, Sandeep N.",3,2011,11,1
"186. Chaukiyal, Shruti",2,2011,10,1
"267. Bish, Gajraj Singh",1,2012,9,1
"355. Kumar, Pramod",1,2011,9,1
"378. Mukesh, Joshi",1,2011,9,1
"397. Panchpuri, Mitali",1,2014,9,1
"400. Pandey, Piyush",1,2012,9,1
"390. Negi Vikram, S.",1,2011,8,1
"67. Kandari, Tushar",6,2016,7,1
"177. Bisht, Anupam S.",2,2011,7,1
"98. Aswal, Sunita",4,2016,6,1
"383. Naithani, Nagendra Prasad",1,2013,6,1
"401. Pandey, Piyush",1,2011,6,1
"436. Saklani, Akanksha",1,2012,6,1
"82. Negi, Sandhya",5,2016,5,1
"86. Rana, Mahender Partap Singh",5,2016,5,1
"182. Chandel, Abhay S.",2,2012,5,1
"324. Hamid, Neda",1,2015,5,1
"Vashishta, D. P.",1,2011,5,1
"120. Thapliyal, Somesh",4,2014,4,1
"227. Singh, Kunwar J.",2,2012,4,1
"266. Bhawna, Sethi",1,2013,4,1
"292. Chhetri, Samir",1,2011,4,1
"303. Dobriya, Anoop Kumar",1,2011,4,1
"319. Grover, Aditi",1,2011,4,1
"385. Namrata, N.",1,2011,4,1
"432. Rawat, Rakhi",1,2011,4,1
"442. Saraf, Kriti",1,2011,4,1
"117. Singh, Ravinder",4,2016,3,1
"128. Bisht, Pinkey S.",3,2016,3,1
"138. Gupta, Richa",3,2013,3,1
"197. Joshi, Kanchan U.",2,2016,3,1
"230. Thapliyal, R. P.",2,2012,3,1
"268. Bishoyi, K. A.",1,2011,3,1
"290. Chaurasia, Urmi",1,2014,3,1
"300. Dobha, Upma",1,2012,3,1
"307. Gairola, Animesh",1,2014,3,1
"327. Joshi Nee Pant, Geeta",1,2012,3,1
"332. Joshi, Sweta",1,2012,3,1
"393. Negi, Sunil",1,2015,3,1
"402. Pandey, Piyush",1,2011,3,1
"416. Prasad, Pratti",1,2014,3,1
"73. Bashir, Amir E.",5,2016,2,1
"125. Barthwal, Varun",3,2016,2,1
"181. Chamoli, Tanu",2,2013,2,1
"220. Sarangi, Manoj Kumar",2,2014,2,1
"245. Arya, Mamta",1,2014,2,1
"250. Bagwari, H. K.",1,2011,2,1
"276. Chamoli, K. P.",1,2011,2,1
"283. Chaudhary, Khyati",1,2012,2,1
"298. Dhawan, Amit",1,2014,2,1
"326. Iqbal, Kaiser",1,2013,2,1
"342. Khan, Amir",1,2012,2,1
"381. Nagar, Bhuvnesh",1,2015,2,1
"423. Raturi, Aparna",1,2014,2,1
"441. Saleem, Sajid",1,2014,2,1
"447. Sen, Siddhartha",1,2014,2,1
"452. Sharma, Deepika",1,2014,2,1
"116. Singh, Rajendra",4,2017,1,1
"133. Dangwal, Rajesh C.",3,2016,1,1
"167. Akhtar, Ruhi",2,2012,1,1
"171. Bansal, Yogesh",2,2014,1,1
