University,Alumini-15,Alumini-16,,,,,,,
Harvard University,100,100,,,0,0,0,,0
University of Cambridge,77.1,78.3,,,-1.2,-0.0155642023,0.0002422444,,0.0155642023
Massachusetts Institute of Technology (MIT),68.2,69.4,,,-1.2,-0.0175953079,0.0003095949,,0.0175953079
"University of California, Berkeley",65.1,65.1,,,0,0,0,,0
Columbia University,63.5,63.5,,,0,0,0,,0
University of Chicago,59.8,59.8,,,0,0,0,,0
Princeton University,53.3,53.3,,,0,0,0,,0
California Institute of Technology,49.5,51,,,-1.5,-0.0303030303,0.0009182736,,0.0303030303
University of Oxford,49.7,49.7,,,0,0,0,,0
Ecole Normale Superieure - Paris,48.9,48.9,,,0,0,0,,0
Yale University,47.6,47.6,,,0,0,0,,0
Stanford University,40.7,42.9,,,-2.2,-0.0540540541,0.0029218408,,0.0540540541
Cornell University,42,42,,,0,0,0,,0
Moscow State University,41.4,41.4,,,0,0,0,,0
Johns Hopkins University,37.7,37.7,,,0,0,0,,0
The University of Tokyo,30.8,36.3,,,-5.5,-0.1785714286,0.0318877551,,0.1785714286
Technical University Munich,34.8,34.8,,,0,0,0,,0
University of Michigan-Ann Arbor,34.4,34.4,,,0,0,0,,0
Pierre and Marie  Curie University - Paris 6,33.6,33.6,,,0,0,0,,0
University of Wisconsin - Madison,30.8,32.8,,,-2,-0.0649350649,0.0042165627,,0.0649350649
McGill University,32.8,32.8,,,0,0,0,,0
The Hebrew University of Jerusalem,32,32,,,0,0,0,,0
University of Pennsylvania,31.6,31.6,,,0,0,0,,0
Kyoto University,31.6,31.6,,,0,0,0,,0
Carnegie Mellon University,31.6,31.6,,,0,0,0,,0
City University of New York City College,31.2,31.2,,,0,0,0,,0
University of Goettingen,30.8,30.8,,,0,0,0,,0
University of Paris-Sud (Paris 11),30.3,30.3,,,0,0,0,,0
Case Western Reserve University,30.3,30.3,,,0,0,0,,0
University of Frankfurt,30.3,30.3,,,0,0,0,,0
University of Illinois at Urbana-Champaign,29.9,29.9,,,0,0,0,,0
"University of California, Los Angeles",29.5,29.5,,,0,0,0,,0
Swiss Federal Institute of Technology Zurich,29.5,29.5,,,0,0,0,,0
"University of Minnesota, Twin Cities",29.5,29.5,,,0,0,0,,0
Nagoya University,29,29,,,0,0,0,,0
University College London,28.1,28.1,,,0,0,0,,0
New York University,28.1,28.1,,,0,0,0,,0
University of Oslo,28.1,28.1,,,0,0,0,,0
University of Geneva,27.1,27.1,,,0,0,0,,0
Saint Petersburg State University,26.7,26.7,,,0,0,0,,0
Karolinska Institute,22.4,25.6,,,-3.2,-0.1428571429,0.0204081633,,0.1428571429
University of Munich,25.6,25.6,,,0,0,0,,0
University of Strasbourg,25.1,25.1,,,0,0,0,,0
University of Rochester,24.6,24.6,,,0,0,0,,0
Stockholm University,24.1,24.1,,,0,0,0,,0
Technion-Israel Institute of Technology,23.5,23.5,,,0,0,0,,0
Washington University in St. Louis,22.9,22.9,,,0,0,0,,0
Utrecht University,22.9,22.9,,,0,0,0,,0
University of Tuebingen,22.4,22.4,,,0,0,0,,0
University of Copenhagen,21.8,21.8,,,0,0,0,,0
Ecole Polytechnique,21.8,21.8,,,0,0,0,,0
University of Washington,21.2,21.2,,,0,0,0,,0
King's College London,21.2,21.2,,,0,0,0,,0
Lund University,21.2,21.2,,,0,0,0,,0
The University of Edinburgh,20.5,20.5,,,0,0,0,,0
Paris Dauphine University (Paris 9),20.5,20.5,,,0,0,0,,0
University of Toronto,19.9,19.9,,,0,0,0,,0
Heidelberg University,19.9,19.9,,,0,0,0,,0
London School of Economics and Political Science,19.9,19.9,,,0,0,0,,0
Universit̩ libre de Bruxelles (ULB),19.9,19.9,,,0,0,0,,0
"University of California, San Diego",19.2,19.2,,,0,0,0,,0
"University of Maryland, College Park",19.2,19.2,,,0,0,0,,0
University of Basel,19.2,19.2,,,0,0,0,,0
University of Muenster,19.2,19.2,,,0,0,0,,0
University of Wuerzburg,19.2,19.2,,,0,0,0,,0
Brandeis University,19.2,19.2,,,0,0,0,,0
Complutense University of Madrid,19.2,19.2,,,0,0,0,,0
Cairo University,19.2,19.2,,,0,0,0,,0
Istanbul University,13.6,18.5,,,-4.9,-0.3602941176,0.1298118512,,0.3602941176
The University of Manchester,18.5,18.5,,,0,0,0,,0
The University of Texas Southwestern Medical Center at Dallas,18.5,18.5,,,0,0,0,,0
"University of Pittsburgh, Pittsburgh Campus",18.5,18.5,,,0,0,0,,0
Tufts University,18.5,18.5,,,0,0,0,,0
University of Birmingham,18.5,18.5,,,0,0,0,,0
University of Freiburg,18.5,18.5,,,0,0,0,,0
University of Cape Town,18.5,18.5,,,0,0,0,,0
University of the Witwatersrand,18.5,18.5,,,0,0,0,,0
University of Stuttgart,18.5,18.5,,,0,0,0,,0
Uppsala University,17.8,17.8,,,0,0,0,,0
Leiden University,17.8,17.8,,,0,0,0,,0
The University of Sheffield,17.8,17.8,,,0,0,0,,0
Weizmann Institute of Science,17.8,17.8,,,0,0,0,,0
Queen Mary University of London,17.8,17.8,,,0,0,0,,0
Dartmouth College,17.8,17.8,,,0,0,0,,0
Queen's University Belfast,17.8,17.8,,,0,0,0,,0
Rockefeller University,17,17,,,0,0,0,,0
The University of Melbourne,17,17,,,0,0,0,,0
University of Florida,17,17,,,0,0,0,,0
University of Leeds,17,17,,,0,0,0,,0
University of Liverpool,17,17,,,0,0,0,,0
University of Milan,17,17,,,0,0,0,,0
University of Nebraska - Lincoln,17,17,,,0,0,0,,0
The University of Texas at Austin,16.2,16.2,,,0,0,0,,0
Rice University,16.2,16.2,,,0,0,0,,0
Radboud University Nijmegen,16.2,16.2,,,0,0,0,,0
Technical University of Berlin,16.2,16.2,,,0,0,0,,0
Trinity College Dublin,10.3,15.4,,,-5.1,-0.4951456311,0.245169196,,0.4951456311
Duke University,15.4,15.4,,,0,0,0,,0
Northwestern University,15.4,15.4,,,0,0,0,,0
University of British Columbia,15.4,15.4,,,0,0,0,,0
Vanderbilt University,15.4,15.4,,,0,0,0,,0
University of Bonn,15.4,15.4,,,0,0,0,,0
Beijing Normal University,15.4,15.4,,,0,0,0,,0
University of Turin,15.4,15.4,,,0,0,0,,0
Flinders University,15.4,15.4,,,0,0,0,,0
University of Warsaw,15.4,15.4,,,0,0,0,,0
"The Imperial College of Science, Technology and Medicine",14.5,14.5,,,0,0,0,,0
"University of California, Santa Barbara",14.5,14.5,,,0,0,0,,0
University of Sydney,14.5,14.5,,,0,0,0,,0
Brown University,14.5,14.5,,,0,0,0,,0
The University of Adelaide,14.5,14.5,,,0,0,0,,0
Tohoku University,14.5,14.5,,,0,0,0,,0
University of Arizona,14.5,14.5,,,0,0,0,,0
University of Buenos Aires,14.5,14.5,,,0,0,0,,0
Kobe University,14.5,14.5,,,0,0,0,,0
Technical University Darmstadt,14.5,14.5,,,0,0,0,,0
Purdue University - West Lafayette,13.6,13.6,,,0,0,0,,0
The Australian National University,13.6,13.6,,,0,0,0,,0
The University of Western Australia,13.6,13.6,,,0,0,0,,0
Aix Marseille University,13.6,13.6,,,0,0,0,,0
Norwegian University of Science and Technology - NTNU,13.6,13.6,,,0,0,0,,0
The University of Auckland,13.6,13.6,,,0,0,0,,0
University of Massachusetts Amherst,13.6,13.6,,,0,0,0,,0
University of Vienna,13.6,13.6,,,0,0,0,,0
University of East Anglia,13.6,13.6,,,0,0,0,,0
University of Pisa,13.6,13.6,,,0,0,0,,0
Vrije Universiteit Brussel (VUB),13.6,13.6,,,0,0,0,,0
University of Vermont,13.6,13.6,,,0,0,0,,0
MINES ParisTech,13.6,13.6,,,0,0,0,,0
Utah State University,13.6,13.6,,,0,0,0,,0
University of Colorado at Boulder,12.6,12.6,,,0,0,0,,0
The University of Queensland,12.6,12.6,,,0,0,0,,0
University of Helsinki,12.6,12.6,,,0,0,0,,0
The Ohio State University - Columbus,12.6,12.6,,,0,0,0,,0
McMaster University,12.6,12.6,,,0,0,0,,0
Georgia Institute of Technology,12.6,12.6,,,0,0,0,,0
University of Bern,12.6,12.6,,,0,0,0,,0
National Autonomous University of Mexico,12.6,12.6,,,0,0,0,,0
"University of California, Riverside",12.6,12.6,,,0,0,0,,0
Tokyo Institute of Technology,12.6,12.6,,,0,0,0,,0
University of Notre Dame,12.6,12.6,,,0,0,0,,0
National Tsing Hua University,12.6,12.6,,,0,0,0,,0
University of Tehran,12.6,12.6,,,0,0,0,,0
Rensselaer Polytechnic Institute,12.6,12.6,,,0,0,0,,0
Aarhus University,11.5,11.5,,,0,0,0,,0
Boston University,11.5,11.5,,,0,0,0,,0
University of Alberta,11.5,11.5,,,0,0,0,,0
University of Nottingham,11.5,11.5,,,0,0,0,,0
University Paris Diderot - Paris 7,11.5,11.5,,,0,0,0,,0
Delft University of Technology,11.5,11.5,,,0,0,0,,0
Hokkaido University,11.5,11.5,,,0,0,0,,0
National Taiwan University,11.5,11.5,,,0,0,0,,0
Sapienza University of Rome,11.5,11.5,,,0,0,0,,0
University of Leipzig,11.5,11.5,,,0,0,0,,0
University of Montreal,11.5,11.5,,,0,0,0,,0
University of Paris Descartes (Paris 5),11.5,11.5,,,0,0,0,,0
University of Hamburg,11.5,11.5,,,0,0,0,,0
University of Kansas,11.5,11.5,,,0,0,0,,0
University of Lorraine,11.5,11.5,,,0,0,0,,0
The George Washington University,11.5,11.5,,,0,0,0,,0
University of Connecticut,11.5,11.5,,,0,0,0,,0
Virginia Polytechnic Institute and State University,11.5,11.5,,,0,0,0,,0
University of Duesseldorf,11.5,11.5,,,0,0,0,,0
University of Oulu,11.5,11.5,,,0,0,0,,0
Tsinghua University,10.3,10.3,,,0,0,0,,0
Pennsylvania State University - University Park,10.3,10.3,,,0,0,0,,0
"Rutgers, The State University of New Jersey - New Brunswick",10.3,10.3,,,0,0,0,,0
Indiana University Bloomington,10.3,10.3,,,0,0,0,,0
Catholic University of Louvain,10.3,10.3,,,0,0,0,,0
Oregon State University,10.3,10.3,,,0,0,0,,0
University of Delaware,10.3,10.3,,,0,0,0,,0
University of Kiel,10.3,10.3,,,0,0,0,,0
Claude Bernard University Lyon 1,10.3,10.3,,,0,0,0,,0
Virginia Commonwealth University,10.3,10.3,,,0,0,0,,0
University of Kentucky,10.3,10.3,,,0,0,0,,0
University of Marburg,10.3,10.3,,,0,0,0,,0
University of Montpellier,10.3,10.3,,,0,0,0,,0
University of St Andrews,10.3,10.3,,,0,0,0,,0
University of Tennessee - Knoxville,10.3,10.3,,,0,0,0,,0
Jagiellonian University,10.3,10.3,,,0,0,0,,0
University of North Carolina at Chapel Hill,8.9,8.9,,,0,0,0,,0
Osaka University,8.9,8.9,,,0,0,0,,0
Michigan State University,8.9,8.9,,,0,0,0,,0
Charles University in Prague,8.9,8.9,,,0,0,0,,0
Medical University of Vienna,8.9,8.9,,,0,0,0,,0
University of Missouri - Columbia,8.9,8.9,,,0,0,0,,0
University of Oregon,8.9,8.9,,,0,0,0,,0
Brigham Young University,8.9,8.9,,,0,0,0,,0
University of Saskatchewan,8.9,8.9,,,0,0,0,,0
University of Bristol,7.3,7.3,,,0,0,0,,0
London School of Hygiene & Tropical Medicine,7.3,7.3,,,0,0,0,,0
The University of Glasgow,7.3,7.3,,,0,0,0,,0
Polytechnic Institute of Milan,7.3,7.3,,,0,0,0,,0
ESPCI ParisTech,7.3,7.3,,,0,0,0,,0
University of Chile,7.3,7.3,,,0,0,0,,0
University of Liege,7.3,7.3,,,0,0,0,,0
University of Zurich,5.1,5.1,,,0,0,0,,0
Ghent University,5.1,5.1,,,0,0,0,,0
University of Amsterdam,5.1,5.1,,,0,0,0,,0
,,,,,,,0.4358854819,,1.3593199797
,,,,,,,0.0021903793,,0.0068307537
,,,,,,,0.0468014883,,
