University,World Rank-15,World Rank-16,,,,,,,
University of Groningen,75,72,,,3,0.04,0.0016,,0.04
Brown University,75,90,,,-15,-0.2,0.04,,0.2
The University of Queensland,77,55,,,22,0.2857142857,0.0816326531,,0.2857142857
Technion-Israel Institute of Technology,77,69,,,8,0.1038961039,0.0107944004,,0.1038961039
Nagoya University,77,72,,,5,0.0649350649,0.0042165627,,0.0649350649
The Australian National University,77,77,,,0,0,0,,0
Stockholm University,77,81,,,-4,-0.0519480519,0.0026986001,,0.0519480519
Leiden University,82,93,,,-11,-0.1341463415,0.0179952409,,0.1341463415
University of Florida,83,90,,,-7,-0.0843373494,0.0071127885,,0.0843373494
Rice University,84,72,,,12,0.1428571429,0.0204081633,,0.1428571429
Osaka University,85,96,,,-11,-0.1294117647,0.0167474048,,0.1294117647
Moscow State University,86,87,,,-1,-0.011627907,0.0001352082,,0.011627907
The University of Western Australia,87,96,,,-9,-0.1034482759,0.0107015458,,0.1034482759
KU Leuven,90,93,,,-3,-0.0333333333,0.0011111111,,0.0333333333
"University of California, Santa Cruz",93,83,,,10,0.1075268817,0.0115620303,,0.1075268817
University of Utah,93,100,,,-7,-0.0752688172,0.0056653948,,0.0752688172
McMaster University,96,83,,,13,0.1354166667,0.0183376736,,0.1354166667
,,,,,,,,,
,,,,,,,2.2483938664,,10.4126155963
,,,,,,,0.0247076249,,0.1144243472
,,,,,,,0.1571865926,,
