Name,,Publications,publication,Citations,h-index
"125. Ghosh, Jyoti Ratan",,7,2014,12,3
"126. Ghosh, Pijush Kanti",,7,2017,34,18
"126. Ghosh, Pijush Kanti",,7,2017,34,18
"127. Ghosh, Saswata",,7,2015,14,5
"128. Ghosh, Susanta",,7,2016,30,14
"129. Gond, Surendra K.",,7,2016,24,9
"130. Goswami, Ramansu",,7,2016,28,5
"131. Haldar, Parimalendu",,7,2014,5,2
"132. Lyndem, Larisha Mawkhlieng",,7,2016,12,4
"133. Majee, Prakash",,7,2017,53,3
"134. Mondal, Ranjan Kumar Umar",,7,2016,5,1
"135. Mondal, Sudip Kumar",,7,2017,53,3
"136. Moniruzzaman, Mahammed",,7,2016,48,4
"137. Ojha, Varun Kumar",,7,2013,11,3
"138. Roy, Amit Kumar",,7,2016,14,18
"139. Roy, Kaushik",,7,2014,77,10
"140. Sahoo, Prithidipa",,7,2017,18,10
"141. Sarkar, Shuvasree",,7,2017,63,3
"142. Vesztergombi, György",,7,2016,247,70
"143. Alam, Md Niharul",,6,2016,41,3
"144. Basak, Atanu",,6,2016,18,4
"145. Basak, Jolly",,6,2015,55,6
"146. Chakrabarty, Somenath",,6,2017,3,7
"147. Dan, Suhaskumar",,6,2016,12,2
"148. Datta, Swapan Kumar De",,6,2017,7,30
"149. Ghosh, Ranjan B.",,6,2016,14,3
"150. Jana, Sourav",,6,2017,18,3
"151. Kundu, Suman",,6,2016,11,23
"152. Maulik, Sankar Roy",,6,2014,6,1
"153. Mondal, Susmita",,6,2016,12,2
"154. Mukherjee, Prajna",,6,2016,6,2
"155. Mukherjee, Sourav",,6,2015,36,3
"156. Pandit, Swapan K.",,6,2016,4,4
"157. Raha, Sanghamitra",,6,2016,22,14
"158. Rajbanshi, Biplab",,6,2017,21,3
"159. RATH, JNANENDRA",,6,2014,29,6
"160. Roy, Nayan K.",,6,2015,143,9
"161. Roy, Rajiv G.",,6,2013,71,6
"162. Simlai, Aritra",,6,2016,13,2
"163. V́eres, Gábor I.",,6,2015,243,71
"164. Barik, Puspendu",,5,2016,29,3
"165. Bhattacharyya, Balaram",,5,2017,1,2
"166. Bhowmick, Kartick C.",,5,2015,52,6
"167. Bhowmick, Sudipto",,5,2015,52,4
"168. Bhowmik, S.",,5,2017,1,1
"169. Biswas, Amit K.",,5,2017,25,3
"170. Chakrabarti, Saumya",,5,2014,4,3
"171. Choudhuri, Prabir Kumar",,5,2014,1,1
"172. Dam, Bomba",,5,2014,38,9
"173. Das, Sudarshan K.",,5,2016,25,5
"174. Datta, Alak K.",,5,2017,2,2
"175. Datta, Kakali",,5,2017,0,0
"176. Ganguly, Arijit",,5,2014,5,2
"177. Ghosh, Animesh K.",,5,2016,9,8
"178. Ghosh, Chiranjib",,5,2016,0,0
"179. Ghosh, Madhusudan",,5,2013,10,5
"180. Ghosh, Mili",,5,2016,11,2
"181. Ghosh, Pinki",,5,2016,8,1
"182. Jash, Shyamal K.",,5,2014,19,4
"183. Joy, Vadakepuram Chacko",,5,2016,17,6
"184. Karak, Nantu",,5,2015,28,3
"185. Keshari, Nitin",,5,2016,27,2
"186. Konar, Shyamal",,5,2015,4,2
"187. Kundu, Dhiman S.",,5,2015,73,10
"188. Kundu, Tapas Kumar",,5,2015,28,11
"189. Laskar, Rajibul Arif",,5,2013,126,9
"190. Laskar, Sujay",,5,2014,49,6
"191. Mandal, Haradhan",,5,2014,28,4
"192. Mandal, Lalan Ch",,5,2012,58,4
"193. Mandal, Sudipto",,5,2013,12,4
"194. Mondal, Shrabani",,5,2016,4,2
"195. Nag, Tanmay",,5,2016,23,2
"196. Nandi, Ankita",,5,2017,1,1
"197. Ray, Partha Pratim",,5,2015,4,1
"198. Ray, Samit Kumar",,5,2013,8,27
"199. Roy, Saptarshi Dutta",,5,2016,3,4
"200. Roychoudhury, Rajkumar K.",,5,2016,2,23
"201. Samanta, Sadhanendu",,5,2017,3,1
"202. Samanta, Utpal Kumar",,5,2014,24,3
"203. Sarkar, Angshuman K.",,5,2014,1,6
"204. Sarkar, Tapobrata P.",,5,2017,1,11
"205. Singha, Biswajit",,5,2013,3,8
"206. Agarwal, Soumik",,4,2017,49,5
"207. Agram, Jean Laurent",,4,2011,109,62
"208. Basumallick, Indra Narayan",,4,2016,6,8
"209. Bhattacharya, Kashinath",,4,2014,8,6
"210. Bhattacharyya, Sudipta",,4,2013,1,1
"211. Biswas, Swadesh Ranjan",,4,2015,9,5
"212. Chakraborty, Arindom",,4,2016,3,3
