Rank,Name,Overall,Teaching,Research,Citations,Industry Income,International Outlook
501–600,Universiti Tunku Abdul Rahman (UTAR)MalaysiaExplore,30.7–34.9,15.4,7.8,71.3,32.5,30.8
501–600,University of UlsanSouth KoreaExplore,30.7–34.9,20.1,20.3,59.4,56.2,20.7
501–600,Ulster UniversityUnited KingdomExplore,30.7–34.9,21,15.6,50.6,33,72
501–600,United Arab Emirates UniversityUnited Arab EmiratesExplore,30.7–34.9,22.9,16.9,49.1,38.4,95.1
501–600,University of ValenciaSpainExplore,30.7–34.9,21.9,18.4,56.2,34.4,42.2
501–600,University of WarsawPolandExplore,30.7–34.9,25.9,18.3,47.1,32.4,44.6
501–600,University of the West of ScotlandUnited KingdomExplore,30.7–34.9,14.9,10.9,68.2,32.4,61.4
501–600,Xi’an Jiaotong UniversityChinaExplore,30.7–34.9,32.7,26.2,35,56,35.8
601–800,University of the AegeanGreeceExplore,21.5–30.6,17.7,16.4,41.3,32.4,35.4
601–800,AGH University of Science and TechnologyPolandExplore,21.5–30.6,18.6,12.3,35.6,35.7,20.3
601–800,University of AizuJapanExplore,21.5–30.6,19.4,10,42.7,34.8,67.5
601–800,University of AlcaláSpainExplore,21.5–30.6,20.4,12.2,45.9,40.5,59.8
601–800,University of AlgarvePortugalExplore,21.5–30.6,19.5,11.2,42.3,33.2,56.9
601–800,Aligarh Muslim UniversityIndiaExplore,21.5–30.6,29.9,10.1,33.1,31.7,23.9
601–800,American University in CairoEgyptExplore,21.5–30.6,23.3,18,24.7,32.5,68.3
601–800,American University of SharjahUnited Arab EmiratesExplore,21.5–30.6,15.5,12.5,22.7,35.4,96.2
601–800,Amirkabir University of TechnologyIranExplore,21.5–30.6,27.4,27.2,35.3,74.4,16.8
601–800,University of the AndesColombiaExplore,21.5–30.6,21.1,15,49.4,39.9,53.2
601–800,Atılım UniversityTurkeyExplore,21.5–30.6,16.1,7.5,60,33.3,34.6
601–800,Auburn UniversityUnited StatesExplore,21.5–30.6,31.8,20.2,30.9,38.9,33.2
601–800,Babeş-Bolyai UniversityRomaniaExplore,21.5–30.6,24.8,11.3,32.9,32.2,40.8
601–800,Banaras Hindu UniversityIndiaExplore,21.5–30.6,24.8,15.5,26.4,31.7,16
601–800,University of the Basque CountrySpainExplore,21.5–30.6,21,14.8,51.4,34.8,40.8
601–800,Baylor UniversityUnited StatesExplore,21.5–30.6,30.7,16.7,39.2,33.1,27.1
601–800,University of BedfordshireUnited KingdomExplore,21.5–30.6,17.6,12,24.5,32,71.8
601–800,Beihang UniversityChinaExplore,21.5–30.6,27.1,30.6,21,99.1,24.2
601–800,Beijing Institute of TechnologyChinaExplore,21.5–30.6,29.2,28.5,16.5,93.9,22.1
601–800,University of Beira InteriorPortugalExplore,21.5–30.6,20,15,48.7,32,41.8
601–800,Ben-Gurion University of the NegevIsraelExplore,21.5–30.6,24.6,26.4,34.7,42.7,35.5
601–800,Beni-Suef UniversityEgyptExplore,21.5–30.6,18.4,6.4,63.2,31.8,43.3
601–800,Bournemouth UniversityUnited KingdomExplore,21.5–30.6,18.1,15.7,40.9,32.1,77
601–800,University of BradfordUnited KingdomExplore,21.5–30.6,19.2,14.5,26.7,34.6,81.4
601–800,University of BrightonUnited KingdomExplore,21.5–30.6,18.2,12.5,39.3,32.7,69.6
601–800,University of CagliariItalyExplore,21.5–30.6,20.5,6.1,62.6,34.4,36
601–800,Capital Medical UniversityChinaExplore,21.5–30.6,26.4,18.9,19,32.4,20.5
601–800,Carlos III University of MadridSpainExplore,21.5–30.6,24.6,15.3,33.6,36.3,56.8
601–800,University of Central LancashireUnited KingdomExplore,21.5–30.6,17.2,12.5,35.3,32.2,59.3
601–800,Central South UniversityChinaExplore,21.5–30.6,23.6,23.7,26.8,68.4,16.6
601–800,Chang Gung UniversityTaiwanExplore,21.5–30.6,22.1,25.5,29.9,41.7,19.1
601–800,"University of Chemistry and Technology, PragueCzech RepublicExplore",21.5–30.6,24.8,13.8,20.9,39.2,49.4
601–800,Chiba UniversityJapanExplore,21.5–30.6,27.6,17.7,32.1,52.5,24.2
601–800,University of ChileChileExplore,21.5–30.6,24.4,19,34.3,31.8,49.1
601–800,China Agricultural UniversityChinaExplore,21.5–30.6,33.3,23.1,34.7,45.2,20.6
601–800,"China University of Geosciences, BeijingChinaExplore",21.5–30.6,27.7,14.5,41.8,50.7,20.6
601–800,"China University of Geosciences, WuhanChinaExplore",21.5–30.6,21.6,15.2,33.5,48,21.8
601–800,Chonbuk National UniversitySouth KoreaExplore,21.5–30.6,21.6,18.7,26,37.2,28.3
601–800,Chonnam National UniversitySouth KoreaExplore,21.5–30.6,20.8,14.5,31.1,36.9,24.1
601–800,Chulalongkorn UniversityThailandExplore,21.5–30.6,27,14.9,18.4,73.3,34.8
601–800,Comenius University in BratislavaSlovakiaExplore,21.5–30.6,22.6,11.9,25.3,31.8,49.1
601–800,COMSATS Institute of Information TechnologyPakistanExplore,21.5–30.6,17.5,7.4,56.8,31.8,44.3
601–800,Coventry UniversityUnited KingdomExplore,21.5–30.6,18.6,10.1,28.7,32.3,82
601–800,Czech Technical University in PragueCzech RepublicExplore,21.5–30.6,20.2,17.3,28.5,39.3,45.3
601–800,Dalian University of TechnologyChinaExplore,21.5–30.6,23.3,21.3,32.6,82.9,23.1
601–800,University of DaytonUnited StatesExplore,21.5–30.6,30.2,15.1,22.3,37.8,33
601–800,University of DelhiIndiaExplore,21.5–30.6,40.2,17.6,23.1,31.9,18.4
601–800,De Montfort UniversityUnited KingdomExplore,21.5–30.6,18.9,13.6,31.9,31.9,65.5
601–800,Dublin Institute of TechnologyIrelandExplore,21.5–30.6,17,10.7,34.6,33.5,77.5
601–800,East China University of Science and TechnologyChinaExplore,21.5–30.6,20.9,17.2,45.9,83.8,30.6
601–800,Eastern Mediterranean UniversityNorthern CyprusExplore,21.5–30.6,18,16.3,36.1,79.5,80.9
601–800,University of East LondonUnited KingdomExplore,21.5–30.6,22.4,13.1,18.2,31.8,77.3
601–800,École Centrale de LyonFranceExplore,21.5–30.6,29.2,15,33.9,71.4,61.9
601–800,École Normale Supérieure de CachanFranceExplore,21.5–30.6,31.3,10.6,42.2,45,55.3
601–800,Edinburgh Napier UniversityUnited KingdomExplore,21.5–30.6,17,10.9,30.4,34.2,77.1
601–800,Embry-Riddle Aeronautical UniversityUnited StatesExplore,21.5–30.6,16.6,7.4,63.6,31.9,27.6
601–800,Eötvös Loránd UniversityHungaryExplore,21.5–30.6,21.1,12.6,42.2,32.4,47
601–800,Federal University of ABC (UFABC)BrazilExplore,21.5–30.6,29.2,12.1,29.3,34.5,32.8
601–800,Federal University of ItajubáBrazilExplore,21.5–30.6,29.5,20.4,11.8,100,19.6
601–800,Federal University of Minas GeraisBrazilExplore,21.5–30.6,29.3,14.5,30.8,34.3,24.8
601–800,Federal University of Rio de JaneiroBrazilExplore,21.5–30.6,30.2,19.8,23.2,40.5,28.3
601–800,Federal University of Rio Grande do SulBrazilExplore,21.5–30.6,30,9,30.7,6.1,23.5
601–800,Florida Atlantic UniversityUnited StatesExplore,21.5–30.6,19,12.9,40.6,1.7,45.5
601–800,Florida Institute of TechnologyUnited StatesExplore,21.5–30.6,22.4,12.7,26.1,34.7,59.7
601–800,Fuzhou UniversityChinaExplore,21.5–30.6,17.5,10.2,54,42.1,20
601–800,Gebze Technical UniversityTurkeyExplore,21.5–30.6,19.8,10.4,34.7,33.4,26.6
601–800,Glasgow Caledonian UniversityUnited KingdomExplore,21.5–30.6,17.1,10.9,42.9,32.7,59.9
601–800,University of GreenwichUnited KingdomExplore,21.5–30.6,17.1,12.3,40.1,33.2,84.7
601–800,Hacettepe UniversityTurkeyExplore,21.5–30.6,28.2,10.7,42.9,33.8,23.6
601–800,University of HaifaIsraelExplore,21.5–30.6,24.9,30,34.3,33.8,35.9
601–800,Hiroshima UniversityJapanExplore,21.5–30.6,29.7,19.6,39,48.9,26.8
601–800,Huazhong Agricultural UniversityChinaExplore,21.5–30.6,26.8,12.9,48,39.8,18.5
601–800,University of HuddersfieldUnited KingdomExplore,21.5–30.6,20.5,16.3,26.5,33.5,66
601–800,Hunan UniversityChinaExplore,21.5–30.6,20.5,19.6,42.2,51.3,18.3
601–800,Indian Institute of Technology GuwahatiIndiaExplore,21.5–30.6,24.8,19.2,46.4,36.1,15.1
601–800,Indian Institute of Technology MadrasIndiaExplore,21.5–30.6,36.9,22.1,29.2,71.5,18.2
601–800,Indian School of MinesIndiaExplore,21.5–30.6,22.8,11.9,43.1,49.7,13.2
601–800,Inha UniversitySouth KoreaExplore,21.5–30.6,23,19.5,23.1,66.3,27.1
601–800,Iran University of Science and TechnologyIranExplore,21.5–30.6,25.5,24.7,36.3,51.2,15.1
601–800,ISCTE-University Institute of LisbonPortugalExplore,21.5–30.6,24.6,24.7,17.5,33.5,46.6
601–800,Isfahan University of TechnologyIranExplore,21.5–30.6,21.4,20.5,41.8,84.1,20.1
601–800,Istanbul Technical UniversityTurkeyExplore,21.5–30.6,22.5,24.2,33.5,100,25.6
601–800,Jadavpur UniversityIndiaExplore,21.5–30.6,33.3,18.5,33.3,38.6,14.9
601–800,University of JaénSpainExplore,21.5–30.6,16.7,11.7,39.8,34.2,32.2
601–800,Jagiellonian UniversityPolandExplore,21.5–30.6,23.1,14.2,37.9,32.7,34.3
601–800,University of JohannesburgSouth AfricaExplore,21.5–30.6,19.3,23.5,36.3,42.7,55.6
601–800,Juntendo UniversityJapanExplore,21.5–30.6,32.2,12.4,27.9,48.5,20.1
601–800,Kagawa UniversityJapanExplore,21.5–30.6,21.6,11.1,33.1,36.9,27.9
601–800,Kanazawa UniversityJapanExplore,21.5–30.6,27.4,16.7,31.7,33.8,21.5
601–800,Kansas State UniversityUnited StatesExplore,21.5–30.6,24.3,17.8,44.1,41.5,45.1
601–800,Kaohsiung Medical UniversityTaiwanExplore,21.5–30.6,20.2,19.1,28.1,50.2,24.4
601–800,Universiti Kebangsaan MalaysiaMalaysiaExplore,21.5–30.6,30.5,21.4,11,34.1,39.1
601–800,Keio UniversityJapanExplore,21.5–30.6,31.6,23.2,33.1,40.1,27.5
601–800,King Juan Carlos UniversitySpainExplore,21.5–30.6,18.8,10.3,37.3,34.6,42.8
601–800,King Mongkut’s University of Technology ThonburiThailandExplore,21.5–30.6,18,10.6,42.3,98,30.1
601–800,Kingston UniversityUnited KingdomExplore,21.5–30.6,18.8,15.6,26.4,32.2,80.2
601–800,K.N. Toosi University of TechnologyIranExplore,21.5–30.6,19.4,18.5,27,47.4,16.7
601–800,Kobe UniversityJapanExplore,21.5–30.6,30.3,19.3,26.5,38.9,24.8
601–800,Kochi UniversityJapanExplore,21.5–30.6,20.1,9.4,36,37.6,25.8
601–800,Kumamoto UniversityJapanExplore,21.5–30.6,24.8,13.6,24.9,43.8,26.4
601–800,Kuwait UniversityKuwaitExplore,21.5–30.6,19.1,8.8,27.1,35.3,70.8
601–800,Kyungpook National UniversitySouth KoreaExplore,21.5–30.6,22.1,19.6,22.9,39,24.5
601–800,University of La LagunaSpainExplore,21.5–30.6,18.1,9.7,57.5,32.4,46.6
601–800,Leeds Beckett UniversityUnited KingdomExplore,21.5–30.6,16.8,11.1,39.5,32.2,46.8
601–800,University of LincolnUnited KingdomExplore,21.5–30.6,17,12.1,30.1,32.8,65.5
601–800,University of LjubljanaSloveniaExplore,21.5–30.6,25.7,16.1,35.8,35.6,38.5
601–800,Manchester Metropolitan UniversityUnited KingdomExplore,21.5–30.6,19.1,11.8,29.9,32,59.4
601–800,University of MariborSloveniaExplore,21.5–30.6,18.9,15.3,49,39.2,36.7
601–800,Marquette UniversityUnited StatesExplore,21.5–30.6,35.1,12.7,30,34.6,22
601–800,Middle East Technical UniversityTurkeyExplore,21.5–30.6,28.6,20.6,31.9,61.2,29.4
601–800,University of MinhoPortugalExplore,21.5–30.6,23.2,22.8,35.8,67.6,47.3
601–800,Mississippi State UniversityUnited StatesExplore,21.5–30.6,19,15.8,42.9,34.9,23.1
601–800,Monterrey Institute of Technology and Higher EducationMexicoExplore,21.5–30.6,24.3,14.8,31.9,80.1,65.4
601–800,University of MurciaSpainExplore,21.5–30.6,20.1,12.4,32.1,33,34.7
601–800,Nagoya City UniversityJapanExplore,21.5–30.6,23.1,12.5,32.2,42.8,19.5
601–800,Nanjing Agricultural UniversityChinaExplore,21.5–30.6,23,16.2,43.1,42.9,18
601–800,Nanjing Medical UniversityChinaExplore,21.5–30.6,24.9,22.6,37.6,32.8,19.5
601–800,Nanjing Normal UniversityChinaExplore,21.5–30.6,19.9,10.2,40.2,47.3,18.4
601–800,Nanjing Tech UniversityChinaExplore,21.5–30.6,17.7,12,39.4,62,18
601–800,National Autonomous University of MexicoMexicoExplore,21.5–30.6,34.4,29.4,19.4,57.3,39.3
601–800,National Central UniversityTaiwanExplore,21.5–30.6,25,23.3,20.9,67.2,35.1
601–800,National Chengchi UniversityTaiwanExplore,21.5–30.6,23,24.5,11.5,34,42.8
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon)FranceExplore,21.5–30.6,25.7,12.6,39,62.8,75.3
601–800,National Institute of Technology RourkelaIndiaExplore,21.5–30.6,25.3,13.9,47.4,33.3,15.5
601–800,National University of Science and Technology (MISiS)Russian FederationExplore,21.5–30.6,22,20.1,24.2,60.1,56.3
601–800,National University of Sciences and TechnologyPakistanExplore,21.5–30.6,20.3,8.7,39.9,32.6,37
601–800,National Sun Yat-Sen UniversityTaiwanExplore,21.5–30.6,24.4,28.1,26.4,46.8,27.9
601–800,National Yang-Ming UniversityTaiwanExplore,21.5–30.6,37.8,18,37.7,34.8,18.6
601–800,New Mexico State UniversityUnited StatesExplore,21.5–30.6,22.8,9,57.7,36.4,35.2
601–800,University of North Carolina at GreensboroUnited StatesExplore,21.5–30.6,22.9,20.2,41,33,19.1
601–800,Northeast Normal UniversityChinaExplore,21.5–30.6,22.7,5.8,51.2,33.5,16.4
601–800,University of Northern British Columbia (UNBC)CanadaExplore,21.5–30.6,20.2,13.1,34.6,36.6,38.9
601–800,Northwestern Polytechnical UniversityChinaExplore,21.5–30.6,23.9,29.7,17.2,76.4,18.4
601–800,Nottingham Trent UniversityUnited KingdomExplore,21.5–30.6,18.3,11.4,35.1,32,60
601–800,Okayama UniversityJapanExplore,21.5–30.6,25.4,15.4,26.4,45.9,22.5
601–800,Old Dominion UniversityUnited StatesExplore,21.5–30.6,24.2,18.2,51,1.7,28.8
601–800,Osaka City UniversityJapanExplore,21.5–30.6,25.2,13.9,26,38.7,22.4
601–800,Otto von Guericke University of MagdeburgGermanyExplore,21.5–30.6,23.4,12.8,47.3,41.6,52.9
601–800,University of OviedoSpainExplore,21.5–30.6,27,13.5,49.1,34.1,31.9
601–800,Palacký University in OlomoucCzech RepublicExplore,21.5–30.6,19.3,12.2,45,32.5,54.6
601–800,Panjab UniversityIndiaExplore,21.5–30.6,27.1,8.6,55.5,31.8,16
601–800,University of PatrasGreeceExplore,21.5–30.6,19.1,12.4,37.2,45.1,35.7
601–800,University of PécsHungaryExplore,21.5–30.6,19.4,10.1,39.3,46.9,55.3
601–800,Peter the Great St Petersburg Polytechnic UniversityRussian FederationExplore,21.5–30.6,28.5,14.8,27.3,53,48.8
601–800,University of the PhilippinesPhilippinesExplore,21.5–30.6,20.5,10,40,32.6,39.8
601–800,Pontifical Catholic University of PeruPeruExplore,21.5–30.6,15.4,5.2,40.6,31.7,51.3
601–800,Pontifical Catholic University of Rio de Janeiro (PUC-Rio)BrazilExplore,21.5–30.6,27.5,23.1,21.5,99.8,40.3
601–800,Portland State UniversityUnited StatesExplore,21.5–30.6,20.4,15.4,49.4,39.6,32
601–800,University of PretoriaSouth AfricaExplore,21.5–30.6,25.7,26.5,29.3,63.5,49.9
601–800,Pusan National UniversitySouth KoreaExplore,21.5–30.6,27.1,27.9,28.8,63.1,34.9
601–800,Universiti Putra MalaysiaMalaysiaExplore,21.5–30.6,26.6,23.7,17.2,36,61.1
601–800,University of ReginaCanadaExplore,21.5–30.6,16.9,6.2,42.5,32.5,51.2
601–800,Rochester Institute of TechnologyUnited StatesExplore,21.5–30.6,20.1,17.7,41.2,33.6,37.9
601–800,University of RoehamptonUnited KingdomExplore,21.5–30.6,18.8,19.2,16.2,32.1,72
601–800,Universiti Sains MalaysiaMalaysiaExplore,21.5–30.6,32.2,17.7,15,38.4,45.8
601–800,University of SalamancaSpainExplore,21.5–30.6,24.8,13.7,35.5,33.5,47.7
601–800,University of SalfordUnited KingdomExplore,21.5–30.6,21.2,14.3,22,32.6,69.9
601–800,Samara State Aerospace UniversityRussian FederationExplore,21.5–30.6,33.6,10.4,34.9,51.3,19.4
601–800,University of Santiago de CompostelaSpainExplore,21.5–30.6,20.9,15,48.2,35.2,44.2
601–800,São Paulo State University (UNESP)BrazilExplore,21.5–30.6,33.7,21.6,12.7,33.1,22.2
601–800,Savitribai Phule Pune UniversityIndiaExplore,21.5–30.6,38.9,7.2,21.6,34.4,18.3
601–800,University of Science and Technology BeijingChinaExplore,21.5–30.6,25.6,22.2,16,60.1,17.4
601–800,University of SeoulSouth KoreaExplore,21.5–30.6,24.9,15.5,22.2,33.9,25
601–800,University of SevilleSpainExplore,21.5–30.6,20.9,15.4,35.7,42.8,34.7
601–800,Shanghai UniversityChinaExplore,21.5–30.6,20.6,15.9,25.5,45.7,23.5
601–800,Shantou UniversityChinaExplore,21.5–30.6,18.6,10.5,38.3,34.2,33.6
601–800,Sharif University of TechnologyIranExplore,21.5–30.6,25.5,26.5,36.7,96.4,19.6
601–800,Sichuan UniversityChinaExplore,21.5–30.6,30.6,24.5,25.2,71.2,20.7
601–800,Sogang UniversitySouth KoreaExplore,21.5–30.6,27.2,28.3,25.4,48.7,28.6
601–800,University of Southern QueenslandAustraliaExplore,21.5–30.6,21.9,16.5,26,33.1,69.1
601–800,University of South WalesUnited KingdomExplore,21.5–30.6,16.5,9,38.5,32.3,61.1
601–800,Suranaree University of TechnologyThailandExplore,21.5–30.6,21.9,10.1,33.6,40.6,32.2
601–800,University of SzegedHungaryExplore,21.5–30.6,20.4,10.8,34,35.4,51.7
601–800,University of TabrizIranExplore,21.5–30.6,25,14.6,35.2,41.2,16
601–800,Taipei Medical UniversityTaiwanExplore,21.5–30.6,25.2,26.4,32.1,99.6,31.4
601–800,Tallinn University of TechnologyEstoniaExplore,21.5–30.6,17.9,11.8,34.9,45.5,50.7
601–800,Technical University of MadridSpainExplore,21.5–30.6,23.8,13.6,34.8,43,45
601–800,University of Technology of CompiègneFranceExplore,21.5–30.6,23,9.5,41.6,38.1,79.1
601–800,Teesside UniversityUnited KingdomExplore,21.5–30.6,16.5,9.3,38.6,32,48
601–800,University of TehranIranExplore,21.5–30.6,31.1,21.7,28.2,31.7,21.4
601–800,Tehran University of Medical SciencesIranExplore,21.5–30.6,44.2,14,21.4,35.6,17.7
601–800,Universiti Teknologi MalaysiaMalaysiaExplore,21.5–30.6,31.1,20.4,22.7,38.6,51.1
601–800,Universiti Teknologi PetronasMalaysiaExplore,21.5–30.6,22.4,23.4,16.1,87.5,63.6
601–800,University of Texas at El PasoUnited StatesExplore,21.5–30.6,20.9,20.6,33.9,31.7,35.7
601–800,Tezpur UniversityIndiaExplore,21.5–30.6,31.4,26.1,36.6,31.9,13.2
601–800,Tokyo University of Agriculture and TechnologyJapanExplore,21.5–30.6,26.1,22.6,21.3,44.1,23.4
601–800,Tokyo University of ScienceJapanExplore,21.5–30.6,23.2,24.9,21.7,37.4,18
601–800,University of VigoSpainExplore,21.5–30.6,19.4,12.2,32.2,35.7,40.3
601–800,Vilnius UniversityLithuaniaExplore,21.5–30.6,20.1,13.5,35.6,40,47.9
601–800,Warsaw University of TechnologyPolandExplore,21.5–30.6,19.9,9.8,44.1,36.2,23.4
601–800,Waseda UniversityJapanExplore,21.5–30.6,31,22.1,31.3,35.6,34.2
601–800,University of the West of EnglandUnited KingdomExplore,21.5–30.6,17,14,32.6,32.4,57.5
601–800,University of the Western CapeSouth AfricaExplore,21.5–30.6,18.8,17.6,35.9,33.3,60.8
601–800,University of WestminsterUnited KingdomExplore,21.5–30.6,19.8,15,32.2,32.1,82.2
601–800,University of WindsorCanadaExplore,21.5–30.6,19.3,15,26.6,34.9,50.8
601–800,Yeungnam UniversitySouth KoreaExplore,21.5–30.6,19.1,11.7,37.3,39.4,32.2
601–800,Yokohama City UniversityJapanExplore,21.5–30.6,26.2,6.5,37.8,37.5,19.1
601–800,University of ZaragozaSpainExplore,21.5–30.6,20.5,12.3,50.8,37.1,37.6
801–1000,University of A CoruñaSpainExplore,15.6–21.4,19.1,11.2,23.7,34.3,30.6
801–1000,Adam Mickiewicz UniversityPolandExplore,15.6–21.4,18.7,11.6,22.8,32.3,30.5
801–1000,"University of Agriculture, FaisalabadPakistanExplore",15.6–21.4,17.7,12.4,20.2,31.9,27.1
801–1000,Ain Shams UniversityEgyptExplore,15.6–21.4,21.1,8.2,13.5,33,34.9
801–1000,Ajou UniversitySouth KoreaExplore,15.6–21.4,22,8.2,27.7,45.9,23.7
801–1000,Akdeniz UniversityTurkeyExplore,15.6–21.4,16.2,15.6,12.3,99.7,18.4
801–1000,Alexandria UniversityEgyptExplore,15.6–21.4,16.8,7.9,23.9,33.4,44.5
801–1000,Alexandru Ioan Cuza UniversityRomaniaExplore,15.6–21.4,22,9.3,17.2,31.8,36.7
801–1000,University of AlicanteSpainExplore,15.6–21.4,18.5,11.8,26.5,34.1,38.3
801–1000,University of AlmeríaSpainExplore,15.6–21.4,18,11.2,25.3,33.9,33.8
801–1000,Amrita UniversityIndiaExplore,15.6–21.4,21.6,9.5,17,52.5,47
801–1000,Andhra UniversityIndiaExplore,15.6–21.4,33.6,8.8,4.3,35.4,16.3
801–1000,Andrés Bello University (UNAB)ChileExplore,15.6–21.4,14.3,6.7,26,31.9,45
801–1000,Annamalai UniversityIndiaExplore,15.6–21.4,22.8,7.7,17.1,32,7.9
801–1000,University of AntioquiaColombiaExplore,15.6–21.4,18.1,21.7,17.5,38.7,38.8
801–1000,"Asia University, TaiwanTaiwanExplore",15.6–21.4,16.6,21.2,19.8,51.4,23.9
801–1000,Assiut UniversityEgyptExplore,15.6–21.4,20,6.8,15.2,1.1,43.9
801–1000,Austral University of ChileChileExplore,15.6–21.4,17.4,10.9,24.4,42.8,48.5
801–1000,Bandung Institute of Technology (ITB)IndonesiaExplore,15.6–21.4,20.8,11.8,8.1,83,31
801–1000,Bauman Moscow State Technical UniversityRussian FederationExplore,15.6–21.4,39.8,16.3,4.6,52.5,20
801–1000,Beijing Jiaotong UniversityChinaExplore,15.6–21.4,22.2,21.9,11.9,58.2,22.5
801–1000,Belarusian State UniversityBelarusExplore,15.6–21.4,21,9.9,11.9,43.1,54.8
801–1000,"Birla Institute of Technology and Science, PilaniIndiaExplore",15.6–21.4,18.7,7.9,31.9,32.6,16.2
801–1000,University of BrasíliaBrazilExplore,15.6–21.4,23.4,12.4,19.1,31.7,31.2
801–1000,Brno University of TechnologyCzech RepublicExplore,15.6–21.4,19.1,13.6,24,40.1,43.7
801–1000,University of BucharestRomaniaExplore,15.6–21.4,22.7,6.5,17.1,31.8,39.5
801–1000,Budapest University of Technology and EconomicsHungaryExplore,15.6–21.4,17.7,12.8,29,45.3,29.7
801–1000,Cairo UniversityEgyptExplore,15.6–21.4,21.5,11.4,22.6,33,32.9
801–1000,University of CalcuttaIndiaExplore,15.6–21.4,33.3,13.3,14,33.5,14.6
801–1000,California Polytechnic State University-San Luis ObispoUnited StatesExplore,15.6–21.4,16.6,7,33.3,37,32.4
801–1000,University of Castilla-La ManchaSpainExplore,15.6–21.4,18.1,10.4,28.7,33.7,33.3
801–1000,Catholic University of the NorthChileExplore,15.6–21.4,16.3,11.7,12.5,33.2,51.1
801–1000,Central University of VenezuelaVenezuelaExplore,15.6–21.4,16.4,7.3,18.9,31.9,37.6
801–1000,University of Cergy-PontoiseFranceExplore,15.6–21.4,19.4,9.3,20.8,35.1,63.2
801–1000,Chiang Mai UniversityThailandExplore,15.6–21.4,21,12.8,19.8,49.7,34.7
801–1000,China University of Mining and TechnologyChinaExplore,15.6–21.4,20,15,15.9,57.9,14.8
801–1000,"China University of Petroleum, BeijingChinaExplore",15.6–21.4,22,22.9,12.8,99.6,19
801–1000,Chongqing UniversityChinaExplore,15.6–21.4,19.2,17.8,20.8,58.8,19
801–1000,Chungnam National UniversitySouth KoreaExplore,15.6–21.4,23.2,18.3,13.1,43.9,21.9
801–1000,Chung Yuan Christian UniversityTaiwanExplore,15.6–21.4,16.8,23.9,15,42.2,28.5
801–1000,Chuo UniversityJapanExplore,15.6–21.4,26.4,8.8,18.4,34.4,21.2
801–1000,Cochin University of Science and TechnologyIndiaExplore,15.6–21.4,26.5,12.3,7.2,32.3,15.2
801–1000,University of ColomboSri LankaExplore,15.6–21.4,25,7.9,12.9,0.6,38.2
801–1000,University of ConcepciónChileExplore,15.6–21.4,17.1,13.5,20.4,57.2,47.6
801–1000,Corvinus University of BudapestHungaryExplore,15.6–21.4,16.9,9.5,18,32,43.7
801–1000,University of Costa RicaCosta RicaExplore,15.6–21.4,18.2,6.9,19.1,0.6,48.2
801–1000,Czech University of Life Sciences Prague (CULS)Czech RepublicExplore,15.6–21.4,18.7,12.1,12.1,47.7,66.9
801–1000,Imam Abdulrahman Bin Faisal UniversitySaudi ArabiaExplore,15.6–21.4,20.7,6.3,5.3,32.3,70.8
801–1000,University of DebrecenHungaryExplore,15.6–21.4,18.8,3.4,27.5,40.4,50.1
801–1000,Del Rosario UniversityColombiaExplore,15.6–21.4,17.7,8.1,25.6,31.9,45.7
801–1000,University of DerbyUnited KingdomExplore,15.6–21.4,16.4,8.5,29.5,32.4,54.4
801–1000,Ehime UniversityJapanExplore,15.6–21.4,20.9,13,17.9,38.6,24.9
801–1000,The University of Electro-CommunicationsJapanExplore,15.6–21.4,20.4,19.8,17.1,36.3,27
801–1000,University of Electronic Science and Technology of ChinaChinaExplore,15.6–21.4,19.6,14.3,21.4,86.9,20
801–1000,Erciyes UniversityTurkeyExplore,15.6–21.4,17,11,21.8,71.2,20.8
801–1000,Federal University of Ceará (UFC)BrazilExplore,15.6–21.4,22.1,9.1,18.8,33,22.1
801–1000,Federal University of PelotasBrazilExplore,15.6–21.4,18.3,8.1,35,1.1,19.7
801–1000,Federal University of PernambucoBrazilExplore,15.6–21.4,23.2,9.1,14.6,47,20.4
801–1000,Federal University of Rio Grande do Norte (UFRN)BrazilExplore,15.6–21.4,19.9,8.3,15.8,42.1,20.6
801–1000,Federal University of Santa CatarinaBrazilExplore,15.6–21.4,25,10.6,23.6,38.4,26.1
801–1000,Federal University of São CarlosBrazilExplore,15.6–21.4,25.5,12,15.9,32.3,22.4
801–1000,Feng Chia UniversityTaiwanExplore,15.6–21.4,17.1,15.9,25,37.6,32.2
801–1000,Ferdowsi University of MashhadIranExplore,15.6–21.4,22.9,14.7,20.1,35.8,20.2
801–1000,University of La FronteraChileExplore,15.6–21.4,16.5,9.1,17.2,32.2,43.5
801–1000,Fu Jen Catholic UniversityTaiwanExplore,15.6–21.4,17.9,13.3,24.6,45.3,24.7
801–1000,Universitas Gadjah MadaIndonesiaExplore,15.6–21.4,18.9,10.4,18.1,60.6,38.9
801–1000,Gdańsk University of TechnologyPolandExplore,15.6–21.4,16.6,9.5,28.6,37.4,19.1
801–1000,University of GhanaGhanaExplore,15.6–21.4,17.7,18.3,20.4,34.2,48.4
801–1000,Gifu UniversityJapanExplore,15.6–21.4,22.7,10.8,15.5,34.7,21.3
801–1000,Grigore T. Popa University of Medicine and PharmacyRomaniaExplore,15.6–21.4,20.1,7.1,9.9,32,51.2
801–1000,University of GuilanIranExplore,15.6–21.4,18,10.9,24.4,32,14
