Name,,Publications,publication,citations,h-index
"124. Konwar, Lakhya Jyoti",,10,2016,135,8
"125. Phukon, Pinkee",,10,2014,147,6
"126. Barua, Nilakshi",,9,2015,30,4
"126. Barua, Nilakshi",,9,2015,30,4
"127. Bordoloi, Naba K.",,9,2016,88,6
"128. Boro, Jutika",,9,2016,216,6
"129. Chutia, Paragjyoti",,9,2016,17,3
"130. Das, Gautam",,9,2014,69,10
"131. Das, Ranjan",,9,2015,118,14
"132. Gogoi, Jyoti Prasad",,9,2014,41,3
"133. Gogoi, Nayanmoni",,9,2016,59,13
"134. Gogoi, Pinky",,9,2017,16,2
"135. Kalita, Amarjyoti",,9,2014,25,4
"136. Mondal, Biplob",,9,2016,60,3
"137. Nath, Bikash Chandra",,9,2017,76,4
"138. Nath, Chandrani",,9,2014,40,5
"139. Nath, Vijay Kumar",,9,2016,11,3
"140. Roy, Soumik",,9,2014,3,1
"141. Saikia, Koushik",,9,2017,41,4
"142. Satapathy, Siddhartha Sankar",,9,2017,13,5
"143. Sen, Shuvam",,9,2017,18,4
"144. Ahamad, Kamal Uddin",,8,2017,24,3
"145. Aidew, Lipika",,8,2016,70,5
"146. Baruah, Nomita",,8,2015,5,1
"147. Bhattacharjee, Saurav",,8,2016,15,2
"148. Bora, Limpon",,8,2016,27,5
"149. Das Purkayastha, Manashi",,8,2016,26,4
"150. Das, Apurba Kumar",,8,2016,15,2
"151. Das, Shyamal Kumar",,8,2016,58,5
"152. Das, Siva Prasad",,8,2014,141,8
"153. Das, Subhasish K.",,8,2017,7,6
"154. Das, Subrata N.",,8,2015,41,6
"155. Dash, Kshirod Kumar",,8,2016,15,2
"156. Deka, Jyoti Prakash",,8,2016,10,2
"157. Deka, Madhuryya",,8,2013,80,9
"158. Dewan, Anindita",,8,2016,21,7
"159. Dutta, Sibasish",,8,2016,28,3
"160. Gogoi, Biswajit",,8,2016,77,7
"161. Hiloidhari, Moonmoon",,8,2016,94,5
"162. Karmakar, Arindam",,8,2017,15,4
"163. Khannam, Momina",,8,2017,26,4
"164. Konwer, Surajit",,8,2013,126,6
"165. Mishra, Poonam P.",,8,2017,66,4
"166. Nath, Milan",,8,2015,68,6
"167. Phukan, Mayur Mausoom",,8,2016,129,4
"168. Pokhrel, Binod",,8,2013,28,5
"169. Prakash, Amit",,8,2016,17,7
"170. Sarma, Parishmita N.",,8,2016,18,3
"171. Sarma, Runjun",,8,2017,19,3
"172. Sarmah, Manashi",,8,2017,5,2
"173. Singh, Salam Pradeep",,8,2014,55,5
"174. Talukdar, Dhrubajyoti",,8,2017,53,5
"175. Thakur, Rupamoni",,8,2016,77,5
"176. Barman, Rupam",,7,2013,38,5
"177. Baruah, Deben Chandra",,7,2013,81,7
"178. Bayan, Sayan",,7,2013,52,7
"179. Bhattacharyya, Dhruba Kr",,7,2016,27,2
"180. Borah, Manjit C.",,7,2016,20,3
"181. Borah, Pranjal",,7,2016,8,2
"182. Chaudhuri, Mihir Kanti",,7,2016,51,18
"183. Das, Nilotpal P.",,7,2016,5,2
"184. Deka, Bhupen",,7,2013,10,5
"185. Devi, Manasi Damayanti",,7,2015,28,5
"186. Gogoi, Sandhya Rani",,7,2017,65,4
"187. Goswami, Ritusmita",,7,2016,23,2
"188. Hazarika, Samiran",,7,2016,11,3
"189. Hoque, Nazrul",,7,2016,63,4
"190. IMAN, MURSHID",,7,2016,57,4
"191. Mitra, Sudip",,7,2017,12,8
"192. Nair, Ranjith G.",,7,2013,111,7
"193. Nath, Amit K.",,7,2015,48,10
"194. Patra, Swarnajyoti",,7,2017,32,10
"195. Paul, Somnath",,7,2015,68,5
"196. Ramchiary, Anjalu",,7,2016,63,4
"197. Roy, Jetendra Kumar",,7,2015,54,6
"198. Sarmah, Rosy Das",,7,2016,12,3
"199. Seth, Dibyakanta",,7,2016,25,3
"200. Sinha, Smriti Kumar",,7,2016,14,4
"201. Upadhyay, Jayesh S.",,7,2015,56,7
"202. Verma, Ranjana",,7,2017,57,5
"203. Barik, Md Abdul",,6,2017,11,2
"204. Baroowa, Bhaswatee",,6,2017,13,2
"205. Basyach, Priyanka",,6,2014,28,4
"206. Borah, Anjan",,6,2016,18,5
"207. Bordoloi, Anup Kr",,6,2014,8,2
"208. Bordoloi, Shreemoyee",,6,2015,82,5
"209. Borthakur, Bitupon",,6,2016,18,2
"210. Das, Amit Baran",,6,2017,1,1
"211. Deka, Sanjib Kumar",,6,2017,0,1
"212. Devee, Mayuri",,6,2015,11,2
"213. Dutta, Sumita",,6,2016,31,3
"214. Gogoi, Sweety",,6,2016,50,4
"215. Goutam, Hari Prasad",,6,2016,2,1
"216. Hazarika, Manuj Kumar",,6,2017,4,1
"217. Jha, Anupam Nath",,6,2016,18,6
"218. Kalita, Debajit",,6,2016,9,3
"219. Kalita, Shobhanjana",,6,2017,2,1
"220. Konwar, Uday",,6,2012,38,6
"221. Mahnot, Nikhil Kumar",,6,2016,34,3
"222. Misra, Sudip",,6,2014,15,2
"223. Nath, Bhabesh Kumar",,6,2016,30,9
"224. Nath, Nayan Mani",,6,2016,5,2
"225. Nath, Suresh K.",,6,2015,97,7
"226. Rajbongshi, Biju Mani",,6,2014,77,5
"227. Rajkhowa, Sanchaita",,6,2016,14,2
"228. Sahariah, Banashree",,6,2016,35,3
"229. Saikia, Adity",,6,2016,8,2
"230. Saikia, Sangeeta",,6,2016,53,3
"231. Sarma, J. K.",,6,2017,3,3
"232. Ahmed, Zakir",,5,2016,13,2
"233. Baishya, Prasanta",,5,2016,13,2
"234. Baishya, Subhi",,5,2015,9,2
