University,N&S-14,N&S
Florida State University,16,16.2
University of Padua,17.7,16.1
University of Nottingham,17.3,15.9
University of Mainz,16.8,15.9
University of the Witwatersrand,16.3,15.8
Hokkaido University,16.6,15.6
University of East Anglia,15.4,15.6
Tufts University,16.4,15.4
James Cook University,15.7,15.4
Tokyo Institute of Technology,17.6,15.3
University of York,16.2,15.2
Newcastle University,16,15.2
Carnegie Mellon University,15.6,15.2
University of Tasmania,15.6,15.1
McMaster University,15.5,15.1
University of Wuerzburg,15,15
Karlsruhe Institute of Technology (KIT),15.1,14.9
University of Ottawa,13.4,14.9
University of Oregon,17,14.8
Tel Aviv University,14.4,14.8
University of Miami,18.9,14.7
University of Muenster,15.2,14.7
TU Dresden,16,14.6
Technical University of Denmark,15.5,14.6
Durham University,15.5,14.6
The University of Western Australia,15.3,14.5
University of Erlangen-Nuremberg,14.6,14.5
University of Illinois at Chicago,14.4,14.5
University of Gothenburg,13.9,14.5
Ecole Normale Superieure - Lyon,11.7,14.5
University of Wyoming,15.5,14.4
Dartmouth College,14.1,14.4
Swedish University of Agricultural Sciences,13.3,14.3
Louisiana State University - Baton Rouge,12.6,14.3
The University of Hong Kong,15.5,14.2
Colorado State University,13.6,14.2
University of Tennessee - Knoxville,13.1,14.2
Korea Advanced Institute of Science and Technology,16.8,14.1
University of Kansas,13.3,14.1
University of Bremen,13.1,14.1
Boston College,12.9,14.1
University of Warwick,13.1,14
University of Science and Technology of China,15.2,13.9
University of Regensburg,13.9,13.9
China Agricultural University,13.1,13.9
University of Notre Dame,13,13.9
University of Waterloo,12.6,13.8
University of Kiel,13.4,13.7
"University of Maryland, Baltimore",15.6,13.6
The University of Calgary,15.3,13.6
University of Paris Descartes (Paris 5),16.2,13.5
University of Liege,14.6,13.5
Zhejiang University,12.5,13.5
University of Marburg,12.1,13.4
University of Houston,11.4,13.4
University of Bayreuth,14.9,13.3
Simon Fraser University,12.9,13.2
Dalhousie University,15.2,13.1
Fudan University,15,13.1
Trinity College Dublin,13.2,13.1
Macquarie University,13,13.1
Autonomous University of Barcelona,13.7,12.9
Norwegian University of Science and Technology - NTNU,13.4,12.9
National Tsing Hua University,12.6,12.9
The University of Adelaide,10.9,12.9
North Carolina State University - Raleigh,14.6,12.8
Mayo Medical School,14.1,12.8
Indiana University-Purdue University at Indianapolis,11.9,12.8
University of Birmingham,14.5,12.7
University of Ulm,12.5,12.6
University of Missouri - Columbia,15.2,12.5
University of Aberdeen,12.6,12.5
University of Lisbon,10.8,12.5
Kyushu University,14.8,12.3
Keio University,13,12.2
University of Stuttgart,11.7,12.2
Vienna University of Technology,10.3,12.2
University of Sussex,13.5,12.1
University of Kentucky,12.5,12.1
University of Sao Paulo,12,12.1
Rensselaer Polytechnic Institute,12.2,12
Curtin University,12.1,12
The George Washington University,11.1,12
The University of Auckland,13.5,11.9
Queen's University,11.8,11.9
University of Southern Denmark,11.7,11.9
The University of Texas at Dallas,11.5,11.8
University of Bath,11.9,11.7
University of Barcelona,11.5,11.7
University of Alaska - Fairbanks,11.4,11.7
National Taiwan University,13.1,11.6
University of Nebraska - Lincoln,12.5,11.6
Kobe University,14.7,11.5
University of Cape Town,10,11.5
University of Konstanz,12.5,11.4
University of Vermont,9,11.4
Virginia Polytechnic Institute and State University,8.4,11.4
The University of Texas Health Science Center at Houston,9.7,11.3
University of Victoria,8.2,11.3
Sungkyunkwan University,12.2,11.1
University of Chile,10.1,11.1
Hiroshima University,13.6,11
University of Trieste,11.5,10.9
Ecole Polytechnique,9.7,10.9
Utah State University,10.5,10.8
Peking Union Medical College,9.9,10.8
University of Colorado at Denver,8.3,10.8
Swinburne University of Technology,13.1,10.7
Chalmers University of Technology,11.1,10.7
University of Antwerp,11,10.7
University of Porto,9.4,10.7
Shanghai Jiao Tong University,11.5,10.6
University of Hannover,10.5,10.6
Kansas State University,11.2,10.5
University of Auvergne,10.9,10.5
Nanyang Technological University,10.6,10.5
Umea University,11.3,10.4
University of Tsukuba,10.9,10.4
University of Central Florida,10.8,10.4
University of Guelph,9.7,10.4
University of South Florida,9.7,10.4
Aalto University,9.6,10.4
University of New Hampshire - Durham,10.6,10.3
ESPCI ParisTech,9.5,10.3
Drexel University,8.8,10.3
San Diego State University,11.5,10.1
University of Otago,11.3,10.1
Queen's University Belfast,10.9,10.1
University of Florence,10.5,10.1
University of Delaware,11.7,10
University of Bologna,11.2,10
University of Oklahoma - Norman,10.9,10
Kanazawa University,10.5,10
Autonomous University of Madrid,12,9.9
University of Giessen,10.1,9.9
Sun Yat-sen University,8.8,9.9
University of Quebec,9.4,9.8
University of Lorraine,7.9,9.8
University College Dublin,12.3,9.7
Chiba University,10.1,9.7
University of Duisburg-Essen,9.5,9.7
University of Buenos Aires,9,9.7
University of Duesseldorf,11,9.6
University of Milan,10.5,9.6
King Abdullah University of Science and Technology,9.6,9.5
University of Halle-Wittenberg,11.3,9.4
Wayne State University,10.1,9.3
Medical University of Vienna,9.7,9.3
University of Leipzig,9.6,9.3
Linkoping University,9.5,9.3
University of Jena,8.4,9.3
Polytechnic University of Catalonia,8.3,9.3
Nanjing University,6.9,9.3
Tokyo Medical and Dental University,11.4,9.2
University of Cincinnati,9.3,9.2
University of Rennes 1,9.2,9.2
Xiamen University,8.8,9.2
Eindhoven University of Technology,8.4,9.2
The Hong Kong University of Science and Technology,8.1,9.2
University of Wollongong,7.5,9.2
Pohang University of Science and Technology,11.1,9.1
Catholic University of Louvain,9.4,9.1
Okayama University,10.6,9
Charles University in Prague,10.4,9
Polytechnic University of Valencia,12.2,8.9
Jilin University,9.9,8.9
George Mason University,9.3,8.9
University of Roma - Tor Vergata,10.7,8.8
National Chiao Tung University,9.3,8.8
University of Warsaw,8.6,8.8
Korea University,10.2,8.7
Tulane University,8.4,8.7
Huazhong University of Science and Technology,7.7,8.7
Laval University,9.3,8.6
Technical University of Braunschweig,9.3,8.6
Ewha Womans University,9,8.6
Deakin University,8.4,8.6
University of Connecticut,7.8,8.6
Bielefeld University,7.1,8.6
Complutense University of Madrid,5.5,8.6
National Autonomous University of Mexico,10.4,8.5
Washington State University,10,8.5
University of Turin,9.5,8.5
The University of Texas Health Science Center at San Antonio,9.5,8.5
The University of Reading,10.8,8.4
University of KwaZulu-Natal,9,8.4
University of Rostock,8,8.4
Tongji University,7.9,8.4
University of South Carolina - Columbia,6.9,8.4
Brigham Young University,6.7,8.4
University of Twente,10.4,8.3
University of Turku,8.4,8.2
Griffith University,7.6,8.2
University of Manitoba,8.8,8
Catholic University of Chile,8.6,8
Syracuse University,8.1,8
Erasmus University,7.5,8
Beijing Normal University,7.8,7.9
Hannover Medical School,7.5,7.9
Virginia Commonwealth University,11.8,7.8
Clemson University,8.7,7.8
Moscow State University,9.7,7.7
Xian Jiao Tong University,8.1,7.7
University of Ljubljana,5.2,7.7
University of Valencia,9.4,7.6
University of Granada,9.4,7.6
Technical University Darmstadt,7.9,7.6
University of Saskatchewan,7.7,7.6
University of Perugia,9.2,7.5
Georgetown University,9.1,7.5
University College Cork,7.7,7.5
Wake Forest University,7.5,7.5
University of Bochum,9.9,7.4
Lancaster University,7.5,7.4
Technical University of Berlin,6.6,7.4
Thomas Jefferson University,8.8,7.2
University of Coimbra,8.2,7.2
King Abdulaziz University,5.1,7.2
University of the Basque Country,6.9,7.1
Eotvos Lorand University,8.6,7
Polytechnic Institute of Milan,8.4,7
University of Oulu,8.2,7
Catholic University of the Sacred Heart,7.5,7
Temple University,7.1,7
London School of Hygiene & Tropical Medicine,5.8,7
City University of New York City College,8.4,6.9
Bar-Ilan University,7.4,6.9
Hanyang University,6.7,6.9
State University of New York Health Science Center at Brooklyn,7.1,6.7
Rush University,6.6,6.7
Saint Petersburg State University,6.1,6.7
UNESP,7.9,6.6
University of Palermo,6.2,6.6
"University of Maryland, Baltimore County",7.1,6.5
University of Pisa,6.7,6.5
RWTH Aachen University,8.1,6.3
Auburn University,6,6.3
University of Graz,6.3,6.2
University of Rhode Island,9.3,6.1
Federal University of Rio de Janeiro,8.1,6.1
Scuola Normale Superiore - Pisa,7.1,6.1
University of Arkansas at Fayetteville,6.2,6.1
University of Santiago Compostela,6.2,6.1
University of Ferrara,6.9,5.9
Jagiellonian University,6.8,5.9
Maastricht University,6.6,5.9
King Saud University,6,5.9
University of Pavia,6.9,5.7
University of Eastern Finland,5.3,5.7
Southeast University,7.5,5.6
Ben-Gurion University of the Negev,7.2,5.6
University of Milan - Bicocca,6.9,5.6
Nankai University,6.8,5.6
Carleton University,5.3,5.5
The University of Texas Medical Branch at Galveston,5,5.5
Harbin Institute of Technology,2.9,5.4
Stellenbosch University,5.8,5.3
The Chinese University of Hong Kong,5.1,5.2
South China University of Technology,5.7,5.1
Flinders University,4.1,5.1
University of Zaragoza,3.8,5.1
Federal University of Rio Grande do Sul,4.7,5
Dalian University of Technology,4.6,5
Saint Louis University,4.6,5
Yonsei University,6.6,4.9
University of Surrey,5.1,4.9
The Hong Kong Polytechnic University,3.8,4.9
National Cheng Kung University,2.7,4.9
East China University of Science and Technology,4.9,4.6
King Fahd University of Petroleum & Minerals,4.9,4.6
Oklahoma State University,4.9,4.6
Aalborg University,3.4,4.6
Federal University of Minas Gerais,4.9,4.4
Medical University of Graz,4.4,4.4
National and Kapodistrian University of Athens,3.8,4.4
Kyung Hee University,3.1,4.4
Sichuan University,3.1,4.3
University of Naples Federico II,5.1,4.2
Soochow University,4.2,4
Beihang University,4.1,3.9
"University of Technology, Sydney",4.1,3.9
Nanjing Medical University,4.1,3.9
Cairo University,3.8,3.9
Brunel University,3.8,3.6
MINES ParisTech,3.8,3.6
University of Szeged,5.7,3.4
Shandong University,3.6,3.4
Istanbul University,3.3,3.4
Medical University of South Carolina,6,3.3
"University of Science, Malaysia",3.8,3.3
University of Campinas,4.6,2.9
Lanzhou University,2.2,2.9
Chang Gung University,3.3,2.7
Indian Institute of Science,2.9,2.7
Wuhan University,2.7,2.5
University of Belgrade,2.2,2.5
National Sun Yat-Sen University,2.4,2.3
University of Parma,5,2.1
University of Arkansas at Little Rock,2.2,2.1
Central South University,1.5,2.1
Aristotle University of Thessaloniki,2.2,1.5
City University of Hong Kong,1.5,1.5
Catholic University of Korea,1.5,1.5
Tianjin University,1.5,1.5
University of Essex,1.5,1.5
University of Malaya,3.4,0
University of Tehran,0,0
