Institution,Rank 2016,Rank 2015,Rank 2014,Rank 2013,Rank 2012,Rank 2011
École PolytechniqueFrance,101,61,70,62,63,39
University of WisconsinUnited States of America,,,,,,43
Rice UniversityUnited States of America,101,69,65,75,72,47
Dartmouth CollegeUnited States of America,104,152,126,124,90,99
University of ZurichSwitzerland,104,103,121,89,61,90
"University of California, IrvineUnited States of America",106,88,93,96,86,49
University of MannheimGermany,106,,,,,
University of Notre DameUnited States of America,108,86,90,94,89,63
Medical University of South CarolinaUnited States of America,,,,189,162,
University of Western AustraliaAustralia,109,157,168,190,189,
RWTH Aachen UniversityGermany,110,156,129,154,168,182
University of SouthamptonUnited Kingdom,110,132,146,130,127,90
Scuola Normale Superiore di PisaItaly,112,63,,,,
University of MontrealCanada,113,113,106,84,104,138
Pierre and Marie Curie UniversityFrance,113,103,96,81,84,140
Purdue UniversityUnited States of America,113,102,62,69,98,106
Pohang University of Science and TechnologySouth Korea,116,66,60,50,53,28
"University of Maryland, College ParkUnited States of America",117,132,108,97,94,98
Ghent UniversityBelgium,118,90,85,93,106,124
University of BirminghamUnited Kingdom,119,148,153,158,148,145
University of BernSwitzerland,120,132,157,151,112,
University of Cape TownSouth Africa,120,124,126,113,103,107
University of FloridaUnited States of America,120,126,128,122,125,
University of Erlangen-NurembergGermany,123,,,,,
"Rutgers, the State University of New JerseyUnited States of America",123,144,103,99,81,105
University of MünsterGermany,125,,,,,
Radboud University NijmegenNetherlands,125,140,131,127,159,
University of Colorado BoulderUnited States of America,127,97,97,91,77,67
Tufts UniversityUnited States of America,127,88,80,87,77,53
"Royal Holloway, University of LondonUnited Kingdom",129,118,102,119,107,88
Lancaster UniversityUnited Kingdom,130,131,137,145,131,124
University of GenevaSwitzerland,131,107,124,133,130,118
University of YorkUnited Kingdom,131,113,100,103,121,81
Case Western Reserve UniversityUnited States of America,133,116,88,104,93,65
University of LeedsUnited Kingdom,133,146,139,142,133,168
University of OsloNorway,135,186,185,,181,
Stockholm UniversitySweden,136,98,103,117,131,129
University of AlbertaCanada,137,124,109,121,100,127
Chinese University of Hong KongHong Kong,138,129,109,124,151,
Karlsruhe Institute of TechnologyGermany,138,165,154,151,196,187
University of SussexUnited Kingdom,140,111,121,110,99,79
University of MassachusettsUnited States of America,141,91,132,72,64,56
University of ViennaAustria,142,182,170,162,139,195
University of NottinghamUnited Kingdom,143,171,157,120,140,174
"University of California, Santa CruzUnited States of America",144,109,136,122,110,68
University of LausanneSwitzerland,144,136,132,130,116,136
Autonomous University of BarcelonaSpain,146,,,,,
University of VirginiaUnited States of America,147,130,112,118,135,72
Korea Advanced Institute of Science and Technology (KAIST)South Korea,148,52,56,68,94,79
Aarhus UniversityDenmark,149,153,138,116,125,167
University of AdelaideAustralia,149,164,,176,,73
University of East AngliaUnited Kingdom,149,198,174,176,145,174
University of TwenteNetherlands,149,,170,187,200,185
Sungkyunkwan University (SKKU)South Korea,153,148,,,,
VU University AmsterdamNetherlands,154,136,144,140,159,139
KTH Royal Institute of TechnologySweden,155,126,117,140,187,193
University of CologneGermany,156,,,,,
University of LiverpoolUnited Kingdom,157,157,169,171,181,165
TU Dresden Germany,158,135,,,,
University of RochesterUnited States of America,158,121,95,102,81,
Trinity College DublinRepublic of Ireland,160,138,129,110,117,76
Georgia Health Sciences UniversityUnited States of America,,,,,197,158
Lomonosov Moscow State UniversityRussian Federation,161,196,,,,
University of MiamiUnited States of America,161,169,185,193,172,
University of ArizonaUnited States of America,163,86,103,98,97,95
Pompeu Fabra UniversitySpain,164,165,164,,186,155
University of ReadingUnited Kingdom,164,,194,176,164,
Yeshiva UniversityUnited States of America,164,186,172,156,154,68
"University of California, RiversideUnited States of America",167,150,148,154,143,117
University of LeicesterUnited Kingdom,167,199,161,196,197,
National Taiwan UniversityTaiwan,167,155,142,134,154,115
Technical University of DenmarkDenmark,167,121,117,149,178,122
Université Catholique de LouvainBelgium,167,171,172,164,169,
University of AberdeenUnited Kingdom,172,178,188,176,151,149
University of AucklandNew Zealand,172,175,164,161,173,145
University of BarcelonaSpain,174,,,,,142
University of KonstanzGermany,175,,,,194,186
Eindhoven University of TechnologyNetherlands,176,144,106,114,115,114
University College DublinRepublic of Ireland,176,,161,187,159,94
Hebrew University of JerusalemIsrael,178,,191,137,121,
University of WaterlooCanada,179,,,,,
University of GothenburgSweden,180,,,,,
Scuola Superiore Sant’AnnaItaly,180,,,,,
University of BergenNorway,182,,,,191,135
Cardiff UniversityUnited Kingdom,182,,,,,
University of UtahUnited States of America,182,162,143,134,113,83
Brandeis UniversityUnited States of America,185,147,164,,150,
University of DundeeUnited Kingdom,185,,196,,176,140
University of WürzburgGermany,185,,,,,168
Paris-Sud UniversityFrance,188,120,114,92,,
Arizona State UniversityUnited States of America,189,182,146,148,127,161
University of AntwerpBelgium,190,170,164,192,,
Boston CollegeUnited States of America,190,126,135,150,195,161
Ulm UniversityGermany,192,,,,,
University of LuxembourgLuxembourg,193,,,,,
Texas A&M UniversityUnited States of America,193,141,159,156,164,
Charité - Universitätsmedizin BerlinGermany,195,,,,,
Newcastle UniversityUnited Kingdom,196,,198,180,146,152
"St George’s, University of LondonUnited Kingdom",196,196,,,,
University of TrentoItaly,198,,,,,
Paris Diderot University – Paris 7France,199,180,178,166,169,
Queen’s University BelfastUnited Kingdom,200,,,,,
Aalborg UniversityDenmark,,,,,,
"Birkbeck, University of LondonUnited Kingdom",,,,200,149,152
University of BolognaItaly,,,,,,
University at BuffaloUnited States of America,,191,176,198,,
University of CalgaryCanada,,,,,,
Chalmers University of TechnologySweden,,,,,,
City University of Hong KongHong Kong,,192,,182,193,
Copenhagen Business SchoolDenmark,,,,,,
Dalhousie UniversityCanada,,,,,,193
University of Duisburg-EssenGermany,,,,,,
École Normale Supérieure de LyonFrance,,160,156,170,141,100
Florida State UniversityUnited States of America,,,,,,
University of FribourgSwitzerland,,,,,,
Fudan UniversityChina,,193,,,,
George Washington UniversityUnited States of America,,200,194,168,135,95
Goethe University FrankfurtGermany,,,,199,181,172
University of Hawai’i at MānoaUnited States of America,,,,,,115
Hong Kong Polytechnic UniversityHong Kong,,,,,,149
University of Illinois at ChicagoUnited States of America,,,191,184,167,197
Indiana UniversityUnited States of America,,150,132,134,123,156
University of IowaUnited States of America,,175,161,169,141,132
Johannes Gutenberg University of MainzGermany,,,,,,
Joseph Fourier UniversityFrance,,178,155,180,,
University of KielGermany,,,,,,
Laval UniversityCanada,,,,,,
Medical University of ViennaAustria,,,,,,
Northeastern UniversityUnited States of America,,185,184,,,
Oregon Health and Science UniversityUnited States of America,,,,,,
University of Medicine and Dentistry of New JerseyUnited States of America,,,,,,
University of OtagoNew Zealand,,,,,,
University of OttawaCanada,,188,185,171,185,
Paris Descartes UniversityFrance,,,,,,
Peter the Great St Petersburg Polytechnic UniversityRussian Federation,,,,,,
Polytechnic University of MilanItaly,,,,,,
Royal Veterinary CollegeUnited Kingdom,,,,,,
Rush UniversityUnited States of America,,,,,,
Sapienza University of RomeItaly,,,,,,
University of Science and Technology of ChinaChina,,,,,192,49
University of South FloridaUnited States of America,,,,,,
Stony Brook UniversityUnited States of America,,188,178,162,114,78
University of StuttgartGermany,,,,,,
Swedish University of Agricultural SciencesSweden,,,,,,199
Technical University of DarmstadtGermany,,,,,,
University of Technology SydneyAustralia,,,,,,
Tel Aviv UniversityIsrael,,188,199,158,166,
University of Texas at DallasUnited States of America,,,188,167,,
Tilburg UniversityNetherlands,,,,,,
Tohoku UniversityJapan,,165,150,137,120,132
Tokyo Institute of TechnologyJapan,,141,125,128,108,112
University of VictoriaCanada,,173,,196,177,130
Wake Forest UniversityUnited States of America,,,180,190,162,90
"University of Technology, SydneyAustralia",,,,,,
University of Western OntarioCanada,,,,,,
William & MaryUnited States of America,,,,184,146,75
University of the WitwatersrandSouth Africa,,,,,,
Aalto UniversityFinland,,,,,,
Aix-Marseille UniversityFrance,,,,,,
University of BathUnited Kingdom,,,,,,
Bayreuth UniversityGermany,,,,,,
Bielefeld UniversityGermany,,,,,,173
University of BordeauxFrance,,,,,,
Charles Darwin UniversityAustralia,,,,,,
Colorado School of MinesUnited States of America,,141,139,184,,
Colorado State UniversityUnited States of America,,,,,,
University of DelawareUnited States of America,,180,174,165,180,159
Flinders UniversityAustralia,,,,,,
University of GeorgiaUnited States of America,,,,,,
Griffith UniversityAustralia,,,,,,
University of IcelandIceland,,,,,,
Indian Institute of ScienceIndia,,,,,,
Iowa State UniversityUnited States of America,,193,183,193,184,156
James Cook UniversityAustralia,,,,,,
Justus Liebig University GiessenGermany,,,,,,
King Abdulaziz UniversitySaudi Arabia,,,,,,
Koç UniversityTurkey,,,,,,
Korea UniversitySouth Korea,,,,,,
University of LiègeBelgium,,,,,,
Linköping UniversitySweden,,,,,,
Nanjing UniversityChina,,,,,,120
National Tsing Hua UniversityTaiwan,,,,,,107
"National University of Ireland, GalwayRepublic of Ireland",,,,,,
University of NewcastleAustralia,,,,,,
North Carolina State UniversityUnited States of America,,,,,,
Oregon State UniversityUnited States of America,,,,,,
Osaka UniversityJapan,,157,144,147,119,130
Queen’s UniversityCanada,,,,,173,
Queensland University of TechnologyAustralia,,,,,,
Rensselaer Polytechnic InstituteUnited States of America,,,181,174,144,104
Royal College of Surgeons in IrelandRepublic of Ireland,,,,,,
Ruhr University BochumGermany,,,,,,
Saint Louis UniversityUnited States of America,,,,,,
University of São PauloBrazil,,,,158,178,
Simon Fraser UniversityCanada,,,,,,199
University of SurreyUnited Kingdom,,,,,,
Syracuse UniversityUnited States of America,,177,,,,
University of TasmaniaAustralia,,,,,,
"University of Tennessee, KnoxvilleUnited States of America",,,,,,
Tomsk Polytechnic UniversityRussian Federation,,,,,,
Tulane UniversityUnited States of America,,,,,,
Umeå UniversitySweden,,,,,,
Vienna University of TechnologyAustria,,,,,,
Virginia Polytechnic Institute and State UniversityUnited States of America,,,,,,
University of WollongongAustralia,,,,,,
Zhejiang UniversityChina,,,,,,197
Aberystwyth UniversityUnited Kingdom,,,,,,
University of Alaska FairbanksUnited States of America,,,,,,
Autonomous University of MadridSpain,,,,,,
Bangor UniversityUnited Kingdom,,,,,,
University of BremenGermany,,,,,,
University of CincinnatiUnited States of America,,,,,,190
University of ConnecticutUnited States of America,,,,,,
Creighton UniversityUnited States of America,,,,,,
Deakin UniversityAustralia,,,,,,
University of EssexUnited Kingdom,,,,,,
George Mason UniversityUnited States of America,,,,,,
University of GreifswaldGermany,,,,,,
Gwangju Institute of Science and TechnologySouth Korea,,,,,,
University of HohenheimGermany,,,,,,
University of InnsbruckAustria,,,,,,187
Kazan Federal UniversityRussian Federation,,,,,,
University of KentUnited Kingdom,,,,,,
Leibniz University of HanoverGermany,,,,,,
Macquarie UniversityAustralia,,,,,,
Medical College of WisconsinUnited States of America,,,,,,
University of HamburgGermany,,,,,,
University of MilanItaly,,,,,,
University of Milan-BicoccaItaly,,,,,,
Montpellier UniversityFrance,,,,,,
Mines ParisTechFrance,,,193,,,
Nagoya UniversityJapan,,,,,,
University of Naples Federico IIItaly,,,,,,
National Chiao Tung UniversityTaiwan,,,,,,181
National Research Nuclear University MePhIRussian Federation,,,,,,
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,,,,,,
University of NavarraSpain,,,,,,
University of Nebraska-LincolnUnited States of America,,,,,,
Örebro UniversitySweden,,,,,,
University of OregonUnited States of America,,,,,,
University of OklahomaUnited States of America,,,,,,
University of PaduaItaly,,,,,,
University of PaviaItaly,,,,,,
Plymouth UniversityUnited Kingdom,,,,,,
Shanghai Jiao Tong UniversityChina,,,,,,
University of Southern DenmarkDenmark,,,,,,
Stellenbosch UniversitySouth Africa,,,,,,
University of StrasbourgFrance,,,,,,
Technical University of DortmundGermany,,,,,,
Technion Israel Institute of TechnologyIsrael,,,,193,,
Toulouse 1 Capitole UniversityFrance,,,,,,
University of TriesteItaly,,,,,,
University of TurinItaly,,,,,,
University of TurkuFinland,,,,,,
Vrije Universiteit BrusselBelgium,,,,,,
VŠB - Technical University of OstravaCzech Republic,,,,,,
Yonsei UniversitySouth Korea,,,190,183,,190
York UniversityCanada,,,,,,
Bilkent UniversityTurkey,,,,,,112
"Binghamton University, State University of New YorkUnited States of America",,,,,,
University of CreteGreece,,,,,,
University of CyprusCyprus,,,,,,
Drexel UniversityUnited States of America,,,,,,190
University of Eastern FinlandFinland,,,,,,
University of FlorenceItaly,,,,,,
University of St GallenSwitzerland,,,,,,
Graz University of TechnologyAustria,,,,,,
University of GuelphCanada,,,,,,
Hanyang UniversitySouth Korea,,,,,,
Hong Kong Baptist UniversityHong Kong,,,,,,111
University of HoustonUnited States of America,,,,,,
Indian Institute of Technology BombayIndia,,,,,,
Instituto Superior Técnico LisboaPortugal,,,,,,
University of JyväskyläFinland,,,,,,
La Trobe UniversityAustralia,,,,,,
Loughborough UniversityUnited Kingdom,,,,,,
University of KansasUnited States of America,,,,,,
University of KentuckyUnited States of America,,,,,,
University of ManitobaCanada,,,,,,
University of MissouriUnited States of America,,,,,,
University of Modena and Reggio EmiliaItaly,,,,,,
University of MontanaUnited States of America,,,,,,
"National University of Ireland, MaynoothRepublic of Ireland",,,,,,
University of Nebraska Medical CenterUnited States of America,,,,,,
University of New MexicoUnited States of America,,,,,,
Norwegian University of Science and TechnologyNorway,,,,,,
University of OuluFinland,,,,,,
"University of Palermo, ArgentinaArgentina",,,,,,
Panthéon-Sorbonne University – Paris 1France,,,,,,
Polytechnic University of TurinItaly,,,,,,
University of Rome IIIItaly,,,,,,
Sabancı UniversityTurkey,,182,,,,
San Diego State UniversityUnited States of America,,,,,,
University of South AustraliaAustralia,,,,,,
University of South CarolinaUnited States of America,,,,,,
University of South DakotaUnited States of America,,,,,,
State University of CampinasBrazil,,,,,,
University of StirlingUnited Kingdom,,,,,,
Sun Yat-sen UniversityChina,,,,,,171
Swansea UniversityUnited Kingdom,,,,,,
Swinburne University of TechnologyAustralia,,,,,,
University of TartuEstonia,,,,,,
Southern Methodist UniversityUnited States of America,,,,,,
Temple UniversityUnited States of America,,,,,,
University of Texas at San AntonioUnited States of America,,,,,,
UiT The Arctic University of NorwayNorway,,,,,,
Université Libre de BruxellesBelgium,,,176,,,
Lille 2 University – Health and LawFrance,,,,,,
University College CorkRepublic of Ireland,,,,,,
Verona UniversityItaly,,,,,,
Victoria University of WellingtonNew Zealand,,,,,,
Washington State UniversityUnited States of America,,,,,,
Wayne State UniversityUnited States of America,,,,,,
American UniversityUnited States of America,,,,,,
Aston UniversityUnited Kingdom,,,,,,
University of AveiroPortugal,,,,,,
University of Bari Aldo MoroItaly,,,,,,
Bar-Ilan UniversityIsrael,,,,,,
Bournemouth UniversityUnited Kingdom,,,,,,
University of BresciaItaly,,,,,,
Brno University of TechnologyCzech Republic,,,,,,
Brunel University LondonUnited Kingdom,,,,,,
Ca’ Foscari University of VeniceItaly,,,,,,
University of CagliariItaly,,,,,,
University of CanterburyNew Zealand,,,,,,
Catholic University of the Sacred HeartItaly,,,,,,
Charles University in PragueCzech Republic,,,,,,
"China Medical University, TaiwanTaiwan",,,,,,
City University LondonUnited Kingdom,,,,,,
Claude Bernard University Lyon 1France,,,,,,
University of CoimbraPortugal,,,,,,
Complutense University of MadridSpain,,,,,,
Concordia UniversityCanada,,,,,,
Curtin UniversityAustralia,,,,,,
Dublin City UniversityRepublic of Ireland,,,,,,
East China University of Science and TechnologyChina,,,,,,
Ewha Womans UniversitySouth Korea,,,,,,
Federico Santa María Technical UniversityChile,,,,,,
University of FerraraItaly,,,,,,
Florida International UniversityUnited States of America,,,,,,
University of GenoaItaly,,,,,,
Georgia State UniversityUnited States of America,,,,,,
University of GrazAustria,,,,,,
Heriot-Watt UniversityUnited Kingdom,,,,,,
Hokkaido UniversityJapan,,,,,,
Howard UniversityUnited States of America,,,,,,
University of HullUnited Kingdom,,,,,,
University of IdahoUnited States of America,,,,,,
Indian Institute of Technology DelhiIndia,,,,,,
Indian Institute of Technology KharagpurIndia,,,,,,
Indian Institute of Technology MadrasIndia,,,,,,
University of IoanninaGreece,,,,,,
Iran University of Science and TechnologyIran,,,,,,
Johannes Kepler University of LinzAustria,,,,,,
University of KaiserslauternGermany,,,,,,
Keele UniversityUnited Kingdom,,,,,,
University of KwaZulu-NatalSouth Africa,,,,,,
Kyung Hee UniversitySouth Korea,,,,,,
Kyushu UniversityJapan,,,,,,
Lehigh UniversityUnited States of America,,,,,,
Louisiana State UniversityUnited States of America,,,,,,
University of MacauMacau,,,,,,
Makerere UniversityUganda,,,,,,
Marche Polytechnic UniversityItaly,,,,,,
"University of Maryland, Baltimore CountyUnited States of America",,,,,,
Murdoch UniversityAustralia,,,,,,
University of NantesFrance,,,,,,
National and Kapodistrian University of AthensGreece,,,,,,
National Autonomous University of MexicoMexico,,,,,,
National Cheng Kung UniversityTaiwan,,,,,,
National Institute of Applied Sciences of Lyon (INSA Lyon)France,,,,,,
National Yang-Ming UniversityTaiwan,,,,,,
University of NeuchâtelSwitzerland,,,,,,
New University of LisbonPortugal,,,,,,
University of Nice Sophia AntipolisFrance,,,,,,
Novosibirsk State UniversityRussian Federation,,,,,,
The Open UniversityUnited Kingdom,,,,,,
Oxford Brookes UniversityUnited Kingdom,,,,,,
University of PalermoItaly,,,,,,
University of ParmaItaly,,,,,,
University of PisaItaly,,,,,,
Polytechnic University of CataloniaSpain,,,,,,
Pontifical Catholic University of ChileChile,,,,,,
University of PortoPortugal,,,,,,
University of PortsmouthUnited Kingdom,,,,,,
RMIT UniversityAustralia,,,,,,
University of Rome II – Tor VergataItaly,,,,,,
University of Rovira i VirgiliSpain,,,,,,
Saint Petersburg State UniversityRussian Federation,,,,,,
University of SalentoItaly,,,,,,
University of San FranciscoUnited States of America,,,,,,
University of SaskatchewanCanada,,,,,,
Sharif University of TechnologyIran,,,,,,
University of SienaItaly,,,,,,
Southern Cross UniversityAustralia,,,,,,
State University of New York AlbanyUnited States of America,,,,,,
University of StrathclydeUnited Kingdom,,,,,,
University of TampereFinland,,,,,,
Tampere University of TechnologyFinland,,,,,,
Tokyo Medical and Dental University (TMDU)Japan,,,,,,
Technical University of BerlinGermany,,,,,,
Tokyo Metropolitan UniversityJapan,,,,,,
University of TsukubaJapan,,,,,,
University of UlsanSouth Korea,,,,,,
Ulster UniversityUnited Kingdom,,,,,,
Université du Québec à MontréalCanada,,,,,,
Universiti Teknologi MalaysiaMalaysia,,,,,,
University of Urbino Carlo BoItaly,,,,,,
University of ValenciaSpain,,,,,,
University of VermontUnited States of America,,,,,,
University of WaikatoNew Zealand,,,,,,
Western Sydney UniversityAustralia,,,,,,
Wuhan UniversityChina,,,,,,
Xiamen UniversityChina,,,,,,
American University of BeirutLebanon,,,,,,
Amirkabir University of TechnologyIran,,,,,,
"University of the Andes, ColombiaColombia",,,,,,
University of ArkansasUnited States of America,,,,,,
Auburn UniversityUnited States of America,,,,,,
Babeş-Bolyai UniversityRomania,,,,,,
University of the Basque CountrySpain,,,,,,
Bauman Moscow State Technical UniversityRussian Federation,,,,,,
Ben-Gurion University of the NegevIsrael,,,,,,
Blaise Pascal UniversityFrance,,,,,,
Boğaziçi UniversityTurkey,,139,199,,,
University of BurgundyFrance,,,,,,
University of CanberraAustralia,,,,,,
Carleton UniversityCanada,,,,,,
University of CataniaItaly,,,,,,
Central Queensland UniversityAustralia,,,,,,
University of ChileChile,,,,,,
China Agricultural UniversityChina,,,,,,
Chung-Ang UniversitySouth Korea,,,,,,
Czech Technical University in PragueCzech Republic,,,,,,
De Montfort UniversityUnited Kingdom,,,,,,
East China Normal UniversityChina,,,,,,
Edith Cowan UniversityAustralia,,,,,,
Federal University of Rio de JaneiroBrazil,,,,,,
University of GranadaSpain,,,,,,
University of HaifaIsrael,,,,,,
Harbin Institute of TechnologyChina,,,,,,
University of HertfordshireUnited Kingdom,,,,,,
Hiroshima UniversityJapan,,,,,,
Huazhong University of Science and TechnologyChina,,,,,,
Indian Institute of Technology GuwahatiIndia,,,,,,
Indian Institute of Technology KanpurIndia,,,,,,
Indian Institute of Technology RoorkeeIndia,,,,,,
Isfahan University of TechnologyIran,,,,,,
Istanbul Technical UniversityTurkey,,165,,,,
Jadavpur UniversityIndia,,,,,,
Kanazawa UniversityJapan,,,,,,
Illinois Institute of TechnologyUnited States of America,,,,,,
Kansas State UniversityUnited States of America,,,,,,
Keio UniversityJapan,,,,,,
Kent State UniversityUnited States of America,,,,,,196
King Fahd University of Petroleum and MineralsSaudi Arabia,,,,,,
King Saud UniversitySaudi Arabia,,,,,,
University of La LagunaSpain,,,,,,
Lappeenranta University of TechnologyFinland,,,,,,
University of LimerickRepublic of Ireland,,,,,,
University of LisbonPortugal,,,,,,
Liverpool John Moores UniversityUnited Kingdom,,,,,,
Mahidol UniversityThailand,,,,,,
Manchester Metropolitan UniversityUnited Kingdom,,,,,,
University of MariborSlovenia,,,,,,
Masaryk UniversityCzech Republic,,,,,,
Massey UniversityNew Zealand,,,,,,
Memorial University of NewfoundlandCanada,,,,,,
Middle East Technical UniversityTurkey,,85,,,,183
University of MinhoPortugal,,,,,,
Missouri University of Science and TechnologyUnited States of America,,,,,,
Montana State UniversityUnited States of America,,,,,,
Monterrey Institute of Technology and Higher EducationMexico,,,,,,
Michigan Technological UniversityUnited States of America,,,,,,
National Central UniversityTaiwan,,,,,,
National Sun Yat-Sen UniversityTaiwan,,,,,,163
National Taiwan Normal UniversityTaiwan,,,,,,
National Technical University of AthensGreece,,,,,,
New Jersey Institute of TechnologyUnited States of America,,,,,,
New Mexico State UniversityUnited States of America,,,,,,
University of North Carolina at GreensboroUnited States of America,,,,,,
Oklahoma State UniversityUnited States of America,,,,,,
Osaka City UniversityJapan,,,,,,
Otto von Guericke University of MagdeburgGermany,,,,,,
University of OviedoSpain,,,,,,
Palacký University in OlomoucCzech Republic,,,,,,
Panjab UniversityIndia,,,,,,
Paris Dauphine UniversityFrance,,,,,,
Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,,,,,,
Portland State UniversityUnited States of America,,,,,,
University of PretoriaSouth Africa,,,,,,
Pusan National UniversitySouth Korea,,,,,,
Quaid-i-azam UniversityPakistan,,,,,,
