University,Citations per Faculty-17,Citations per Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University of Essex,47.6,29.9,,,0.371848739,0.138271485,0.371848739
Universidade Estadual de Campinas (Unicamp),33.6,30,,,0.107142857,0.011479592,0.107142857
Ryerson University,29.6,30.1,,,-0.016891892,0.000285336,0.016891892
"University of Rome ""Tor Vergata""",28.7,30.3,,,-0.055749129,0.003107965,0.055749129
Swansea University,32.2,30.3,,,0.059006211,0.003481733,0.059006211
Linköping University,28,30.4,,,-0.085714286,0.007346939,0.085714286
Laval University,31.5,30.8,,,0.022222222,0.000493827,0.022222222
University of South Carolina,38,30.8,,,0.189473684,0.035900277,0.189473684
University of Wyoming,27.8,30.9,,,-0.111510791,0.012434657,0.111510791
University of Lausanne,31.6,30.9,,,0.022151899,0.000490707,0.022151899
Sun Yat-sen University,50.1,31,,,0.381237525,0.14534205,0.381237525
Aristotle University of Thessaloniki,29.7,31.1,,,-0.047138047,0.002221995,0.047138047
University of Massachusetts - Boston,27.3,31.3,,,-0.146520147,0.021468153,0.146520147
University of New Hampshire,30.8,31.3,,,-0.016233766,0.000263535,0.016233766
Ecole Normale Supérieure de Cachan,36.7,31.6,,,0.138964578,0.019311154,0.138964578
University of Haifa,32.1,31.8,,,0.009345794,8.73439E-05,0.009345794
Yonsei University,33.6,31.8,,,0.053571429,0.002869898,0.053571429
CentraleSupélec,37.1,31.8,,,0.142857143,0.020408163,0.142857143
Kyushu University,27,31.9,,,-0.181481481,0.032935528,0.181481481
University of Zurich,29.9,31.9,,,-0.066889632,0.004474223,0.066889632
Universität Mannheim,25.1,32,,,-0.274900398,0.075570229,0.274900398
Abo Akademi University,30.2,32,,,-0.059602649,0.003552476,0.059602649
Washington State University,33.2,32,,,0.036144578,0.001306431,0.036144578
Rutgers University - New Brunswick,35.7,32,,,0.103641457,0.010741552,0.103641457
Charles Darwin University,38.1,32.1,,,0.157480315,0.02480005,0.157480315
ESSEC Business School,28.9,32.2,,,-0.114186851,0.013038637,0.114186851
Sichuan University,29.3,32.2,,,-0.098976109,0.00979627,0.098976109
Universität Regensburg,35.1,32.5,,,0.074074074,0.005486968,0.074074074
University of Strathclyde,36.3,32.6,,,0.101928375,0.010389394,0.101928375
Shandong University,28.7,32.7,,,-0.139372822,0.019424784,0.139372822
Korea University,34.9,32.8,,,0.06017192,0.00362066,0.06017192
University of Gothenburg,32.1,32.9,,,-0.024922118,0.000621112,0.024922118
Bogaziçi Üniversitesi,33.4,33,,,0.011976048,0.000143426,0.011976048
University of New Mexico,32.8,33.1,,,-0.009146341,8.36556E-05,0.009146341
San Diego State University,37.9,33.1,,,0.126649077,0.016039989,0.126649077
