University,Faculty Student-17,Faculty Student-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
The University of Edinburgh,87.6,83.2,,,0.050228311,0.002522883,0.050228311
University of Helsinki,93.7,83.4,,,0.109925293,0.01208357,0.109925293
Ewha Womans University,80.8,83.6,,,-0.034653465,0.001200863,0.034653465
City University of Hong Kong,83,83.6,,,-0.007228916,5.22572E-05,0.007228916
Hiroshima University,86,83.8,,,0.025581395,0.000654408,0.025581395
Rice University,85.4,83.9,,,0.017564403,0.000308508,0.017564403
University of Wisconsin-Madison,84.2,84,,,0.002375297,5.64204E-06,0.002375297
King Abdullah University of Science & Technology,82.5,84.5,,,-0.024242424,0.000587695,0.024242424
Taipei Medical University,74,84.7,,,-0.144594595,0.020907597,0.144594595
Tampere University of Technology,94.1,84.8,,,0.098831031,0.009767573,0.098831031
Hokkaido University,84.4,85,,,-0.007109005,5.05379E-05,0.007109005
Ecole Normale Supérieure de Cachan,87.8,85,,,0.031890661,0.001017014,0.031890661
Sungkyunkwan University (SKKU),84.6,85.1,,,-0.005910165,3.49301E-05,0.005910165
The University of Hong Kong,84,85.3,,,-0.01547619,0.000239512,0.01547619
Nagasaki University,85.4,85.4,,,0,0,0
University of Miami,95.2,85.8,,,0.098739496,0.009749488,0.098739496
Universiti Teknologi Malaysia,82.9,85.9,,,-0.036188179,0.001309584,0.036188179
Dartmouth College,86.3,86.3,,,0,0,0
Technical University of Munich,86.4,86.4,,,0,0,0
Universidad Austral,86.7,86.4,,,0.003460208,1.1973E-05,0.003460208
Chung-Ang University (CAU),82.6,86.5,,,-0.047215496,0.002229303,0.047215496
Tsinghua University,85.6,86.7,,,-0.012850467,0.000165135,0.012850467
"University of North Carolina, Chapel Hill",77.1,86.9,,,-0.127107652,0.016156355,0.127107652
Universität Jena,78.2,87.6,,,-0.120204604,0.014449147,0.120204604
King's College London,88.2,87.6,,,0.006802721,4.6277E-05,0.006802721
Universiti Malaya (UM),92.2,87.8,,,0.047722343,0.002277422,0.047722343
National University of Singapore (NUS),88.1,88.8,,,-0.007945516,6.31312E-05,0.007945516
Southern Federal University,81.2,89.2,,,-0.098522167,0.009706617,0.098522167
King Saud University,88.5,89.3,,,-0.009039548,8.17134E-05,0.009039548
University of Michigan,86.7,89.6,,,-0.033448674,0.001118814,0.033448674
Tokyo Institute of Technology,90.4,90.1,,,0.003318584,1.1013E-05,0.003318584
Universidad de Belgrano,80.6,91,,,-0.129032258,0.016649324,0.129032258
The Catholic University of Korea,89,91.1,,,-0.023595506,0.000556748,0.023595506
Kyushu University,96.5,91.1,,,0.055958549,0.003131359,0.055958549
University of Lausanne,89.2,91.2,,,-0.022421525,0.000502725,0.022421525
Ecole Polytechnique Fédérale de Lausanne (EPFL),93.9,92,,,0.020234292,0.000409427,0.020234292
Belarusian State University,92.4,92.3,,,0.001082251,1.17127E-06,0.001082251
Kazakh National Pedagogical University named after Abay,86.7,92.6,,,-0.06805075,0.004630905,0.06805075
The University of Tokyo,92.2,92.6,,,-0.004338395,1.88217E-05,0.004338395
"National Research University Higher School of Economics (HSE, Moscow)",92.7,92.8,,,-0.001078749,1.1637E-06,0.001078749
University of Antwerp,93.1,93,,,0.001074114,1.15372E-06,0.001074114
Ecole des Ponts ParisTech,97.9,93,,,0.050051073,0.00250511,0.050051073
Eindhoven University of Technology,99,93.1,,,0.05959596,0.003551678,0.05959596
Nagoya University,93.9,93.5,,,0.004259851,1.81463E-05,0.004259851
National Research Tomsk Polytechnic University,94.6,93.5,,,0.011627907,0.000135208,0.011627907
"Nanyang Technological University, Singapore (NTU)",94,93.6,,,0.004255319,1.81077E-05,0.004255319
Peter the Great Saint-Petersburg Polytechnic University,94.1,93.8,,,0.003188098,1.0164E-05,0.003188098
Tomsk State University,83.5,94,,,-0.125748503,0.015812686,0.125748503
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),93.4,94.1,,,-0.007494647,5.61697E-05,0.007494647
King Fahd University of Petroleum & Minerals,89,94.9,,,-0.066292135,0.004394647,0.066292135
New York University (NYU),95,95.5,,,-0.005263158,2.77008E-05,0.005263158
Kyoto University,95.3,95.7,,,-0.004197272,1.76171E-05,0.004197272
The Katz School at Yeshiva University,98.8,96.3,,,0.025303644,0.000640274,0.025303644
University of Chicago,95.4,96.5,,,-0.011530398,0.00013295,0.011530398
University of Tromsø The Arctic University of Norway,96.7,96.7,,,0,0,0
Kazakh National Research Technical University after K.I.Satpayev,93,97.1,,,-0.044086022,0.001943577,0.044086022
Emory University,93,97.5,,,-0.048387097,0.002341311,0.048387097
University of Pittsburgh,97.4,97.7,,,-0.003080082,9.48691E-06,0.003080082
Saint Petersburg State University,97.6,97.7,,,-0.00102459,1.04979E-06,0.00102459
Case Western Reserve University,96.8,97.8,,,-0.010330579,0.000106721,0.010330579
Wageningen University,99.5,97.9,,,0.016080402,0.000258579,0.016080402
University of Zurich,95.8,98.1,,,-0.024008351,0.000576401,0.024008351
Tohoku University,97.9,98.1,,,-0.002042901,4.17344E-06,0.002042901
Duke University,99.2,98.1,,,0.01108871,0.000122959,0.01108871
Vrije Universiteit Brussel (VUB),96.6,98.2,,,-0.016563147,0.000274338,0.016563147
L.N. Gumilyov Eurasian National University (ENU),99.6,98.2,,,0.014056225,0.000197577,0.014056225
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),98.4,98.3,,,0.00101626,1.03278E-06,0.00101626
Harvard University,98.5,98.3,,,0.002030457,4.12276E-06,0.002030457
Northwestern University,94.3,98.6,,,-0.045599152,0.002079283,0.045599152
Al-Farabi Kazakh National University,96.9,99,,,-0.021671827,0.000469668,0.021671827
UCL (University College London),98.7,99.1,,,-0.004052685,1.64243E-05,0.004052685
Moscow State Institute of International Relations (MGIMO University),99.4,99.2,,,0.002012072,4.04844E-06,0.002012072
Ecole Polytechnique,99.4,99.3,,,0.001006036,1.01211E-06,0.001006036
Yokohama City University,99.6,99.3,,,0.003012048,9.07243E-06,0.003012048
Pohang University of Science And Technology (POSTECH),99.5,99.5,,,0,0,0
Washington University in St. Louis,99.9,99.6,,,0.003003003,9.01803E-06,0.003003003
Lomonosov Moscow State University,99.7,99.7,,,0,0,0
Technical University of Denmark,98.9,99.8,,,-0.009100101,8.28118E-05,0.009100101
Karolinska Institutet,99.4,99.8,,,-0.004024145,1.61937E-05,0.004024145
National Yang Ming University,99.5,99.8,,,-0.003015075,9.09068E-06,0.003015075
Universidad Externado de Colombia,99.8,99.8,,,0,0,0
École Normale Supérieure de Lyon,100,99.8,,,0.002,4E-06,0.002
Cranfield University,99.5,99.9,,,-0.004020101,1.61612E-05,0.004020101
University of Copenhagen,100,99.9,,,0.001,1E-06,0.001
Bauman Moscow State Technical University,100,99.9,,,0.001,1E-06,0.001
National Research Saratov State University,100,99.9,,,0.001,1E-06,0.001
Weizmann Institute of Science,100,99.9,,,0.001,1E-06,0.001
University of Rochester,99.9,100,,,-0.001001001,1.002E-06,0.001001001
Massachusetts Institute of Technology (MIT),100,100,,,0,0,0
Stanford University,100,100,,,0,0,0
University of Cambridge,100,100,,,0,0,0
California Institute of Technology (Caltech),100,100,,,0,0,0
University of Oxford,100,100,,,0,0,0
Imperial College London,100,100,,,0,0,0
Yale University,100,100,,,0,0,0
Johns Hopkins University,100,100,,,0,0,0
University of Pennsylvania,100,100,,,0,0,0
Columbia University,100,100,,,0,0,0
Vanderbilt University,100,100,,,0,0,0
Tokyo Medical and Dental University (TMDU),100,100,,,0,0,0
"University of Colorado, Denver",100,100,,,0,0,0
Wake Forest University,100,100,,,0,0,0
"University of California, San Francisco",100,100,,,0,0,0
Baylor College of Medicine,100,100,,,0,0,0
,,,,,,,
,,,,,,8.434751045,42.62664672
,,,,,,0.018416487,0.093071281
,,,,,,0.135707358,
