University,International Students-17,International Students-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
University of Hull,59.3,55.9,,,0.057335582,0.003287369,0.057335582
Université de Toulouse II-Le Mirail,59,56,,,0.050847458,0.002585464,0.050847458
Universität Duisburg-Essen,55.5,56.3,,,-0.014414414,0.000207775,0.014414414
Novosibirsk State University,56,56.3,,,-0.005357143,2.8699E-05,0.005357143
Peter the Great Saint-Petersburg Polytechnic University,41.6,56.5,,,-0.358173077,0.128287953,0.358173077
Université Paris Diderot - Paris 7,42.2,56.5,,,-0.338862559,0.114827834,0.338862559
Lebanese American University,59.6,56.5,,,0.052013423,0.002705396,0.052013423
Duke University,56.7,56.6,,,0.001763668,3.11053E-06,0.001763668
Rhodes University,80.6,56.7,,,0.296526055,0.087927701,0.296526055
University of Saskatchewan,55,57.1,,,-0.038181818,0.001457851,0.038181818
Dublin City University,57.5,57.2,,,0.005217391,2.72212E-05,0.005217391
Griffith University,64.1,57.5,,,0.102964119,0.01060161,0.102964119
Victoria University of Wellington,60.9,58.7,,,0.036124795,0.001305001,0.036124795
RWTH Aachen University,57.1,58.8,,,-0.029772329,0.000886392,0.029772329
University of Zurich,62.2,59.2,,,0.048231511,0.002326279,0.048231511
University of Debrecen,53.6,59.3,,,-0.106343284,0.011308894,0.106343284
Deakin University,54.8,59.6,,,-0.087591241,0.007672225,0.087591241
Universiti Utara Malaysia (UUM),55,59.7,,,-0.085454545,0.007302479,0.085454545
Universiti Malaya (UM),70.5,59.7,,,0.153191489,0.023467632,0.153191489
"University of California, San Diego (UCSD)",39.1,59.9,,,-0.531969309,0.282991346,0.531969309
University College Dublin,60.7,60.2,,,0.008237232,6.7852E-05,0.008237232
"Ecole normale supérieure, Paris",65.1,60.4,,,0.072196621,0.005212352,0.072196621
Brno University of Technology,56.7,60.6,,,-0.068783069,0.004731111,0.068783069
Brown University,66.7,60.9,,,0.086956522,0.007561437,0.086956522
"University of Illinois, Chicago (UIC)",48.3,61.1,,,-0.265010352,0.070230487,0.265010352
Syracuse University,66.4,61.1,,,0.079819277,0.006371117,0.079819277
University of Calgary,65,61.3,,,0.056923077,0.003240237,0.056923077
Case Western Reserve University,64.2,61.4,,,0.043613707,0.001902155,0.043613707
Yale University,65,61.7,,,0.050769231,0.002577515,0.050769231
Vrije Universiteit Brussel (VUB),67.4,61.9,,,0.081602374,0.006658947,0.081602374
Universität Stuttgart,64.9,62,,,0.044684129,0.001996671,0.044684129
University of Stirling,64.2,62.2,,,0.031152648,0.000970487,0.031152648
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),43,62.3,,,-0.448837209,0.20145484,0.448837209
Washington University in St. Louis,65.8,62.4,,,0.051671733,0.002669968,0.051671733
Edith Cowan University,53.6,62.7,,,-0.169776119,0.028823931,0.169776119
The National University of Science and Technology MISIS,63.4,62.8,,,0.009463722,8.9562E-05,0.009463722
"Université Lille 1, Sciences et Technologies",65.9,63,,,0.04400607,0.001936534,0.04400607
Technische Universität Berlin (TU Berlin),61.8,63.2,,,-0.022653722,0.000513191,0.022653722
University at Buffalo SUNY,66.4,63.2,,,0.048192771,0.002322543,0.048192771
Jordan University of Science & Technology,70.3,63.4,,,0.098150782,0.009633576,0.098150782
Université de Liège,65.5,63.8,,,0.025954198,0.00067362,0.025954198
Arizona State University,58.3,64,,,-0.097770154,0.009559003,0.097770154
Karolinska Institutet,86.1,64,,,0.256678281,0.06588374,0.256678281
Uppsala University,71.6,64.1,,,0.104748603,0.01097227,0.104748603
Al Azhar University,67,64.2,,,0.041791045,0.001746491,0.041791045
University of Pennsylvania,64.2,64.5,,,-0.004672897,2.1836E-05,0.004672897
University of Canterbury,62.6,64.7,,,-0.033546326,0.001125356,0.033546326
Curtin University,74.4,64.7,,,0.130376344,0.016997991,0.130376344
Singapore Management University,55.4,65.3,,,-0.178700361,0.031933819,0.178700361
International Islamic University Malaysia (IIUM),69.9,65.5,,,0.062947067,0.003962333,0.062947067
University of South Australia,65.5,65.7,,,-0.003053435,9.32347E-06,0.003053435
Université Nice Sophia Antipolis,67.7,65.7,,,0.029542097,0.000872736,0.029542097
University of Otago,67.9,65.7,,,0.032400589,0.001049798,0.032400589
York University,45.5,66,,,-0.450549451,0.202994807,0.450549451
King Abdulaziz University (KAU),68.1,66,,,0.030837004,0.000950921,0.030837004
Loughborough University,58.1,66.1,,,-0.137693632,0.018959536,0.137693632
Keele University,65.1,66.1,,,-0.015360983,0.00023596,0.015360983
National University of Ireland Galway,62.6,66.2,,,-0.057507987,0.003307169,0.057507987
University of York,74.6,66.2,,,0.112600536,0.012678881,0.112600536
University of Canberra,72.3,66.5,,,0.0802213,0.006435457,0.0802213
Swansea University,70.1,66.7,,,0.04850214,0.002352458,0.04850214
Universit Paul-Valery Montpellier 3,34.1,67.2,,,-0.970674487,0.942208959,0.970674487
Worcester Polytechnic Institute,74.3,67.5,,,0.091520861,0.008376068,0.091520861
Alpen-Adria-Universitaet Klagenfurt,64.3,67.9,,,-0.055987558,0.003134607,0.055987558
American University of Beirut (AUB),69.6,68,,,0.022988506,0.000528471,0.022988506
Tomsk State University,57.3,69.4,,,-0.211169284,0.044592467,0.211169284
Université Toulouse 1 Capitole,72.7,70.2,,,0.034387895,0.001182527,0.034387895
Universidad de Buenos Aires (UBA),58.4,70.6,,,-0.20890411,0.043640927,0.20890411
University of Texas Dallas,48,70.8,,,-0.475,0.225625,0.475
Princeton University,68.7,70.8,,,-0.030567686,0.000934383,0.030567686
Robert Gordon University,74.1,70.8,,,0.044534413,0.001983314,0.044534413
Middlesex University,93.7,70.9,,,0.243329776,0.05920938,0.243329776
University of Illinois at Urbana-Champaign,71.2,71.2,,,0,0,0
New Jersey Institute of Technology (NJIT),65.6,71.5,,,-0.089939024,0.008089028,0.089939024
Erasmus University Rotterdam,70.6,71.7,,,-0.015580737,0.000242759,0.015580737
Universidad de Alcalá,74,72,,,0.027027027,0.00073046,0.027027027
Georgia Institute of Technology,87.5,72.1,,,0.176,0.030976,0.176
University of British Columbia,68.3,72.2,,,-0.057101025,0.003260527,0.057101025
Dalhousie University,60.2,72.3,,,-0.200996678,0.040399664,0.200996678
Stanford University,74,72.7,,,0.017567568,0.000308619,0.017567568
Masaryk University,71.1,72.8,,,-0.023909986,0.000571687,0.023909986
The University of Western Australia,51.9,72.9,,,-0.404624277,0.163720806,0.404624277
Universiti Putra Malaysia (UPM),71.8,73,,,-0.016713092,0.000279327,0.016713092
"University of Economics, Prague",56.5,73.2,,,-0.295575221,0.087364711,0.295575221
Purdue University,77.4,73.7,,,0.047803618,0.002285186,0.047803618
Lund University,73.3,73.8,,,-0.006821282,4.65299E-05,0.006821282
Bangor University,80,74.3,,,0.07125,0.005076563,0.07125
University of Huddersfield,73.9,74.4,,,-0.0067659,4.57774E-05,0.0067659
"The University of Newcastle, Australia (UON)",59.5,74.6,,,-0.253781513,0.064405056,0.253781513
University of Dundee,76.2,74.8,,,0.018372703,0.000337556,0.018372703
Copenhagen Business School,74.8,75,,,-0.002673797,7.14919E-06,0.002673797
Harvard University,70.4,75.2,,,-0.068181818,0.00464876,0.068181818
Technical University of Denmark,78,75.7,,,0.029487179,0.000869494,0.029487179
University of Southern California,75,75.8,,,-0.010666667,0.000113778,0.010666667
United Arab Emirates University,85.6,76.3,,,0.10864486,0.011803706,0.10864486
University of Twente,70.4,76.8,,,-0.090909091,0.008264463,0.090909091
University of Tulsa,84.9,77,,,0.093050648,0.008658423,0.093050648
Université Paris 1 Panthéon-Sorbonne,79.2,77.5,,,0.021464646,0.000460731,0.021464646
University of Strathclyde,80.2,77.7,,,0.03117207,0.000971698,0.03117207
Macquarie University,66.9,78.2,,,-0.168908819,0.028530189,0.168908819
Victoria University,93.2,78.7,,,0.155579399,0.024204949,0.155579399
Cornell University,66,79.2,,,-0.2,0.04,0.2
University of Bristol,82.4,79.2,,,0.038834951,0.001508153,0.038834951
Université de Montréal,79.9,79.4,,,0.006257822,3.91603E-05,0.006257822
University of Lausanne,80.2,79.6,,,0.007481297,5.59698E-05,0.007481297
Cardiff University,92.4,79.6,,,0.138528139,0.019190045,0.138528139
University of Waikato,79.9,79.7,,,0.002503129,6.26565E-06,0.002503129
University of Chicago,70.5,79.8,,,-0.131914894,0.017401539,0.131914894
The Hong Kong Polytechnic University,80.9,80.2,,,0.008652658,7.48685E-05,0.008652658
University of Waterloo,74.8,80.7,,,-0.078877005,0.006221582,0.078877005
Université Paris Dauphine,86.2,80.9,,,0.061484919,0.003780395,0.061484919
University of Portsmouth,82.6,81.1,,,0.018159806,0.000329779,0.018159806
Clark University,83,81.2,,,0.021686747,0.000470315,0.021686747
Johns Hopkins University,69.7,81.3,,,-0.166427547,0.027698128,0.166427547
University of Leeds,77.4,81.3,,,-0.050387597,0.00253891,0.050387597
University of Wollongong,74.7,81.8,,,-0.095046854,0.009033904,0.095046854
National Research Tomsk Polytechnic University,76.3,81.8,,,-0.072083879,0.005196086,0.072083879
University of Hertfordshire,83.8,81.9,,,0.022673031,0.000514066,0.022673031
University of Salford,83.2,82.2,,,0.012019231,0.000144462,0.012019231
University of Alberta,83.5,82.4,,,0.013173653,0.000173545,0.013173653
University of East Anglia (UEA),90.1,82.7,,,0.082130966,0.006745496,0.082130966
RUDN University,84.7,83.3,,,0.016528926,0.000273205,0.016528926
Brandeis University,80.9,83.7,,,-0.03461063,0.001197896,0.03461063
Swinburne University of Technology,94.2,83.7,,,0.111464968,0.012424439,0.111464968
Oxford Brookes University,84.8,83.9,,,0.010613208,0.00011264,0.010613208
Newcastle University,93.9,83.9,,,0.106496273,0.011341456,0.106496273
New York University (NYU),82.4,84.1,,,-0.020631068,0.000425641,0.020631068
The University of Exeter,85.7,84.3,,,0.016336056,0.000266867,0.016336056
"University of California, Irvine",80.2,84.4,,,-0.052369077,0.00274252,0.052369077
RMIT University,83.5,84.4,,,-0.010778443,0.000116175,0.010778443
University of Basel,77.8,84.9,,,-0.09125964,0.008328322,0.09125964
The Chinese University of Hong Kong (CUHK),79.9,84.9,,,-0.062578223,0.003916034,0.062578223
"Stony Brook University, State University of New York",86.6,85,,,0.018475751,0.000341353,0.018475751
National Taiwan Normal University,76.3,86,,,-0.127129751,0.016161974,0.127129751
University of Birmingham,84.3,86,,,-0.020166074,0.000406671,0.020166074
National University of Singapore (NUS),90.8,86.1,,,0.051762115,0.002679317,0.051762115
Hong Kong Baptist University,91.4,86.3,,,0.055798687,0.003113493,0.055798687
Boston University,77.7,86.5,,,-0.113256113,0.012826947,0.113256113
The University of Nottingham,87.9,86.5,,,0.01592719,0.000253675,0.01592719
