University,Research-15,Research-16,,,B2-C2,B2-C2/B2,,,,ABS
Hong Kong Baptist UniversityHong Kong,13.2,12.1,,,1.1,0.083333333,0.006944444,,,0.083333333
King Mongkut’s University of Technology ThonburiThailand,10,11.4,,,-1.4,-0.14,0.0196,,,0.14
Tokyo Metropolitan UniversityJapan,9.8,11.4,,,-1.6,-0.163265306,0.02665556,,,0.163265306
University of PortsmouthUnited Kingdom,10.6,10.9,,,-0.3,-0.028301887,0.000800997,,,0.028301887
Federico Santa María Technical UniversityChile,10.1,10.1,,,0,0,0,,,0
University of HertfordshireUnited Kingdom,10.9,9.5,,,1.4,0.128440367,0.016496928,,,0.128440367
Panjab UniversityIndia,10.5,8.8,10.5,8.8,1.7,0.161904762,0.026213152,,,0.161904762
University of Marrakech Cadi AyyadMorocco,6.5,6.3,,,0.2,0.030769231,0.000946746,,,0.030769231
,,,,,,,,,,
,,,,,,SUM,32.35559831,,SUM,67.8234919
,,,,,,SUM/N,0.082539792,,V,0.173019112
,,,,,,V,0.287297392,,,
