University,International Outlook-15,International Outlook-16,,,B2-C2,B2-C2/B2,,,,ABS
California Institute of TechnologyUnited States of America,67,64,,,3,0.044776119,0.002004901,,,0.044776119
University of MiamiUnited States of America,56.7,64,,,-7.3,-0.128747795,0.016575995,,,0.128747795
Plymouth UniversityUnited Kingdom,51.3,64,,,-12.7,-0.247563353,0.061287614,,,0.247563353
Cornell UniversityUnited States of America,59,63.9,,,-4.9,-0.083050847,0.006897443,,,0.083050847
University of GroningenNetherlands,56.1,63.9,,,-7.8,-0.139037433,0.019331408,,,0.139037433
Technical University of MunichGermany,64,63.8,,,0.2,0.003125,9.76563E-06,,,0.003125
Laval UniversityCanada,55.7,63.8,,,-8.1,-0.145421903,0.02114753,,,0.145421903
Charles Darwin UniversityAustralia,45.5,63.7,,,-18.2,-0.4,0.16,,,0.4
University of BonnGermany,54.8,63.6,,,-8.8,-0.160583942,0.025787202,,,0.160583942
University of Hawai’i at MānoaUnited States of America,59.4,63.4,,,-4,-0.067340067,0.004534685,,,0.067340067
Pompeu Fabra UniversitySpain,63.2,63.3,,,-0.1,-0.001582278,2.50361E-06,,,0.001582278
Heidelberg UniversityGermany,63.1,62.8,,,0.3,0.004754358,2.26039E-05,,,0.004754358
LMU MunichGermany,56.4,62.8,,,-6.4,-0.113475177,0.012876616,,,0.113475177
Humboldt University of BerlinGermany,55.7,62.6,,,-6.9,-0.123877917,0.015345738,,,0.123877917
Florida Institute of TechnologyUnited States of America,63,62.4,,,0.6,0.00952381,9.07029E-05,,,0.00952381
Technion Israel Institute of TechnologyIsrael,60.6,61.9,,,-1.3,-0.021452145,0.000460195,,,0.021452145
"University of California, BerkeleyUnited States of America",58.5,61.9,,,-3.4,-0.058119658,0.003377895,,,0.058119658
Queen’s UniversityCanada,55.4,61.6,,,-6.2,-0.111913357,0.0125246,,,0.111913357
"University of California, Santa BarbaraUnited States of America",64.3,61.5,,,2.8,0.043545879,0.001896244,,,0.043545879
Simon Fraser UniversityCanada,61.4,61.4,,,0,0,0,,,0
Carleton UniversityCanada,61.1,61.3,,,-0.2,-0.003273322,1.07146E-05,,,0.003273322
University of IcelandIceland,59.1,61,,,-1.9,-0.0321489,0.001033552,,,0.0321489
Radboud University NijmegenNetherlands,61.6,60.9,,,0.7,0.011363636,0.000129132,,,0.011363636
University at BuffaloUnited States of America,57,60.6,,,-3.6,-0.063157895,0.00398892,,,0.063157895
University of FreiburgGermany,56.7,60.3,,,-3.6,-0.063492063,0.004031242,,,0.063492063
Goethe University FrankfurtGermany,55.6,60.2,,,-4.6,-0.082733813,0.006844884,,,0.082733813
Boston CollegeUnited States of America,54.6,60,,,-5.4,-0.098901099,0.009781427,,,0.098901099
Norwegian University of Science and TechnologyNorway,54.7,59.9,,,-5.2,-0.095063985,0.009037161,,,0.095063985
Uppsala UniversitySweden,57.5,59.6,,,-2.1,-0.036521739,0.001333837,,,0.036521739
"University of California, RiversideUnited States of America",61.6,59.5,,,2.1,0.034090909,0.00116219,,,0.034090909
"University of California, IrvineUnited States of America",56.1,59.2,,,-3.1,-0.055258467,0.003053498,,,0.055258467
Northeastern UniversityUnited States of America,54.7,58.7,,,-4,-0.073126143,0.005347433,,,0.073126143
Joseph Fourier UniversityFrance,57.3,58.6,,,-1.3,-0.022687609,0.000514728,,,0.022687609
"University of California, DavisUnited States of America",52.9,58.4,,,-5.5,-0.103969754,0.01080971,,,0.103969754
University of KonstanzGermany,57,58.3,,,-1.3,-0.022807018,0.00052016,,,0.022807018
University of GothenburgSweden,46.8,58.3,,,-11.5,-0.245726496,0.060381511,,,0.245726496
York UniversityCanada,59.7,58.2,,,1.5,0.025125628,0.000631297,,,0.025125628
Ulm UniversityGermany,54.1,58.2,,,-4.1,-0.075785582,0.005743454,,,0.075785582
University of TübingenGermany,53,58.2,,,-5.2,-0.098113208,0.009626201,,,0.098113208
University of Illinois at ChicagoUnited States of America,53.4,58.1,,,-4.7,-0.088014981,0.007746637,,,0.088014981
Lomonosov Moscow State UniversityRussian Federation,60.4,57.8,,,2.6,0.043046358,0.001852989,,,0.043046358
University of ManitobaCanada,43.4,57.8,,,-14.4,-0.331797235,0.110089405,,,0.331797235
Brown UniversityUnited States of America,37,57.8,,,-20.8,-0.562162162,0.316026297,,,0.562162162
Linköping UniversitySweden,50.9,57.7,,,-6.8,-0.133595285,0.0178477,,,0.133595285
Carnegie Mellon UniversityUnited States of America,59.3,57.1,,,2.2,0.037099494,0.001376372,,,0.037099494
Karlsruhe Institute of TechnologyGermany,60.1,56.7,,,3.4,0.056572379,0.003200434,,,0.056572379
Duke UniversityUnited States of America,50.5,56.5,,,-6,-0.118811881,0.014116263,,,0.118811881
Michigan State UniversityUnited States of America,55,56.4,,,-1.4,-0.025454545,0.000647934,,,0.025454545
