University,International Outlook-15,International Outlook-16,,,B2-C2,B2-C2/B2,,,,ABS
Indian Institute of Technology BombayIndia,19.5,17.7,19.5,17.7,1.8,0.092307692,0.00852071,,,0.092307692
Isfahan University of TechnologyIran,20,17.2,,,2.8,0.14,0.0196,,,0.14
Indian Institute of ScienceIndia,18.2,16.4,18.2,16.4,1.8,0.098901099,0.009781427,,,0.098901099
Sharif University of TechnologyIran,19.4,15.9,,,3.5,0.180412371,0.032548624,,,0.180412371
Panjab UniversityIndia,29.2,14.1,29.2,14.1,15.1,0.517123288,0.267416495,,,0.517123288
Indian Institute of Technology RoorkeeIndia,16.6,13.9,16.6,13.9,2.7,0.162650602,0.026455218,,,0.162650602
,,,,,,,,,,
,,,,,,SUM,6.577722941,,SUM,37.08612685
,,,,,,SUM/N,0.016779905,,V,0.094607466
,,,,,,V,0.129537274,,,
