University,Overall-15,Overall-16,,,B2-C2,B2-C2/B2,,,,ABS
University of North Carolina at Chapel HillUnited States of America,65.9,66.4,,,-0.5,-0.007587253,5.75664E-05,,,0.007587253
Boston UniversityUnited States of America,63.6,66.1,,,-2.5,-0.039308176,0.001545133,,,0.039308176
University of MinnesotaUnited States of America,65.9,65.9,,,0,0,0,,,0
Delft University of TechnologyNetherlands,59.2,65.9,,,-6.7,-0.113175676,0.012808734,,,0.113175676
Leiden UniversityNetherlands,61.3,65.7,,,-4.4,-0.07177814,0.005152101,,,0.07177814
University of Southern CaliforniaUnited States of America,58.4,65.5,,,-7.1,-0.121575342,0.014780564,,,0.121575342
University of BristolUnited Kingdom,58.9,64.3,,,-5.4,-0.091680815,0.008405372,,,0.091680815
Durham UniversityUnited Kingdom,56.9,63.6,,,-6.7,-0.117750439,0.013865166,,,0.117750439
Erasmus University RotterdamNetherlands,59.1,63.5,,,-4.4,-0.074450085,0.005542815,,,0.074450085
Free University of BerlinGermany,57.6,63.2,,,-5.6,-0.097222222,0.00945216,,,0.097222222
Monash UniversityAustralia,56.9,62.5,,,-5.6,-0.098418278,0.009686157,,,0.098418278
University of GroningenNetherlands,53.1,62.4,,,-9.3,-0.175141243,0.030674455,,,0.175141243
Pennsylvania State UniversityUnited States of America,62.9,62.3,,,0.6,0.009538951,9.09916E-05,,,0.009538951
University of GlasgowUnited Kingdom,55.3,61.9,,,-6.6,-0.119349005,0.014244185,,,0.119349005
University of HelsinkiFinland,53.9,61.9,,,-8,-0.148423006,0.022029389,,,0.148423006
University of TübingenGermany,53.4,61.7,,,-8.3,-0.155430712,0.024158706,,,0.155430712
University of PittsburghUnited States of America,56.1,61.5,,,-5.4,-0.096256684,0.009265349,,,0.096256684
University of WarwickUnited Kingdom,53.9,61.3,,,-7.4,-0.13729128,0.018848896,,,0.13729128
Uppsala UniversitySweden,54.6,61.2,,,-6.6,-0.120879121,0.014611762,,,0.120879121
University of New South WalesAustralia,53.7,61,,,-7.3,-0.13594041,0.018479795,,,0.13594041
University of CopenhagenDenmark,49,61,,,-12,-0.244897959,0.05997501,,,0.244897959
University of FreiburgGermany,48.3,60.7,,,-12.4,-0.256728778,0.065909666,,,0.256728778
Seoul National UniversitySouth Korea,64.8,60.5,,,4.3,0.066358025,0.004403387,,,0.066358025
University of St AndrewsUnited Kingdom,53.6,60.4,,,-6.8,-0.126865672,0.016094899,,,0.126865672
Vanderbilt UniversityUnited States of America,55.2,60.1,,,-4.9,-0.088768116,0.007879778,,,0.088768116
Kyoto UniversityJapan,62.8,59.9,,,2.9,0.046178344,0.002132439,,,0.046178344
Maastricht UniversityNetherlands,54.3,59.9,,,-5.6,-0.103130755,0.010635953,,,0.103130755
Ohio State UniversityUnited States of America,60.7,59.7,,,1,0.016474465,0.000271408,,,0.016474465
Emory UniversityUnited States of America,55.5,59.7,,,-4.2,-0.075675676,0.005726808,,,0.075675676
Lund UniversitySweden,52.9,59.7,,,-6.8,-0.128544423,0.016523669,,,0.128544423
University of ExeterUnited Kingdom,49.7,59.5,,,-9.8,-0.197183099,0.038881174,,,0.197183099
McMaster UniversityCanada,55.3,58.8,,,-3.5,-0.063291139,0.004005768,,,0.063291139
Georgetown UniversityUnited States of America,47.7,58.8,,,-11.1,-0.232704403,0.054151339,,,0.232704403
University of BonnGermany,46.1,58.8,,,-12.7,-0.275488069,0.075893676,,,0.275488069
University of SheffieldUnited Kingdom,52.7,58.6,,,-5.9,-0.111954459,0.012533801,,,0.111954459
Queen Mary University of LondonUnited Kingdom,53.8,58.5,,,-4.7,-0.087360595,0.007631874,,,0.087360595
University of GöttingenGermany,61,58,,,3,0.049180328,0.002418705,,,0.049180328
Michigan State UniversityUnited States of America,57.3,58,,,-0.7,-0.012216405,0.000149241,,,0.012216405
École PolytechniqueFrance,62.2,57.9,,,4.3,0.069131833,0.00477921,,,0.069131833
Rice UniversityUnited States of America,59.8,57.9,,,1.9,0.031772575,0.001009497,,,0.031772575
University of BaselSwitzerland,58.4,57.9,,,0.5,0.008561644,7.33017E-05,,,0.008561644
University of ZurichSwitzerland,53.9,57.8,,,-3.9,-0.072356215,0.005235422,,,0.072356215
Dartmouth CollegeUnited States of America,50,57.8,,,-7.8,-0.156,0.024336,,,0.156
"University of California, IrvineUnited States of America",56.4,57.7,,,-1.3,-0.023049645,0.000531286,,,0.023049645
University of Notre DameUnited States of America,56.5,57.6,,,-1.1,-0.019469027,0.000379043,,,0.019469027
University of Western AustraliaAustralia,49.1,57.5,,,-8.4,-0.17107943,0.029268171,,,0.17107943
University of SouthamptonUnited Kingdom,51.9,57.2,,,-5.3,-0.102119461,0.010428384,,,0.102119461
RWTH Aachen UniversityGermany,49.2,57.2,,,-8,-0.162601626,0.026439289,,,0.162601626
Scuola Normale Superiore di PisaItaly,61.9,57.1,,,4.8,0.077544426,0.006013138,,,0.077544426
Purdue UniversityUnited States of America,54,57,,,-3,-0.055555556,0.00308642,,,0.055555556
Pierre and Marie Curie UniversityFrance,53.9,57,,,-3.1,-0.057513915,0.00330785,,,0.057513915
University of MontrealCanada,53.4,57,,,-3.6,-0.06741573,0.004544881,,,0.06741573
Pohang University of Science and TechnologySouth Korea,61.1,56.9,,,4.2,0.068739771,0.004725156,,,0.068739771
"University of Maryland, College ParkUnited States of America",51.9,56.7,,,-4.8,-0.092485549,0.008553577,,,0.092485549
Ghent UniversityBelgium,56.2,56.6,,,-0.4,-0.007117438,5.06579E-05,,,0.007117438
University of BirminghamUnited Kingdom,50.2,56.2,,,-6,-0.119521912,0.014285488,,,0.119521912
University of Cape TownSouth Africa,52.6,56.1,,,-3.5,-0.066539924,0.004427561,,,0.066539924
University of FloridaUnited States of America,52.5,56.1,,,-3.6,-0.068571429,0.004702041,,,0.068571429
University of BernSwitzerland,51.9,56.1,,,-4.2,-0.080924855,0.006548832,,,0.080924855
"Rutgers, the State University of New JerseyUnited States of America",50.5,56,,,-5.5,-0.108910891,0.011861582,,,0.108910891
Radboud University NijmegenNetherlands,51,55.9,,,-4.9,-0.096078431,0.009231065,,,0.096078431
Tufts UniversityUnited States of America,56.4,55.8,,,0.6,0.010638298,0.000113173,,,0.010638298
University of Colorado BoulderUnited States of America,55.1,55.8,,,-0.7,-0.012704174,0.000161396,,,0.012704174
"Royal Holloway, University of LondonUnited Kingdom",53,55.7,,,-2.7,-0.050943396,0.00259523,,,0.050943396
Lancaster UniversityUnited Kingdom,52,55.6,,,-3.6,-0.069230769,0.004792899,,,0.069230769
University of GenevaSwitzerland,53.8,55.4,,,-1.6,-0.029739777,0.000884454,,,0.029739777
University of YorkUnited Kingdom,53.4,55.4,,,-2,-0.037453184,0.001402741,,,0.037453184
Case Western Reserve UniversityUnited States of America,53.2,55.3,,,-2.1,-0.039473684,0.001558172,,,0.039473684
University of LeedsUnited Kingdom,50.4,55.3,,,-4.9,-0.097222222,0.00945216,,,0.097222222
University of OsloNorway,46.7,55.1,,,-8.4,-0.17987152,0.032353764,,,0.17987152
Stockholm UniversitySweden,54.6,54.8,,,-0.2,-0.003663004,1.34176E-05,,,0.003663004
University of AlbertaCanada,52.6,54.7,,,-2.1,-0.039923954,0.001593922,,,0.039923954
Chinese University of Hong KongHong Kong,52.4,54.5,,,-2.1,-0.040076336,0.001606113,,,0.040076336
Karlsruhe Institute of TechnologyGermany,48.1,54.5,,,-6.4,-0.133056133,0.017703935,,,0.133056133
University of SussexUnited Kingdom,53.6,54.4,,,-0.8,-0.014925373,0.000222767,,,0.014925373
University of MassachusettsUnited States of America,56.1,54.3,,,1.8,0.032085561,0.001029483,,,0.032085561
University of ViennaAustria,46.9,54.2,,,-7.3,-0.15565032,0.024227022,,,0.15565032
University of NottinghamUnited Kingdom,47.8,54.1,,,-6.3,-0.131799163,0.017371019,,,0.131799163
"University of California, Santa CruzUnited States of America",53.7,53.9,,,-0.2,-0.003724395,1.38711E-05,,,0.003724395
University of LausanneSwitzerland,51.4,53.9,,,-2.5,-0.048638132,0.002365668,,,0.048638132
University of VirginiaUnited States of America,52.1,53.3,,,-1.2,-0.02303263,0.000530502,,,0.02303263
Korea Advanced Institute of Science and Technology (KAIST)South Korea,64.5,53,,,11.5,0.178294574,0.031788955,,,0.178294574
Aarhus UniversityDenmark,49.9,52.9,,,-3,-0.06012024,0.003614443,,,0.06012024
University of AdelaideAustralia,48.2,52.9,,,-4.7,-0.097510373,0.009508273,,,0.097510373
University of East AngliaUnited Kingdom,45.9,52.9,,,-7,-0.152505447,0.023257911,,,0.152505447
Sungkyunkwan University (SKKU)South Korea,50.2,52.8,,,-2.6,-0.051792829,0.002682497,,,0.051792829
VU University AmsterdamNetherlands,51.4,52.5,,,-1.1,-0.021400778,0.000457993,,,0.021400778
KTH Royal Institute of TechnologySweden,52.5,52.4,,,0.1,0.001904762,3.62812E-06,,,0.001904762
University of LiverpoolUnited Kingdom,49.1,52.2,,,-3.1,-0.063136456,0.003986212,,,0.063136456
University of RochesterUnited States of America,52.7,52.1,,,0.6,0.011385199,0.000129623,,,0.011385199
TU Dresden Germany,51.6,52.1,,,-0.5,-0.009689922,9.38946E-05,,,0.009689922
Trinity College DublinRepublic of Ireland,51.2,52,,,-0.8,-0.015625,0.000244141,,,0.015625
University of MiamiUnited States of America,48,51.9,,,-3.9,-0.08125,0.006601563,,,0.08125
Lomonosov Moscow State UniversityRussian Federation,46,51.9,,,-5.9,-0.12826087,0.016450851,,,0.12826087
University of ArizonaUnited States of America,56.5,51.7,,,4.8,0.084955752,0.00721748,,,0.084955752
Pompeu Fabra UniversitySpain,48.1,51.2,,,-3.1,-0.064449064,0.004153682,,,0.064449064
Yeshiva UniversityUnited States of America,46.7,51.2,,,-4.5,-0.096359743,0.0092852,,,0.096359743
Technical University of DenmarkDenmark,52.7,51.1,,,1.6,0.030360531,0.000921762,,,0.030360531
"University of California, RiversideUnited States of America",50.1,51.1,,,-1,-0.01996008,0.000398405,,,0.01996008
National Taiwan UniversityTaiwan,49.3,51.1,,,-1.8,-0.036511156,0.001333065,,,0.036511156
Université Catholique de LouvainBelgium,47.8,51.1,,,-3.3,-0.069037657,0.004766198,,,0.069037657
University of LeicesterUnited Kingdom,45.7,51.1,,,-5.4,-0.118161926,0.013962241,,,0.118161926
University of AucklandNew Zealand,47.5,51,,,-3.5,-0.073684211,0.005429363,,,0.073684211
University of AberdeenUnited Kingdom,47.1,51,,,-3.9,-0.082802548,0.006856262,,,0.082802548
Eindhoven University of TechnologyNetherlands,50.5,50.6,,,-0.1,-0.001980198,3.92118E-06,,,0.001980198
University of UtahUnited States of America,48.6,50.1,,,-1.5,-0.030864198,0.000952599,,,0.030864198
Brandeis UniversityUnited States of America,50.3,49.9,,,0.4,0.007952286,6.32389E-05,,,0.007952286
Paris-Sud UniversityFrance,52.8,49.8,,,3,0.056818182,0.003228306,,,0.056818182
Arizona State UniversityUnited States of America,46.9,49.7,,,-2.8,-0.059701493,0.003564268,,,0.059701493
Boston CollegeUnited States of America,52.5,49.6,,,2.9,0.055238095,0.003051247,,,0.055238095
University of AntwerpBelgium,47.9,49.6,,,-1.7,-0.035490605,0.001259583,,,0.035490605
Texas A&M UniversityUnited States of America,50.9,49.4,,,1.5,0.029469548,0.000868454,,,0.029469548
"St George’s, University of LondonUnited Kingdom",46,49.2,,,-3.2,-0.069565217,0.004839319,,,0.069565217
Paris Diderot University – Paris 7France,47,48.9,,,-1.9,-0.040425532,0.001634224,,,0.040425532
,,,,,,,,,,
,,,,,,,1.669652848,,,13.49320765
,,,,,,,0.009486664,,V,0.076665953
,,,,,,V,0.097399507,,,
