Rank,Overall,University
1,100,Massachusetts Institute of Technology (MIT)
2,98.7,Harvard University
3,98.6,University of Cambridge
3,98.6,Stanford University
5,97.9,California Institute of Technology (Caltech)
6,97.7,University of Oxford
7,97.2,UCL (University College London)
8,96.1,Imperial College London
9,95.5,ETH Zurich - Swiss Federal Institute of Technology
10,94.6,University of Chicago
11,94.4,Princeton University
12,94.2,National University of Singapore (NUS)
13,93.9,"Nanyang Technological University, Singapore (NTU)"
14,93.8,EPFL (Ecole Polytechnique Fédérale de Lausanne)
15,92.2,Yale University
16,91.9,Johns Hopkins University
17,91.8,Cornell University
18,91.5,University of Pennsylvania
19,91,Kings College London
19,91,The Australian National University
21,90.8,The University of Edinburgh
22,89.7,Columbia University
23,89.2,"Ecole normale supérieure, Paris"
24,88.6,McGill University
25,88.5,Tsinghua University
26,88.4,"University of California, Berkeley (UCB)"
27,88.2,"University of California, Los Angeles (UCLA)"
28,88,The Hong Kong University of Science and Technology
29,87.9,Duke University
30,87.8,The University of Hong Kong
30,87.8,University of Michigan
32,87.7,Northwestern University
33,87.2,The University of Manchester
34,87.1,University of Toronto
35,86.2,London School of Economics and Political Science (LSE)
36,85.3,Seoul National University
37,85,University of Bristol
38,84.9,Kyoto University
39,84.8,The University of Tokyo
40,83.8,Ecole Polytechnique
41,83.7,Peking University
42,83.1,The University of Melbourne
43,82.6,KAIST - Korea Advanced Institute of Science & Technology
44,82.5,"University of California, San Diego (UCSD)"
45,81.9,The University of Sydney
46,81.8,The University of New South Wales (UNSW Australia)
46,81.8,The University of Queensland
48,81.6,The University of Warwick
49,81.5,Brown University
50,81.2,University of British Columbia
51,81.1,The Chinese University of Hong Kong
51,81.1,Fudan University
53,80.5,New York University (NYU)
54,80.3,University of Wisconsin-Madison
55,80.2,University of Amsterdam
56,79.4,Tokyo Institute of Technology
57,79.2,City University of Hong Kong
58,78.3,Osaka University
59,77.5,University of Illinois at Urbana-Champaign
60,77.3,Technische Universität München
61,77,Durham University
62,76.8,Carnegie Mellon University
62,76.8,University of Glasgow
64,76.5,Delft University of Technology
65,76.3,University of Washington
66,76.1,Ruprecht-Karls-Universitaet Heidelberg
67,76,Monash University
68,75.9,University of St Andrews
69,75.7,University of Copenhagen
70,75.4,The University of Nottingham
70,75.4,Lund University
70,75.4,National Taiwan University (NTU)
70,75.4,Shanghai Jiao Tong University
74,75.2,Tohoku University
75,74.7,Ludwig-Maximilians-Universität München
76,74.6,University of Birmingham
77,74.5,University of Texas at Austin
78,74.3,Trinity College Dublin
79,73.7,"University of North Carolina, Chapel Hill"
80,73.6,The University of Sheffield
81,72.8,University of Southampton
82,72.4,The University of Auckland
82,72.4,KU Leuven
84,72.3,Georgia Institute of Technology
85,72.2,University of Zurich
85,72.2,"University of California, Davis"
87,72,University of Leeds
87,72,Pohang University of Science And Technology (POSTECH)
89,71.2,University of Geneva
89,71.2,Purdue University
91,71.1,Boston University
92,70.9,KTH Royal Institute of Technology
93,70.8,"KIT, Karlsruhe Institute of Technology"
94,70.7,Utrecht University
95,70.3,Leiden University
96,70.1,University of Alberta
96,70.1,University of Helsinki
98,69.4,The University of Western Australia
99,69.3,The Ohio State University
100,68.8,University of Groningen
101,68.7,Pennsylvania State University
102,68.4,Uppsala University
103,68.3,University of York
104,68.2,Korea University
105,67.9,Yonsei University
106,67.8,Rice University
107,67.4,Aarhus University
108,67.2,Lomonosov Moscow State University
109,67,Queen Mary University of London
110,66.9,Washington University in St. Louis
110,66.9,Zhejiang University
112,66.8,Technical University of Denmark
113,66.7,The University of Adelaide
113,66.7,University of Science and Technology of China
115,66.6,Université de Montréal
116,66.3,The Hong Kong Polytechnic University
117,66.2,Eindhoven University of Technology
118,66.1,Sungkyunkwan University (SKKU)
119,65.7,Freie Universitaet Berlin
120,65.6,Nagoya University
121,65.5,Lancaster University
122,65,Cardiff University
123,64.9,University of Minnesota
124,64.6,Universidad de Buenos Aires (UBA)
124,64.6,Ghent University
126,64.5,Erasmus University Rotterdam
126,64.5,Humboldt-Universität zu Berlin
126,64.5,"University of Maryland, College Park"
129,64.3,"University of California, Santa Barbara (UCSB)"
130,64.2,University of Southern California
130,64.2,Nanjing University
132,64,Chalmers University of Technology
133,63.5,Albert-Ludwigs-Universitaet Freiburg
133,63.5,University of Pittsburgh
135,63.4,Wageningen University
135,63.4,University of Oslo
137,63.2,University of Aberdeen
137,63.2,Université Pierre et Marie Curie (UPMC)
139,63.1,University of Basel
139,63.1,Aalto University
139,63.1,Hokkaido University
142,62.7,Kyushu University
143,62.4,University of Lausanne
143,62.4,Universidade de São Paulo
145,62.2,RWTH Aachen University
146,62.1,Universiti Malaya (UM)
147,62,Indian Institute of Science (IISc) Bangalore
148,61.8,The Hebrew University of Jerusalem
149,61.5,Université Catholique de Louvain (UCL)
149,61.5,McMaster University
151,61.1,University of Liverpool
152,60.9,University of Waterloo
153,60.8,University of Vienna
154,60.5,University College Dublin
155,60.2,National Tsing Hua University
156,60.1,Ecole Centrale de Paris
156,60.1,University of Reading
158,60,Dartmouth College
159,59.8,University of Bath
159,59.7,Texas A&M University
160,59.6,Universidad Nacional Autónoma de México (UNAM)
161,59.5,The University of Exeter
162,59.4,Newcastle University
163,59.2,"University of California, Irvine"
164,58.9,Michigan State University
165,58.8,Emory University
166,58.6,University of Bern
166,58.6,University of Barcelona
168,58.5,Georg-August-University Goettingen
169,58.2,Maastricht University
170,58.1,Pontificia Universidad Católica de Chile (UC)
171,57.8,University of Cape Town
172,57.7,University of Virginia
173,57,University of Otago
173,57,Eberhard Karls Universität Tübingen
175,56.9,University of Colorado Boulder
176,56.8,Vrije Universiteit Amsterdam
177,56.7,Radboud University
178,56.6,Technische Universität Berlin
179,56.4,Indian Institute of Technology Delhi (IITD)
180,56.1,University of Florida
181,55.9,University of Bergen
182,55.8,Queen's University Belfast
182,55.8,National Chiao Tung University
182,55.8,Stockholm University
185,55.7,"University of Illinois, Chicago (UIC)"
186,55.5,Universidad Autonoma de Madrid
187,55.6,University of Sussex
187,55.2,Politecnico di Milano
188,55.1,University of Twente
188,55.1,École Normale Supérieure de Lyon
190,54.8,University of Rochester
190,54.8,Universitat Autònoma de Barcelona
192,54.6,The University of Western Ontario
193,54.4,Hanyang University
194,54.2,Vrije Universiteit Brussel (VUB)
195,54.1,University of Notre Dame
195,54.1,Universidade estadual de Campinas(Unicamp)
197,53.9,Vienna University of Technology
198,53.8,Technion - Israel Institute of Technology
199,53.5,King Fahd University of Petroleum & Minerals
202,52.8,Indian Institute of Technology Bombay (IITB)
203,52.7,Tel Aviv University
204,52.5,University of Calgary
204,52.5,Alma Mater Studiorum - University of Bologna
206,52.4,Queen`s University at Kingston
207,52,Universite libre de Bruxelles
208,51.9,University of Antwerp
209,51.6,Universidad de Chile
210,51.4,Rheinische Friedrich-Wilhelms-Universitt Bonn
211,51.2,University of Canterbury
212,51.1,Waseda University
213,51,Georgetown University
213,51,Sapienza University of Rome
215,50.8,Case Western Reserve University
216,50.7,Vanderbilt University
216,50.7,The University of Arizona
218,50.5,University of Technology Sydney
219,50.4,University Hamburg
219,50.4,University of Tsukuba
219,50.4,Keio University
222,50.3,Université Paris-Sorbonne (Paris IV)
223,50.2,Sciences Po Paris
224,50.1,National Cheng Kung University
225,50,Simon Fraser University
226,49.7,University Complutense Madrid
227,49.6,Technische Universität Dresden
228,49.5,Loughborough University
229,49.4,Macquarie University
229,49.4,Victoria University of Wellington
231,49.3,Royal Holloway University of London
232,49.2,Beijing Normal University
233,49.1,University College Cork
233,49.1,University of Turku
235,48.9,University of Leicester
235,48.9,Université Joseph Fourier - Grenoble 1
237,48.7,King Saud University
238,48.6,Instituto Tecnológico y de Estudios Superiores de Monterrey
239,48.4,University of East Anglia (UEA)
240,48.2,Université Paris 1 Panthéon-Sorbonne
241,48.1,Université de Strasbourg
241,48.1,Université Paris-Sud
243,48,University of Wollongong
243,48,Universität Frankfurt am Main
243,48,University of Massachusetts Amherst
246,47.7,Technische Universität Darmstadt
247,47.6,University of Surrey
247,47.6,University of Gothenburg
249,47.5,University of Strathclyde
249,47.5,Arizona State University
251,47,Universität Stuttgart
252,46.9,Tufts University
253,46.8,Chulalongkorn University
254,46.6,Norwegian University of Science And Technology
254,46.6,Indian Institute of Technology Madras (IITM)
256,46.4,"The University of Newcastle, Australia (UoN)"
256,46.4,Saint-Petersburg State University
256,46.4,Westfälische Wilhelms-Universitat Münster
259,46.2,Ben Gurion University of The Negev
260,46.1,National Taiwan University of Science and Technology (Taiwan Tech)
261,46,University of Dundee
261,46,Université Paris Diderot - Paris 7
263,45.8,Queensland University of Technology (QUT)
263,45.8,Indiana University Bloomington
265,45.5,Université de Liège
265,45.5,University of Navarra
265,45.5,"University of California, Riverside"
268,45.4,American University of Beirut (AUB)
269,45.2,"Rutgers, The State University of New Jersey, New Brunswick"
269,45.2,"University of California, Santa Cruz"
271,45,"National University of Ireland, Galway"
271,45,Indian Institute of Technology Kanpur (IITK)
273,44.9,RMIT University
273,44.9,Wuhan University
275,44.8,"SOAS, University of London"
275,44.8,Al-Farabi Kazakh National University
277,44.7,Dalhousie University
277,44.7,Nankai University
279,44.6,Charles University in Prague
280,44.5,University of Miami
281,44.3,Hong Kong Baptist University
282,44.2,Boston College
283,43.9,Universidad de los Andes
284,43.8,Curtin University
284,43.8,University of Ottawa
286,43.7,Linköping University
286,43.7,"Indian Institute of Technology, Kharagpur"
288,43.6,University of South Australia
289,43.4,Universiti Sains Malaysia (USM)
290,43.1,"Birkbeck, University of London"
290,43.1,Universidad Nacional de Colombia
291,43,Harbin Institute of Technology
292,42.9,Friedrich-Alexander-Universität Erlangen-Nürnberg
293,42.8,Ecole Normale Supérieure de Cachan
293,42.8,Tilburg University
295,42.6,Universität Innsbruck
295,42.6,Universitat Pompeu Fabra
295,42.6,Kyung Hee University
295,42.6,Mahidol University
299,42.5,Universitat Politècnica de Catalunya
301,42.4,City University London
302,42.3,Stellenbosch University
303,41.9,University of Essex
303,41.9,King Abdulaziz University (KAU)
303,41.9,Universiti Teknologi Malaysia
306,41.8,University of Milan
307,41.7,Sun Yat-sen University
308,41.6,University of Porto
309,41.4,North Carolina State University
309,41.4,Universidad Austral
309,41.4,Università di Padova
312,41.3,University of Iowa
312,41.3,Universiti Kebangsaan Malaysia (UKM)
314,41.1,École des Ponts ParisTech
314,41.1,Politecnico di Torino
