Column 2,Column
Università Cattolica del Sacro Cuore,451-460
University of Genoa,451-460
University of Delaware,451-460
Bandung Institute of Technology (ITB),461-470
Bogaziçi Üniversitesi,461-470
"Goldsmiths, University of London",461-470
National Sun Yat-sen University,461-470
Renmin (People’s) University of China,461-470
Universidad de Costa Rica,461-470
Universidad de Santiago de Chile (USACH),461-470
University of Cincinnati,461-470
University of Guelph,461-470
University of Tartu,461-470
American University,471-480
Aristotle University of Thessaloniki,471-480
Auckland University of Technology (AUT),471-480
Bangor University,471-480
Charles Darwin University,471-480
Kansas State University,471-480
"Kingston University, London",471-480
Universitat de Valencia,471-480
Université Montpellier 1,471-480
University of Pretoria,471-480
Concordia University,481-490
Drexel University,481-490
Lincoln University,481-490
National Taiwan Normal University,481-490
National University of Sciences And Technology (NUST) Islamabad,481-490
Swinburne University of Technology,481-490
Tongji University,481-490
Universidad de Zaragoza,481-490
Universidade Federal de Minas Gerais,481-490
Universität Duisburg-Essen,481-490
University of Kentucky,481-490
University of Oklahoma,481-490
Al-Imam Mohamed Ibn Saud Islamic University,491-500
Harbin Institute of Technology,491-500
Peoples' Friendship University of Russia,491-500
UNESP,491-500
Université Nice Sophia-Antipolis,491-500
University of Crete,491-500
University of Milano-Bicocca,491-500
University of Nebraska - Lincoln,491-500
Ateneo de Manila University,501-550
Beijing Institute of Technology,501-550
Carleton University,501-550
Chang Gung University,501-550
Chung-Ang University(CAU),501-550
City University of New York,501-550
College of William & Mary,501-550
Dublin Institute of Technology,501-550
Huazhong University of Science and Technology,501-550
International Islamic University Malaysia (IIUM),501-550
Johannes Kepler University Linz,501-550
Justus-Liebig-University Giessen,501-550
Kanazawa University,501-550
Keele University,501-550
Koc University,501-550
Louisiana State University,501-550
National and Kapodistrian University of Athens,501-550
Higher School of Economics (HSE),501-550
National Technical University of Athens,501-550
Okayama University,501-550
Sabanci University,501-550
Southeast University,501-550
Sultan Qaboos University,501-550
Technische Universität Braunschweig,501-550
TU Dortmund University,501-550
The Catholic University of Korea,501-550
Tianjin University,501-550
Tokyo Metropolitan University,501-550
Universidad de Antioquia,501-550
University of Granada,501-550
Universidad de Palermo (UP),501-550
Universidad Nacional de Córdoba - UNC,501-550
Universidade de Santiago de Compostela,501-550
Universidade Federal do Rio Grande Do Sul,501-550
University of Siena,501-550
University of Trieste,501-550
Universitas Gadjah Mada,501-550
University of  Lorraine,501-550
Université de Rennes 1,501-550
University of Alabama,501-550
University of Bradford,501-550
University of Hull,501-550
University of Kwazulu-Natal,501-550
University of Limerick,501-550
University of South Florida,501-550
University of Stirling,501-550
University of Szeged,501-550
University of Vermont,501-550
Ural Federal University named after Boris Yeltsin (merger: Ural State and Ural State Technical University),501-550
Xiamen University,501-550
Yokohama City University,501-550
Aberystwyth University,551-600
Belarus State University,551-600
Cairo University,551-600
Chiang Mai University,551-600
Chonbuk National University,551-600
Eötvös Lorànd University,551-600
Inha University,551-600
Instituto Politécnico Nacional (IPN),551-600
Istanbul Technical University,551-600
Kumamoto University,551-600
Kyungpook National University,551-600
Lehigh University,551-600
"Lingnan University, Hong Kong",551-600
Masaryk University,551-600
Michigan Technological University,551-600
Murdoch University,551-600
Nagasaki University,551-600
National Chung Hsing University,551-600
National Taipei University of Technology,551-600
Maynooth University,551-600
New Jersey Institute of Technology (NJIT),551-600
The New School,551-600
Osaka City University,551-600
Pontificia Universidad Católica del Perú,551-600
Pontificia Universidade Católica de São Paulo (PUC -SP),551-600
Pontifícia Universidade Católica do Rio de Janeiro,551-600
Qatar University,551-600
Rhodes University,551-600
"Rutgers - The State University of New Jersey, Newark",551-600
Temple University,551-600
Tokyo University of Agriculture and Technology,551-600
National Research Tomsk Polytechnic University,551-600
Tomsk State University,551-600
Umm Al-Qura University,551-600
Universidad Católica Andres Bello,551-600
Universidad Central de Venezuela - UCV,551-600
Universidad de Belgrano,551-600
Universidad de Concepción,551-600
Universidad de Sevilla,551-600
Universidade Católica Portuguesa - UCP,551-600
Universidade de Brasilia,551-600
University of Houston,551-600
University of Lisbon,551-600
University of Ljubljana,551-600
University of New Hampshire,551-600
University of Oregon,551-600
University of Seoul,551-600
University of South Carolina,551-600
Virginia Commonwealth University,551-600
Abu Dhabi University,601-650
Ain Shams University,601-650
Ajou University,601-650
De La Salle University,601-650
Dongguk University,601-650
George Mason University,601-650
Gifu University,601-650
Hacettepe University,601-650
Howard University,601-650
Indian Institute of Technology Guwahati (IITG),601-650
Jilin University,601-650
Kazan (Volga region) Federal University,601-650
King Khalid University,601-650
Loyola University Chicago,601-650
Martin-Luther-Universität Halle-Wittenberg,601-650
Memorial University of Newfoundland,601-650
Missouri S&T,601-650
National Chengchi University,601-650
"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",601-650
Niigata University,601-650
Oklahoma State University,601-650
Osaka Prefecture University,601-650
Paris Lodron University of Salzburg,601-650
Sharif University of Technology,601-650
Smith College,601-650
Southern Federal University,601-650
Syracuse University,601-650
Thammasat University,601-650
Universidad de Guadalajara (UDG),601-650
Universidad de la República (UdelaR),601-650
Universidad Iberoamericana (UIA),601-650
Universidad Torcuato Di Tella,601-650
Universidade Federal da Bahia,601-650
Universidade Federal de São Carlos - (UFSCAR),601-650
Universidade Federal de Viçosa-UFV,601-650
Perugia University,601-650
Université de Nantes,601-650
Université Saint-Joseph de Beyrouth,601-650
University at Albany SUNY,601-650
University of Canberra,601-650
University of Debrecen,601-650
University of Johannesburg,601-650
University of Mumbai,601-650
University of Patras,601-650
University of Tehran,601-650
University of Ulsan,601-650
Ulster University,601-650
University of Zagreb,601-650
Vilnius University,601-650
Warsaw University of Technology,601-650
Worcester Polytechnic Institute,601-650
Al Azhar University,651-700
Bar-Ilan University,651-700
Brno University of Technology,651-700
Chonnam National University,651-700
Chungnam National University,651-700
Clark University,651-700
Clarkson University,651-700
Corvinus University of Budapest,651-700
Gunma University,651-700
Hallym University,651-700
Instituto Tecnológico Autónomo de México (ITAM),651-700
Istanbul University,651-700
Jordan University of Science & Technology,651-700
Kasetsart University,651-700
Kazakh-British Technical University,651-700
Khazar University,651-700
London Metropolitan University,651-700
Middlesex University,651-700
Pontificia Universidad Católica de Valparaíso,651-700
Pontificia Universidade Católica do Rio Grande do Sul (PUCRS),651-700
Qafqaz University,651-700
Ritsumeikan University,651-700
Shandong University,651-700
University of St. Kliment Ohridski,651-700
Auezov South Kazakhstan State University (SKSU),651-700
Southern Methodist University,651-700
Universidad Adolfo Ibàñez,651-700
Universidad Autónoma del Estado de México (UAEMex),651-700
Universidad Autónoma Metropolitana (UAM),651-700
Universidad de Alcalá,651-700
Universidad Nacional Costa Rica,651-700
Universidad Nacional de Mar del Plata,651-700
Universidad Peruana Cayetano Heredia,651-700
Universidad Simón Bolívar Venezuela,651-700
Universidade Federal de Santa Catarina,651-700
Universidade Federal do Paraná (UFPR),651-700
Universidade Federal Fluminense,651-700
University of Modena and Reggio Emilia,651-700
Université Lumière Lyon 2,651-700
Université Toulouse 1 Capitole,651-700
University of Denver,651-700
"University of Economics, Prague",651-700
University of Hertfordshire,651-700
Plymouth University,651-700
University of Salford,651-700
University of Science and Technology Beijing,651-700
Western Sydney University,651-700
Yamaguchi University,651-700
Yokohama National University,651-700
Airlangga University,701+
Alexandria University,701+
Alexandru Ioan Cuza University,701+
Alpen-Adria-Universitaet Klagenfurt,701+
Aoyama Gakuin University,701+
Athens University of Economics and Business,701+
Auburn University,701+
Babes-Bolyai University,701+
Baku State University,701+
Baylor University,701+
BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,701+
Benemérita Universidad Autónoma de Puebla,701+
Binghamton University SUNY,701+
Bogor Agricultural University,701+
Brigham Young University,701+
Clemson University,701+
Coventry University,701+
Cukurova University,701+
Diponegoro University,701+
Donetsk National University,701+
Doshisha University,701+
Karaganda State University named after academician E.A.Buketov,701+
Far Eastern Federal University,701+
Fordham University,701+
Georgia State University,701+
Kagoshima University,701+
Kaunas University of Technology,701+
Kazakh Ablai khan University of International Relations and World Languages,701+
Kazakh National Pedagogical University named after Abay,701+
Kazakh National Technical University named after K.I.Satpaev,701+
Khon Kaen University,701+
King Faisal University,701+
King Mongkut's University of Technology Thonburi,701+
Kuwait University,701+
University of Lodz,701+
Manchester Metropolitan University,701+
Marquette University,701+
Miami University,701+
Lobachevsky University,701+
"National Technical University  ""Kharkiv Polytechnic Institute""",701+
Nicolaus Copernicus University,701+
Northumbria University at Newcastle,701+
Nottingham Trent University,701+
Ochanomizu University,701+
Ohio University,701+
Plekhanov Russian University of Economics,701+
Pontificia Universidad Catolica del Ecuador,701+
Prince of Songkla University,701+
Ryerson University,701+
JSC  “ S.Seifullin Kazakh Agro Technical University”,701+
Saitama University,701+
Institute of Technology Sepuluh Nopember,701+
Shinshu University,701+
Stevens Institute of Technology,701+
Robert Gordon University,701+
Tokai University,701+
Universidad ANAHUAC,701+
Universidad Austral de Chile,701+
Universidad Autonoma de Nuevo Leon (UANL),701+
Universidad de la Habana,701+
Universidad de La Sabana,701+
Universidad de las Américas Puebla (UDLAP),701+
Universidad de los Andes Mérida,701+
University of Murcia,701+
Universidad de Puerto Rico,701+
Universidad San Francisco de Quito (USFQ),701+
Universidad de Talca,701+
Universidad del Norte,701+
Colegio Mayor de Nuestra Senora del Rosario,701+
Universidad del Valle,701+
Universidad Industrial de Santander,701+
Universidad Nacional de Cuyo,701+
Universidad Nacional de Rosario,701+
Universidad Nacional de Tucumán,701+
Universidad Nacional del Sur,701+
Universidad Nacional Mayor de San Marcos,701+
Universidad Técnica Federico Santa María (USM),701+
Universidad Tecnológica Nacional (UTN),701+
Universidade do Estado do Rio de Janeiro (UERJ),701+
Universidade Estadual de Londrina,701+
Universidade Federal de Santa Maria,701+
Universidade Federal do Ceará (UFC),701+
Universidade Federal de Pernambuco(UFPE),701+
Ca' Foscari University of Venice,701+
Catania University,701+
Università degli Studi Roma Tre,701+
Université Charles-de-Gaulle Lille 3,701+
Université de Caen Basse-Normandie,701+
Université de Cergy-Pontoise,701+
Université de Poitiers,701+
Université Jean Moulin Lyon 3,701+
Université Lille 2 Droit et Santé,701+
Université Paris Ouest Nanterre La Défense,701+
Universit Paul-Valery Montpellier 3,701+
Université Pierre Mendès France - Grenoble 2,701+
Université Stendhal Grenoble 3,701+
Université de Toulouse II-Le Mirail,701+
Universiti Teknologi MARA - UiTM,701+
University of Arkansas,701+
University of Baghdad,701+
University of Bahrain,701+
University of Bari,701+
University of Belgrade,701+
University of Brawijaya,701+
University of Brescia,701+
University of Bucharest,701+
University of Calcutta,701+
University of Central Lancashire,701+
University of Colombo,701+
University of Dhaka,701+
University of East London,701+
University of Engineering & Technology (UET) Lahore,701+
University of Greenwich,701+
University of Jordan,701+
University of Karachi,701+
The University of Lahore,701+
University of Latvia,701+
University of New England Australia,701+
University of Pune,701+
University of San Diego,701+
University of San Francisco,701+
University of Santo Tomas,701+
University of Southern Queensland,701+
University of the Pacific,701+
University of Tulsa,701+
University of Windsor,701+
University of Wroclaw,701+
Verona University,701+
Victoria University,701+
Vilnius Gediminas Technical University,701+
Voronezh State University,701+
Vytautas Magnus University,701+
Universitatea de Vest din Timisoara /  West University of Timisoara,701+
