174,55.9,University of Science and Technology of China
175,55.7,Case Western Reserve University
175,55.7,Nanjing University
177,55.6,Universitat Autònoma de Barcelona
178,55.4,University of Barcelona
179,55,University of Florida
180,54.9,University of Waterloo
181,54.8,Vanderbilt University
181,54.8,Vrije Universiteit Amsterdam
183,54.6,Technion - Israel Institute of Technology
183,54.6,Technische Universität Berlin
186,54.1,University Hamburg
187,54,University of Bath
188,53.8,Alma Mater Studiorum - University of Bologna
189,53.7,Georgetown University
189,53.7,Queen`s University at Kingston
189,53.7,Université Paris-Sud
192,53.5,"University of Illinois, Chicago (UIC)"
193,52.8,Keio University
193,52.8,University of Sussex
195,52.7,Universidad Autónoma de Madrid
196,52.6,Aalto University
196,52.6,Sapienza University of Rome
196,52.6,Tel Aviv University
199,52.4,National Tsing Hua University
199,52.4,The University of Western Ontario
201,52.2,University of Calgary
202,52.1,Chalmers University of Technology
202,52.1,University of Leicester
204,52,Tufts University
205,51.8,Université Paris Diderot - Paris 7
205,51.8,University of Gothenburg
205,51.8,University of Turku
208,51,Universität Frankfurt am Main
209,50.8,Universidad de Buenos Aires (UBA)
210,50.6,University College Cork
210,50.6,University of Tsukuba
212,50.5,The University of Arizona
213,50.4,University of Reading
214,50.2,Sciences Po Paris
215,50.1,Universidade Estadual de Campinas (Unicamp)
216,49.9,King Fahd University of Petroleum & Minerals
216,49.9,University Complutense Madrid
216,49.9,Université Paris-Sorbonne (Paris IV)
219,49.8,University of Dundee
220,49.6,Université Joseph Fourier - Grenoble 1
220,49.6,Waseda University
222,49.4,Indian Institute of Technology Delhi (IITD)
223,49.3,Universidad de Chile
224,49.2,University of Notre Dame
225,49.1,Université Paris 1 Panthéon-Sorbonne
226,48.5,Université de Strasbourg
227,48.4,University of Ottawa
228,48,University of Twente
229,47.7,University of East Anglia (UEA)
230,47.5,National Chiao Tung University
230,47.5,Politecnico di Milano
232,47.3,University of Miami
233,47.1,Charles University in Prague
233,47.1,Indian Institute of Technology Bombay (IITB)
235,46.8,University of Milan
236,46.5,University of Iowa
236,46.5,Westfälische Wilhelms-Universitat Münster
238,46.2,University of Canterbury
239,46.1,Chulalongkorn University
240,45.9,Indiana University Bloomington
240,45.9,Saint-Petersburg State University
240,45.9,Université de Liège
243,45.7,University of Cologne
244,45.6,Dalhousie University
244,45.6,Loughborough University
244,45.6,Simon Fraser University
247,45.5,National Cheng Kung University
248,45.4,Universität Stuttgart
249,45.3,Hanyang University
250,45.1,American University of Beirut (AUB)
251,45,Norwegian University of Science And Technology
252,44.8,Beijing Normal University
253,44.7,King Saud University
253,44.7,University of Oulu
255,44.5,Kyung Hee University
255,44.5,"Rutgers, The State University of New Jersey, New Brunswick"
257,44.4,University of Strathclyde
258,44,University Ulm
259,43.9,University of Pisa
260,43.8,Technische Universität Darmstadt
261,43.5,University of Massachusetts Amherst
262,43.4,Technische Universität Dresden
263,43.3,Macquarie University
264,43.2,Vienna University of Technology
265,43.1,Royal Holloway University of London
265,43.1,Victoria University of Wellington
267,42.9,Università di Padova
268,42.8,"University of California, Riverside"
269,42.7,Universiti Kebangsaan Malaysia (UKM)
269,42.7,Yeshiva University
271,42.5,University of Utah
272,42.4,University of Technology Sydney
273,42.3,Universität Konstanz
274,42.2,Universidad de los Andes
274,42.2,Université Paris Descartes
276,42.1,Tokyo Medical and Dental University (TMDU)
276,42.1,University of Wollongong
278,42,Friedrich-Alexander-Universität Erlangen-Nürnberg
279,41.9,Queensland University of Technology (QUT)
279,41.9,Instituto Tecnológico y de Estudios Superiores de Monterrey
281,41.8,Universität Mannheim
281,41.8,Universitat Pompeu Fabra
283,41.6,Mahidol University
284,41.5,Curtin University
284,41.5,"National University of Ireland, Galway"
284,41.5,Universidade Federal do Rio de Janeiro
284,41.5,University of Surrey
288,41.4,Hong Kong Baptist University
289,41.3,Umea University
289,41.3,Universität Innsbruck
291,41.2,RMIT University
291,41.2,University of Eastern Finland
293,40.9,Arizona State University
293,40.9,Christian-Albrechts-University zu Kiel
295,40.7,Indian Institute of Technology Kanpur (IITK)
295,40.7,National Yang Ming University
297,40.5,Johannes Gutenberg Universität Mainz
298,40.4,"The University of Newcastle, Australia (UoN)"
299,40.2,Al-Farabi Kazakh National University
299,40.2,École des Ponts ParisTech
299,40.2,University of Jyväskylä
302,40.1,University at Buffalo SUNY
303,40,L.N. Gumilyov Eurasian National University (ENU)
304,39.7,Kobe University
304,39.7,North Carolina State University
306,39.6,University of Tromsø The Arctic University of Norway
307,39.5,Hiroshima University
307,39.5,"University of California, Santa Cruz"
309,39.4,University of Bordeaux
309,39.4,University of Indonesia
311,39.3,Universität  Leipzig
311,39.3,University of Southern Denmark
313,39.2,Indian Institute of Technology Madras (IITM)
313,39.2,University of the Witwatersrand
315,39,University of Navarra
316,38.9,Virginia Polytechnic Institute and State University
317,38.8,Universidad Austral
317,38.8,Universidad Carlos III de Madrid (UC3M)
317,38.8,University of Mississippi
320,38.7,"University of Rome ""Tor Vergata"""
321,38.6,Iowa State University
321,38.6,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA
321,38.6,University of Victoria
324,38.5,Brandeis University
325,38.4,Julius-Maximilians-Universität Würzburg
325,38.4,Universidad Nacional de Colombia
327,38.3,George Washington University
327,38.3,University of Hawai'i at Mañoa
329,38.2,Laval University
329,38.2,Wake Forest University
331,38.1,Ben Gurion University of The Negev
331,38.1,Boston College
331,38.1,Linköping University
334,38,Aalborg University
334,38,Bauman Moscow State Technical University
334,38,Ecole Normale Supérieure de Cachan
337,37.9,"SOAS, University of London"
338,37.8,"Stony Brook University, State University of New York"
338,37.8,University of Essex
338,37.8,University of Warsaw
341,37.7,Griffith University
341,37.7,University of South Australia
343,37.3,Massey University
343,37.3,University of Porto
345,37.2,Universitat Politècnica de Catalunya
346,37.1,"Indian Institute of Technology, Kharagpur"
347,37,City University London
348,36.9,The American University in Cairo
349,36.8,Dublin City University
349,36.8,Pontificia Universidad Javeriana
351,36.5,James Cook University
352,36.2,Novosibirsk State University
353,36.1,Rensselaer Polytechnic Institute
353,36.1,Universidade Nova de Lisboa
355,36,Aix-Marseille University
355,36,Universiti Sains Malaysia (USM)
355,36,Universiti Teknologi Malaysia
358,35.9,Université Paris Dauphine
358,35.9,University of Coimbra
360,35.8,Brunel University London
360,35.8,King Abdulaziz University (KAU)
362,35.6,Ewha Womans University
363,35.5,Nankai University
363,35.5,Taipei Medical University
363,35.5,Universität Jena
366,35.4,Ruhr-Universität Bochum
366,35.4,University of Texas Dallas
366,35.4,Washington State University
369,35.3,Heriot-Watt University
370,35.2,Politecnico di Torino
370,35.2,Universität Bremen
372,35.1,Xi’an Jiaotong University
373,34.8,Tilburg University
374,34.7,"Birkbeck, University of London"
374,34.7,Oxford Brookes University
376,34.6,Jagiellonian University
376,34.6,University of Kansas
376,34.6,University of Tampere
379,34.5,University of Florence
380,34.4,Deakin University
380,34.4,University of Connecticut
380,34.4,University of the Philippines
383,34.2,Universidad Politècnica de València
384,34.1,Sun Yat-sen University
385,33.9,Université Montpellier 2 Sciences et Techniques
386,33.8,Moscow State Institute of International Relations (MGIMO University)
387,33.7,Stellenbosch University
387,33.7,Tulane University
389,33.6,Politécnica de Madrid
390,33.5,Instituto Tecnológico de Buenos Aires (ITBA)
390,33.5,La Trobe University
