Data set,Overall research performance
Entity,"National Institute of Technology Delhi"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),36.7%,-%,-%,44.4%,37.5%,40.0%,37.5%,14.3%
Academic-Corporate Collaboration (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Scholarly Output,79,0,0,9,16,15,32,7
Scholarly Output (growth %),0.0%
Citations,208,-,-,78,106,19,5,0
Field-Weighted Citation Impact,0.68,-,-,1.42,1.70,0.42,0.23,0.00
Outputs in Top Citation Percentiles (top 10%),6.9%,-%,-%,22.2%,12.5%,0.0%,3.1%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),14.8%,-%,-%,28.6%,16.7%,0.0%,17.4%,-%
Citations per Publication,2.6,-,-,8.7,6.6,1.3,0.2,0.0
Views,525,-,-,76,117,117,204,11
Outputs in Top Views Percentiles (top 10%),6.9%,-%,-%,0.0%,0.0%,6.7%,12.5%,-%
Views per Publication,6.6,-,-,8.4,7.3,7.8,6.4,1.6
Field-Weighted View Impact,0.82,-,-,0.58,0.66,0.60,1.18,0.26
Citing-Patents Count (patent office: All Patent Offices),
Patent-Cited Scholarly Output (patent office: All Patent Offices),0,0,0,0,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),0,0,0,0,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mass Media (Print),
Media Exposure Internationally recognized (Print),
Media Exposure Regionally recognized (Print),
Media Exposure Nationally recognized (Print),
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.00,-,-,0.0,0.0,0.0,0.0,-
"Authors",49,-,-,5,12,10,31,12
Authors (growth %),922337203685477630.0%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
