Name,Publications,publication,Citation,h-index
"215. Sharif, Mohammed",7,2016,54,8
"342. Ubaid-ullah, Shah",5,2016,54,4
"106. Hasan, Naimul",12,2016,53,5
"224. Ali, Maroof L M",6,2014,52,12
"457. Hayat, Faisal",3,2011,52,7
"113. Parveen, Shama",12,2017,51,9
"157. Hasnain, Sumaiya",9,2015,51,6
"92. Khan, Zahidakhtar",14,2015,50,9
"256. Pal, Anand",6,2014,50,10
"372. Irfanullah, Mir",4,2013,50,10
"379. Khan, Ayub",4,2014,50,4
"140. Khan, Parvez",10,2017,49,4
"86. Uzair, Sahar",15,2017,48,4
"122. Niazi, Asad R.",11,2015,48,12
"217. Shukla, Deepika",7,2014,48,5
"332. Shahalam, M.",5,2015,48,3
"228. Bashir, Humayra",6,2016,47,4
"132. Bashir, Ommer",10,2016,46,3
"147. Singh, Preeti",10,2017,46,4
"395. Nizamuddin, Hakimuddin",4,2014,46,3
"27. Thomas, Mini Shaji",32,2016,45,6
"74. Jairajpuri, Mohamad Aman",17,2016,45,6
"278. Alam, Syed Dilshad Ilshad",5,2014,45,4
"Thakur, Prasoon Kumar",3,2014,45,6
"118. Hussain, Shokit",11,2016,44,4
"173. Adhikari, Rathin S.",8,2016,44,9
"321. Patel, Manoj Kumar",5,2013,44,9
"129. Zafaryab, Md",11,2017,43,4
"272. Ahmad, Irfan M.",5,2016,43,11
"162. Khan, Zahid H.",9,2015,42,10
"186. Naz, Farha",8,2016,42,4
"423. Ahmad, Mohd Anwar",3,2014,41,3
"Shahid, Mohammad",3,2013,41,9
"194. Ahmad, Razi Badlisha",7,2016,40,5
"323. Raghuvanshi, Suresh Kumar",5,2014,40,3
"108. Hussain, Shahir Zeeshan",12,2016,39,3
"130. Abdullah, Mohammed Margub",10,2015,39,5
"133. Bhat, Sajid Yousuf",10,2015,39,3
"289. Chaudhry, Saif Ali",5,2017,39,2
"24. Doja, Mohammad Najmud",33,2017,38,5
"134. Hoda, Nasimul",10,2017,38,4
"190. Sengupta, Kamalendu",8,2015,38,10
"253. Mir, Muzaffar Ul Hassan",6,2016,38,4
"298. Inam, Afreen",5,2017,38,3
"112. Parveen, Shama",12,2017,37,11
"116. Azam, Mudsser",11,2016,37,3
"206. Kazim, Syed Naqui",7,2017,37,14
"338. Singla, Mamta",5,2015,37,10
"475. Kumari, Mamta Dharani",3,2013,37,5
"128. Thakur, Sonu Chand",11,2016,36,6
"161. Khan, Mohdemran",9,2017,36,4
"263. Sharma, Sakshi S.",6,2015,36,6
335. Shumaila,5,2015,36,2
"399. Pathan, Shabnam",4,2016,36,2
"233. Ilmi, Rashid",6,2017,35,5
"390. Lakshmi, G. B V S",4,2012,35,7
