Name,Publications,publication,Citation,h-index
"340. Rai, Shivani",2,2011,80,9
"201. Mangal, Sharad",3,2016,32,9
"61. Bhandari, Anil B.",8,2014,12,9
"457. Paliwal, Sarvesh Kumar",1,2016,1,9
"329. Pandey, Mrituanjay D.",2,2017,0,9
"37. Shilpi, Satish",13,2015,133,8
"31. Kango, Naveen",14,2017,94,8
"68. Polu, Anji Reddy",8,2013,66,8
"35. Mehta, Archana C.",13,2016,62,8
"116. Rohilla, Ankur",5,2016,32,8
"290. Kaithwas, Gaurav",2,2014,28,8
"108. Jain, Avijeet K.",5,2014,19,8
"231. Upadhyay, Apoorva K.",3,2011,11,8
"461. Pathak, Hemant C.",1,2011,6,8
"287. Joshi, Khashti Ballabh",2,2016,4,8
"281. Jain, Prateek Kumar",2,2011,2,8
"229. Tiwari, Manisha S.",3,2015,1,8
"278. Jain, Chandra Prakash",2,2016,0,8
"352. Saraf, Dinesh K.",2,2012,0,8
"396. Bera, Tanmoy",1,2015,0,8
"459. Parcha, Versha",1,2011,0,8
"73. Chacko, Amrutha J.",7,2013,223,7
"24. Hurkat, Pooja",16,2016,142,7
"47. Brahman, Pradeep Kumar",10,2017,106,7
"103. Cinu, Thomas A.",5,2016,71,7
"26. Sharma, Ritu C.",16,2013,41,7
"164. Sharma, Surendra Kumar",4,2016,40,7
"275. Jain, Arvind K.",2,2014,31,7
"30. Shrivastava, Om Prakash",15,2017,30,7
"75. Deep, Aakash",7,2016,30,7
"101. Vidyasagar, Gali M.",6,2012,19,7
"384. Yadav, Rajesh Singh",2,2014,18,7
"119. Sharma, Kiran C.",5,2015,15,7
"337. Purkait, Ruma",2,2011,11,7
"317. Nanda, Arun",2,2011,8,7
"400. Bhargava, Shilpi",1,2012,7,7
"295. Khare, Piush K.",2,2011,5,7
"213. Rai, Awanikumar",3,2012,4,7
"338. Rai, Gopal",2,2016,3,7
"464. Pattanayak, Shakti Prasad",1,2012,3,7
"236. Agarwal, Rajesh K.",2,2012,2,7
"147. Juyal, Vijay",4,2014,1,7
"327. Pallepogu, Raghavaiah",2,2016,0,7
"392. Arti, Manav K.",1,2012,0,7
"56. Singh, Ram Asaray",9,2016,177,6
"14. Agrawal, Udita",21,2016,136,6
"76. Gupta, Nishant Kumar",7,2013,90,6
"151. Mehta, Pradeep R.",4,2012,56,6
"36. Sharma, Rajeev Govind",13,2016,50,6
"51. Karwasara, Vijai Singh",9,2013,50,6
"70. Upmanyu, Neeraj",8,2012,47,6
"95. Sati, Nitin",6,2015,42,6
"84. Derle, Deelip Vishram",6,2013,34,6
"181. Dube, Devyani N.",3,2013,18,6
"235. Acharya, Sujata S.",2,2014,18,6
"184. Gupta, Priya",3,2013,17,6
"74. Chourasia, Rashmi",7,2017,13,6
"477. Shanmugapandiyan, Pitchaimuthu",1,2011,12,6
"189. Jain, Prakash Chandra",3,2012,10,6
"139. Dey, Krishna Kishor",4,2015,7,6
