University,International Outlook,International Outlook-16
University of the WitwatersrandSouth Africa,66.3,68.4
University of OsloNorway,60.3,68.2
Rice UniversityUnited States of America,70.8,66.6
University of AmsterdamNetherlands,60.5,66.5
Purdue UniversityUnited States of America,64.3,66.4
University of TurkuFinland,46.3,66.2
UiT The Arctic University of NorwayNorway,60,66.1
École Normale Supérieure de LyonFrance,64.4,65.6
Aalto UniversityFinland,59.4,65.4
University of ChicagoUnited States of America,65.2,65
Paris Diderot University – Paris 7France,67.4,64.9
University of AntwerpBelgium,61,64.8
Vrije Universiteit BrusselBelgium,54.5,64.5
Yale UniversityUnited States of America,59.8,64.3
Leiden UniversityNetherlands,59.5,64.3
Paris-Sud UniversityFrance,62.7,64.2
California Institute of TechnologyUnited States of America,67,64
University of MiamiUnited States of America,56.7,64
Plymouth UniversityUnited Kingdom,51.3,64
Cornell UniversityUnited States of America,59,63.9
University of GroningenNetherlands,56.1,63.9
Technical University of MunichGermany,64,63.8
Laval UniversityCanada,55.7,63.8
Charles Darwin UniversityAustralia,45.5,63.7
University of BonnGermany,54.8,63.6
University of Hawai’i at MānoaUnited States of America,59.4,63.4
Pompeu Fabra UniversitySpain,63.2,63.3
Heidelberg UniversityGermany,63.1,62.8
LMU MunichGermany,56.4,62.8
Humboldt University of BerlinGermany,55.7,62.6
Florida Institute of TechnologyUnited States of America,63,62.4
Technion Israel Institute of TechnologyIsrael,60.6,61.9
"University of California, BerkeleyUnited States of America",58.5,61.9
Queen’s UniversityCanada,55.4,61.6
"University of California, Santa BarbaraUnited States of America",64.3,61.5
Simon Fraser UniversityCanada,61.4,61.4
Carleton UniversityCanada,61.1,61.3
University of IcelandIceland,59.1,61
Radboud University NijmegenNetherlands,61.6,60.9
University at BuffaloUnited States of America,57,60.6
University of FreiburgGermany,56.7,60.3
Goethe University FrankfurtGermany,55.6,60.2
Boston CollegeUnited States of America,54.6,60
Norwegian University of Science and TechnologyNorway,54.7,59.9
Uppsala UniversitySweden,57.5,59.6
"University of California, RiversideUnited States of America",61.6,59.5
"University of California, IrvineUnited States of America",56.1,59.2
