University,Alumini-16,Alumini-17,,,,,,,
Harvard University,100,100,,,0,0,0,,0
University of Cambridge,78.3,81.4,,,-3.1,-0.0395913155,0.0015674723,,0.0395913155
Massachusetts Institute of Technology (MIT),69.4,68.7,,,0.7,0.0100864553,0.0001017366,,0.0100864553
"University of California, Berkeley",65.1,64.4,,,0.7,0.0107526882,0.0001156203,,0.0107526882
Columbia University,63.5,62.8,,,0.7,0.011023622,0.0001215202,,0.011023622
University of Chicago,59.8,59.2,,,0.6,0.0100334448,0.00010067,,0.0100334448
Princeton University,53.3,54.4,,,-1.1,-0.0206378987,0.0004259229,,0.0206378987
California Institute of Technology,51,50.5,,,0.5,0.0098039216,9.61168781237985E-005,,0.0098039216
University of Oxford,49.7,50.8,,,-1.1,-0.0221327968,0.0004898607,,0.0221327968
Ecole Normale Superieure - Paris,48.9,48.4,,,0.5,0.0102249489,0.0001045496,,0.0102249489
Yale University,47.6,47.1,,,0.5,0.0105042017,0.0001103383,,0.0105042017
Stanford University,42.9,44.5,,,-1.6,-0.0372960373,0.0013909944,,0.0372960373
Cornell University,42,43.1,,,-1.1,-0.0261904762,0.000685941,,0.0261904762
Moscow State University,41.4,40.9,,,0.5,0.0120772947,0.000145861,,0.0120772947
Johns Hopkins University,37.7,37.3,,,0.4,0.0106100796,0.0001125738,,0.0106100796
The University of Tokyo,36.3,38.3,,,-2,-0.0550964187,0.0030356154,,0.0550964187
Technical University Munich,34.8,34.4,,,0.4,0.0114942529,0.0001321178,,0.0114942529
University of Michigan-Ann Arbor,34.4,34.1,,,0.3,0.0087209302,7.60546241211451E-005,,0.0087209302
Pierre and Marie  Curie University - Paris 6,33.6,33.3,,,0.3,0.0089285714,7.97193877551043E-005,,0.0089285714
University of Wisconsin - Madison,32.8,32.5,,,0.3,0.0091463415,8.36555621653762E-005,,0.0091463415
McGill University,32.8,32.5,,,0.3,0.0091463415,8.36555621653762E-005,,0.0091463415
The Hebrew University of Jerusalem,32,31.7,,,0.3,0.009375,8.78906250000004E-005,,0.009375
University of Pennsylvania,31.6,31.3,,,0.3,0.0094936709,9.01297868931265E-005,,0.0094936709
Kyoto University,31.6,31.3,,,0.3,0.0094936709,9.01297868931265E-005,,0.0094936709
Carnegie Mellon University,31.6,31.3,,,0.3,0.0094936709,9.01297868931265E-005,,0.0094936709
City University of New York City College,31.2,30.9,,,0.3,0.0096153846,9.24556213017756E-005,,0.0096153846
University of Goettingen,30.8,30.5,,,0.3,0.0097402597,9.48726598077252E-005,,0.0097402597
University of Paris-Sud (Paris 11),30.3,30,,,0.3,0.0099009901,9.80296049406925E-005,,0.0099009901
Case Western Reserve University,30.3,30,,,0.3,0.0099009901,9.80296049406925E-005,,0.0099009901
University of Frankfurt,30.3,30,,,0.3,0.0099009901,9.80296049406925E-005,,0.0099009901
University of Illinois at Urbana-Champaign,29.9,29.6,,,0.3,0.0100334448,0.00010067,,0.0100334448
"University of California, Los Angeles",29.5,29.2,,,0.3,0.0101694915,0.0001034186,,0.0101694915
Swiss Federal Institute of Technology Zurich,29.5,29.2,,,0.3,0.0101694915,0.0001034186,,0.0101694915
"University of Minnesota, Twin Cities",29.5,29.2,,,0.3,0.0101694915,0.0001034186,,0.0101694915
Nagoya University,29,28.7,,,0.3,0.0103448276,0.0001070155,,0.0103448276
University College London,28.1,27.8,,,0.3,0.0106761566,0.0001139803,,0.0106761566
University of Oslo,28.1,27.8,,,0.3,0.0106761566,0.0001139803,,0.0106761566
New York University,28.1,29.6,,,-1.5,-0.0533807829,0.002849508,,0.0533807829
University of Geneva,27.1,26.9,,,0.2,0.0073800738,5.44654893043411E-005,,0.0073800738
Saint Petersburg State University,26.7,26.4,,,0.3,0.0112359551,0.0001262467,,0.0112359551
Karolinska Institute,25.6,25.4,,,0.2,0.0078125,6.10351562500017E-005,,0.0078125
University of Munich,25.6,25.4,,,0.2,0.0078125,6.10351562500017E-005,,0.0078125
University of Strasbourg,25.1,28.3,,,-3.2,-0.1274900398,0.0162537103,,0.1274900398
University of Rochester,24.6,24.3,,,0.3,0.012195122,0.000148721,,0.012195122
Stockholm University,24.1,23.8,,,0.3,0.0124481328,0.000154956,,0.0124481328
Technion-Israel Institute of Technology,23.5,23.3,,,0.2,0.0085106383,0.000072431,,0.0085106383
Washington University in St. Louis,22.9,22.7,,,0.2,0.0087336245,7.62761961060997E-005,,0.0087336245
Utrecht University,22.9,22.7,,,0.2,0.0087336245,7.62761961060997E-005,,0.0087336245
University of Tuebingen,22.4,22.1,,,0.3,0.0133928571,0.0001793686,,0.0133928571
University of Copenhagen,21.8,21.5,,,0.3,0.0137614679,0.000189378,,0.0137614679
Ecole Polytechnique,21.8,21.5,,,0.3,0.0137614679,0.000189378,,0.0137614679
University of Washington,21.2,20.9,,,0.3,0.0141509434,0.0002002492,,0.0141509434
King's College London,21.2,20.9,,,0.3,0.0141509434,0.0002002492,,0.0141509434
Lund University,21.2,20.9,,,0.3,0.0141509434,0.0002002492,,0.0141509434
Paris Dauphine University (Paris 9),20.5,20.3,,,0.2,0.0097560976,9.51814396192736E-005,,0.0097560976
The University of Edinburgh,20.5,24.3,,,-3.8,-0.1853658537,0.0343604997,,0.1853658537
University of Toronto,19.9,19.7,,,0.2,0.0100502513,0.0001010076,,0.0100502513
Heidelberg University,19.9,19.7,,,0.2,0.0100502513,0.0001010076,,0.0100502513
Universit̩ libre de Bruxelles (ULB),19.9,19.7,,,0.2,0.0100502513,0.0001010076,,0.0100502513
London School of Economics and Political Science,19.9,23.8,,,-3.9,-0.1959798995,0.038408121,,0.1959798995
"University of California, San Diego",19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
"University of Maryland, College Park",19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
University of Basel,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
University of Muenster,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
University of Wuerzburg,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
Brandeis University,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
Complutense University of Madrid,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
Cairo University,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
