University,Rank13,Rank14,R13-R14,D2/ R13,E2^2,,ABS
California Institute of TechnologyUnited States of America,1,1,0,0,0,,0
University of OxfordUnited Kingdom,2,2,0,0,0,,0
Harvard UniversityUnited States of America,4,2,2,0.5,0.25,,0.5
Stanford UniversityUnited States of America,2,4,-2,-1,1,,1
Massachusetts Institute of TechnologyUnited States of America,5,5,0,0,0,,0
Princeton UniversityUnited States of America,6,6,0,0,0,,0
University of CambridgeUnited Kingdom,7,7,0,0,0,,0
"University of California, BerkeleyUnited States of America",9,8,1,0.1111111111,0.012345679,,0.1111111111
University of ChicagoUnited States of America,10,9,1,0.1,0.01,,0.1
Imperial College LondonUnited Kingdom,8,10,-2,-0.25,0.0625,,0.25
Yale UniversityUnited States of America,11,11,0,0,0,,0
"University of California, Los AngelesUnited States of America",13,12,1,0.0769230769,0.0059171598,,0.0769230769
Columbia UniversityUnited States of America,14,13,1,0.0714285714,0.0051020408,,0.0714285714
ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,12,14,-2,-0.1666666667,0.0277777778,,0.1666666667
Johns Hopkins UniversityUnited States of America,16,15,1,0.0625,0.00390625,,0.0625
University of PennsylvaniaUnited States of America,15,16,-1,-0.0666666667,0.0044444444,,0.0666666667
Duke UniversityUnited States of America,23,17,6,0.2608695652,0.0680529301,,0.2608695652
University of MichiganUnited States of America,20,18,2,0.1,0.01,,0.1
Cornell UniversityUnited States of America,18,19,-1,-0.0555555556,0.0030864198,,0.0555555556
University of TorontoCanada,21,20,1,0.0476190476,0.0022675737,,0.0476190476
University College LondonUnited Kingdom,17,21,-4,-0.2352941176,0.0553633218,,0.2352941176
Northwestern UniversityUnited States of America,19,22,-3,-0.1578947368,0.0249307479,,0.1578947368
University of TokyoJapan,27,23,4,0.1481481481,0.0219478738,,0.1481481481
Carnegie Mellon UniversityUnited States of America,22,24,-2,-0.0909090909,0.0082644628,,0.0909090909
University of WashingtonUnited States of America,24,25,-1,-0.0416666667,0.0017361111,,0.0416666667
National University of SingaporeSingapore,29,26,3,0.1034482759,0.0107015458,,0.1034482759
University of Texas at AustinUnited States of America,25,27,-2,-0.08,0.0064,,0.08
Georgia Institute of TechnologyUnited States of America,25,28,-3,-0.12,0.0144,,0.12
University of Illinois at Urbana-ChampaignUnited States of America,33,29,4,0.1212121212,0.0146923783,,0.1212121212
University of Wisconsin-MadisonUnited States of America,31,30,1,0.0322580645,0.0010405827,,0.0322580645
University of British ColumbiaCanada,30,31,-1,-0.0333333333,0.0011111111,,0.0333333333
London School of Economics and Political ScienceUnited Kingdom,39,32,7,0.1794871795,0.0322156476,,0.1794871795
"University of California, Santa BarbaraUnited States of America",35,33,2,0.0571428571,0.0032653061,,0.0571428571
University of MelbourneAustralia,28,34,-6,-0.2142857143,0.0459183673,,0.2142857143
McGill UniversityCanada,34,35,-1,-0.0294117647,0.0008650519,,0.0294117647
Karolinska InstituteSweden,42,36,6,0.1428571429,0.0204081633,,0.1428571429
École Polytechnique Fédérale de LausanneSwitzerland,40,37,3,0.075,0.005625,,0.075
King’s College LondonUnited Kingdom,57,38,19,0.3333333333,0.1111111111,,0.3333333333
University of EdinburghUnited Kingdom,32,39,-7,-0.21875,0.0478515625,,0.21875
"University of California, San DiegoUnited States of America",38,40,-2,-0.0526315789,0.0027700831,,0.0526315789
New York UniversityUnited States of America,41,40,1,0.0243902439,0.000594884,,0.0243902439
Washington University in St LouisUnited States of America,44,42,2,0.0454545455,0.0020661157,,0.0454545455
University of Hong KongHong Kong,35,43,-8,-0.2285714286,0.052244898,,0.2285714286
Seoul National UniversitySouth Korea,59,44,15,0.2542372881,0.0646365987,,0.2542372881
Peking UniversityChina,46,45,1,0.0217391304,0.0004725898,,0.0217391304
University of MinnesotaUnited States of America,47,46,1,0.0212765957,0.0004526935,,0.0212765957
