University,Rank11,Rank12,R11-R12,D2/ R11,E2^2,,ABS
University of BaselSwitzerland,95,111,-16,-0.1684210526,0.028365651,,0.1684210526
George Washington UniversityUnited States of America,95,135,-40,-0.4210526316,0.1772853186,,0.4210526316
"University of Maryland, College ParkUnited States of America",98,94,4,0.0408163265,0.0016659725,,0.0408163265
Dartmouth CollegeUnited States of America,99,90,9,0.0909090909,0.0082644628,,0.0909090909
Ã‰cole Normale SupÃ©rieure de LyonFrance,100,141,-41,-0.41,0.1681,,0.41
Technical University of MunichGermany,101,88,13,0.1287128713,0.0165670032,,0.1287128713
University of HelsinkiFinland,102,91,11,0.1078431373,0.0116301423,,0.1078431373
University of St AndrewsUnited Kingdom,103,85,18,0.1747572816,0.0305401075,,0.1747572816
Rensselaer Polytechnic InstituteUnited States of America,104,144,-40,-0.3846153846,0.1479289941,,0.3846153846
"Rutgers, the State University of New JerseyUnited States of America",105,81,24,0.2285714286,0.052244898,,0.2285714286
Purdue UniversityUnited States of America,106,98,8,0.0754716981,0.0056959772,,0.0754716981
University of Cape TownSouth Africa,107,103,4,0.0373831776,0.001397502,,0.0373831776
Pennsylvania State UniversityUnited States of America,109,51,58,0.5321100917,0.2831411497,,0.5321100917
Seoul National UniversitySouth Korea,109,124,-15,-0.1376146789,0.0189377998,,0.1376146789
Tokyo Institute of TechnologyJapan,112,108,4,0.0357142857,0.0012755102,,0.0357142857
Eindhoven University of TechnologyNetherlands,114,115,-1,-0.0087719298,7.69467528470299E-005,,0.0087719298
National Taiwan UniversityTaiwan,115,154,-39,-0.3391304348,0.1150094518,,0.3391304348
"University of California, RiversideUnited States of America",117,143,-26,-0.2222222222,0.049382716,,0.2222222222
University of GenevaSwitzerland,118,130,-12,-0.1016949153,0.0103418558,,0.1016949153
KU LeuvenBelgium,119,67,52,0.4369747899,0.190946967,,0.4369747899
Queen Mary University of LondonUnited Kingdom,120,127,-7,-0.0583333333,0.0034027778,,0.0583333333
Michigan State UniversityUnited States of America,122,96,26,0.2131147541,0.0454178984,,0.2131147541
Technical University of DenmarkDenmark,122,178,-56,-0.4590163934,0.2106960494,,0.4590163934
Leiden UniversityNetherlands,124,79,45,0.3629032258,0.1316987513,,0.3629032258
Ghent UniversityBelgium,124,106,18,0.1451612903,0.0210718002,,0.1451612903
Lancaster UniversityUnited Kingdom,124,131,-7,-0.0564516129,0.0031867846,,0.0564516129
University of AlbertaCanada,127,100,27,0.2125984252,0.0451980904,,0.2125984252
University of GlasgowUnited Kingdom,128,102,26,0.203125,0.0412597656,,0.203125
Stockholm UniversitySweden,129,131,-2,-0.015503876,0.0002403702,,0.015503876
Osaka UniversityJapan,130,119,11,0.0846153846,0.0071597633,,0.0846153846
University of VictoriaCanada,130,177,-47,-0.3615384615,0.1307100592,,0.3615384615
Tohoku UniversityJapan,132,120,12,0.0909090909,0.0082644628,,0.0909090909
University of IowaUnited States of America,132,141,-9,-0.0681818182,0.0046487603,,0.0681818182
University of FreiburgGermany,132,189,-57,-0.4318181818,0.1864669421,,0.4318181818
University of BergenNorway,135,191,-56,-0.4148148148,0.1720713306,,0.4148148148
University of LausanneSwitzerland,136,116,20,0.1470588235,0.0216262976,,0.1470588235
University of SheffieldUnited Kingdom,137,101,36,0.2627737226,0.0690500293,,0.2627737226
University of MontrealCanada,138,104,34,0.2463768116,0.0607015333,,0.2463768116
VU University AmsterdamNetherlands,139,159,-20,-0.1438848921,0.0207028622,,0.1438848921
Pierre and Marie Curie UniversityFrance,140,84,56,0.4,0.16,,0.4
University of DundeeUnited Kingdom,140,176,-36,-0.2571428571,0.066122449,,0.2571428571
Utrecht UniversityNetherlands,143,68,75,0.5244755245,0.2750745758,,0.5244755245
Wageningen University and Research CenterNetherlands,144,75,69,0.4791666667,0.2296006944,,0.4791666667
University of BirminghamUnited Kingdom,145,148,-3,-0.0206896552,0.0004280618,,0.0206896552
University of AucklandNew Zealand,145,173,-28,-0.1931034483,0.0372889417,,0.1931034483
Uppsala UniversitySweden,147,87,60,0.4081632653,0.1665972511,,0.4081632653
University of AberdeenUnited Kingdom,149,151,-2,-0.0134228188,0.0001801721,,0.0134228188
Delft University of TechnologyNetherlands,151,104,47,0.3112582781,0.0968817157,,0.3112582781
Newcastle UniversityUnited Kingdom,152,146,6,0.0394736842,0.0015581717,,0.0394736842
"Birkbeck, University of LondonUnited Kingdom",152,149,3,0.0197368421,0.0003895429,,0.0197368421
University of New South WalesAustralia,152,173,-21,-0.1381578947,0.0190876039,,0.1381578947
Pompeu Fabra UniversitySpain,155,186,-31,-0.2,0.04,,0.2
Indiana UniversityUnited States of America,156,123,33,0.2115384615,0.0447485207,,0.2115384615
Iowa State UniversityUnited States of America,156,184,-28,-0.1794871795,0.0322156476,,0.1794871795
Georgia Health Sciences UniversityUnited States of America,158,197,-39,-0.246835443,0.0609277359,,0.246835443
Erasmus University RotterdamNetherlands,159,157,2,0.0125786164,0.0001582216,,0.0125786164
University of DelawareUnited States of America,159,180,-21,-0.1320754717,0.0174439302,,0.1320754717
Arizona State UniversityUnited States of America,161,127,34,0.2111801242,0.0445970449,,0.2111801242
Boston CollegeUnited States of America,161,195,-34,-0.2111801242,0.0445970449,,0.2111801242
Georgetown UniversityUnited States of America,164,138,26,0.1585365854,0.0251338489,,0.1585365854
University of AmsterdamNetherlands,165,92,73,0.4424242424,0.1957392103,,0.4424242424
University of LiverpoolUnited Kingdom,165,181,-16,-0.096969697,0.0094031221,,0.096969697
Aarhus UniversityDenmark,167,125,42,0.251497006,0.063250744,,0.251497006
University of LeedsUnited Kingdom,168,133,35,0.2083333333,0.0434027778,,0.2083333333
University of GroningenNetherlands,170,134,36,0.2117647059,0.0448442907,,0.2117647059
Goethe University FrankfurtGermany,172,181,-9,-0.0523255814,0.0027379665,,0.0523255814
University of NottinghamUnited Kingdom,174,140,34,0.1954022989,0.0381820584,,0.1954022989
University of East AngliaUnited Kingdom,174,145,29,0.1666666667,0.0277777778,,0.1666666667
Nanyang Technological UniversitySingapore,174,169,5,0.0287356322,0.0008257366,,0.0287356322
University of CopenhagenDenmark,177,135,42,0.2372881356,0.0563056593,,0.2372881356
Humboldt University of BerlinGermany,178,109,69,0.3876404494,0.150265118,,0.3876404494
Monash UniversityAustralia,178,117,61,0.3426966292,0.1174409797,,0.3426966292
RWTH Aachen UniversityGermany,182,168,14,0.0769230769,0.0059171598,,0.0769230769
University of ExeterUnited Kingdom,184,156,28,0.152173913,0.0231568998,,0.152173913
University of TwenteNetherlands,185,200,-15,-0.0810810811,0.0065741417,,0.0810810811
University of KonstanzGermany,186,194,-8,-0.0430107527,0.0018499248,,0.0430107527
Karlsruhe Institute of TechnologyGermany,187,196,-9,-0.0481283422,0.0023163373,,0.0481283422
University of TÃ¼bingenGermany,189,187,2,0.0105820106,0.0001119789,,0.0105820106
KTH Royal Institute of TechnologySweden,193,187,6,0.0310880829,0.0009664689,,0.0310880829
University of ViennaAustria,195,139,56,0.2871794872,0.0824720579,,0.2871794872
University of Illinois at ChicagoUnited States of America,197,167,30,0.152284264,0.023190497,,0.152284264
,,,,SUM,29.177473219,,47.765806794
,,,,V^2,0.1667284184,,0.2729474674
,,,,V,0.4083239136,,
