Name,,Publications,publication,Citation,h-index
"117. Dhiren Meetei, Sanoujam",,2,2014,26,2
"118. Diana, Th",,2,2014,1,1
"119. Dishma, Mayanglambam",,2,2015,6,1
"120. Gayatri Sharma, K.",,2,2013,30,2
"121. Haokip, George T.",,2,2012,2,1
"122. Ibotombi Singh, N.",,2,2013,18,4
"123. Ibungochouba, T.",,2,2011,5,2
"124. Ishwarchandra, Ngangbam",,2,2014,1,1
"125. Jaideva Singh, L.",,2,2014,2,1
"126. Khan, Ruhima",,2,2014,6,2
"126. Khan, Ruhima",,2,2014,6,2
"127. Kishor, Rajkumar K.",,2,2012,5,5
"128. Kumar, Arun",,2,2016,0,0
"129. Kunjeshwori Devi, S.",,2,2012,0,0
"130. Leishangthem, Surendrajit S.",,2,2015,0,0
"131. Lovedy Singh, L.",,2,2014,9,2
"132. Lunkim, Kimkholhing",,2,2012,1,1
"133. Mashangva, Magdalene",,2,2013,20,1
"134. Meitei, N. Mohilal",,2,2016,0,1
"135. Nebeshwar, Kongbrailatpam",,2,2015,11,2
"136. Ngasham, Nandarani",,2,2014,2,1
"137. Ningombam, Dollyca S.",,2,2013,3,1
"138. Pramodini Devi, S.",,2,2014,2,2
"139. Raghumani Singh, Yengmani",,2,2013,2,2
"140. Rajen Singh, N.",,2,2011,14,2
"141. Rameshwor Singh, W.",,2,2013,52,2
"142. Rangeela Devi, Y.",,2,2013,14,2
"143. Rongmei, Kamei Sanjit",,2,2012,4,1
"144. Rully, Huidrom",,2,2015,4,1
"145. Sanasam, Suchitra",,2,2013,8,2
"146. Sanatombi, Keithellakpam",,2,2016,0,5
"147. Sanoujam, Manichandra",,2,2016,5,3
"148. Shah, Mohammad Manjur",,2,2016,1,1
"149. Shantibala Devi, N.",,2,2014,2,2
"150. Sharat Singh, N. K.",,2,2011,4,2
"151. Sharma, Adhikarimayum Lakhikumar",,2,2016,0,0
"152. Sharma, Gurumayum Jitendra",,2,2012,5,8
"153. Sharma, H. B K",,2,2015,3,2
"154. Sharmila, Maibam",,2,2011,0,1
"155. Shyamacharan Singh, T.",,2,2012,1,1
"156. Singh, Kangujam Priyokumar",,2,2011,4,1
"157. Singh, Laishram Rupachandra",,2,2015,4,3
"158. Singh, Mahender R.",,2,2014,3,3
"159. Singh, Mutum Shyamkesho",,2,2015,1,1
"160. Singh, Ningthoujam Premananda Remanan",,2,2015,7,1
"161. Singh, Ningthoujam Surajkumar",,2,2014,2,1
"162. Singh, Nongmaithem Rajmuhon",,2,2017,10,5
"163. Singh, Ratnesh Kumar Hemakumar",,2,2012,1,1
"164. Singh, Sorokhaibam Jibankumar",,2,2015,4,1
"165. Singh, Swati Surendra",,2,2014,2,2
"166. Sushila Devi, L.",,2,2014,1,1
"167. Tikendra, Leimapokpam",,2,2015,1,1
"168. Varatharajan, R.",,2,2013,2,2
"169. Victory Devi, Ch",,2,2014,24,1
"170. Waikhom, Sayanika Devi",,2,2015,2,3
"171. Yumnam, Rajkumar S.",,2,2016,0,0
"172. Achoubi, Nongthombam",,1,2014,0,3
"173. Adakho Poji, K.",,1,2011,0,0
"174. Anita, K.",,1,2011,3,1
"175. Arun Kumar Singh, W.",,1,2016,0,0
"176. Basanta Singh, N.",,1,2015,0,1
"177. Basanta Singh, Th",,1,2012,13,4
"178. Bembee Devi, W.",,1,2011,5,1
"179. Bembem Devi, Y.",,1,2013,3,1
"180. Bhamra, K. S.",,1,2011,4,1
"181. Bhanisana Devi, R. K.",,1,2014,3,2
"182. Bijaya, P.",,1,2011,0,1
"183. Bilashini, Y.",,1,2012,0,0
"184. Bimola Devi, Ch",,1,2011,0,0
"185. Bimola, H.",,1,2012,0,0
"186. Bina, L.",,1,2016,0,0
"187. Bobby Singh, S.",,1,2011,4,2
"188. Boinis Singh, Ng",,1,2011,4,2
"189. Chanu, I. Harimala",,1,2016,0,1
"190. Chanu, Thokchom Taru Taru",,1,2017,0,0
