Name,,Publications,publication,citation,h-index
"121. Geetha, V.",,12,2016,3,2
"122. Jubendradass, Rajamanickam",,12,2015,140,8
"123. Kumar, Muthuvel Suresh",,12,2017,157,7
"124. Palaniradja, Kichenaradjou",,12,2016,37,6
"125. Prashanth, Krishna Shastrula",,12,2016,38,7
"126. Rajagopan, S.",,12,2014,44,7
"126. Rajagopan, S.",,12,2014,44,7
"127. Ramamurthy, Chitteti H.",,12,2016,140,7
"128. Saraswady, Djagadeesan",,12,2016,1,1
"129. Srinivasamoorthy, Krishnaraj",,12,2016,54,11
"130. Srinivasan, E. M.",,12,2016,28,4
"131. Subramaniam, Nitya P.",,12,2016,13,2
"132. Venkatesan, Venkatasamy Prasanna",,12,2016,5,2
"133. Ansal, Kalikuzhackal Abbas",,11,2016,5,1
"134. Bhutani, Rajneesh",,11,2016,34,9
"135. Devi, Rs Uma",,11,2016,22,5
"136. Kannan, Muthu",,11,2016,49,4
"137. Kannan, R.",,11,2014,26,3
"138. Mithun, T.",,11,2016,24,3
"139. Pan, Archana",,11,2016,64,9
"140. Prabu, B.",,11,2016,42,6
"141. Premalatha, Manicam",,11,2014,205,7
"142. Ramakrishnan, Krishnan V.",,11,2016,16,11
"143. Rao, Pillutlasambasiva",,11,2013,104,15
"144. Ravi, S. S.",,11,2016,16,20
"145. Reddy, M. Vikram",,11,2014,44,8
"146. Sankar, Pajaniradje",,11,2016,90,6
"147. Saravanane, Raman",,11,2016,28,8
"148. Satish Kumar, Ramraj",,11,2014,213,8
"149. Shah, Manzoor A. Ahmad",,11,2016,69,5
"150. Sujatha, Pothula",,11,2015,24,2
"151. Venkatesan, Rangarajan",,11,2015,99,14
"152. Ashok Kumar, Srinivasan",,10,2014,21,3
"153. Balaji, Nikhil",,10,2015,38,5
"154. Dhivya, L.",,10,2015,127,7
"155. Gajalakshmi, Selvaraj",,10,2017,18,15
"156. Gangineni, Ramesh Babu",,10,2017,12,5
"157. Jaffar Ali, Baquir Mohammed Jaffar",,10,2016,73,9
"158. Jena, Paramananda K.",,10,2015,42,5
"159. Kuppusamy, K. S.",,10,2016,0,3
"160. Murugesan, C.",,10,2016,31,3
"161. Narayanan, Kannan Badri",,10,2015,318,12
"162. Paari, Alagesan",,10,2014,24,3
"163. Palanivel, Balan",,10,2016,38,11
"164. Parthiban, A.",,10,2016,26,3
"165. Periyasamy, Latha",,10,2016,53,4
"166. Ragavan, Pandisamy",,10,2016,15,2
"167. Ramachandran, Muthiah",,10,2016,5,6
"168. Ramakrishna, Buthanapalli",,10,2017,47,5
"169. Saruladha, K.",,10,2016,2,1
"170. Satyanarayana, Sirasani V M",,10,2016,3,16
"171. Sharma, Om Prakash",,10,2015,58,34
"172. Sundararajan, Thirumalai",,10,2016,7,4
"173. Suresh Kumar, Muthuvel",,10,2016,56,5
"174. Veena, Vijay Kumar",,10,2016,35,4
"175. Victer Paul, P.",,10,2014,120,7
"176. Vijayan, Lakshmi",,10,2014,71,7
"177. Viswanath, Annamraju Kasi",,10,2017,31,24
"178. Deviannapoorani, C.",,9,2016,95,4
"179. Gali, Nirmal Kumar",,9,2014,22,3
"180. Ganaie, Sami Ullah",,9,2016,21,3
"181. Geethalakshmi, Balakrishnan",,9,2016,1,3
"182. Govindasamy, V.",,9,2016,5,1
"183. Jayakumar, S. K V",,9,2015,54,3
"184. Jayanthi, K. K.",,9,2016,2,1
"185. Jenardhanan, Pranitha",,9,2016,26,4
"186. Joseph, K. Suresh",,9,2016,0,0
"187. Kalpana, R.",,9,2016,1,2
"188. Kumar, N. S Krishna",,9,2017,23,2
"189. Kumar, Srinivasan Ashok",,9,2015,16,3
"190. Manivel, Panneerselvam",,9,2015,41,4
"191. Mishra, Sandeep K.",,9,2017,37,3
"192. Muthu, Tamilarasi R.",,9,2017,6,2
"193. Nallamuthu, Nallaperumal",,9,2014,33,6
"194. Patil, H. P.",,9,2017,2,1
"195. Ramaiah, Chennupati K.",,9,2015,11,3
"196. Ramakumar, Suryanarayanarao S V",,9,2016,164,23
"197. Sadras, Sudha Rani",,9,2016,46,4
"198. Sengathir, Janakiraman",,9,2016,9,2
"199. Shakya, Garima",,9,2016,15,2
"200. Siva Sathya, S.",,9,2016,10,3
"201. Sivakumar, Rajagopalan",,9,2016,12,7
"202. Somaiah, Sundarapandian",,9,2017,11,8
"203. Suyavaran, Arumugam",,9,2017,80,4
"204. Uma, V.",,9,2016,11,2
