Name,Publications,publication,,h-index
"127. Tripathy, Baishnab Charan Haran",11,2013,164,8
"128. Adhikari, Ratnadip",10,2014,37,5
"129. Ghosh, Ilora",10,2016,50,8
"130. Ghosh, Pooja",10,2016,47,4
"131. Goswami, Shyamal K.",10,2014,107,10
"132. Himanshu, H.",10,2016,87,7
"133. Kumar, Alok Yudhistra",10,2016,35,10
"134. Kumar, Ashish Santosh",10,2013,290,24
"135. Kumar, Bablu",10,2016,27,4
"136. Kumar, Manoj Ramana",10,2017,36,5
"137. Kumar, Pardeep M Prathcesh",10,2015,109,8
"138. Kumar, Sanjay",10,2014,188,9
"139. Kumar, Tinku Vijay Vijay",10,2015,42,5
"140. Punia, Milap",10,2015,39,6
"141. Raina, Dhruv",10,2016,17,3
"142. Ramchiary, Nirala",10,2016,48,12
"143. Rath, Pramod C.",10,2017,28,4
"144. Sen, Sobhan",10,2016,109,19
"145. Srivastava, Arun Kumar",10,2016,54,15
"146. Tripathi, Manorama",10,2016,17,5
"147. Asthana, Deepak",9,2015,116,6
"148. BAQUER, Najma Zaheer Aheer",9,2015,119,23
"149. Borthakur, Anwesha",9,2017,7,2
"150. Chatterjee, Arpita",9,2016,12,2
"151. Das, Mihir Tanay",9,2015,68,5
"152. Garkoti, Satish Chandra",9,2015,23,6
"153. Gogna, Rajan",9,2013,168,9
"154. Kumar, B. N. Prashanth",9,2015,60,9
"155. Madan, Esha",9,2013,168,10
"156. Maurya, V. K.",9,2016,20,2
"157. Patel, Arun Singh",9,2016,44,4
"158. Pramanik, A. K.",9,2017,15,2
"159. Raj, Isha",9,2015,85,5
"160. Rina, Kumari",9,2014,78,6
"161. Saxena, Premchand Chand",9,2015,7,1
"162. Saxena, Rajiv K.",9,2016,60,16
"163. Singh, Buddha K.",9,2016,73,3
"164. Singh, Budhi B.",9,2016,45,6
"165. Singh, Chander Kumar",9,2014,41,6
"166. Singh, Jagendra",9,2016,8,2
"167. Singh, Kedar P.",9,2016,17,14
"168. Singh, Madhuri P.",9,2015,86,6
"169. Singh, Rishipal K Brojen",9,2017,5,3
"170. Sreekesh, S.",9,2016,2,1
"171. Tiku, Ashu Bhan",9,2016,56,6
"172. Yadav, Premlata",9,2016,13,2
"173. Ali, Shafat",8,2016,70,7
"174. Bharti, Randhir Kumar",8,2015,29,4
"175. Bisht, Ramila",8,2016,36,4
"176. Chevuturi, A.",8,2016,9,2
"177. Dasgupta, Sangeeta",8,2011,3,1
"178. Desai, Bharat H.",8,2016,3,2
"179. Goyal, Sukriti",8,2017,12,8
"180. Gudavarthy, Ajay",8,2016,6,3
"181. Guru, Gopal",8,2016,9,3
"182. Jodhka, Surinder NDER S",8,2016,16,4
"183. Kalaiarasan, Ponnusamy",8,2016,99,6
"184. Kumar, Pawan Anand",8,2016,49,20
"185. Kumar, Pramod Anand",8,2016,25,9
"186. Linda, Anurag",8,2015,105,6
"187. Nayar, Kesavan Rajasekharan",8,2013,6,4
"188. Neha, Prakriti R.",8,2017,20,2
"189. Pani, Padmini",8,2016,9,2
"190. Parimala, N.",8,2016,13,2
"191. Pathak, Jyotsana K.",8,2016,16,5
"192. Pawar, Nisha R.",8,2016,48,6
"193. Pujala, Ravi Kumar",8,2015,49,4
"194. Rahi, Amit",8,2017,60,4
"195. Ranjan, Rajesh Kumar",8,2015,45,8
"196. Sarin, Shiv Kumar",8,2015,251,39
"197. Sarswat, Ankur",8,2017,389,5
"198. Saxena, K. G.",8,2015,17,6
"199. Shah, Abdul Haseeb",8,2016,47,4
"200. Shashtri, Satyanarayan",8,2015,110,8
"201. Singh, Abhishek Kumar",8,2016,65,15
"202. Singh, Charan M P",8,2012,127,21
"203. Singh, Deepak J.",8,2016,43,6
"204. Singh, Neha K.",8,2015,17,4
"205. Singhal, Anjali",8,2016,25,5
"206. SRIVASTAVA, AMIT Kumar Umar",8,2014,62,35
"207. Ahmad, Shaista",7,2014,35,4
"208. Ajayakumar, M. R.",7,2015,97,7
"209. Azam, Mohd Farooq",7,2016,101,6
"210. Bansal, Sangeeta C.",7,2015,7,3
"211. Baru, Rama V.",7,2015,12,5
"212. Choudhary, Meenakshi K.",7,2016,59,7
"213. Datta, Kasturi",7,2016,30,14
"214. Goli, Srinivas",7,2016,6,5
"215. Gupta, Vibhor S.",7,2015,90,10
"216. Iqbal, Mohd Askandar Skandar",7,2015,117,5
"217. Jain, Satish Kumar",7,2015,3,4
"218. Jha, Sushil K.",7,2014,51,13
"219. Juneja, Akanksha",7,2017,9,2
"220. Kaushik, Achal",7,2016,4,1
"221. König, Lion",7,2015,0,0
"222. Krishna, Venni Venkata",7,2015,24,6
"223. Kumar, Arun",7,2017,2,2
"224. Kumar, Avesh Siva",7,2016,70,6
"225. Kumar, Rishikesh Vinoth",7,2016,23,4
"226. Kundu, Rajendra P.",7,2015,0,1
"227. Kushwaha, Nirbhay Kumar",7,2017,24,4
"228. Mondal, Neelima",7,2016,25,6
"229. Nair, Janaki",7,2015,4,4
"230. Pal, Vishwa",7,2013,26,4
"231. Pandian, M. S S",7,2014,9,4
"232. Patnaik, Utsa",7,2016,9,7
"233. Prasad, Rajendra T.",7,2016,17,55
