World Rank-13,University,,National Rank-13,Overall-15,Alumini-13,Award-13,HiCi-13,N&S-13,PUB-13,PCP-13
401-500,Curtin University of Technology,,17-19,,0,0,0,10.7,32,17.8
401-500,Dalian University of Technology,,17-28,,0,0,0,3.5,39.9,15.4
401-500,Drexel University,,132-149,,0,0,7.2,7.5,27.9,16
401-500,Ecole National Superieure Mines - Paris,,19-20,,14.1,25.1,0,3.7,8.4,13.1
401-500,Federal University of Rio Grande do Sul,,6,,0,0,0,4.6,38.5,17.8
401-500,Hannover Medical School,,31-38,,0,0,0,6.9,31.5,14.8
401-500,Indiana University-Purdue University at Indianapolis,,132-149,,0,0,0,9.3,37.8,12.4
401-500,Istanbul University,,1,,14.1,0,0,3.8,34.5,16.5
401-500,Kanazawa University,,16-20,,0,0,10.2,10.3,25.1,14.1
401-500,Kent State University,,132-149,,0,0,10.2,13.1,22.5,14
401-500,King Abdullah University of Science and Technology,,4,,0,0,16.2,8.7,17.2,11.5
401-500,Kyung Hee University,,8-11,,0,0,0,2.1,38.7,16.6
401-500,Kyungpook National University,,8-11,,0,0,0,3.3,34.8,16
401-500,La Trobe University,,17-19,,0,0,7.2,4,26.7,17.1
401-500,Lanzhou University,,17-28,,0,0,0,4.9,35,15.7
401-500,Lehigh University,,132-149,,0,0,12.4,10.5,18.1,16.1
401-500,London School of Hygiene and Tropical Medicine,,34-37,,7.6,0,0,5.6,31.1,19.5
401-500,Massey University,,3-5,,0,0,10.2,4.2,25.3,14.6
401-500,Medical College of Wisconsin,,132-149,,0,0,7.2,7.1,26.4,11.1
401-500,Medical University of Graz,,4-7,,0,9.5,7.2,3.7,22.6,20.2
401-500,Medical University of Innsbruck,,4-7,,0,0,12.5,3,22.7,20.7
401-500,Nagasaki University,,16-20,,12,0,10.2,2.4,22.3,10.5
401-500,Nankai University,,17-28,,0,0,0,9.4,35,12.8
401-500,National Central University,,6-9,,0,0,0,7.8,30.4,17.3
401-500,National Sun Yat-Sen University,,6-9,,0,0,7.2,2.4,27,17.7
401-500,National Yang Ming University,,6-9,,0,0,0,7.9,32.9,23.7
401-500,Niigata University,,16-20,,0,0,12.5,5.2,24.2,11.4
401-500,Osaka City University,,16-20,,16,0,7.2,6.5,22.2,14
401-500,Peking Union Medical College,,17-28,,0,0,0,10,30.7,14.8
401-500,Polytechnic University of Turin,,13-19,,0,0,14.5,1.5,26.6,18.9
401-500,Pusan National University,,8-11,,0,0,0,5.3,34.6,14.8
401-500,South China University of Technology,,17-28,,0,0,0,5.3,35.1,12.8
401-500,Southeast University,,17-28,,0,0,0,6.4,37.6,13
401-500,Southern Methodist University,,132-149,,12,0,7.2,7.2,19.7,14.4
401-500,Stockholm School of Economics,,11,,0,16.4,0,,8.7,36
401-500,Technical University of Braunschweig,,31-38,,13.1,0,7.2,9.2,21.7,12
401-500,Technical University of Lisbon,,3-4,,0,0,0,5,34.1,15.8
401-500,Texas Tech University,,132-149,,0,0,10.2,4.6,29.9,14
401-500,The Open University,,34-37,,0,0,12.5,11.6,23.2,12.8
401-500,The University of Texas Medical Branch at Galveston,,132-149,,0,0,17.7,4.9,21.6,14.1
401-500,The University of Tokushima,,16-20,,0,0,10.2,8.7,19.8,13.6
401-500,Tianjin University,,17-28,,0,0,0,1.5,39.8,14.6
401-500,Tongji University,,17-28,,0,0,0,4.2,39.6,12.3
401-500,University of Alaska - Fairbanks,,132-149,,0,0,14.5,10.4,19.3,15.2
401-500,University of Arkansas at Fayetteville,,132-149,,0,0,10.2,8,23.9,13
401-500,University of Bayreuth,,31-38,,0,0,7.2,13.7,22,12.3
401-500,University of Bielefeld,,31-38,,0,0,13.6,6.5,25,13.4
401-500,University of Bremen,,31-38,,0,0,0,13.9,29.2,14.8
401-500,University of Canterbury,,3-5,,0,0,7.2,9.2,26,19.5
401-500,University of Chile,,1-2,,7.6,0,0,8.1,31.6,15.1
401-500,University of Coimbra,,3-4,,0,0,0,6.4,32.5,15.2
401-500,University of Duisburg-Essen,,31-38,,0,0,7.2,9,29.3,14.4
401-500,University of Eastern Finland,,4-5,,0,0,7.2,5,28.9,13.8
401-500,University of Essex,,34-37,,20,0,7.2,0,21.2,19.3
401-500,University of Ferrara,,13-19,,0,0,10.2,6.9,23.8,19.3
401-500,University of Graz,,4-7,,7.6,9.5,0,7.2,19.3,16.1
401-500,University of Haifa,,7,,0,0,7.2,7.4,25.4,12.6
401-500,University of Hannover,,31-38,,0,0,7.2,11.3,24.7,12.9
401-500,University of Idaho,,132-149,,0,0,10.2,9.4,19.1,13.3
401-500,University of Jena,,31-38,,0,0,0,7.3,34.1,16
401-500,University of Jyvaskyla,,4-5,,0,0,7.2,7.9,24.7,12.3
401-500,University of KwaZulu-Natal,,3,,0,0,7.2,5.4,29.3,14
401-500,University of Ljubljana,,1,,0,0,0,4,35.7,13.4
401-500,University of Malaya,,1,,0,0,0,3.3,37.4,17.2
401-500,"University of Maryland, Baltimore County",,132-149,,0,0,12.5,7.4,18.2,14.6
401-500,University of Milan - Bicocca,,13-19,,0,0,0,6.7,29.4,19
401-500,University of Nebraska Medical Center,,132-149,,0,0,16.2,6.9,22.7,13.6
401-500,University of New Hampshire - Durham,,132-149,,0,0,14.5,10.6,21.3,14.7
401-500,University of Palermo,,13-19,,0,0,12.5,3.3,26.9,13.5
401-500,University of Pavia,,13-19,,0,0,0,6.7,30.7,18
401-500,University of Quebec,,19-23,,0,0,0,10.2,34.6,16.5
401-500,University of Rennes 1,,19-20,,0,0,7.2,11.4,28,11
401-500,University of Roma - Tor Vergata,,13-19,,0,0,0,11.3,33,17.8
401-500,University of Sherbrooke,,19-23,,0,0,7.2,9.6,24.1,11.4
401-500,University of Surrey,,34-37,,0,0,7.2,4.2,26,16.9
401-500,University of Szeged,,2,,0,13.4,7.2,5.5,21.2,12.2
401-500,"University of Technology, Sydney",,17-19,,0,0,14.5,2.4,26.1,17.2
401-500,University of Tehran,,1,,13.1,0,0,0,37.3,17.6
401-500,University of the Basque Country,,9-10,,0,0,7.2,6.5,33,11.8
401-500,University of Tromso,,4,,0,0,10.2,6.3,24,14.8
401-500,University of Wyoming,,132-149,,0,0,7.2,14.6,22.4,15.4
401-500,University of Zagreb,,1,,0,0,0,4.4,34.1,15.8
401-500,University of Zaragoza,,9-10,,0,0,5.1,2.1,33.7,12.3
401-500,Utah State University,,132-149,,0,0,7.2,9.6,24.7,13.7
401-500,Victoria University of Wellington,,3-5,,12,0,0,7.4,24,16.9
401-500,Vienna University of Technology,,4-7,,0,0,0,9.8,27.9,21.1
401-500,Wuhan University,,17-28,,0,0,0,2.6,39.3,10.8
401-500,Xiamen University,,17-28,,0,0,1,8.2,35.8,12.5
401-500,York University,,19-23,,0,0,0,10.5,30.3,11.8
