World Rank-10,University,National Rank-10,Overall-10,Alumini-10,Award-10,HiCi-10,N&S-10,PUB-10,PCP-10
1,Harvard University,1,100,100,100,100,100,100,69.2
2,"University of California, Berkeley",2,72.4,67.6,79.3,69,70.9,70.6,54.2
3,Stanford University,3,72.1,40.2,78.4,87.6,68.4,69.7,50.1
4,Massachusetts Institute of Technology (MIT),4,71.4,70.5,80.3,66.8,70.1,61.4,64.5
5,University of Cambridge,1,69.6,88.5,92.6,53.9,54.3,65.7,53.1
6,California Institute of Technology,5,64.4,50.3,68.8,56.7,64.8,46.9,100
7,Princeton University,6,60.8,56.4,84.8,61.1,43.3,44.3,65.5
8,Columbia University,7,60.4,70.7,67.4,56.2,47.6,69.9,32.1
9,University of Chicago,8,57.3,65.5,83.9,50.9,39.8,50.5,40
10,University of Oxford,2,56.4,56.2,57.6,48.8,49.8,68.5,41.1
11,Yale University,9,54.6,48.6,44.9,58.5,56.3,62,37
12,Cornell University,10,52.6,42.3,51.1,54.3,49.9,59.5,38.1
13,"University of California, Los Angeles",11,52.2,27.2,42.6,56.9,49.2,75.1,31.2
14,"University of California, San Diego",12,50,15.1,35.8,60.2,54.6,65.1,37.9
15,University of Pennsylvania,13,49,32.9,34.3,57.1,46.9,68.6,28.5
16,University of Washington,14,48.7,24.4,31.7,53.9,51.6,72.5,28.1
17,University of Wisconsin - Madison,15,46.4,36.5,35.4,51.9,40.2,66.1,25.7
18,The Johns Hopkins University,16,46,43.6,32.1,42,49.4,64,27.2
18,"University of California, San Francisco",17,46,0,40.1,53.4,51.8,60.7,33.6
20,The University of Tokyo,1,45.9,33.3,14.1,42,52,80.4,34.5
21,University College London,3,44.4,32.9,32.1,39.4,44.6,67,31.6
22,University of Michigan - Ann Arbor,18,44.2,36.5,0,59.8,43.4,79.8,26.3
23,Swiss Federal Institute of Technology Zurich,1,43.4,34.1,36.1,36.3,43.6,53.6,47.1
24,Kyoto University,2,43.1,33.7,34.7,38.1,36,67.6,31
25,University of Illinois at Urbana-Champaign,19,42.6,35.4,36.5,42.6,37.1,58.6,27.8
26,"The Imperial College of Science, Technology and Medicine",4,41.9,17.7,37.2,41.4,36.9,62.3,33
27,University of Toronto,1,41.8,23.8,19.2,38.8,38.3,80.3,27.9
28,"University of Minnesota, Twin Cities",20,40.6,30.6,16.2,50.4,36.1,66.6,23.9
29,Northwestern University,21,38.4,18.5,18.9,48.3,35.9,59.7,28.4
30,Washington University in St. Louis,22,38.1,21.3,25.9,38.8,41,54.8,26.7
31,New York University,23,37.8,32.4,24.4,40.7,36.2,54.4,22.4
32,"University of California, Santa Barbara",24,37.1,16,35.1,42,33.3,42.6,37.3
32,University of Colorado at Boulder,24,37.1,14.1,30.7,38.8,41.7,44.7,33.5
34,Rockefeller University,26,36.7,19.2,58.4,28.8,42.3,21,35.6
35,Duke University,27,35.3,17.7,0,45.8,42.2,62,24.4
36,University of British Columbia,2,34.7,17.7,18.9,32.2,30.8,65.7,23.7
36,"University of Maryland, College Park",28,34.7,22,19.9,41.4,29,53.6,26.2
38,The University of Texas at Austin,29,34.5,18.5,16.6,46.1,28.4,54.4,24.7
39,Pierre and Marie  Curie University - Paris 6,1,34.2,34.8,23.5,24.9,28.8,59.9,21.9
40,University of Copenhagen,1,33.4,26.1,24.1,26,26,56.4,32.3
41,University of North Carolina at Chapel Hill,30,33.3,10.7,16.2,39.4,27.7,60.6,23.9
42,Karolinska Institute,1,33.2,26.1,27.2,31.4,20.5,49.9,38.1
43,Pennsylvania State University - University Park,31,32.6,11.9,0,46.6,37.4,56.1,23.2
44,The University of Manchester,5,32.4,23.2,18.9,27.9,28,59.1,23.1
45,University of Paris Sud (Paris 11),2,32.3,31.7,46,12.5,20.8,49.9,23.6
46,"University of California, Davis",32,32,0,0,47.2,31.7,63,26
46,"University of California, Irvine",32,32,0,29.3,36.7,26.3,49.3,26.9
46,University of Southern California,32,32,0,26.7,38.8,26.3,53.1,20
49,The University of Texas Southwestern Medical Center at Dallas,35,31.8,20.6,33.1,30.5,29.9,38.4,23.5
50,Utrecht University,1,31.7,26.1,20.9,27.9,30.4,48.2,26.1
51,University of Zurich,2,31.2,10.7,26.7,26.4,28.7,50.6,27
52,University of Munich,1,31.1,31.5,22.8,16.1,26.3,54.5,30.7
53,Vanderbilt University,36,31,17.7,29.5,31.4,20.2,50.8,19.1
54,"Rutgers, The State University of New Jersey",37,30.9,13.1,19.9,40.1,27.9,43.7,23.2
54,The University of Edinburgh,6,30.9,19.2,16.6,26,34.2,51.3,23.9
56,Technical University Munich,2,30.7,39.2,23.5,24.9,19.5,46.5,29.2
56,University of Pittsburgh,38,30.7,21.3,0,42,23.4,63.1,19
58,Carnegie Mellon University,39,30.2,32.9,32.7,30.5,15.2,34.2,34.3
59,The Australian National University,1,29.6,15.1,12.6,36,27.8,43.8,31.1
59,The Ohio State University - Columbus,40,29.6,15.1,0,41.7,22.8,62,19.1
61,McGill University,3,29.5,31.1,0,32.2,22.9,59.6,25.3
62,University of Melbourne,2,29.3,19.9,14.1,22.8,18.7,63.1,27
63,King's College London,7,29.1,14.1,23,31.4,16.7,50.7,25
63,University of Heidelberg,3,29.1,16.9,27,17.6,23,50.6,28.6
65,Brown University,41,29,16,13.6,31.4,29.6,41.9,32.1
66,University of Bristol,8,28.9,9.2,17.8,28.8,29.1,47.3,25.1
66,Uppsala University,2,28.9,22,32.1,14.4,19.9,49.5,26.6
68,University of Florida,42,28.8,19.2,0,36.7,20.6,63.9,17.5
69,Purdue University - West Lafayette,43,28.6,16,16.6,29.7,22.4,51.8,20.6
70,Leiden University,2,28.4,21.3,15.4,27.9,19.9,47.8,32.4
71,Ecole Normale Superieure - Paris,3,28.3,50.8,24.4,12.5,18.7,27.9,56.7
72,The Hebrew University of Jerusalem,1,28.1,31.5,19.9,24.9,20.8,41.6,26.5
72,University of Helsinki,1,28.1,16,17.8,22.8,20.6,52.7,28.2
74,Moscow State University,1,27.9,46.8,34.1,0,9.6,52.4,31.2
75,Osaka University,3,27.7,10.7,0,26.9,27.9,60.2,27.8
75,University of Oslo,1,27.7,22,33.3,17.6,13.5,46.6,24.3
77,Boston University,44,27.3,13.1,11.5,29.7,24.7,50,19.3
78,University of Arizona,45,26.8,0,0,29.7,37.5,52.1,21.6
79,Stockholm University,3,26.4,25,29.5,16.1,20.4,37.5,24.2
79,Nagoya University,4,26.4,24.4,14.1,16.1,24.3,48.1,26.1
