University ,National Rank-14,Overall-14,Alumini-14,Award-14,HiCi-14,N&S-14,PUB-14,PCP-14,World Rank-14
University of Duesseldorf,,,11.8,0,6.1,11,31,16.3,
University of Duisburg-Essen,,,0,0,8.6,9.5,30.8,15.5,
University of Giessen,,,0,0,12.3,10.1,30.9,16.3,
University of Granada,05-Aug,,0,0,7.1,9.4,39.9,13.3,
University of Halle-Wittenberg,,,0,6.7,3.6,11.3,25.7,13.6,
University of Jyvaskyla,,,,,,,,,
University of Konstanz,,,0,0,12.1,12.5,22.7,13.3,
University of Malaya,1,,0,0,5,3.4,39.1,18.5,
University of Manitoba,,,0,0,8.1,8.8,35.4,15.9,
University of Milan - Bicocca,09-Dec,,0,0,5,6.9,31.4,21.5,
University of Montana - Missoula,,,,,,,,,
University of Naples Federico II,09-Dec,,0,0,8.6,5.1,42.4,16.8,
University of Newcastle,Oct-18,,0,0,11.1,7.1,31.4,21.3,
University of Oulu,02-Mar,,11.8,0,8.6,8.2,28.8,15,
University of Paris Dauphine (Paris 9),,,15.8,26.6,3.6,0,13.6,23.1,
University of Pompeu Fabra,05-Aug,,0,0,5,17.2,26.2,31.4,
University of Porto,2,,0,0,0,9.4,42.7,20.3,
University of Rhode Island,,,0,0,15.2,9.3,21.5,16.4,
University of Roma - Tor Vergata,09-Dec,,0,0,0,10.7,34.1,19.4,
University of Saskatchewan,,,9.1,0,7.9,7.7,32.7,15.5,
University of Southern Denmark,4,,0,0,7.2,11.7,35.5,18,
University of Tasmania,Oct-18,,0,0,10.1,15.6,27.6,22,
"University of Technology, Sydney",Oct-18,,0,0,14.3,4.1,28,18.6,
University of Tehran,1,,12.9,0,10,0,38.8,19.6,
University of Turku,02-Mar,,0,0,6.3,8.4,32.9,16.3,
University of Twente,11-Dec,,0,0,5.1,10.4,32.5,20.8,
University of Ulm,,,0,0,12.3,12.5,31.3,16.8,
University of Vermont,,,13.9,0,12.2,9,26.4,14.2,
University of Warsaw,01-Feb,,15.8,0,0,8.6,30.6,15.6,
University of Wollongong,Oct-18,,0,0,12.2,7.5,31.9,21.7,
Vrije University Brussel,06-Jul,,13.9,0,5,9.6,30,25.6,
Wake Forest University,,,0,0,14.9,7.5,25.8,12,
Wayne State University,,,0,0,3.6,10.1,37.8,13.9,
Xiamen University,,,0,0,5.5,8.8,37.3,13.8,
Aalborg University,5,,0,0,12.2,3.4,27.6,15.2,
Aalto University,04-May,,0,0,0,9.6,32,15.5,
Aristotle University of Thessaloniki,2,,0,0,4.9,2.2,33.8,16,
Auburn University,,,0,0,8.6,6,28.2,13.1,
Bar-Ilan University,05-Jun,,0,0,7.2,7.4,28.1,14.3,
Ben-Gurion University of the Negev,05-Jun,,0,0,3.6,7.2,33.8,16.2,
Bielefeld University,,,0,0,11.8,7.1,24.4,13,
Boston College,,,0,0,8.6,12.9,22.5,14.6,
Brunel University,,,0,0,12.2,3.8,25.4,16.1,
Cairo University,1,,19.7,0,0,3.8,29.7,15.3,
Capital University of Medical Sciences,,,0,0,0,0,33.1,29.1,
Capital Medical University,,,,,,,,,
Carleton University,,,0,0,12.2,5.3,26.2,15.4,
Catholic University of Chile,01-Feb,,0,0,3.6,8.6,30,14.7,
Catholic University of Korea,09-Oct,,0,0,0,1.5,30.3,34.8,
Catholic University of the Sacred Heart,,,0,0,3.6,7.5,30.1,18,
Chang Gung University,05-Jul,,0,0,3.6,3.3,35.1,21.6,
Clemson University,,,0,0,6.3,8.7,26.8,14.5,
Deakin University,19,,0,0,0,8.4,34.1,19.9,
East China University of Science and Technology,,,0,0,5,4.9,33.5,15.1,
Ewha Womans University,09-Oct,,0,0,5,9,27.8,15.8,
Federal University of Rio Grande do Sul,6,,0,0,0,4.7,38.9,18.2,
Istanbul University,1,,13.9,0,0,3.3,34.9,16.9,
Kanazawa University,,,0,0,5.1,10.5,25.4,14.4,
Kansas State University,,,0,0,7.1,11.2,28,13.8,
Kent State University,,,0,0,5.1,13,22.4,14,
King Abdullah University of Science and Technology,03-Apr,,0,0,16.8,9.6,20,12.9,
King Fahd University of Petroleum & Minerals,03-Apr,,0,0,17.9,4.9,20.3,16.3,
Kyungpook National University,,,,,,,,,
Medical University of Graz,04-Jun,,0,9.4,3.6,4.4,24.8,22,
Medical University of South Carolina,,,0,0,7.2,6,29.8,19.7,
MINES ParisTech,,,13.9,24.9,0,3.8,8.1,13.1,
Nanjing Medical University,,,0,0,0,4.1,31.3,26.3,
Nara Institute of Science and Technology,,,,,,,,,
National Sun Yat-Sen University,05-Jul,,0,0,12.3,2.4,27.5,19.9,
National Yang Ming University,05-Jul,,0,0,0,4.2,33.3,24.1,
Okayama University,,,0,0,3.6,10.6,29.6,12.2,
Oklahoma State University,,,0,0,8.6,4.9,28.5,13.7,
Osaka City University,,,15.8,0,3.6,6.5,21.5,13.9,
Peking Union Medical College,,,0,0,0,9.9,32.6,16.2,
Polytechnic University of Catalonia,09-Dec,,0,0,5,8.3,28.7,14,
Pusan National University,,,,,,,,,
Queensland University of Technology,,,,,,,,,
Rush University,,,0,0,10.7,6.6,24.7,16.3,
Saint Louis University,,,0,11.5,5.1,4.6,24.2,11.5,
Sharif University of Technology,,,,,,,,,
Soochow University,,,0,0,0,4.2,39.5,14.4,
State University of New York Health Science Center at Brooklyn,,,0,15.4,5.1,7.1,16.3,17.5,
Stellenbosch University,03-Apr,,0,0,5,5.8,30.2,14.6,
Stockholm School of Economics,11,,0,16.3,0,,9.4,37.9,
Syracuse University,,,0,0,8.1,8.1,24.8,13.1,
Technical University Darmstadt,,,14.9,0,3.6,7.9,27.4,14.3,
Technical University of Braunschweig,,,12.9,0,3.6,9.3,21.3,11.8,
The Open University,,,0,0,6.3,12.9,22.3,13.1,
Texas Tech University,,,,,,,,,
The University of Texas Medical Branch at Galveston,,,0,0,13.9,5,22.9,14.2,
Tianjin University,,,0,0,0,1.5,43.2,16.2,
Tilburg University,13,,0,0,0,,28.1,21.2,
Tokyo University of Science,,,0,0,7.1,8.4,22.9,16.3,
University College Cork,3,,0,0,13.1,7.7,26,14.1,
University of Alaska - Fairbanks,,,0,0,12.2,11.4,20.9,16.2,
University of Arkansas at Fayetteville,,,0,0,12.2,6.2,24.4,13.9,
University of Arkansas at Little Rock,,,0,0,10.7,2.2,24.7,19.8,
University of Auvergne,,,0,0,7.1,10.9,25.6,16.2,
University of Bath,,,0,0,5.1,11.9,27.5,18.6,
University of Bayreuth,,,0,0,8.6,14.9,22.7,13.2,
University of Bremen,,,0,0,0,13.1,29.6,15,
University of Cagliari,,,0,0,10.1,3.9,24.4,16.9,
University of Canterbury,03-Apr,,0,0,3.6,9.2,25.8,19.8,
University of Chile,01-Feb,,7.4,0,0,10.1,31.1,15.4,
University of Coimbra,3,,0,0,0,8.2,33.9,16.2,
University of Eastern Finland,04-May,,0,0,12.3,5.3,27.9,14.6,
University of Essex,,,19.7,0,8.6,1.5,20.1,19.3,
University of Ferrara,,,0,0,10.1,6.9,25.1,21.3,
University of Genova,,,0,0,7.2,3.1,32.3,17.5,
University of Genoa,,,,,,,,,
University of Graz,04-Jun,,7.4,9.4,0,6.3,19.1,16.3,
University of Hannover,,,0,0,8.6,10.5,24.5,13,
University of Jena,,,0,0,0,8.4,33.8,16.2,
University of KwaZulu-Natal,03-Apr,,0,0,3.6,9,31,15.2,
University of Ljubljana,1,,0,0,0,5.2,36.1,14.2,
"University of Maryland, Baltimore County",,,0,0,17.4,7.1,17.1,16.8,
University of New Hampshire - Durham,,,0,0,14.3,10.6,20.9,15.1,
University of Nice Sophia Antipolis,,,0,0,3.6,14.9,25.8,12.1,
University of Oklahoma - Norman,,,0,0,5.1,10.9,28.9,14.2,
University of Palermo,,,0,0,6.3,6.2,28.6,14.7,
University of Parma,,,0,0,13.6,5,25.3,18.8,
University of Pavia,,,0,0,5,6.9,31.4,19.9,
University of Perugia,,,0,0,3.6,9.2,28.6,18.1,
University of Quebec,,,0,0,0,9.4,34.7,16.7,
University of Regensburg,,,0,0,3.6,13.9,28.7,15,
University of Rennes 1,,,0,0,3.6,9.2,28.2,11.1,
University of Rostock,,,0,0,8.6,8,26.4,13.4,
University of Santiago Compostela,09-Dec,,0,0,7.1,6.2,31.8,13.2,
"University of Science, Malaysia",2,,0,0,5,3.8,31.4,15.1,
University of Seville,,,,,,,,,
University of Surrey,,,0,0,8.6,5.1,27.5,18,
University of Szeged,2,,0,13.3,3.6,5.7,21.6,12.3,
University of Tennessee Health Science Center,,,0,0,12.3,8.4,22.1,12.6,
University of the Basque Country,09-Dec,,0,0,3.6,6.9,35,12.9,
University of Trieste,,,0,0,5,11.5,25.4,20.1,
University of Wyoming,,,0,0,3.6,15.5,23.4,16.5,
University of Zaragoza,09-Dec,,0,0,7.6,3.8,33.6,13,
Utah State University,,,13.9,0,3.6,10.5,23.8,14.7,
Victoria University of Wellington,03-Apr,,11.8,0,0,8.4,25,18.4,
Vienna University of Technology,04-Jun,,0,0,0,10.3,29,22.2,
Waseda University,,,0,0,6.1,7.7,28.1,10.3,
Wuhan University,,,0,0,0,2.7,42.9,12,
York University,,,0,0,0,10.1,30.6,12.4,
