University ,National Rank-14,Overall-14,Alumini-14,Award-14,HiCi-14,N&S-14,PUB-14,PCP-14,World Rank-14
Stockholm University,3,26.8,24.7,27.4,18.1,20.3,39.9,25.3,78
Technion-Israel Institute of Technology,2,26.8,24.1,37.6,15.2,19.1,33.3,27.1,78
University of Florida,44,26.8,17.5,0,30.9,22,60.4,17.5,78
Rice University,45,26.7,16.6,21.7,28.1,24.6,30,34.6,82
University of Groningen,3,26.7,0,18.8,23,19.9,52.6,32,82
Moscow State University,1,26.1,42.4,33,0,9.7,47.9,30.7,84
The University of Queensland,3,25.7,12.9,0,22,21.7,61.4,27.8,85
University of Arizona,46,25.4,14.9,0,27.2,30.7,48.4,20.5,86
University of Utah,47,25,0,11.5,26.5,27.2,47.3,18.7,87
Arizona State University,48,24.9,0,20,22.2,27.3,42.5,19.1,88
The University of Western Australia,4,24.9,13.9,14.1,22.9,15.3,47.9,28.4,88
McMaster University,4,24.8,12.9,18.8,23.2,15.5,45.7,22.6,90
University of Basel,4,24.8,19.7,16.3,17.4,20.8,39.4,34.4,90
University of Rochester,49,24.8,25.2,7.7,25.2,24,40.7,21.5,90
"University of California, Santa Cruz",50,24.7,0,0,37.9,34.3,29.4,37.3,93
University of Bonn,4,24.6,15.8,19.8,17.4,21.9,40.5,25.2,94
University of Strasbourg,4,24.5,25.8,28.8,13.9,17.7,35.5,21.2,95
KU Leuven,2,24.2,0,0,29.5,19.1,54.9,29.1,96
Swiss Federal Institute of Technology Lausanne,5,24.2,0,0,26.1,29.5,43.3,38.6,96
Texas A & M University,,,,,,,,,
Université libre de Bruxelles (ULB),,,,,,,,,
Georgia Institute of Technology,52,24.1,12.9,0,31,22.2,43.9,28,99
VU University Amsterdam,4,24,0,0,27.8,17.5,55.3,32.6,100
Texas A&M University,51,24.2,0,0,34.3,23.2,50.2,20.8,96
Aix Marseille University,05-Jul,,13.9,0,16.8,19.5,50,26.5,
Baylor College of Medicine,,,0,0,23.7,29.8,40.3,19.9,
Cardiff University,Sep-17,,0,16.3,13.6,18.8,42.4,21.2,
Case Western Reserve University,,,31.1,10.9,17.9,22,39,23,
Catholic University of Louvain,03-Apr,,10.5,13.3,15.9,9.4,42.4,29.1,
Emory University,,,0,0,28.4,23.7,51.2,17.9,
Hokkaido University,04-Jun,,11.8,16.3,7.2,16.6,44,19.1,
Indiana University Bloomington,,,10.5,21.6,18.5,21.4,38.2,19.4,
Joseph Fourier University (Grenoble 1),05-Jul,,0,14.9,17.4,22.4,39.6,20.2,
London School of Economics and Political Science,Sep-17,,20.4,16.3,15.2,,30.5,28,
Lund University,4,,21.7,0,22.5,14.7,50.4,20.9,
Mayo Medical School,,,0,0,34.9,14.1,47.8,28.6,
Michigan State University,,,9.1,0,30.7,21.3,50.5,18.5,
Monash University,05-Jul,,0,0,18.4,22.9,58.6,25.1,
Nagoya University,04-Jun,,22.3,14.1,16.8,18,45.2,21.1,
National Taiwan University,1,,11.8,0,13.9,13.1,57.9,19.9,
National University of Singapore,1,,0,0,18.3,20.2,60.2,30.9,
Peking University,01-Mar,,0,0,11.2,20.2,63.6,19,
Radboud University Nijmegen,05-Jul,,16.6,0,12.3,18.1,51.7,32.1,
Seoul National University,1,,0,0,12.3,18.9,67.8,23.4,
Shanghai Jiao Tong University,01-Mar,,0,0,12.6,11.5,65.9,21.8,
Technical University of Denmark,3,,5.3,11.5,21.1,15.5,39,22.6,
The University of Glasgow,Sep-17,,7.4,0,24.9,18.7,42.3,22.6,
The University of New South Wales,05-Jul,,0,0,20.2,17.3,57.8,23.2,
The University of Sheffield,Sep-17,,18.2,13.3,18.4,17.4,43.7,21.6,
The University of Texas M. D. Anderson Cancer Center,,,0,0,28.9,21.2,41.6,32.2,
Tohoku University,04-Jun,,14.9,0,20.7,21.8,53.2,21.3,
Tsinghua University,01-Mar,,10.5,0,10,26.2,62.7,19.5,
Tufts University,,,19,16.3,20.1,16.4,35.1,25.6,
University Libre Bruxelles,03-Apr,,20.4,26.6,11.3,11.8,34.6,30.8,
University of Alberta,05-Jun,,11.8,0,23.9,20.1,55.5,22.7,
University of Amsterdam,05-Jul,,5.3,0,20.8,19.5,53.7,28,
University of Birmingham,Sep-17,,19,9.4,20.8,14.5,45.7,20.7,
"University of California, Riverside",,,12.9,0,24.7,27.2,32.7,28.2,
University of Frankfurt,05-Jul,,31.1,0,19.6,21.8,38.6,24.7,
University of Freiburg,05-Jul,,19,18.8,13,25,37.8,24.4,
University of Goettingen,05-Jul,,31.6,14.9,13.1,17.9,40.2,24.7,
University of Leeds,Sep-17,,17.5,0,18.4,20.5,43.3,20.1,
University of Liverpool,Sep-17,,17.5,13.3,16.3,19.4,42,22.7,
University of Massachusetts Amherst,,,13.9,0,32.8,17.3,36,23.2,
