Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Science Bangalore"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Karande, Anjali Anoop",57,2017,573,10.1,1.60,22.0,7006153830,http://www.scopus.com/authid/detail.url?authorId=7006153830
"Vinoy, Kalarickaparambil Joseph",57,2016,90,1.6,0.43,15.0,7004212421,http://www.scopus.com/authid/detail.url?authorId=7004212421
"Gopakumar, Kumarukattan Nair",56,2017,547,9.8,2.01,30.0,7004096939,http://www.scopus.com/authid/detail.url?authorId=7004096939
"Maiti, Prabal K.",56,2016,520,9.3,1.22,31.0,35586912200,http://www.scopus.com/authid/detail.url?authorId=35586912200
"Patil, Satish V.",56,2016,899,16.1,1.68,23.0,8088117200,http://www.scopus.com/authid/detail.url?authorId=8088117200
"Sharma, Vinod Kumar",56,2016,166,3.0,1.51,46.0,36067611300,http://www.scopus.com/authid/detail.url?authorId=36067611300
"Chakrabarti, Amaresh",55,2017,245,4.5,0.61,18.0,54790511500,http://www.scopus.com/authid/detail.url?authorId=54790511500
"Mugesh, Govindasamy",55,2016,549,10.0,1.15,35.0,6603560179,http://www.scopus.com/authid/detail.url?authorId=6603560179
"Sampath, Srinivasan",55,2016,874,15.9,1.65,35.0,7103194886,http://www.scopus.com/authid/detail.url?authorId=7103194886
"Bhattacharyya, Aninda Jiban",54,2016,504,9.3,1.18,23.0,7402673647,http://www.scopus.com/authid/detail.url?authorId=7402673647
"Chatterjee, Kaushik",54,2017,365,6.8,2.44,12.0,56081683500,http://www.scopus.com/authid/detail.url?authorId=56081683500
"Raghavan, S. C.",54,2017,674,12.5,1.58,23.0,7201875714,http://www.scopus.com/authid/detail.url?authorId=7201875714
"Ramachandra, Thejaswini V.",54,2017,302,5.6,0.73,20.0,6603937958,http://www.scopus.com/authid/detail.url?authorId=6603937958
"Chakravortty, Dipshikha",53,2017,399,7.5,0.82,25.0,6701723776,http://www.scopus.com/authid/detail.url?authorId=6701723776
"Elizabeth, Suja",53,2017,170,3.2,1.07,12.0,6701567142,http://www.scopus.com/authid/detail.url?authorId=6701567142
"Ghosh, Arindam A.",53,2017,905,17.1,2.20,23.0,24576543900,http://www.scopus.com/authid/detail.url?authorId=24576543900
"Bagchi, Biman",52,2016,376,7.2,0.78,45.0,55161476100,http://www.scopus.com/authid/detail.url?authorId=55161476100
"Narahari, Yadati",51,2016,141,2.8,0.99,15.0,7004599248,http://www.scopus.com/authid/detail.url?authorId=7004599248
"Omkar, S. N.",51,2017,453,8.9,1.72,18.0,6603162849,http://www.scopus.com/authid/detail.url?authorId=6603162849
"Roy, Debasish",50,2017,78,1.6,0.63,15.0,7402439420,http://www.scopus.com/authid/detail.url?authorId=7402439420
"Singh, Abhishek Kumar",50,2017,538,10.8,1.63,25.0,56365074200,http://www.scopus.com/authid/detail.url?authorId=56365074200
"Babu, Ram Venkatesh",49,2016,112,2.3,1.27,12.0,7004960630,http://www.scopus.com/authid/detail.url?authorId=7004960630
"Chandra, Nagasuma R.",49,2017,197,4.0,0.49,12.0,16179727000,http://www.scopus.com/authid/detail.url?authorId=16179727000
"Arunan, Elangannan",48,2017,1028,21.4,1.99,19.0,6603931164,http://www.scopus.com/authid/detail.url?authorId=6603931164
"Godbole, Rohini M.",48,2016,506,10.5,1.44,28.0,16554770600,http://www.scopus.com/authid/detail.url?authorId=16554770600
"Mahapatra, Santanu",48,2016,199,4.1,0.63,13.0,7102526800,http://www.scopus.com/authid/detail.url?authorId=7102526800
"Suryaprakash, Nagarajarao Rao",48,2017,315,6.6,0.82,13.0,6603057389,http://www.scopus.com/authid/detail.url?authorId=6603057389
"Jayaraman, Narayanaswamy",47,2017,259,5.5,0.68,28.0,16222512200,http://www.scopus.com/authid/detail.url?authorId=16222512200
"Natarajan, Srinivasan R.",47,2017,834,17.7,1.53,49.0,35514536100,http://www.scopus.com/authid/detail.url?authorId=35514536100
"Ravikrishna, Raghunathan V.",47,2017,249,5.3,0.83,17.0,6701847232,http://www.scopus.com/authid/detail.url?authorId=6701847232
"Vasu, Ram Mohan",47,2017,92,2.0,0.42,11.0,55663544800,http://www.scopus.com/authid/detail.url?authorId=55663544800
"Nagaraja, Valakunja",46,2017,309,6.7,0.87,23.0,7004408271,http://www.scopus.com/authid/detail.url?authorId=7004408271
"Prabhu, Kandikere Ramaiah",46,2017,1009,21.9,2.58,24.0,7004816853,http://www.scopus.com/authid/detail.url?authorId=7004816853
"Ramakrishnan, Angarai Ganesan",46,2016,140,3.0,1.06,14.0,7006089567,http://www.scopus.com/authid/detail.url?authorId=7006089567
"Bhat, Thirumaleshwara N.",45,2015,196,4.4,0.39,9.0,36520731500,http://www.scopus.com/authid/detail.url?authorId=36520731500
"Kumar, Mahesh",45,2015,196,4.4,0.39,9.0,36521240500,http://www.scopus.com/authid/detail.url?authorId=36521240500
"Nagesh Kumar, D.",45,2016,281,6.2,1.24,27.0,55663720200,http://www.scopus.com/authid/detail.url?authorId=55663720200
"Nandy, Soumitra Kumar",45,2016,78,1.7,2.24,8.0,7006918597,http://www.scopus.com/authid/detail.url?authorId=7006918597
"Rajpalke, Mohana K.",45,2015,196,4.4,0.39,10.0,36348546300,http://www.scopus.com/authid/detail.url?authorId=36348546300
"Ravindranath, Nijavalli H.",45,2017,472,10.5,1.12,26.0,7005160483,http://www.scopus.com/authid/detail.url?authorId=7005160483
"Srinivas, Talabattula S N R K",45,2016,45,1.0,0.15,7.0,7005687921,http://www.scopus.com/authid/detail.url?authorId=7005687921
"Ananthasuresh, G. K.",44,2017,96,2.2,0.93,25.0,7004638746,http://www.scopus.com/authid/detail.url?authorId=7004638746
"Anil Kumar, P. S.",44,2017,129,2.9,0.76,15.0,6603768142,http://www.scopus.com/authid/detail.url?authorId=6603768142
"Bhatnagar, Shalabh",44,2016,138,3.1,1.28,15.0,23396008300,http://www.scopus.com/authid/detail.url?authorId=23396008300
"Chakravarty, Akhil R.",44,2015,825,18.8,1.85,29.0,55923401600,http://www.scopus.com/authid/detail.url?authorId=55923401600
"Sivapullaiah, Puvvadi Venkata",44,2017,75,1.7,0.54,12.0,7004550121,http://www.scopus.com/authid/detail.url?authorId=7004550121
"Sukumar, Raman",44,2016,657,14.9,2.05,25.0,7003874259,http://www.scopus.com/authid/detail.url?authorId=7003874259
"Umapathy, Siva",44,2017,230,5.2,0.67,19.0,7003793973,http://www.scopus.com/authid/detail.url?authorId=7003793973
"Deb, Anindya",43,2016,48,1.1,0.48,8.0,7102673893,http://www.scopus.com/authid/detail.url?authorId=7102673893
"John, Vinod I N O D",43,2017,162,3.8,1.91,11.0,7102963659,http://www.scopus.com/authid/detail.url?authorId=7102963659
"Nagaraju, Jampana",43,2016,237,5.5,1.77,18.0,56238490000,http://www.scopus.com/authid/detail.url?authorId=56238490000
"Pratap, Rudra",43,2017,61,1.4,0.36,15.0,7005315850,http://www.scopus.com/authid/detail.url?authorId=7005315850
"Rajanna, Kamatala Chinna",43,2017,145,3.4,0.57,14.0,7006351702,http://www.scopus.com/authid/detail.url?authorId=7006351702
"Sitharam, T. G.",43,2015,176,4.1,1.01,22.0,6701641869,http://www.scopus.com/authid/detail.url?authorId=6701641869
"Thilagar, Pakkirisamy",43,2016,514,12.0,2.40,19.0,8687410000,http://www.scopus.com/authid/detail.url?authorId=8687410000
"Ananthanarayan, Balasubramanian",42,2016,122,2.9,0.29,15.0,7003565798,http://www.scopus.com/authid/detail.url?authorId=7003565798
"Rao, Gowravarammohan",42,2017,228,5.4,0.89,15.0,7403992706,http://www.scopus.com/authid/detail.url?authorId=7403992706
"Sekar, Kanagaraj",42,2017,125,3.0,0.33,26.0,7006325915,http://www.scopus.com/authid/detail.url?authorId=7006325915
"Vijayan, Mamannamana",42,2016,112,2.7,0.55,33.0,55512284500,http://www.scopus.com/authid/detail.url?authorId=55512284500
"Ravishankar, Narayanan",41,2017,745,18.2,1.71,30.0,7003399234,http://www.scopus.com/authid/detail.url?authorId=7003399234
"Roy Mahapatra, D. R.",41,2016,160,3.9,0.87,15.0,6507713956,http://www.scopus.com/authid/detail.url?authorId=6507713956
"Balaram, Padmanabhan",40,2016,435,10.9,0.87,44.0,7103401390,http://www.scopus.com/authid/detail.url?authorId=7103401390
"Mallik, Ramesh Chandra",40,2017,229,5.7,1.55,11.0,7005035352,http://www.scopus.com/authid/detail.url?authorId=7005035352
"Sekhar Tiwary, Chandra",40,2016,392,9.8,2.15,17.0,24382126300,http://www.scopus.com/authid/detail.url?authorId=24382126300
"Sitharam, Thallak G.",40,2017,64,1.6,1.00,5.0,56367719400,http://www.scopus.com/authid/detail.url?authorId=56367719400
"Varadarajan, Raghavan",40,2017,338,8.5,0.70,24.0,24528008000,http://www.scopus.com/authid/detail.url?authorId=24528008000
"Anbazhagan, Panjamani",39,2017,106,2.7,0.38,12.0,15047494100,http://www.scopus.com/authid/detail.url?authorId=15047494100
"Bala, Govindasamy",39,2017,428,11.0,1.21,25.0,10042470700,http://www.scopus.com/authid/detail.url?authorId=10042470700
"Hegde, Gopalkrishna Mahadeva",39,2017,58,1.5,0.40,7.0,35616959800,http://www.scopus.com/authid/detail.url?authorId=35616959800
"Jagadeesh, Gopalan",39,2017,108,2.8,0.46,13.0,7003653771,http://www.scopus.com/authid/detail.url?authorId=7003653771
"Nethaji, Munirathinam",39,2016,277,7.1,0.84,13.0,56240442100,http://www.scopus.com/authid/detail.url?authorId=56240442100
"Varshney, Umesh",39,2017,129,3.3,0.45,24.0,56277674900,http://www.scopus.com/authid/detail.url?authorId=56277674900
"Atreya, Hanudatta S.",38,2016,212,5.6,0.82,19.0,6603471305,http://www.scopus.com/authid/detail.url?authorId=6603471305
"Kumar, Praveen",38,2017,152,4.0,1.52,7.0,55391521600,http://www.scopus.com/authid/detail.url?authorId=55391521600
"Mohan Rao, Gowravaram",38,2017,175,4.6,0.75,15.0,55665937900,http://www.scopus.com/authid/detail.url?authorId=55665937900
"Varma, Manoj Manoj",38,2016,86,2.3,0.95,9.0,7101706114,http://www.scopus.com/authid/detail.url?authorId=7101706114
"Bhattacharyya, Chiranjib",37,2017,110,3.0,1.10,13.0,6701703652,http://www.scopus.com/authid/detail.url?authorId=6701703652
"Jayaram, Vikram",37,2016,199,5.4,0.83,21.0,36135840500,http://www.scopus.com/authid/detail.url?authorId=36135840500
"Mukhopadhyay, Banibrata",37,2016,210,5.7,0.61,16.0,7101857383,http://www.scopus.com/authid/detail.url?authorId=7101857383
"Prasad, Kavirayani R S",37,2016,303,8.2,0.83,21.0,8254676800,http://www.scopus.com/authid/detail.url?authorId=8254676800
"Sivakumar Babu, G. L S",37,2017,67,1.8,0.42,12.0,9249016000,http://www.scopus.com/authid/detail.url?authorId=9249016000
"Umarji, Arun M.",37,2017,195,5.3,1.13,19.0,7004341892,http://www.scopus.com/authid/detail.url?authorId=7004341892
"Ganesan, Rajesh",36,2016,131,3.6,0.55,14.0,56431338100,http://www.scopus.com/authid/detail.url?authorId=56431338100
"Hari, Kousaburo V S",36,2014,222,6.2,1.54,8.0,55497835100,http://www.scopus.com/authid/detail.url?authorId=55497835100
"Kumar, Anurag Anil",36,2016,102,2.8,0.86,18.0,35310832300,http://www.scopus.com/authid/detail.url?authorId=35310832300
"Kuri, Joy",36,2017,55,1.5,0.48,7.0,7003385510,http://www.scopus.com/authid/detail.url?authorId=7003385510
"Natarajan, Vijay",36,2017,122,3.4,0.54,14.0,13905597900,http://www.scopus.com/authid/detail.url?authorId=13905597900
"Ratnoo, Ashwini",36,2016,41,1.1,2.94,7.0,23092140300,http://www.scopus.com/authid/detail.url?authorId=23092140300
"Satheesh, S. K.",36,2016,320,8.9,1.45,39.0,6701689811,http://www.scopus.com/authid/detail.url?authorId=6701689811
"Jemmis, Eluvaťhingal D.",35,2017,299,8.5,0.86,30.0,7006589123,http://www.scopus.com/authid/detail.url?authorId=7006589123
"Mani, Vanita Kumar",35,2016,324,9.3,2.33,18.0,7006746694,http://www.scopus.com/authid/detail.url?authorId=7006746694
"Balakrishnan, Narayanaswamy T.",34,2016,31,0.9,0.40,34.0,7103265883,http://www.scopus.com/authid/detail.url?authorId=7103265883
"Chandrasekaran*, Srinivasan Selva",34,2016,190,5.6,0.52,25.0,7102443450,http://www.scopus.com/authid/detail.url?authorId=7102443450
"Nanjundiah, Ravi S.",34,2017,91,2.7,0.67,14.0,6602829165,http://www.scopus.com/authid/detail.url?authorId=6602829165
"Pandit, Rahul",34,2016,184,5.4,0.87,17.0,56261443900,http://www.scopus.com/authid/detail.url?authorId=56261443900
"Senthilnath, J.",34,2017,424,12.5,2.50,10.0,35183910200,http://www.scopus.com/authid/detail.url?authorId=35183910200
"Shukla, Ashish Kumar",34,2015,597,17.6,1.48,22.0,24784465500,http://www.scopus.com/authid/detail.url?authorId=24784465500
"Visweswariah, Sandhya Srikant",34,2016,243,7.1,0.84,25.0,7003406824,http://www.scopus.com/authid/detail.url?authorId=7003406824
"Balaji, Kithiganahalli Narayanaswamy A",33,2016,435,13.2,1.59,22.0,7006681260,http://www.scopus.com/authid/detail.url?authorId=7006681260
"Kumar, Pradeep Sai Anil",33,2017,82,2.5,0.44,16.0,9637731400,http://www.scopus.com/authid/detail.url?authorId=9637731400
"Sen, Diptiman",33,2016,322,9.8,1.50,26.0,56147541400,http://www.scopus.com/authid/detail.url?authorId=56147541400
"Somasundaram, Kumaravel",33,2017,471,14.3,1.27,31.0,7004780247,http://www.scopus.com/authid/detail.url?authorId=7004780247
"Banerjee, Samya",32,2017,322,10.1,2.19,10.0,55314781400,http://www.scopus.com/authid/detail.url?authorId=55314781400
"Dasgupta, Chandan",32,2017,177,5.5,0.98,22.0,56249345400,http://www.scopus.com/authid/detail.url?authorId=56249345400
"Hansdah, Ramesh C.",32,2016,66,2.1,1.29,5.0,7801608530,http://www.scopus.com/authid/detail.url?authorId=7801608530
"Harursampath, Dineshkumar Kumar",32,2017,41,1.3,0.30,7.0,14026768700,http://www.scopus.com/authid/detail.url?authorId=14026768700
"Muniyappa, Kalappagowda",32,2016,222,6.9,0.78,23.0,7005705814,http://www.scopus.com/authid/detail.url?authorId=7005705814
"Murthy, Mathur Ramabhadrashastry Naras",32,2016,93,2.9,0.41,18.0,55432769200,http://www.scopus.com/authid/detail.url?authorId=55432769200
"Ramesh, Keralapura P.",32,2017,127,4.0,1.52,22.0,55566989300,http://www.scopus.com/authid/detail.url?authorId=55566989300
"Chandran, Livya Sunil",31,2017,78,2.5,0.87,10.0,6603803606,http://www.scopus.com/authid/detail.url?authorId=6603803606
"Mondal, Partha Pratim",31,2017,93,3.0,0.38,10.0,7003650893,http://www.scopus.com/authid/detail.url?authorId=7003650893
"Ramasesha, Suryanarayanasastry",31,2016,111,3.6,0.59,27.0,7005798671,http://www.scopus.com/authid/detail.url?authorId=7005798671
"Sajeev, Krishnan",31,2016,177,5.7,1.61,20.0,6507900628,http://www.scopus.com/authid/detail.url?authorId=6507900628
"Sekhar, Muddu Chandra",31,2017,92,3.0,0.89,13.0,7003745084,http://www.scopus.com/authid/detail.url?authorId=7003745084
"Sundaresan, Rajesh",31,2016,76,2.5,1.20,8.0,24781358300,http://www.scopus.com/authid/detail.url?authorId=24781358300
"Bhat, Subray Venkataprasad",30,2015,189,6.3,0.75,20.0,56682215000,http://www.scopus.com/authid/detail.url?authorId=56682215000
"Kashyap, Navin",30,2016,48,1.6,1.98,8.0,6701416434,http://www.scopus.com/authid/detail.url?authorId=6701416434
"Gope, Dipanjan",29,2016,8,0.3,0.25,9.0,6603472794,http://www.scopus.com/authid/detail.url?authorId=6603472794
"Gorthi, Sai Siva",29,2017,39,1.3,1.68,12.0,28567645100,http://www.scopus.com/authid/detail.url?authorId=28567645100
"Govindarajan, Ramaswamy",29,2016,147,5.1,2.13,12.0,7005716908,http://www.scopus.com/authid/detail.url?authorId=7005716908
"Jacob, Kallarackel Thomas",29,2014,107,3.7,0.58,11.0,55106895000,http://www.scopus.com/authid/detail.url?authorId=55106895000
"Kumar, Pramod Senthil Bhawani",29,2016,212,7.3,2.01,15.0,56642906700,http://www.scopus.com/authid/detail.url?authorId=56642906700
"Maitra, Uday",29,2016,275,9.5,0.99,28.0,7007147251,http://www.scopus.com/authid/detail.url?authorId=7007147251
"Raghavan, Srinivasan T.",29,2017,482,16.6,2.27,18.0,55728058400,http://www.scopus.com/authid/detail.url?authorId=55728058400
"Subramanian, Sankaran P.",29,2017,159,5.5,0.82,35.0,7202867357,http://www.scopus.com/authid/detail.url?authorId=7202867357
"Yalavarthy, Phaneendra K.",29,2016,139,4.8,0.80,13.0,8717097900,http://www.scopus.com/authid/detail.url?authorId=8717097900
"Arakeri, Jaywant H.",28,2017,50,1.8,0.48,15.0,35581295800,http://www.scopus.com/authid/detail.url?authorId=35581295800
"Gadagkar, Raghavendra R.",28,2016,94,3.4,0.68,15.0,7005626554,http://www.scopus.com/authid/detail.url?authorId=7005626554
"Ghosh, Ambarish",28,2016,309,11.0,1.28,17.0,55448412800,http://www.scopus.com/authid/detail.url?authorId=55448412800
"Jagirdar, Balaji Rao",28,2017,302,10.8,0.79,16.0,35548736300,http://www.scopus.com/authid/detail.url?authorId=35548736300
"Jamadagni, Hirisave S.",28,2016,27,1.0,0.37,9.0,6602097233,http://www.scopus.com/authid/detail.url?authorId=6602097233
"Patil, Yogesh Prakash",28,2017,317,11.3,1.31,14.0,23668587600,http://www.scopus.com/authid/detail.url?authorId=23668587600
"Raha, Soumyendu",28,2017,56,2.0,1.29,7.0,7005143386,http://www.scopus.com/authid/detail.url?authorId=7005143386
"Rajendran, Kusala",28,2016,176,6.3,1.17,18.0,7005525805,http://www.scopus.com/authid/detail.url?authorId=7005525805
"Reddy, Kalidevapura Polareddy Jaganna",28,2016,56,2.0,0.39,14.0,7402391182,http://www.scopus.com/authid/detail.url?authorId=7402391182
"Tatu, Utpal S.",28,2017,213,7.6,0.85,22.0,6603477702,http://www.scopus.com/authid/detail.url?authorId=6603477702
"Babu., G. L Sivakumar",27,2016,49,1.8,0.32,13.0,16633289500,http://www.scopus.com/authid/detail.url?authorId=16633289500
"Bansal, Manju R.",27,2016,135,5.0,0.84,18.0,7102518954,http://www.scopus.com/authid/detail.url?authorId=7102518954
"Basu, Joysurya K.",27,2016,92,3.4,0.55,11.0,7102148580,http://www.scopus.com/authid/detail.url?authorId=7102148580
"Kumaran, Venugopal",27,2017,119,4.4,0.74,24.0,7006708353,http://www.scopus.com/authid/detail.url?authorId=7006708353
"Munjal, M. L.",27,2016,133,4.9,1.00,15.0,7006624001,http://www.scopus.com/authid/detail.url?authorId=7006624001
"Narasimhan, Ramarthinam",27,2017,292,10.8,2.21,20.0,7102489263,http://www.scopus.com/authid/detail.url?authorId=7102489263
"Natarajan, Vasant",27,2016,46,1.7,0.24,18.0,7102571656,http://www.scopus.com/authid/detail.url?authorId=7102571656
"Prabhakar, Tejas V.",27,2016,119,4.4,0.91,6.0,36878953000,http://www.scopus.com/authid/detail.url?authorId=36878953000
"Rangarajan, Annapoorni",27,2016,261,9.7,1.15,17.0,7007138197,http://www.scopus.com/authid/detail.url?authorId=7007138197
"Sangunni, Kanatinkal S.",27,2016,155,5.7,0.86,12.0,6701324763,http://www.scopus.com/authid/detail.url?authorId=6701324763
"Venkataram, Pallapa",27,2017,26,1.0,0.65,12.0,6701544231,http://www.scopus.com/authid/detail.url?authorId=6701544231
"Bhattacharya, Sitangshu N.",26,2013,68,2.6,0.30,12.0,15764705200,http://www.scopus.com/authid/detail.url?authorId=15764705200
"Kumar, Pavan Vijay",26,2016,600,23.1,6.31,11.0,15725722000,http://www.scopus.com/authid/detail.url?authorId=15725722000
"Kumar, Udaya",26,2016,26,1.0,0.23,6.0,7102636337,http://www.scopus.com/authid/detail.url?authorId=7102636337
"Mukherjee, Sanjoy",26,2016,379,14.6,3.32,10.0,55769748223,http://www.scopus.com/authid/detail.url?authorId=55769748223
"Srinivasan, Kandadai",26,2016,226,8.7,1.94,22.0,24329604100,http://www.scopus.com/authid/detail.url?authorId=24329604100
"Venkataraman, Venki",26,2016,86,3.3,0.45,13.0,7005737851,http://www.scopus.com/authid/detail.url?authorId=7005737851
"Ayappa, K. GANAPATHY",25,2016,173,6.9,0.87,22.0,7004039716,http://www.scopus.com/authid/detail.url?authorId=7004039716
"Dasappa, S.",25,2017,207,8.3,1.22,13.0,6603068560,http://www.scopus.com/authid/detail.url?authorId=6603068560
"Kiran, Mangalampalli S R N",25,2017,476,19.0,1.55,15.0,36839779300,http://www.scopus.com/authid/detail.url?authorId=36839779300
"Mohan, Sangeneni",25,2017,51,2.0,0.34,12.0,7202613551,http://www.scopus.com/authid/detail.url?authorId=7202613551
"Sambandan, Sanjiv",25,2016,62,2.5,0.37,11.0,6602894417,http://www.scopus.com/authid/detail.url?authorId=6602894417
"Samuelson, Ashoka G.",25,2016,191,7.6,0.74,18.0,7006392635,http://www.scopus.com/authid/detail.url?authorId=7006392635
"Sreenivas, Thippur V.",25,2016,37,1.5,0.61,13.0,7003644773,http://www.scopus.com/authid/detail.url?authorId=7003644773
"Umanand, Loganathan",25,2017,88,3.5,0.75,14.0,6602731718,http://www.scopus.com/authid/detail.url?authorId=6602731718
