Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Khatua, Bhanu Bhusan",52,2017,554,10.7,1.38,16.0,6602123228,http://www.scopus.com/authid/detail.url?authorId=6602123228
"Singha, Nikhil Kumar",51,2017,252,4.9,0.87,27.0,6701656205,http://www.scopus.com/authid/detail.url?authorId=6701656205
"Chakraborty, Rajat Subhra",50,2016,169,3.4,1.19,14.0,56194286800,http://www.scopus.com/authid/detail.url?authorId=56194286800
"Manna, Indranil",50,2016,463,9.3,1.49,33.0,26643630000,http://www.scopus.com/authid/detail.url?authorId=26643630000
"Naskar, Kinsuk",50,2017,263,5.3,1.30,17.0,6602676732,http://www.scopus.com/authid/detail.url?authorId=6602676732
"Mandal, Mahitosh",49,2017,820,16.7,1.94,39.0,35454093300,http://www.scopus.com/authid/detail.url?authorId=35454093300
"Mukhopadhyay, Sourav C.",49,2017,193,3.9,1.59,11.0,9635723100,http://www.scopus.com/authid/detail.url?authorId=9635723100
"Bhowmick, Anil Kumar",48,2017,764,15.9,0.95,42.0,26643264700,http://www.scopus.com/authid/detail.url?authorId=26643264700
"Biradha, Kumar",48,2017,954,19.9,2.50,44.0,56231553800,http://www.scopus.com/authid/detail.url?authorId=56231553800
"Chakrabarti, Debalay",47,2017,237,5.0,1.25,12.0,12792743400,http://www.scopus.com/authid/detail.url?authorId=12792743400
"Banerjee, Rintu",46,2016,193,4.2,0.66,29.0,7201904993,http://www.scopus.com/authid/detail.url?authorId=7201904993
"Mukhopadhyay, Jayanta",46,2016,67,1.5,0.85,6.0,18038387400,http://www.scopus.com/authid/detail.url?authorId=18038387400
"Srivastava, Suneel Kumar",46,2016,639,13.9,1.58,30.0,56327370300,http://www.scopus.com/authid/detail.url?authorId=56327370300
"Basak, Amit K.",45,2016,337,7.5,0.85,22.0,56250829600,http://www.scopus.com/authid/detail.url?authorId=56250829600
"Chaudhury, Koel",45,2017,319,7.1,1.28,16.0,6603855802,http://www.scopus.com/authid/detail.url?authorId=6603855802
"Das, Prasanta Kumar",45,2016,266,5.9,0.71,27.0,35600687800,http://www.scopus.com/authid/detail.url?authorId=35600687800
"Ghangrekar, Makarand Madhao",45,2017,288,6.4,1.25,19.0,55932469000,http://www.scopus.com/authid/detail.url?authorId=55932469000
