Data set,"Top 500 authors, by number of publications"
Entity,"Indian Institute of Technology, Kharagpur"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Name,Publications,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Dhar, Anirban",24,2017,85,3.5,1.89,10.0,16686256600,http://www.scopus.com/authid/detail.url?authorId=16686256600
"Ghosh, Saptarsi",24,2016,33,1.4,0.87,4.0,54380025600,http://www.scopus.com/authid/detail.url?authorId=54380025600
"Goswami, Tridib Kumar",24,2017,134,5.6,0.70,19.0,35298870100,http://www.scopus.com/authid/detail.url?authorId=35298870100
"Maity, Damodar",24,2017,100,4.2,1.38,12.0,49964012500,http://www.scopus.com/authid/detail.url?authorId=49964012500
"Mohan, Akhilesh L Shashi",24,2017,34,1.4,0.62,5.0,9239858400,http://www.scopus.com/authid/detail.url?authorId=9239858400
"Mukherjee, Rabibrata N.",24,2017,172,7.2,1.61,14.0,14067846800,http://www.scopus.com/authid/detail.url?authorId=14067846800
"Pabi, Shyamal Kumar",24,2017,129,5.4,0.90,23.0,7003438029,http://www.scopus.com/authid/detail.url?authorId=7003438029
"Roy, Anushree K.",24,2016,77,3.2,0.51,17.0,56291181300,http://www.scopus.com/authid/detail.url?authorId=56291181300
"Saha, Goutam",24,2016,133,5.5,2.38,11.0,35766944200,http://www.scopus.com/authid/detail.url?authorId=35766944200
"Sarkar, Sougata",24,2015,577,24.0,3.94,21.0,20434637700,http://www.scopus.com/authid/detail.url?authorId=20434637700
"Sharma, Shashi Prakash",24,2016,88,3.7,0.57,14.0,55491662500,http://www.scopus.com/authid/detail.url?authorId=55491662500
"Banik, Debasis",23,2016,141,6.1,1.25,8.0,16445675300,http://www.scopus.com/authid/detail.url?authorId=16445675300
"Chakraborty, Mrityunjoy",23,2016,50,2.2,0.75,8.0,56255948200,http://www.scopus.com/authid/detail.url?authorId=56255948200
"Chakraborty, Tanmoy",23,2016,73,3.2,2.48,9.0,25723003500,http://www.scopus.com/authid/detail.url?authorId=25723003500
"Das, Debabrata",23,2015,269,11.7,1.71,16.0,7402353203,http://www.scopus.com/authid/detail.url?authorId=7402353203
"Dey, Satyahari H.",23,2015,139,6.0,0.91,12.0,7402866370,http://www.scopus.com/authid/detail.url?authorId=7402866370
"Ghosh, Ananta Kumar",23,2016,182,7.9,0.73,17.0,56819356600,http://www.scopus.com/authid/detail.url?authorId=56819356600
"Ghoshal, Koeli S.",23,2017,54,2.3,0.98,7.0,35213163200,http://www.scopus.com/authid/detail.url?authorId=35213163200
"Giri, Santanab",23,2015,293,12.7,1.13,16.0,23034516400,http://www.scopus.com/authid/detail.url?authorId=23034516400
"Hota, Mrinal Kanti",23,2014,120,5.2,0.70,8.0,26423076100,http://www.scopus.com/authid/detail.url?authorId=26423076100
"Laha, Tapas",23,2017,33,1.4,0.86,13.0,6602771508,http://www.scopus.com/authid/detail.url?authorId=6602771508
"Mishra, Dheerendra",23,2017,196,8.5,3.26,8.0,46662118400,http://www.scopus.com/authid/detail.url?authorId=46662118400
"Odelu, Vanga",23,2017,39,1.7,2.71,5.0,55418632300,http://www.scopus.com/authid/detail.url?authorId=55418632300
"Pal, Jaya",23,2016,291,12.7,1.79,11.0,55597087400,http://www.scopus.com/authid/detail.url?authorId=55597087400
"Pradhan, Mukul",23,2015,439,19.1,1.87,18.0,24759698700,http://www.scopus.com/authid/detail.url?authorId=24759698700
"Sreenivasa Rao, K.",23,2017,56,2.4,0.91,6.0,55943101200,http://www.scopus.com/authid/detail.url?authorId=55943101200
"Bag, Ankush",22,2016,42,1.9,1.06,4.0,56405692300,http://www.scopus.com/authid/detail.url?authorId=56405692300
"Behera, Mukunda Dev",22,2017,78,3.5,0.68,9.0,55393008200,http://www.scopus.com/authid/detail.url?authorId=55393008200
"Bharadwaj, Somnath",22,2016,83,3.8,0.68,18.0,7005948154,http://www.scopus.com/authid/detail.url?authorId=7005948154
"Chakraborty, Sandip",22,2016,7,0.3,1.93,5.0,54396851400,http://www.scopus.com/authid/detail.url?authorId=54396851400
"Chaturvedi, Sanjay Kumar",22,2016,96,4.4,1.19,9.0,36553836100,http://www.scopus.com/authid/detail.url?authorId=36553836100
"Dey, Goutam",22,2017,136,6.2,2.09,6.0,56399087300,http://www.scopus.com/authid/detail.url?authorId=56399087300
"Dhar, Achintya K.",22,2016,154,7.0,1.26,21.0,35602497200,http://www.scopus.com/authid/detail.url?authorId=35602497200
"Ganguly, Somenath",22,2017,34,1.5,0.33,4.0,24288649800,http://www.scopus.com/authid/detail.url?authorId=24288649800
"Giri, Soumen K.",22,2014,373,17.0,2.16,12.0,55542247500,http://www.scopus.com/authid/detail.url?authorId=55542247500
"Gupta, Ashok Kumar",22,2016,166,7.5,1.21,34.0,55725545300,http://www.scopus.com/authid/detail.url?authorId=55725545300
"Jenamani, Mamata",22,2017,69,3.1,1.20,7.0,6506024147,http://www.scopus.com/authid/detail.url?authorId=6506024147
"Mallick, Nirupama",22,2017,147,6.7,0.65,20.0,56268388800,http://www.scopus.com/authid/detail.url?authorId=56268388800
"Mitra, Pabitra K.",22,2016,3,0.1,0.36,18.0,7101925006,http://www.scopus.com/authid/detail.url?authorId=7101925006
"Mohanty, William Kumar",22,2016,71,3.2,0.74,10.0,9246089100,http://www.scopus.com/authid/detail.url?authorId=9246089100
"Roy, Sanat Kumar",22,2016,158,7.2,1.18,9.0,7404587300,http://www.scopus.com/authid/detail.url?authorId=7404587300
"Samanta, Amar Nath",22,2017,242,11.0,1.12,19.0,7102463006,http://www.scopus.com/authid/detail.url?authorId=7102463006
"Thakur, Awalendra Kumar",22,2016,93,4.2,0.46,21.0,7103011646,http://www.scopus.com/authid/detail.url?authorId=7103011646
"Behera, Bhagirath",21,2017,57,2.7,1.07,5.0,13205449000,http://www.scopus.com/authid/detail.url?authorId=13205449000
"Ghatak, Chiranjib",21,2013,395,18.8,1.53,18.0,26655562600,http://www.scopus.com/authid/detail.url?authorId=26655562600
"Kapat, Santanu",21,2016,79,3.8,1.25,8.0,24802232300,http://www.scopus.com/authid/detail.url?authorId=24802232300
"Kumar, Cheruvu Siva",21,2016,28,1.3,0.69,6.0,8970357300,http://www.scopus.com/authid/detail.url?authorId=8970357300
"Mallik, Sandipan B.",21,2014,40,1.9,0.37,6.0,26431055600,http://www.scopus.com/authid/detail.url?authorId=26431055600
"Mamtani, Manish A.",21,2017,68,3.2,0.87,12.0,6603430233,http://www.scopus.com/authid/detail.url?authorId=6603430233
"Pathak, Sant Saran",21,2016,10,0.5,0.27,3.0,55424006300,http://www.scopus.com/authid/detail.url?authorId=55424006300
"Racherla, Vikranth",21,2017,128,6.1,1.70,9.0,24722952200,http://www.scopus.com/authid/detail.url?authorId=24722952200
"Sahoo, Ramkrishna",21,2016,164,7.8,1.62,8.0,57105900600,http://www.scopus.com/authid/detail.url?authorId=57105900600
"Sar, Pinaki",21,2017,176,8.4,1.04,16.0,6602962773,http://www.scopus.com/authid/detail.url?authorId=6602962773
"Suin, Supratim",21,2015,310,14.8,1.98,10.0,55445026300,http://www.scopus.com/authid/detail.url?authorId=55445026300
"Barai, Sudhirkumar V.",20,2017,169,8.5,0.99,13.0,55504698400,http://www.scopus.com/authid/detail.url?authorId=55504698400
"Chakravarty, Debashish",20,2017,27,1.4,0.24,3.0,7004526342,http://www.scopus.com/authid/detail.url?authorId=7004526342
"Das, Manab Kumar",20,2016,49,2.5,0.61,15.0,55663475200,http://www.scopus.com/authid/detail.url?authorId=55663475200
"Dhibar, Saptarshi",20,2017,308,15.4,2.62,11.0,54941396100,http://www.scopus.com/authid/detail.url?authorId=54941396100
"Goyal, Neeraj Kumar",20,2017,15,0.8,0.19,4.0,36439442500,http://www.scopus.com/authid/detail.url?authorId=36439442500
"Gupta, Arobinda R.",20,2017,29,1.5,0.73,8.0,55491955300,http://www.scopus.com/authid/detail.url?authorId=55491955300
"Halder, Mintu R.",20,2017,162,8.1,1.14,17.0,56236607400,http://www.scopus.com/authid/detail.url?authorId=56236607400
"Halder, Nripendra N.",20,2015,61,3.1,0.75,5.0,55340743800,http://www.scopus.com/authid/detail.url?authorId=55340743800
"Kundu, Banani",20,2017,603,30.2,2.54,10.0,36903616600,http://www.scopus.com/authid/detail.url?authorId=36903616600
"Maiti, Rishi",20,2016,60,3.0,1.87,4.0,55925444200,http://www.scopus.com/authid/detail.url?authorId=55925444200
"Mishra, Ashok C.",20,2016,110,5.5,0.91,8.0,56497987000,http://www.scopus.com/authid/detail.url?authorId=56497987000
"Mukherjee, Abhijit",20,2017,110,5.5,1.12,15.0,7401842114,http://www.scopus.com/authid/detail.url?authorId=7401842114
"Nath, Ashish Kumar",20,2017,140,7.0,1.52,19.0,24767930400,http://www.scopus.com/authid/detail.url?authorId=24767930400
"Panda, Geetanjali",20,2016,36,1.8,0.34,3.0,56245981000,http://www.scopus.com/authid/detail.url?authorId=56245981000
"Panigrahi, Kamal Lochan",20,2017,60,3.0,0.43,11.0,6602222094,http://www.scopus.com/authid/detail.url?authorId=6602222094
"Patra, Sourav",20,2017,51,2.6,0.59,8.0,7007045204,http://www.scopus.com/authid/detail.url?authorId=7007045204
"Ray, Chaiti G.",20,2016,281,14.1,2.62,10.0,55857584300,http://www.scopus.com/authid/detail.url?authorId=55857584300
"Roy, Rajarshi",20,2016,36,1.8,0.71,5.0,56212741100,http://www.scopus.com/authid/detail.url?authorId=56212741100
"Roy, Shantonu",20,2017,95,4.8,1.70,5.0,55574188526,http://www.scopus.com/authid/detail.url?authorId=55574188526
"Sahoo, Sumanta",20,2015,345,17.3,2.09,13.0,53464364500,http://www.scopus.com/authid/detail.url?authorId=53464364500
"Sanyal, Subrata",20,2014,90,4.5,0.49,12.0,56048579300,http://www.scopus.com/authid/detail.url?authorId=56048579300
"Aich, Shampa",19,2017,37,1.9,0.34,9.0,6603072854,http://www.scopus.com/authid/detail.url?authorId=6603072854
"Bandyopadhyay, Partha Pratim",19,2017,71,3.7,0.57,12.0,7102767408,http://www.scopus.com/authid/detail.url?authorId=7102767408
"Bera, Debaditya",19,2016,123,6.5,0.93,9.0,36874524900,http://www.scopus.com/authid/detail.url?authorId=36874524900
"Bharti, Rashmi",19,2017,76,4.0,1.49,6.0,55749886000,http://www.scopus.com/authid/detail.url?authorId=55749886000
"Biswal, Mahendra Prasad",19,2016,51,2.7,0.40,10.0,6602144766,http://www.scopus.com/authid/detail.url?authorId=6602144766
"Das, Apurba Kumar",19,2016,42,2.2,0.49,30.0,26428110800,http://www.scopus.com/authid/detail.url?authorId=26428110800
"Das, Jayanta",19,2016,95,5.0,1.08,31.0,9640166700,http://www.scopus.com/authid/detail.url?authorId=9640166700
"Dasgupta, Sunando",19,2017,57,3.0,0.55,31.0,7202154532,http://www.scopus.com/authid/detail.url?authorId=7202154532
"Dutta Majumdar, Jyotsna",19,2016,200,10.5,1.68,19.0,6508122208,http://www.scopus.com/authid/detail.url?authorId=6508122208
"Dutta, Pranab Kumar",19,2016,124,6.5,0.99,15.0,34167608300,http://www.scopus.com/authid/detail.url?authorId=34167608300
"Ganguly, Pranabendu",19,2017,27,1.4,0.26,10.0,7103005967,http://www.scopus.com/authid/detail.url?authorId=7103005967
"Gupta, Anil Kumar",19,2016,68,3.6,0.66,36.0,16244929900,http://www.scopus.com/authid/detail.url?authorId=16244929900
"Mahapatra, Sudipta",19,2016,61,3.2,0.45,7.0,56220339400,http://www.scopus.com/authid/detail.url?authorId=56220339400
"Maiti, Swatilekha",19,2014,331,17.4,1.40,14.0,16687073900,http://www.scopus.com/authid/detail.url?authorId=16687073900
"Malas, Asish",19,2017,129,6.8,1.11,7.0,51864242900,http://www.scopus.com/authid/detail.url?authorId=51864242900
"Mall, Rajib",19,2016,52,2.7,0.51,7.0,7003484599,http://www.scopus.com/authid/detail.url?authorId=7003484599
"Manna, Kanchan",19,2016,64,3.4,1.44,4.0,26436001000,http://www.scopus.com/authid/detail.url?authorId=26436001000
"Naskar, Deboki",19,2016,104,5.5,2.01,5.0,55565399000,http://www.scopus.com/authid/detail.url?authorId=55565399000
"Pal, Ajit B.",19,2016,49,2.6,0.43,7.0,55608905100,http://www.scopus.com/authid/detail.url?authorId=55608905100
"Panigrahi, Mruganka Kumar",19,2016,145,7.6,0.86,13.0,35517239300,http://www.scopus.com/authid/detail.url?authorId=35517239300
"Rahaman, Mostafizur",19,2014,292,15.4,1.58,10.0,36706466800,http://www.scopus.com/authid/detail.url?authorId=36706466800
"Banerjee, Rakesh S.",18,2016,181,10.1,1.80,8.0,37100947800,http://www.scopus.com/authid/detail.url?authorId=37100947800
"Bhattacharjee, Manish K.",18,2017,52,2.9,0.36,12.0,7004974611,http://www.scopus.com/authid/detail.url?authorId=7004974611
"Bhattacharya, Amit Kumar",18,2015,29,1.6,0.56,19.0,7402635330,http://www.scopus.com/authid/detail.url?authorId=7402635330
"Chakraborty, Madhusudhan",18,2017,84,4.7,0.41,22.0,55414594400,http://www.scopus.com/authid/detail.url?authorId=55414594400
"Ghosh, Uddipta",18,2017,67,3.7,0.88,5.0,55204651500,http://www.scopus.com/authid/detail.url?authorId=55204651500
"Hatui, Goutam",18,2015,213,11.8,1.98,9.0,55256269300,http://www.scopus.com/authid/detail.url?authorId=55256269300
"Kar, Sayan",18,2017,47,2.6,0.36,17.0,7202157726,http://www.scopus.com/authid/detail.url?authorId=7202157726
"Kumar, Rahul Ashok",18,2016,29,1.6,0.91,4.0,55840286700,http://www.scopus.com/authid/detail.url?authorId=55840286700
"Majumder, Subhasish Basu",18,2017,73,4.1,0.79,28.0,7102009158,http://www.scopus.com/authid/detail.url?authorId=7102009158
"Neogi, Sudarsan K.",18,2017,56,3.1,0.47,7.0,7003444895,http://www.scopus.com/authid/detail.url?authorId=7003444895
"Rajput, Shashi S.",18,2016,227,12.6,1.62,8.0,48662596500,http://www.scopus.com/authid/detail.url?authorId=48662596500
"Rebeiro, Chester",18,2014,76,4.2,1.34,6.0,24473134800,http://www.scopus.com/authid/detail.url?authorId=24473134800
"Roy, Anindita M.",18,2016,220,12.2,2.16,9.0,55465947900,http://www.scopus.com/authid/detail.url?authorId=55465947900
"Sarkar, Sudeshna",18,2016,9,0.5,0.37,6.0,55680682900,http://www.scopus.com/authid/detail.url?authorId=55680682900
"Singha, Raju",18,2016,74,4.1,0.75,5.0,55157554800,http://www.scopus.com/authid/detail.url?authorId=55157554800
"Srinivas, Veeturi",18,2015,57,3.2,0.48,16.0,7102516652,http://www.scopus.com/authid/detail.url?authorId=7102516652
"Chatterjee, Chandranath",17,2016,160,9.4,1.92,14.0,56238635800,http://www.scopus.com/authid/detail.url?authorId=56238635800
"Chatterjee, Sudip Kr",17,2016,16,0.9,0.32,3.0,7402749682,http://www.scopus.com/authid/detail.url?authorId=7402749682
"Das, Bhabani Sankar",17,2017,62,3.6,0.68,13.0,14824470000,http://www.scopus.com/authid/detail.url?authorId=14824470000
"Das, Prasanta Kumar",17,2017,49,2.9,1.10,5.0,55512172300,http://www.scopus.com/authid/detail.url?authorId=55512172300
"Dash, Mihir Kumar",17,2017,24,1.4,0.60,7.0,7006585261,http://www.scopus.com/authid/detail.url?authorId=7006585261
"Datta, Debasish L.",17,2016,14,0.8,0.23,7.0,56268301300,http://www.scopus.com/authid/detail.url?authorId=56268301300
"Ghosh, Parthasarathi K.",17,2015,74,4.4,1.13,15.0,7402072850,http://www.scopus.com/authid/detail.url?authorId=7402072850
"Hajra, Saumen",17,2015,177,10.4,1.62,7.0,55911178900,http://www.scopus.com/authid/detail.url?authorId=55911178900
"Haldar, Raktim",17,2016,14,0.8,0.26,2.0,55953656600,http://www.scopus.com/authid/detail.url?authorId=55953656600
"Mandal, Prithwiraj R.",17,2016,64,3.8,1.04,5.0,55382234500,http://www.scopus.com/authid/detail.url?authorId=55382234500
"Mani, Ganesan",17,2016,128,7.5,0.85,8.0,36169598000,http://www.scopus.com/authid/detail.url?authorId=36169598000
"Manna, Santanu",17,2016,231,13.6,2.22,9.0,35090232800,http://www.scopus.com/authid/detail.url?authorId=35090232800
"Meikap, Bhim Charan",17,2017,75,4.4,0.54,23.0,22135760800,http://www.scopus.com/authid/detail.url?authorId=22135760800
"Mitra, Analava K.",17,2016,123,7.2,0.83,12.0,14825355000,http://www.scopus.com/authid/detail.url?authorId=14825355000
"Nag, Somnath",17,2016,78,4.6,0.45,6.0,36521303900,http://www.scopus.com/authid/detail.url?authorId=36521303900
"Narendra, N. P.",17,2017,71,4.2,1.34,5.0,39762520700,http://www.scopus.com/authid/detail.url?authorId=39762520700
"Nayak, G. C.",17,2013,165,9.7,1.05,9.0,35771241700,http://www.scopus.com/authid/detail.url?authorId=35771241700
"Panda, Sushanta Kumar",17,2017,71,4.2,1.78,12.0,55213614000,http://www.scopus.com/authid/detail.url?authorId=55213614000
"Pandey, Nitin Kumar",17,2016,117,6.9,0.83,9.0,37018677700,http://www.scopus.com/authid/detail.url?authorId=37018677700
"Panigrahi, Pratima",17,2016,12,0.7,0.37,4.0,7005350360,http://www.scopus.com/authid/detail.url?authorId=7005350360
"Panja, Sudipta",17,2017,67,3.9,0.99,6.0,55880061300,http://www.scopus.com/authid/detail.url?authorId=55880061300
"Raheman, Hifjur",17,2016,82,4.8,0.69,14.0,55982740300,http://www.scopus.com/authid/detail.url?authorId=55982740300
"Raja Sekhar, G. P.",17,2016,43,2.5,0.62,11.0,6602929990,http://www.scopus.com/authid/detail.url?authorId=6602929990
"Rakshit, Tamita",17,2017,197,11.6,2.03,7.0,35787521800,http://www.scopus.com/authid/detail.url?authorId=35787521800
"Ramakrishnan, Krishnan V.",17,2014,153,9.0,1.19,11.0,35119541100,http://www.scopus.com/authid/detail.url?authorId=35119541100
"Rao, Y. Sreenivasa",17,2017,30,1.8,2.49,3.0,55536320100,http://www.scopus.com/authid/detail.url?authorId=55536320100
"Ravikumar, Satya V.",17,2016,157,9.2,2.70,9.0,55520118400,http://www.scopus.com/authid/detail.url?authorId=55520118400
"Roy, Anjali Gera",17,2016,14,0.8,1.09,3.0,8418972600,http://www.scopus.com/authid/detail.url?authorId=8418972600
"Selvakumar, M.",17,2017,81,4.8,1.86,6.0,57190185100,http://www.scopus.com/authid/detail.url?authorId=57190185100
"Sengupta, Aniruddha N I R U D D H A",17,2017,25,1.5,0.21,6.0,7201378221,http://www.scopus.com/authid/detail.url?authorId=7201378221
"Tewari, Vibha K.",17,2017,24,1.4,0.50,12.0,7006660524,http://www.scopus.com/authid/detail.url?authorId=7006660524
"Ananthakrishnan, Rajakumar",16,2016,187,11.7,1.72,12.0,6603939558,http://www.scopus.com/authid/detail.url?authorId=6603939558
"Bhaskaran, Prasad Kumar",16,2016,60,3.8,0.90,6.0,56951641700,http://www.scopus.com/authid/detail.url?authorId=56951641700
"Bhattacharya, Pallab K.",16,2015,247,15.4,2.51,10.0,55318988900,http://www.scopus.com/authid/detail.url?authorId=55318988900
"Chakraborty, Arun",16,2017,23,1.4,0.58,4.0,56357800700,http://www.scopus.com/authid/detail.url?authorId=56357800700
"Das, Abhijit K.",16,2017,75,4.7,0.78,8.0,55628533601,http://www.scopus.com/authid/detail.url?authorId=55628533601
"Das, Gargi",16,2017,49,3.1,0.71,14.0,7201816000,http://www.scopus.com/authid/detail.url?authorId=7201816000
"Ghosh, Anindya Sundar",16,2016,47,2.9,0.35,11.0,8905975900,http://www.scopus.com/authid/detail.url?authorId=8905975900
"Guha, Prasanta Kumar",16,2017,111,6.9,1.86,10.0,8694442600,http://www.scopus.com/authid/detail.url?authorId=8694442600
"Khan, Saba N.",16,2017,15,0.9,0.26,3.0,55694460500,http://www.scopus.com/authid/detail.url?authorId=55694460500
"Kumar, Krishna Palani Vinod",16,2016,44,2.8,0.65,8.0,8593301300,http://www.scopus.com/authid/detail.url?authorId=8593301300
"Mitra, Nilanjan",16,2017,51,3.2,0.88,7.0,8567775100,http://www.scopus.com/authid/detail.url?authorId=8567775100
"Ramachandra, L. S.",16,2017,43,2.7,0.45,13.0,55886144800,http://www.scopus.com/authid/detail.url?authorId=55886144800
"Saha, Partha",16,2016,136,8.5,1.77,13.0,35796162900,http://www.scopus.com/authid/detail.url?authorId=35796162900
"Sahu, Sumanta Kumar",16,2013,431,26.9,2.65,16.0,35330838400,http://www.scopus.com/authid/detail.url?authorId=35330838400
"Sengupta, Debashish K.",16,2017,30,1.9,0.37,16.0,7103039034,http://www.scopus.com/authid/detail.url?authorId=7103039034
"Shivakiran Bhaktha, B. N.",16,2016,58,3.6,0.53,13.0,8522145700,http://www.scopus.com/authid/detail.url?authorId=8522145700
"Srivastav, PREM PRAKASH",16,2017,39,2.4,0.27,5.0,6602333369,http://www.scopus.com/authid/detail.url?authorId=6602333369
"Aluguri, Rakesh",15,2015,79,5.3,0.81,5.0,26664377000,http://www.scopus.com/authid/detail.url?authorId=26664377000
"Bahadur, Ranjit Prasad",15,2017,153,10.2,0.82,17.0,6701390697,http://www.scopus.com/authid/detail.url?authorId=6701390697
"Bandyopadhyay, Parthasarathi C.",15,2015,117,7.8,1.04,8.0,55158365200,http://www.scopus.com/authid/detail.url?authorId=55158365200
"Banthia, Ajit Kumar",15,2014,69,4.6,0.37,25.0,7004916102,http://www.scopus.com/authid/detail.url?authorId=7004916102
"Bhowmik, Santanu Kumar",15,2017,156,10.4,1.06,15.0,56258514100,http://www.scopus.com/authid/detail.url?authorId=56258514100
"Biswas, Arkoprovo",15,2016,48,3.2,0.67,5.0,46061801200,http://www.scopus.com/authid/detail.url?authorId=46061801200
"Biswas, Pranab",15,2015,58,3.9,0.64,6.0,24300581100,http://www.scopus.com/authid/detail.url?authorId=24300581100
"Chakraborty, Jayanta N.",15,2016,62,4.1,0.40,13.0,7101970447,http://www.scopus.com/authid/detail.url?authorId=7101970447
"Chakraborty, Saikat",15,2017,55,3.7,0.95,11.0,23089920700,http://www.scopus.com/authid/detail.url?authorId=23089920700
"Choudhary, Ram Naresh Prasad",15,2014,86,5.7,0.45,39.0,7102410371,http://www.scopus.com/authid/detail.url?authorId=7102410371
"Chowdhury, Kanchan",15,2016,65,4.3,0.93,5.0,7006572687,http://www.scopus.com/authid/detail.url?authorId=7006572687
"Das, Chapal Kumar",15,2017,193,12.9,2.09,8.0,55892312100,http://www.scopus.com/authid/detail.url?authorId=55892312100
"Das, Ranjita L.",15,2014,69,4.6,0.47,5.0,50461337200,http://www.scopus.com/authid/detail.url?authorId=50461337200
"Das, Samaresh",15,2015,216,14.4,1.30,10.0,7406325215,http://www.scopus.com/authid/detail.url?authorId=7406325215
"Duley, Soma",15,2015,163,10.9,0.88,8.0,24385614600,http://www.scopus.com/authid/detail.url?authorId=24385614600
"Gauri, Samiran Sona",15,2016,119,7.9,0.96,8.0,26534287500,http://www.scopus.com/authid/detail.url?authorId=26534287500
"Ghosh, Paulomi D.",15,2016,136,9.1,2.10,7.0,7402072831,http://www.scopus.com/authid/detail.url?authorId=7402072831
"Ghosh, Uttam",15,2015,68,4.5,1.09,5.0,34972835800,http://www.scopus.com/authid/detail.url?authorId=34972835800
"Jha, Jay M.",15,2016,106,7.1,1.75,7.0,55660579500,http://www.scopus.com/authid/detail.url?authorId=55660579500
"Kundu, Tarun Kumar",15,2017,9,0.6,0.57,3.0,56539454500,http://www.scopus.com/authid/detail.url?authorId=56539454500
"Maji, Partha Sona",15,2016,30,2.0,0.94,4.0,55608729600,http://www.scopus.com/authid/detail.url?authorId=55608729600
"Mishra, Biswajit N.",15,2016,63,4.2,1.35,11.0,7201368056,http://www.scopus.com/authid/detail.url?authorId=7201368056
"Mukherjee, Chanchal Kumar",15,2016,33,2.2,0.38,3.0,35196563700,http://www.scopus.com/authid/detail.url?authorId=35196563700
"Pandit, Soumya N.",15,2015,228,15.2,1.91,10.0,15060348700,http://www.scopus.com/authid/detail.url?authorId=15060348700
"Pathak, Amita",15,2017,220,14.7,1.98,13.0,55447499700,http://www.scopus.com/authid/detail.url?authorId=55447499700
"Ramgopal, Maddali",15,2016,105,7.0,1.62,7.0,55398939100,http://www.scopus.com/authid/detail.url?authorId=55398939100
"Roy, Gour Gopal",15,2017,7,0.5,0.51,11.0,35550900900,http://www.scopus.com/authid/detail.url?authorId=35550900900
"Sarkar, Anindya K.",15,2016,79,5.3,1.23,15.0,55636235500,http://www.scopus.com/authid/detail.url?authorId=55636235500
"Tripathi, Dinesh",15,2016,36,2.4,0.49,3.0,55211976800,http://www.scopus.com/authid/detail.url?authorId=55211976800
"Tripathy, Debi Ranjan",15,2016,70,4.7,0.53,5.0,54382461600,http://www.scopus.com/authid/detail.url?authorId=54382461600
"Velidi, Vamsi Krishna",15,2014,93,6.2,0.65,7.0,24172087100,http://www.scopus.com/authid/detail.url?authorId=24172087100
"Bhattacharya, Abhijit K.",14,2016,121,8.6,1.08,12.0,7402635259,http://www.scopus.com/authid/detail.url?authorId=7402635259
"Bhattacharya, Dipsikha K.",14,2016,245,17.5,2.11,13.0,35474152100,http://www.scopus.com/authid/detail.url?authorId=35474152100
"Chakraborty, Arindam",14,2014,81,5.8,0.56,19.0,14023924400,http://www.scopus.com/authid/detail.url?authorId=14023924400
"Chandhar, Prabhu",14,2015,27,1.9,1.07,2.0,54784060700,http://www.scopus.com/authid/detail.url?authorId=54784060700
"Chandra, Sourov",14,2014,530,37.9,3.40,13.0,35770340200,http://www.scopus.com/authid/detail.url?authorId=35770340200
"Das, Dev Kumar",14,2016,47,3.4,0.62,4.0,55421177500,http://www.scopus.com/authid/detail.url?authorId=55421177500
"Dey, Ranabir",14,2015,94,6.7,1.00,8.0,55009547800,http://www.scopus.com/authid/detail.url?authorId=55009547800
"Dhara, Shubhendu",14,2015,69,4.9,0.63,6.0,55471704400,http://www.scopus.com/authid/detail.url?authorId=55471704400
"Ghosh, Munmun",14,2016,45,3.2,0.70,6.0,55794151500,http://www.scopus.com/authid/detail.url?authorId=55794151500
"Ghosh, Priyankar",14,2013,5,0.4,0.08,2.0,55427760700,http://www.scopus.com/authid/detail.url?authorId=55427760700
"Ghosh, Saptarshi K.",14,2017,178,12.7,5.29,12.0,56004548600,http://www.scopus.com/authid/detail.url?authorId=56004548600
"Jana, Saibal",14,2017,56,4.0,0.95,4.0,55274371900,http://www.scopus.com/authid/detail.url?authorId=55274371900
"Karmakar, Anish K.",14,2017,47,3.4,1.36,4.0,55510104200,http://www.scopus.com/authid/detail.url?authorId=55510104200
"Kishore, Nand Krishna",14,2016,41,2.9,1.26,8.0,55722429200,http://www.scopus.com/authid/detail.url?authorId=55722429200
"Kundalwal, Shailesh I.",14,2015,116,8.3,1.30,8.0,37122240700,http://www.scopus.com/authid/detail.url?authorId=37122240700
"Maity, Arnab Kumar",14,2017,115,8.2,1.45,9.0,36623043900,http://www.scopus.com/authid/detail.url?authorId=36623043900
"Majumdar, Gautam Chandra",14,2016,79,5.6,0.55,17.0,7006482729,http://www.scopus.com/authid/detail.url?authorId=7006482729
"Majumder, Sonjoy",14,2016,48,3.4,0.59,9.0,36880633300,http://www.scopus.com/authid/detail.url?authorId=36880633300
"Mall, Rajib",14,2017,20,1.4,1.83,12.0,7003484601,http://www.scopus.com/authid/detail.url?authorId=7003484601
"Mishra, Vishwa V.",14,2016,10,0.7,0.39,4.0,7102563839,http://www.scopus.com/authid/detail.url?authorId=7102563839
"Mitra, Bivas",14,2016,3,0.2,1.79,6.0,23035267800,http://www.scopus.com/authid/detail.url?authorId=23035267800
"Mondal, Kajal",14,2014,11,0.8,0.10,3.0,55031109900,http://www.scopus.com/authid/detail.url?authorId=55031109900
"Mondal, Pranab Kumar",14,2016,32,2.3,0.87,5.0,55520323100,http://www.scopus.com/authid/detail.url?authorId=55520323100
