University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
Lund University,78,68.5,80,51.8,71.8,53.7,88.3,73.8
Durham University,78,68.5,66.8,76.3,97.1,37.5,94.8,87.8
Tohoku University,76,69,78.3,48.4,66,98.1,,
The University of Nottingham,84,66.8,69.9,46.3,87.5,59.5,89.5,86.5
University of St Andrews,92,65.3,53,69.6,57.1,72,98,99.9
"University of North Carolina, Chapel Hill",80,67.8,77.5,61.5,48.1,86.9,28.5,
KU Leuven,71,69.4,88.1,88.9,78,,84.8,41.6
University of Zurich,73,69.2,68.3,31.9,78.1,98.1,100,59.2
The University of Auckland,82,67,92.2,48.1,77.3,,85.5,89.6
University of Birmingham,84,66.8,74.7,47.2,88.6,48.2,90.9,86
Pohang University of Science And Technology (POSTECH),71,69.4,50.9,99.8,65.6,99.5,42.4,
The University of Sheffield,82,67,69.8,50.1,69.9,64.3,83.6,96.8
Universidad de Buenos Aires (UBA),75,69.1,94.5,,95.5,75.1,50.3,70.6
"University of California, Davis",118,60.4,80.7,61.6,47.1,36.1,42,33.3
University of Southampton,102,63.9,62.1,56,58.4,62.6,92.7,95.3
The Ohio State University,86,66.1,75.3,40.3,60.6,77.7,79.3,44.7
Boston University,81,67.2,71.3,59.8,78.5,66.4,22.1,86.5
Rice University,89,65.6,45.5,96.7,,83.9,87.5,87.7
University of Helsinki,102,63.9,76.4,41.5,51.4,83.4,53.6,
Purdue University,105,63.2,73.7,58,70.7,31.6,97.2,73.7
University of Leeds,101,64.5,74.4,42.3,86.9,47,79.4,81.3
University of Alberta,90,65.5,73,49.6,61.1,56.6,93,82.4
Pennsylvania State University,93,65.2,84.6,80.2,75.1,,,42.9
University of Geneva,98,64.7,57.7,82.1,41.4,55.1,100,98.9
KTH Royal Institute of Technology,98,64.7,57.2,70,87,62.5,88.1,42
