University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
University of Tromsø The Arctic University of Norway,367,32.9,,,,96.7,41,29
Dublin City University,391,31,,,46.3,35.8,78.4,57.2
University of Texas Dallas,,,,65.7,,,23,70.8
University of Eastern Finland,,,,34,,47.5,23.5,
V. N. Karazin Kharkiv National University,,,,,,78,,89.9
American University,,,27.3,,54.5,30,,32
University of Stirling,,,,42.6,,,71.3,62.2
Colorado State University,,,,23.5,37.1,28.9,25.3,
Chung-Ang University (CAU),,,,,,86.5,22.1,38.3
La Trobe University,360,33.2,29.6,28.5,39.9,,97.3,95.3
Beijing Institute of Technology,,,,36.2,,32.1,,
"Stony Brook University, State University of New York",382,31.9,,43.3,,35.2,,85
Swansea University,,,,30.3,,34.4,66,66.7
University of Southern Denmark,384,31.6,,26,,41.2,73.5,41.5
University of Iowa,,,28.9,41.6,,30.8,,29.1
Qatar University,349,33.8,,,,59.9,100,99.9
Stellenbosch University,361,33.1,34.4,52.9,33.5,,78.2,
Washington State University,,,33,32,,,66.8,
National Sun Yat-sen University,388,31.2,29.9,52.2,,27,17.9,
National Technical University of Athens,,,,63.7,44.4,,,
Indian Institute of Technology Roorkee (IITR),,,,81.8,,,,
Leibniz Universität Hannover,,,,79.5,,,,26.9
National Research Tomsk Polytechnic University,386,31.3,,,,93.5,19.2,81.8
Bandung Institute of Technology (ITB),331,35.3,52.9,,56.1,31,30.1,
Brandeis University,,,,44.1,,28.4,,83.7
Illinois Institute of Technology,395,30.7,,49.7,,,21.4,100
Johannes Gutenberg Universität Mainz,398,30.5,27.9,,,48.7,35.1,24.6
Khalifa University,,,,,,69.3,100,45.2
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),373,32.5,,,,94.1,39.1,62.3
Taipei Medical University,398,30.5,,,,84.7,24.4,
Universidad Externado de Colombia,,,,,39.8,99.8,,
Wake Forest University,,,,,,100,,
Aix-Marseille University,,,41.8,26.1,,,26.3,36.2
Bilkent University,,,29.5,26.2,46.3,,62.5,
Sogang University,,,,,47.5,44.8,,
Bangor University,,,,59.5,,,54.3,74.3
Kazakh National Research Technical University after K.I.Satpayev,,,,,,97.1,,
National Central University,391,31,32.5,40.3,,31.7,,
"National Research University Higher School of Economics (HSE, Moscow)",382,31.9,,,,92.8,,
Peter the Great Saint-Petersburg Polytechnic University,,,,,,93.8,,56.5
United Arab Emirates University,390,31.1,,,,47.9,100,76.3
Universität Mannheim,388,31.2,,32,84.2,,30.6,30.1
University of Delaware,,,,76.3,,,33.6,25.8
University of Oulu,,,,33.7,,52.1,30.5,
University of Utah,391,31,,38.2,,60.1,,
Renmin (People's) University of China,,,34.9,,,33.9,,
Julius-Maximilians-Universität Würzburg,,,,48.7,,,33.7,
Iowa State University,,,28.5,42.1,,,21.9,23.7
Christian-Albrechts-University zu Kiel,,,,23.5,,57.1,,
"Goldsmiths, University of London",398,30.5,,,,25.5,85,97.2
Institut National des Sciences Appliquées de Lyon (INSA),,,,,62.8,43.6,34.1,90.2
University of Connecticut,,,,44.7,,28.8,56.9,26.1
University of Pisa,,,46.1,22.4,33.4,,,
Pontificia Universidad Javeriana,,,42.5,,57.4,,,
Jagiellonian University,,,36.7,,,39.4,,
Florida State University,,,33.2,44.1,33.4,,,
Taras Shevchenko National University of Kyiv,,,32.3,,,69.4,,
The University of Georgia,,,30.7,36,,,66.1,
Beihang University (former BUAA),,,,38.8,,,,
HUFS - Hankuk (Korea) University of Foreign Studies,397,30.6,,,,78.3,37.9,39
Sharif University of Technology,,,,84.3,,,,
Singapore Management University,,,,,63.3,,100,65.3
Universitat Politècnica de València,373,32.5,,,36.7,65.6,,28.7
Universität Bremen,,,29.3,23,,25.6,29.1,
Huazhong University of Science and Technology,,,,52,,,,
University of Trento,,,28.1,50.2,,,40.4,
American University of Sharjah,,,,,48.2,,100,100
Auckland University of Technology (AUT),,,,,39.5,,99,99.7
Chang Gung University,,,,46.5,,69,,
Dongguk University,,,,,,76.1,,28.9
Sabanci University,,,,,36.6,38.9,48.4,
Swinburne University of Technology,,,,36.8,,,97.3,83.7
Universidad de Palermo (UP),,,,,,64,34.2,95.4
"University of Maryland, Baltimore County",,,,78.4,,,,
University of Florence,,,42.7,,,,,
University of Coimbra,,,38.1,25.3,34,,,41.2
Shanghai University,,,36,,,38.6,24.1,
Pusan National University,,,,,,34.7,,
York University,,,29.2,,47.3,,31.9,66
Ruhr-Universität Bochum,,,28.9,56.7,,,27.3,35.3
Xiamen University,,,30.9,43.8,,,,
Koc University,,,,,44.9,45.6,42.6,
Oregon State University,,,,35.6,,31.1,58.9,28.1
Sultan Qaboos University,,,,,,62.3,100,
Universidade Federal do Rio Grande Do Sul,,,35.8,,,,44.6,
Université Paul Sabatier Toulouse III,,,32,,,31.5,,36.8
Karl-Franzens-Universitaet Graz,,,28.6,,35.7,,52.8,37.1
Arabian Gulf University,,,,,,69.7,99.5,100
Bond University,,,,,,58.7,98.7,94.4
Concordia University,,,,27.1,51.8,,75.3,87.5
Universität Potsdam,,,,81.1,,,,25.7
University of New Mexico,,,,33.1,,48,,
University of Oklahoma,,,,,,59.4,29.2,
"The University of Tennessee, Knoxville",,,,67.4,,,,
Wayne State University,,,,,,75.3,19.2,23.6
Universidad de Santiago de Chile (USACH),,,45.7,,54.5,,,
Universidad de Costa Rica,,,43.2,,41.7,37.2,,
Middle East Technical University,,,31.8,23.2,63.8,,,
Bogaziçi Üniversitesi,,,,33,58.5,,19.1,
Lappeenranta University of Technology,,,,52.6,,25,28.2,40.4
Clark University,,,,46.3,,37.9,,81.2
East China University of Science and Technology,,,,67.6,,,,
Technische Universität Braunschweig,,,,,38.6,62.4,,36.4
Tokyo Metropolitan University,,,,34.6,,,,
University of Saskatchewan,,,,34.1,,32.8,69.2,57.1
Pontificia Universidad Católica del Perú,,,48.8,,45.9,,,
"University of Rome ""Tor Vergata""",,,36.6,30.3,,,,22.2
University of Naples - Federico II,,,32.2,46.4,,,,
Hitotsubashi University,,,31.7,,66.9,28.9,23.1,27.5
Dalian University of Technology,,,,61.6,,,,
Indian Institute of Technology Guwahati (IITG),,,,59.5,,,,
Lehigh University,,,,47.6,,34.9,,49.5
Tianjin University,,,,49.7,,30.6,,
Universidad de Zaragoza,,,,,,59,,
Vilnius University,,,,,49.2,69.1,,
Aristotle University of Thessaloniki,,,32.4,31.1,,,,
Università Cattolica del Sacro Cuore,,,30.1,,69.5,,,
Aberystwyth University,,,,34.4,,30.6,61.8,43.4
Iran University of Science and Technology,,,,95.2,,,,
Jilin University,,,,,,49,,
Graz University of Technology,,,,23.5,,43.6,,40.7
The Catholic University of Korea,,,,,,91.1,,
Saint Joseph University of Beirut (USJ),,,,,34.8,70.2,59.9,
University of Nebraska-Lincoln,,,,33.1,,,81,30
University of South Florida,,,,51.2,,,47.1,32.4
Yokohama City University,,,,,,99.3,,
Gadjah Mada University,,,48.8,,42.2,,23.5,
University of Delhi,,,41.6,,52.9,,,
City University of New York,,,38.5,,,,,
University of Bordeaux,,,38.8,,,,25.1,
Pontifícia Universidade Católica do Rio de Janeiro,,,40.2,,,,,
University of Granada,,,39.5,,,,,21.6
Université de Fribourg,,,,56.5,,,,50.3
Université du Québec,,,31.8,,,,35.1,
University of Hohenheim,,,,62.3,,,26.9,29.7
Universität  Leipzig,,,31.6,,,,,29
Université Claude Bernard Lyon 1,,,31.2,27.8,,,,
Ateneo de Manila University,,,30.6,,47.4,25.4,,
UNESP,,,37.2,,,27.4,,
Abo Akademi University,,,,32,,37.2,43.5,23.9
Amirkabir University of Technology,,,,91.1,,,,
Chonbuk National University,,,,,,52.8,,
Czech Technical University in Prague,,,,,55.9,26,,42.3
Drexel University,,,,26.7,,36.8,37,51.8
Instituto Tecnológico de Buenos Aires (ITBA),,,,,36.3,58.8,,
Kazakh National Pedagogical University named after Abay,,,,,,92.6,19.5,
Kazan (Volga region) Federal University,,,,,,73.7,,27.8
King Khalid University,,,,,,77.4,100,24.5
"Kingston University, London",,,,,35.8,,68.2,96.8
Martin-Luther-Universität Halle-Wittenberg,,,,,,81.3,,
Michigan Technological University,,,,39.2,,30.4,,44.2
Missouri University of Science and Technology,,,,50.7,,,50,39.8
Murdoch University,,,,,,,87.4,53.6
Nagasaki University,,,,,,85.4,,
National Chung Hsing University,,,,46.3,,,,
National University of Sciences And Technology (NUST) Islamabad,,,,,46.5,74.6,,
Okayama University,,,,,,78.2,,
Pontifícia Universidade Católica de São Paulo,,,,,41.7,55.2,,
Sejong University,,,,,38.8,25.2,,
Shandong University,,,,32.7,,,,
Southeast University,,,,45.5,,30.8,,
Tulane University,,,,,,74.8,,25.9
Umm Al-Qura University,,,,,,56,99.5,
Universidad de San Andrés - UdeSA,,,,,36.9,50.3,20.7,
Universidade Federal de São Paulo,,,,,,68.5,,
University of Bayreuth,,,,37.3,,,36.5,
Universität des Saarlandes,,,,28.9,,26.4,63.1,53.2
Universität Regensburg,,,,32.5,,26,36,
"Université Lille 1, Sciences et Technologies",,,,,,,20.2,63
University of Guelph,,,,40.9,36.9,,46.9,
University of Kentucky,,,,43.2,,,30,
University of Limerick,,,,,37.8,,96,
University of Macau,,,,27,,,100,96.3
University of Manitoba,,,,22.9,,31.6,,41.2
University of Mons,,,,69,,,31.7,48
University of Szeged,,,,,,46.6,,50
University of Tampere,,,,25.8,,25.7,,
Universidad Nacional de La Plata (UNLP),,,42.3,,,,,
Chiang Mai University,,,38.9,,,,,
Universidade Federal de Minas Gerais,,,36.9,,,,,
Cairo University,,,39.8,,65.6,,,
Universitat de Valencia,,,33.5,,,,,
University of Pretoria,,,31.9,,47.6,,38.4,
University of Turin,,,31.9,27,,,,
Universidade de Santiago de Compostela,,,,22.9,,,,
American University in Dubai,,,,,42.5,,100,100
Anna University,,,,59.5,,,,
Beijing Foreign Studies University,,,,,,44.9,44.2,39.5
Carleton University,,,,27.4,,,25.6,50.3
Charles Darwin University,,,,32.1,,,60.2,99.2
Chiba University,,,,,,62.6,,
College of William & Mary,,,,27.2,,38.4,,
East China Normal University,,,,28,,33,29.6,47.4
Far Eastern Federal University,,,,,,76,,40.1
Flinders University,,,,28.3,,,26.1,51
Howard University,,,,,,75.7,,
Indiana University-Purdue University Indianapolis,,,,,,72.5,,
Inha University,,,,,,57.7,,
Johannes Kepler University Linz,,,,27.6,38.2,,67.4,24
Kagoshima University,,,,,,73.1,,
Kanazawa University,,,,,,62.2,,
Keele University,,,,25.4,,29.7,46.6,66.1
Kumamoto University,,,,,,71.2,,
Lanzhou University,,,,63,,,,
National Research Saratov State University,,,,,,99.9,,
National Taipei University of Technology,,,,26,,42,21.5,
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,,,,,71.1,,
Philipps-Universität Marburg,,,,,,30.4,20.6,28.2
Politécnica de Madrid,,,28.6,,55,,,33.6
Rhodes University,,,,38.2,,,,56.7
Sichuan University,,,,32.2,,,,
South China University of Technology,,,,58.3,,,,
Southern Federal University,,,,,,89.2,,
Syracuse University,,,,28.3,,,,61.1
TU Dortmund University,,,,,52.7,,18.5,
Tokyo University of Agriculture and Technology,,,,49.5,,,,
Università degli Studi di Pavia,,,,40.1,,,,
University of Bradford,,,,22.3,,,53,86.5
University of Canberra,,,,23.2,,,54.6,66.5
University of Cincinnati,,,,39.7,,29.3,,
University of Hull,,,,27.4,,,59.7,55.9
University of Jordan,,,28.4,,47,,25.9,33
University of Massachusetts - Boston,,,,31.3,,,,
"University of Missouri, Columbia",,,,24.2,,,22.4,
University of Oregon,,,,24.5,,,,32.7
University of Science and Technology Beijing,,,,48.7,,,,
University of South Carolina,,,,30.8,,,28.3,
University of Tehran,,,,34.8,,,,
University of Ulsan,,,,29.5,,60.8,,
University of Vermont,,,,24.2,,61.6,,
Western Sydney University,,,,,,,97.8,38.3
Universidad de Antioquia,,,36.2,,,,,
Universidad Nacional de Córdoba - UNC,,,31.5,,,,,
Universidad de Sevilla,,,33.6,,,,,
Universidad Católica Andres Bello,,,28.8,,61.1,,,
Pontificia Universidad Católica de Valparaíso,,,,,,,,
Universidade de Brasília,,,28.5,,,,,
Universidad de Concepción,,,,,,,,
Thammasat University,,,27.7,,,26.5,18.3,
Universität Bielefeld,,,27.4,,,,19.1,
Ajou University,,,,,,53.7,,
Bar-Ilan University,,,,44.7,,,60.4,
Central Queensland University,,,,,,29.3,97.9,90
Chonnam National University,,,,,,51.5,,
Clarkson University,,,,55.9,,,45.2,
Eötvös Lorànd University,,,,,,,,
Hallym University,,,,,,78.9,,
Instituto Tecnológico Autónomo de México (ITAM),,,,,50.6,,55.1,
Hunan University,,,,51.9,,,,
International Islamic University Malaysia (IIUM),,,,,,,43.5,65.5
"Lingnan University, Hong Kong",,,,,,27.8,99.9,41.7
Auezov South Kazakhstan State University (SKSU),,,,,,82.5,18.6,
Masaryk University,,,,,,,,72.8
Middlesex University,,,,,,,85.7,70.9
The National University of Science and Technology MISIS,,,,,,62.3,,62.8
The New School,,,,,,56,,97.2
RUDN University,,,,,,66.2,,83.3
Tallinn University of Technology,,,,,40,27.9,27.4,32.5
Universidad de Alcalá,,,,,,34.2,21,72
Universidad de Montevideo (UM),,,,,,56.3,,
Universidad del Pais Vasco,,,,,,45.3,,
Universidad Torcuato Di Tella,,,,,42.2,26.7,,
Universität Duisburg-Essen,,,,36.3,,,21.4,56.3
University Duesseldorf,,,,26.5,,,,31.5
Université de Rennes 1,,,,,,28.9,18.3,25.1
Université de Sherbrooke,,,,,,28.4,61.6,
Université Nice Sophia Antipolis,,,,,,,59.8,65.7
Université Panthéon-Assas (Paris 2),,,,,38,64.2,,40.4
Universiti Teknologi Petronas (Petronas),,,,,,25.1,82.5,49.2
University of Alabama,,,,38.7,,,,
University of Aveiro,,,,56.8,,,,
University of Baghdad,,,30.9,,,46.2,,
University of Houston,,,,42,,,,23.8
University of Hyderabad,,,,48.1,,,,
University of Johannesburg,,,,,,27.9,61.3,26.7
University of Ljubljana,,,,,,35.6,,
University of Mississippi,,,,,,36,,
University of New Hampshire,,,,31.3,,34.6,,
University of Portsmouth,,,,,,,64.7,81.1
University of Minho,,,,41.9,,,,
University of Seoul,,,,,,35.8,,
Ulster University,,,,,35.5,,96.6,
Ural Federal University,,,,,,73.5,,
Warsaw University of Technology,,,,,43.5,,,
Worcester Polytechnic Institute,,,,28.7,,30.1,32,67.5
Al-Imam Muhammed Ibn Saud Islamic University,,,,,,28.5,98.5,29.5
Beijing University of Technology,,,,,,,,
Brigham Young University,,,,23.2,39.2,,,
Brno University of Technology,,,,,46.3,,,60.6
Comenius University in Bratislava,,,,,,34.4,,
Coventry University,,,,,40.3,,61.4,99.8
Dublin Institute of Technology,,,,,33.7,,55.2,52.7
George Mason University,,,,,,,,
Gifu University,,,,,,66.9,,
Istanbul Technical University,,,,,60.5,,,
ITMO University,,,,,,63,,41.6
Jadavpur University,,,,42,,27.5,,
Jordan University of Science & Technology,,,,,36.7,,,63.4
Justus-Liebig-University Giessen,,,,58,,,,
Kazakh-British Technical University,,,,,33.2,35.8,54.7,
Kyungpook National University,,,,,,,,
Lebanese American University,,,,,35.6,,95,56.5
London Metropolitan University,,,,,,,64.9,99.5
Louisiana State University,,,,52.1,,,,
Manipal Academy of Higher Education,,,,,,59.8,,
Maynooth University,,,,,,,79.4,22.3
Memorial University of Newfoundland,,,,,,30.8,,43.5
National and Kapodistrian University of Athens,,,,28.9,,,,
Osaka City University,,,,,,60.2,,
Osaka Prefecture University,,,,,,48.1,,
Palacký University in Olomouc,,,,,,30.7,26.2,21.6
Riga Technical University,,,,,56,,,26.3
"Rutgers - The State University of New Jersey, Newark",,,,,,29.1,33,22.3
Sofia University St. Kliment Ohridski,,,,,,37.3,,
Shanghai International Studies University,,,,,,54.3,27.5,23.3
Stevens Institute of Technology,,,,40,,,31.2,98.9
Temple University,,,,,,27.1,,
Universidad Adolfo Ibàñez,,,,,68.8,,41.2,
Universidad Anahuac,,,,,43.4,42.3,21.5,
Universidad Central de Venezuela,,,,,33.1,,,
Universidad de La Sabana,,,,,37.9,,,
University of Salamanca,,,,,,,,27.6
Universidad Iberoamericana (UIA),,,,,48.8,,,
Universidade Federal de São Carlos (UFSCAR),,,,,,43.7,,
University of Modena and Reggio Emilia,,,,51.7,,,,
Universität Rostock,,,,26.9,,,,
University at Albany SUNY,,,,45.5,,,,
University of Calcutta,,,,24.4,,,,
University of Crete,,,,47.2,,,,
University of Debrecen,,,,,,28.8,,59.3
University of Denver,,,,,,40.5,,
University of Haifa,,,,31.8,,,,
University of Kwazulu-Natal,,,,,,,52.4,
University of Latvia,,,,,,26.7,,
University of Milano-Bicocca,,,,39.6,,,,
University of Patras,,,,44.7,,,,
Plymouth University,,,,26.4,,,49.9,34.1
University of Sharjah,,,,,,,100,100
University of Windsor,,,,67.7,,,,50.3
University of Zagreb,,,,,,34.5,,
Victoria University,,,,,,,43,78.7
Virginia Commonwealth University,,,,,,46.1,,
Yeungnam University,,,,,,,25.2,
Kasetsart University,,,29.5,,,,,
Universidad Nacional de Rosario (UNR),,,,,,,,
Abu Dhabi University,,,,,,,100,100
Ain Shams University,,,,,50.9,,,
Airlangga University,,,,,,,,
Adam Mickiewicz University,,,,,,,,
AGH University of Science and Technology,,,,,,,,
Al Azhar University,,,,,,,,64.2
Alexandria University,,,,,43.7,,,
Alexandru Ioan Cuza University,,,,,,,,
Alpen-Adria-Universitaet Klagenfurt,,,,,,,85,67.9
"Aligarh Muslim University (AMU), Aligarh",,,,,,,,
Ankara Üniversitesi,,,,,,,,
Aoyama Gakuin University,,,,,,,,
Athens University of Economics and Business,,,,,34.6,,,
Auburn University,,,,24.5,,,,
Australian Catholic University,,,,,,,,
Babes-Bolyai University,,,,,,,,
Baku State University,,,,,,37.2,,
Banaras Hindu University,,,,24.9,,,,
Baylor University,,,,,,,,
Beijing Jiaotong University,,,,,,,,
BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,,,,,,34.6,,
Benemérita Universidad Autónoma de Puebla,,,,,,,,
Binghamton University SUNY,,,,27.2,,,,41.7
Bogor Agricultural University,,,,,,,,
Budapest University of Technology and Economics,,,,,,,,
"Birla Institute of Technology and Science, Pilani",,,,,,,,
Birzeit university,,,,,,,,
Central South University,,,,40.3,,,,
Charles Sturt University,,,,,,,30.7,55
Chongqing University,,,,26.4,,,,
Chungnam National University,,,,,,26.4,,
Bournemouth University,,,,,,,71.7,63.9
China Agricultural University,,,,31.7,,33.6,,
Clemson University,,,,35.7,,,,
Corvinus University of Budapest,,,,,,,,36.4
Cukurova University,,,,,,,,
Dankook University,,,,,,64.9,,
De La Salle University,,,,,44.2,,,
Diponegoro University,,,,,,,,
Vasyl` Stus Donetsk National University,,,,,,41.8,,
Doshisha University,,,,,,,19.6,
Karaganda State University named after academician E.A.Buketov,,,,,,59.7,,
Edith Cowan University,,,,,,,54.1,62.7
Edinburgh Napier University,,,,,,,46.6,92.8
Feng Chia University,,,,,,,,
Fordham University,,,,,,,20.7,36.7
Fu Jen Catholic University,,,,,,,,
Gazi Üniversitesi,,,,,,,,
Florida International University,,,,,,,,
Georgia State University,,,,27.7,,,,
Gunma University,,,,,,46.3,,
Hacettepe University,,,,,,,,
Instituto Politécnico Nacional (IPN),,,,,44.6,25.2,,
Istanbul University,,,,,,,,
Kansas State University,,,,,,,,
Kaunas University of Technology,,,,,38.5,32.8,,
Kazakh Ablai Khan University of International Relations and World Languages,,,,,,36.8,,
Kent State University,,,,33.6,,,21.1,22.7
Khazar University,,,,,,38.1,61.9,34.6
Khon Kaen University,,,,,,,,
King Faisal University,,,,,,,100,
King Mongkut's University of Technology Thonburi,,,,,,,,
Konkuk University,,,,,,45.1,,
Kuwait University,,,,,,,63.7,34.7
Lahore University of Management Sciences (LUMS),,,,,51.8,,,
Lobachevsky University,,,,,,54.7,,
Kyushu Institute of Technology,,,,,,,,
University of Lodz,,,,,,,,
Loyola University Chicago,,,,,,32,,
London South Bank University,,,,,,,58.2,96
Makerere University,,,,,,,,
Manchester Metropolitan University,,,,,,,28.9,38.3
Marquette University,,,,,,28.7,,
Meiji University,,,,,,,,
Miami University,,,,,,,,21.7
National Chengchi University,,,28.4,,,,,33.9
"National Technical University  ""Kharkiv Polytechnic Institute""",,,,,,58.5,,
New Jersey Institute of Technology (NJIT),,,,26,,,,71.5
Nicolaus Copernicus University,,,,,,32.6,,
Niigata University,,,,,,60,,
Nagoya Institute of Technology (NIT),,,,48.7,,,,
Northumbria University at Newcastle,,,,,,,35.7,43.4
North-West University,,,,,,,,
Nottingham Trent University,,,,,40.9,,46.3,
Novosibirsk State Technical University,,,,,,,,44
Ochanomizu University,,,,,,,,
Ohio University,,,,,,,,
Oklahoma State University,,,,22.9,,,,
Panjab University,,,,,,,,
Paris Lodron University of Salzburg,,,,,,,,97
Plekhanov Russian University of Economics,,,,,,29.7,,
Pontificia Universidad Católica del Ecuador (PUCE),,,,,,,,
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),,,,,,,,
Prince of Songkla University,,,,,,,,
Baku Engineering University,,,,,,,,
Quaid-i-Azam University,,,,51.9,,,,
Ritsumeikan University,,,,,,,31.6,
Ryerson University,,,,30.1,,,,
Saitama University,,,,,,,,
Samara National Research University (Samara University),,,,,,46.5,,
San Diego State University,,,,33.1,,,,
Seoul National University of Science and Technology,,,,,,,,
Institute of Technology Sepuluh Nopember,,,,,,,18.9,
Shahid Beheshti University (SBU),,,,,,,,
Shinshu University,,,,27.5,,,,
Smith College,,,,,,56.3,,32.8
Sophia University,,,,,,,31.7,
Southern Methodist University,,,,,,41.2,,39.7
Southern Cross University,,,,38.1,,,,56.9
Sumy State University,,,,,,43.1,,32.7
Robert Gordon University,,,,,,,48.8,70.8
Tokai University,,,,,,,,
Texas Tech University,,,,,,,53.1,
Tokyo University of Science,,,,26.4,,,,
Universidad Austral de Chile,,,,,,,,
Universidad Autónoma de Nuevo León,,,,,,,,
Universidad Autónoma del Estado de México (UAEMex),,,,,,,,
Universidad Autónoma Metropolitana (UAM),,,,,,,,
Universidad de Castilla-La Mancha,,,,,,,,
Universidad de Guadalajara (UDG),,,,,,,,
Universidad de la Habana,,,,,,48.3,,
Universidad de la República (UdelaR),,,,,,28.7,,
Universidad de las Américas Puebla (UDLAP),,,,,,,34.9,
Universidad de los Andes - (ULA) Mérida,,,,,,,,
Universidad de Monterrey (UDEM),,,,,,,,
University of Murcia,,,,,,,,
Universidad de Oviedo,,,,,,,,
Universidad de Puerto Rico,,,,,,,,
Universidad San Francisco de Quito (USFQ),,,,,41,,61.2,
Universidad de Talca,,,,,,,22.6,
Universidad de Valparaíso (UV),,,,,,,,
Universidad del Norte,,,,,,,,
Universidad del Rosario,,,,,,,19.3,
Universidad del Valle,,,,,,,,
Universidad Diego Portales (UDP),,,,,33.2,,,
Universidad Industrial de Santander - UIS,,,,,,,,
"ULACIT - Universidad Latinoamericana de Ciencia y Tecnología, Costa Rica",,,,,,,,
Universidad Metropolitana,,,,,,,,
Universidad Nacional Costa Rica,,,,,,25.1,,
Universidad Nacional de Cuyo,,,,,,,,
Universidad Nacional de Mar del Plata,,,,,,32.2,,
Universidad Nacional de Tucumà¡n,,,,,,,,
Universidad Nacional del Sur,,,,,,,,
Universidad Nacional Mayor de San Marcos,,,,,,,,
Universidad Panamericana (UP),,,,,,32.6,,
Universidad Peruana Cayetano Heredia (UPCH),,,,,,,72.5,
Universidad Rey Juan Carlos,,,,,,,,22.1
Universidad Simón Bolívar (USB),,,,,,,,
Universidad Técnica Federico Santa María (USM),,,,,33.9,,,
Universidad Tecnológica Nacional (UTN),,,,,,29.9,,
Universidade Católica Portuguesa - UCP,,,,,54.9,,,
Universidade da Coruña,,,,,,36.3,,
Universidade do Estado do Rio de Janeiro (UERJ),,,,,,34,,
Universidade Estadual de Londrina,,,,,,54.9,,
Universidade Federal da Bahia,,,,,,32.1,,
Universidade Federal de Santa Catarina,,,,,,,,
Universidade Federal de Santa Maria,,,,,,,,
Universidade Federal de Viçosa-UFV,,,,,,26.6,,
Universidade Federal do Ceará (UFC),,,,,,,,
Universidade Federal do Paraná - UFPR,,,,,,,,
Universidade Federal de Pernambuco (UFPE),,,,,,,,
Universidade Federal Fluminense,,,,,,26.7,,
Ca' Foscari University of Venice,,,,,35.4,,31.3,
Catania University,,,,23.7,,,,
Universita' degli Studi di Ferrara,,,,52.2,,,,
University of Genoa,,,,26.9,,,,
Università degli Studi di Perugia,,,,40.5,,,,
University of Siena,,,,29,,,,
University of Trieste,,,,,,27.4,,
Università degli studi Roma Tre,,,,,,,,
University of Palermo,,,,,,,,
Universitas Muhammadiyah Surakarta,,,,,,,,
Université Charles-de-Gaulle Lille 3,,,,,,,54.2,
Université de Caen Basse-Normandie,,,,,,,,
Université de Cergy-Pontoise,,,,,,,26.9,30.2
University of  Lorraine,,,,,,,,39.1
Université de Nantes,,,,,,,19.3,23.3
Université de Poitiers,,,,,,,,43.3
Université Jean Moulin Lyon 3,,,,,,,19.6,42.1
Université Lille 2 Droit et Santé,,,,,,,,
Université Lumière Lyon 2,,,,,,,22.6,48.1
Université Mohammed V de Rabat,,,,,,,,
Université Paris Ouest Nanterre La Défense,,,,,,,,52.5
Universit Paul-Valery Montpellier 3,,,,,,,18.3,67.2
Université Toulouse 1 Capitole,,,,,,,39.8,70.2
Universiti Teknologi MARA - UiTM,,,,,,,,
Universiti Utara Malaysia (UUM),,,,,,28.4,32.5,59.7
University of Arkansas,,,,,,,,
University of Bahrain,,,,,,,95.7,22.6
University of Bari,,,,,,,,
University of Belgrade,,,,,,,,
University of Brawijaya,,,,,,,,
University of Brescia,,,,52.9,,,,
University of Brighton,,,,,,,48.3,66.4
University of Bucharest,,,,,,,,
University of Central Florida,,,,27,,,,
University of Central Lancashire,,,,,,,30.3,51.2
University of Colombo,,,,,,,,
University of Dhaka,,,,,42.6,,,
University of East London,,,,,,,80.2,92.8
University of Engineering & Technology (UET) Lahore,,,,,,,,
University of Ghana,,,,,,,,
University of Greenwich,,,,,,,71,95.7
University of Hertfordshire,,,,,,,57.7,81.9
University of Huddersfield,,,,,,,43.5,74.4
University of Karachi,,,,,,,,
University of Kufa,,,,,,39.9,,
The University of Lahore,,,,,,,,
University of Maribor,,,,,,,,
University of Montana Missoula,,,,,,,,
University of Mumbai,,,,,39.3,,,
University of Nairobi,,,,,,,,
University of New England Australia,,,,23.6,,,,
University of Pécs,,,,,,28.1,,54.4
University of Pune,,,,,,,,
University of Salford,,,,,,,23.3,82.2
University of San Diego,,,,,,25.8,,
University of San Francisco,,,,,,,,49.4
University of Santo Tomas,,,,,,,,
University of Southern Queensland,,,,,,,79.4,33.8
University of the Pacific,,,,,,39.8,,
University of the Sunshine Coast,,,,35.1,,,,29.6
University of the Western Cape,,,,,,,36.7,
University of Tulsa,,,,,,36.8,,77
University of Wroclaw,,,,,,,,
University of Wyoming,,,,30.9,,34.3,,
Université de Toulouse II-Le Mirail,,,,,,,34.1,56
Utah State University,,,,36.5,,,,
Verona University,,,,,,,,
University of Westminster,,,,,,,82.2,99.9
Vilnius Gediminas Technical University,,,,,45.6,35.5,,29.6
Voronezh State University,,,,,,43.8,,
Vytautas Magnus University,,,,,,,25.2,
Universitatea de Vest din Timisoara /  West University of Timisoara,,,,,,,,
Yamaguchi University,,,,,,54.9,,
Yokohama National University,,,,,,30.3,,
"University of California, San Francisco",,,59.5,69.6,,100,45.3,
Karolinska Institutet,,,53.6,88.4,,99.8,88.7,64
Jawaharlal Nehru University,,,38.1,,,71.8,,
INSEAD,,,34.1,55.2,99.5,65.1,100,100
London Business School,,,37.9,96.9,99.6,,100,100
Weizmann Institute of Science,,,29.9,100,,99.9,,
Wroclaw University of Technology,,,,,,,,
