University,# RANK2017,OVERALL SCORE-17,Academic Reputation-17,Employer Reputation-17,Faculty Student-17,Citations per Faculty-17,International Faculty-17,International Students-17
Boston University,89,65.2,71.3,83.9,56.5,63.1,,77.7
Rice University,90,65,43,,85.4,98,89.2,88.8
University of Helsinki,91,64.7,75.5,57.2,93.7,31.2,65,
Purdue University,92,64.5,74.5,70.8,30.2,63.6,96.1,77.4
University of Leeds,93,64.2,72,81.8,49.3,47.3,77.9,77.4
University of Alberta,94,64,70.6,61.9,53.5,49.8,92.6,83.5
Pennsylvania State University,95,63.6,81.3,72.1,,81.6,,44.1
University of Geneva,95,63.6,57.8,31.4,53.7,81.9,100,99.5
KTH Royal Institute of Technology,97,63.1,52.2,88.1,62,71.3,90.6,42.9
Uppsala University,98,62.8,77.6,53.1,48.5,59.5,24.6,71.6
Korea University,98,62.8,70.8,82.6,82.9,34.9,18.8,35.1
"Trinity College Dublin, The University of Dublin",98,62.8,68.2,57.8,39.6,62.4,98,85.9
"KIT, Karlsruhe Institute of Technology",98,62.8,57.4,94.8,66,58.7,58.4,49.6
Leiden University,102,62.7,78.8,43.9,38.7,69.9,71,30.6
The University of Western Australia,102,62.7,71.8,55.2,30.2,73.7,99.5,51.9
Utrecht University,104,62.4,74.6,52.5,41.8,76.4,59.3,
University of Science and Technology of China,104,62.4,63.4,48.2,60.8,97.4,,
Sungkyunkwan University (SKKU),106,62.2,65.2,98.1,84.6,36.9,17.6,23.1
Washington University in St. Louis,106,62.2,53.1,,99.9,69.9,29.9,65.8
Lomonosov Moscow State University,108,62.1,77.1,69.3,99.7,,,51.9
Technical University of Denmark,109,61.8,34.5,43.8,98.9,74,98.7,78
Zhejiang University,110,61.6,73.2,80.3,27,89,,
The Hong Kong Polytechnic University,111,61.4,63.8,51.6,48.1,59.3,100,80.9
Yonsei University,112,60.5,70.7,82.9,74.5,33.6,,30.6
University of Oslo,113,60,61,39.6,64,56.7,80.3,67.2
University of Groningen,113,60,59.6,41.7,67,45,88.7,98.4
