Rank,University,Fac_Stud
293,Southern Methodist University,52.9
294,Hong Kong Baptist University,52.5
295,National Taipei University of Technology,52.5
296,Queen's University Belfast,52.4
297,University of Iowa,52.4
298,"SOAS, University of London",52.2
299,Bond University,52.1
300,University of Szeged,52
301,Beihang University (former BUAA),51.8
302,BNTU,51.6
303,University of Reading,51.5
304,University of York,51.5
305,Universidad Autonoma de Madrid,51.3
306,University of Denver,51.2
307,National Cheng Kung University,51
308,Chonnam National University,50.8
309,Memorial University of Newfoundland,50.8
310,Sogang University,50.5
311,"Stony Brook University, State University of New York",50.5
312,University of Notre Dame,50.4
313,Universiti Kebangsaan Malaysia (UKM),50.1
314,Jagiellonian University,50.1
315,Ludwig-Maximilians-Universität München,49.8
316,Kaunas University of Technology,49.7
317,Harbin Institute of Technology,49.4
318,"National Technical University ""Kharkiv Polytechnic Institute""",49.4
319,Universidad Nacional Autónoma de México (UNAM),49.4
320,Johannes Gutenberg Universität Mainz,49.2
321,The American University in Cairo,49.2
322,Université de Sherbrooke,49.1
323,Ben Gurion University of The Negev,49
324,Université de Liège,48.8
325,Durham University,48.7
326,Charles University in Prague,48.6
327,Universidad de Guadalajara (UDG),48.3
328,Tallinn University of Technology,48.2
329,"The University of Tennessee, Knoxville",48.2
330,Universiti Putra Malaysia (UPM),48.1
331,Dublin City University,48.1
333,Universidade Nova de Lisboa,48
334,Universität Bayreuth,47.8
335,Drexel University,47.8
336,Universidad de Zaragoza,47.8
337,"University of Illinois, Chicago (UIC)",47.5
338,Shanghai Jiao Tong University,47.3
339,Utrecht University,47.1
340,University of Surrey,47.1
341,INSEAD,47.1
342,Uppsala University,47
343,University of Southern Denmark,47
344,The Hong Kong Polytechnic University,47
345,University of British Columbia,47
346,"University of California, Berkeley (UCB)",46.9
347,University of Wyoming,46.9
348,Osaka City University,46.5
349,Kazakh Ablai khan University of International Relations and World Languages,46.5
350,Politécnica de Madrid,46.5
351,Khazar University,46.5
351,Swansea University,46.4
352,University of Bern,46.3
353,National Taiwan University (NTU),46.1
354,Ateneo de Manila University,46.1
355,University of the Pacific,46
356,WHU - Otto Beisheim School of Management,45.6
357,Tianjin University,45.4
358,University of the Philippines,45.3
359,Universität Konstanz,45.2
360,Lancaster University,45.1
361,University of St. Kliment Ohridski,45.1
362,University of Utah,45
363,College of William & Mary,44.8
364,Georgia Institute of Technology,44.5
365,Chiba University,44.5
366,Lobachevsky University,44.4
367,Marquette University,44.3
368,Universiti Sains Malaysia (USM),44.3
369,University of Twente,44.3
370,The University of Exeter,44.3
371,Loyola University Chicago,44.1
372,Michigan Technological University,44.1
373,Universidade de Brasilia,44
374,Renmin (People’s) University of China,43.9
375,University of Cincinnati,43.8
376,University of Latvia,43.6
377,Leiden University,43.6
378,University of Indonesia,43.6
379,University of Tulsa,43.5
380,University of Manitoba,43.4
381,Aarhus University,43.3
382,Pusan National University,43.3
383,American University,43.3
384,University College Cork,43.2
385,Gwangju Institute of Science and Technology (GIST),43.2
386,Nankai University,43.2
387,George Mason University,43.1
388,National Central University,43.1
389,University of Southern California,42.9
390,University of Seoul,42.5
391,Abo Akademi University,42.4
392,Smith College,42.4
393,Nicolaus Copernicus University,42.4
394,Pontificia Universidad Catolica del Ecuador,42.3
395,Beijing Normal University,42.2
396,The University of Adelaide,42.2
397,The University of Queensland,41.9
399,"University of Missouri, Columbia (Mizzou)",41.7
400,Koc University,41.4
401,Southeast University,40.7
