RANK,Score,University,Column 3,Column 4
173,62.3,Indian Institute of Technology Bombay (IITB),,
174,62.2,University College Dublin,,
175,62,Universiti Malaya (UM),,
176,61.7,University of Milan,,
177,61.7,McMaster University,,
178,61.6,Indiana University Bloomington,,
179,61,University of Waterloo,,
180,61,The University of Arizona,,
181,60.5,Karolinska Institutet,,
182,60.4,Washington University in St. Louis,,
183,60.3,Arizona State University,,
184,59.4,University of Pisa,,
185,59.1,Lancaster University,,
186,59,"University of Illinois, Chicago (UIC)",,
187,58.3,Aix-Marseille University,,
188,58.3,École Normale Supérieure de Lyon,,
189,58.2,University of Pittsburgh,,
190,58,Tel Aviv University,,
191,57.9,Charles University in Prague,,
192,56.4,Beijing Normal University,,
193,56.4,Universite libre de Bruxelles,,
194,56.1,Pohang University of Science And Technology (POSTECH),,
195,56,University of Colorado Boulder,,
196,55.6,Wageningen University,,
197,55.3,Indian Institute of Technology Delhi (IITD),,
198,55.1,Erasmus University Rotterdam,,
199,55.1,University of Liverpool,,
200,54.9,University of Calgary,,
201,54.5,University of Basel,,
202,54.2,Technion - Israel Institute of Technology,,
203,53.8,Queen`s University at Kingston,,
204,53.7,University of Massachusetts Amherst,,
205,53.7,University of Virginia,,
206,53.6,University of Aberdeen,,
207,53.3,University of Florence,,
208,53.2,University of Lausanne,,
209,52.9,Université Joseph Fourier - Grenoble 1,,
210,52.8,University of Gothenburg,,
211,52.7,"Rutgers, The State University of New Jersey, New Brunswick",,
212,52.5,Indian Institute of Science (IISc) Bangalore,,
213,52.3,University of Cologne,,
214,52.1,University of Tsukuba,,
215,52,The University of Exeter,,
216,51.4,Bandung Institute of Technology (ITB),,
217,51.3,University of Bath,,
218,51.2,Victoria University of Wellington,,
219,51.1,University of Reading,,
220,51,Universidad de Santiago de Chile (USACH),,
221,50.9,University of Warsaw,,
222,50.5,Rice University,,
223,50.5,Aalto University,,
224,50.5,University of Delhi,,
225,50.5,University of Indonesia,,
226,50.5,Eindhoven University of Technology,,
227,50.3,The University of Western Ontario,,
228,50.2,Universiti Sains Malaysia (USM),,
229,49.9,Wuhan University,,
230,49.9,Queen's University Belfast,,
231,49.8,Universidad Nacional de La Plata,,
232,49.8,Georgetown University,,
233,49.7,National Cheng Kung University,,
234,49.7,Westfälische Wilhelms-Universitat Münster,,
235,49.7,Pontificia Universidad Javeriana,,
236,49.6,Newcastle University,,
237,49.3,University of Porto,,
238,49.3,Saint-Petersburg State University,,
239,49.2,Technische Universität Dresden,,
240,49.1,Mahidol University,,
241,49.1,University of Canterbury,,
242,49,Universiti Kebangsaan Malaysia (UKM),,
243,48.6,University of Technology Sydney,,
244,48.6,Chalmers University of Technology,,
245,48.4,Macquarie University,,
246,48.4,University of Sussex,,
247,48,City University of New York,,
248,47.9,Pontificia Universidad Católica del Perú,,
249,47.8,University of Bordeaux,,
250,47.7,Queensland University of Technology (QUT),,
251,47.6,Al-Farabi Kazakh National University,,
252,47.3,University of Bergen,,
253,47.2,Vienna University of Technology,,
254,47.1,"University of Rome ""Tor Vergata""",,
255,47,Radboud University,,
256,47,University of Lisbon,,
257,47,University of the Philippines,,
258,46.7,University of Ottawa,,
259,46.6,Vanderbilt University,,
260,46.4,Universitas Gadjah Mada,,
261,46.3,Université Paris-Sud,,
262,46,Universidad Nacional de Córdoba - UNC,,
263,45.4,Indian Institute of Technology Kanpur (IITK),,
264,45.3,Sun Yat-sen University,,
265,45.2,Université de Montpellier,,
266,45,University of Granada,,
267,44.5,RMIT University,,
268,44.4,University College Cork,,
269,44.3,Hanyang University,,
270,44.2,Universität Stuttgart,,
271,44.1,Technical University of Denmark,,
272,44,University of Coimbra,,
273,43.8,University of Bern,,
274,43.6,Instituto Tecnológico y de Estudios Superiores de Monterrey,,
275,43.5,Universiti Putra Malaysia (UPM),,
276,43.5,Universität Innsbruck,,
277,43.4,Norwegian University of Science And Technology,,
278,43.4,University of Antwerp,,
279,43.3,Jawaharlal Nehru University,,
280,43.3,Pontifícia Universidade Católica do Rio de Janeiro,,
281,43.2,London Business School,,
282,43,"The University of Newcastle, Australia (UoN)",,
283,43,Universitat Politècnica de Catalunya,,
284,42.9,Universität Konstanz,,
285,42.9,Cairo University,,
286,42.4,Universitat Pompeu Fabra,,
287,42.3,Université Paul Sabatier Toulouse III,,
288,42.2,"SOAS, University of London",,
289,42.2,University of Notre Dame,,
290,42.2,King Saud University,,
291,42,Universidad de Costa Rica,,
292,42,Université du Québec,,
293,41.9,University of Turku,,
294,41.8,Universidad Carlos III de Madrid (UC3M),,
295,41.8,Emory University,,
296,41.6,Simon Fraser University,,
297,41.6,University of the Witwatersrand,,
298,41.5,Aristotle University of Thessaloniki,,
299,41.5,George Washington University,,
300,41.5,University of Naples - Federico II,,
301,41.4,Universidad de Sevilla,,
302,41.4,Indian Institute of Technology Madras (IITM),,
303,41.4,Vrije Universiteit Brussel (VUB),,
304,41.3,Jagiellonian University,,
305,41.2,Deakin University,,
306,41.1,Dartmouth College,,
307,41,Universität Leipzig,,
308,40.7,Universitat de Valencia,,
309,40.6,Middle East Technical University,,
310,40.5,National Taiwan Normal University,,
311,40.4,University of Iowa,,
312,40.1,"University of California, Santa Cruz",,
313,40,Nankai University,,
314,39.9,Stellenbosch University,,
315,39.8,Universidad de Antioquia,,
316,39.5,York University,,
317,39.5,Universität Bremen,,
318,39.3,Oxford Brookes University,,
319,39.2,Weizmann Institute of Science,,
320,39.2,Universidade Federal de Minas Gerais,,
321,39.1,Washington State University,,
322,38.9,Loughborough University,,
323,38.9,University of Rochester,,
324,38.9,Curtin University,,
325,38.8,Universidade Federal do Rio Grande Do Sul,,
326,38.8,Politecnico di Torino,,
327,38.7,Massey University,,
