Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Kumar, Yerra Bharat",857,Indian Institute of Astrophysics,2,1.03,34,100.0
"Panda, Sukanta",857,Indian Institute of Science Education & Research (IISER) - Bhopal,6,0.38,34,100.0
"Pan, Supriya",857,Jadavpur University,4,1.11,34,100.0
"Marhas, Kuljeet K.",857,Physical Research Laboratory - India,1,1.38,34,100.0
"Das, G. C.",857,Institute of Advanced Study in Science & Technology - India,5,0.31,34,80.0
"Shankar, Udaya",879,Raman Research Institute,2,1.69,33,100.0
"Bhardwaj, Somnath",879,Indian Institute of Technology (IIT) - Kharagpur,1,1.02,33,100.0
"Ananthakrishnan, S.",879,University of Pune,6,0.47,33,100.0
"Srivani, K.",879,Raman Research Institute,2,1.69,33,100.0
"Agalya, G.",879,Tata Institute of Fundamental Research,1,1.34,33,100.0
"Tonwar, S. C.",879,Tata Institute of Fundamental Research,5,0.29,33,80.0
"Shukla, A. K.",879,Banaras Hindu University,4,0.54,33,50.0
"Bhattacharyya, S.",879,Tata Institute of Fundamental Research,1,1.34,33,100.0
"Parihar, P.",879,Indian Institute of Astrophysics,3,0.46,33,100.0
"Chakraborty, Manoneeta",879,Tata Institute of Fundamental Research,4,0.46,33,100.0
"Shanmugaraju, A.",879,Madurai Kamaraj University,1,1.25,33,100.0
"Datta, Kanan K.",879,Tata Institute of Fundamental Research,2,1.52,33,100.0
"Dasgupta, A.",879,University of Calcutta,6,0.32,33,100.0
"Sirothia, S. K.",879,University of Pune,2,1.01,33,100.0
"Ramya, S.",879,Indian Institute of Astrophysics,6,0.54,33,100.0
"Kumar, Rajnish",879,Council of Scientific & Industrial Research (CSIR) - India,1,1.61,33,100.0
"Kumar, Rajnish",879,National Chemistry Laboratory Pune,1,1.61,33,100.0
"Rajalingam, M.",896,Indian Institute of Astrophysics,5,0.46,32,100.0
"Safonova, Margarita",896,Indian Institute of Astrophysics,6,0.48,32,83.33
"Kumar, Rajiv",896,Aryabhatta Research Institute of Observational Sciences,5,0.49,32,100.0
"Khedekar, Satej",896,Tata Institute of Fundamental Research,3,0.59,32,100.0
"Tanaka, H.",896,Tata Institute of Fundamental Research,3,0.47,32,100.0
"Mohanty, S.",896,Physical Research Laboratory - India,3,0.34,32,100.0
"Sriram, Kandulapati",896,Osmania University,4,0.32,32,75.0
"Nayak, P. K.",896,Tata Institute of Fundamental Research,3,0.47,32,100.0
"Nanda, Sanjay",896,Indian Institute of Technology (IIT) - Kanpur,1,1.69,32,100.0
"Gosain, S.",896,Physical Research Laboratory - India,2,0.64,32,100.0
"Surendiranath, R.",896,Indian Institute of Astrophysics,3,0.45,32,100.0
"Sumitomo, Yoske",896,Tata Institute of Fundamental Research,1,1.85,32,100.0
"Rotti, Aditya",896,Inter-University Centre for Astronomy & Astrophysics,6,0.45,32,100.0
"Kumar, P. Senthil",896,Council of Scientific & Industrial Research (CSIR) - India,4,0.44,32,100.0
"Kumar, P. Senthil",896,National Geophysical Research Institute - India,4,0.44,32,100.0
"Vishwanath, P. R.",896,Indian Institute of Astrophysics,4,0.53,32,100.0
"Yajnik, Urjit A.",896,Indian Institute of Technology (IIT) - Bombay,5,0.36,32,100.0
"Joshi, Anand D.",896,Physical Research Laboratory - India,3,0.54,32,100.0
"Goswami, U. D.",896,Tata Institute of Fundamental Research,3,0.47,32,100.0
"Parthasarathy, M.",896,Inter-University Centre for Astronomy & Astrophysics,4,0.51,32,100.0
"SundaraRajan, M. S.",896,Indian Institute of Astrophysics,2,0.57,32,100.0
"Saha, Kanak",896,Indian Institute of Science (IISC) - Bangalore,3,0.43,32,100.0
"Sreekumar, S.",896,Vikram Sarabhai Space Center (VSSC),8,0.28,32,62.5
"Britto, R. J.",896,Saha Institute of Nuclear Physics,4,0.53,32,100.0
"Singh, Suprit",896,Inter-University Centre for Astronomy & Astrophysics,5,0.52,32,100.0
"Anathpindika, S.",921,Indian Institute of Astrophysics,5,0.27,31,100.0
"Banerjee, Dipankar",921,Indian Institute of Astrophysics,8,0.52,31,87.5
"Kale, Ruta",921,Inter-University Centre for Astronomy & Astrophysics,3,0.54,31,100.0
"Ghosh, Samiran",921,University of Calcutta,2,0.96,31,100.0
"Joshi, Vishal",921,Physical Research Laboratory - India,4,0.52,31,100.0
"Naik, S.",921,Physical Research Laboratory - India,1,1.26,31,100.0
"Pal, Supratik",921,Inter-University Centre for Astronomy & Astrophysics,2,0.75,31,100.0
"Raichur, Harsha",921,Inter-University Centre for Astronomy & Astrophysics,3,0.44,31,100.0
"Sirothia, S.",921,Tata Institute of Fundamental Research,4,0.66,31,100.0
"Ghosh, D. K.",921,Indian Association for the Cultivation of Science,1,1.82,31,100.0
"Ghosh, D. K.",921,Indian Association for the Cultivation of Science (IACS) - Jadavpur,1,1.82,31,100.0
"Maitra, Chandreyee",921,Indian Institute of Science (IISC) - Bangalore,5,0.36,31,100.0
"Bansod, A. S.",921,Sant Gadge Baba Amravati University,5,0.34,31,100.0
"Unnikrishnan, Sanil",921,Inter-University Centre for Astronomy & Astrophysics,2,0.84,31,100.0
"Bhalerao, Varun B.",921,Inter-University Centre for Astronomy & Astrophysics,2,1.09,31,100.0
"Kanekar, A.",921,Indian Institute of Technology (IIT) - Bombay,1,1.22,31,100.0
"Sethi, Shiv",921,Raman Research Institute,2,0.62,31,100.0
"Chaitanya, P. Pavan",921,Sri Venkateswara University,3,0.54,31,100.0
"Goyal, Arti",939,Aryabhatta Research Institute of Observational Sciences,4,0.32,30,100.0
"Venkatesh, K.",939,Andhra University,5,0.38,30,80.0
"Nandan, Hemwati",939,Indian Institute of Technology (IIT) - Kharagpur,2,0.75,30,100.0
"Bambhaniya, Gulab",939,Physical Research Laboratory - India,3,1.15,30,100.0
"Sinha, A. K.",939,Indian Institute of Geomagnetism,10,0.29,30,90.0
"Saha, Rajib",939,Inter-University Centre for Astronomy & Astrophysics,3,0.44,30,100.0
"Sardar, Iftikar Hossain",939,Jadavpur University,3,1.96,30,66.67
"Campiglia, Miguel",939,Raman Research Institute,3,1.05,30,100.0
"Basaka, Tanushree",939,Physical Research Laboratory - India,1,5.87,30,100.0
"Prasad, Awadhesh",939,University of Delhi,5,0.32,30,100.0
"Sharma, Ishan",939,Indian Institute of Technology (IIT) - Kanpur,4,0.41,30,100.0
"Kale, R.",939,Tata Institute of Fundamental Research,3,1.39,30,100.0
"Williams, C. L.",939,Raman Research Institute,1,4.59,30,100.0
"Subramanian, Prasad",939,Indian Institute of Science Education & Research (IISER) - Pune,5,0.39,30,100.0
"Mahajan, S.",939,Indian Institute of Science Education & Research (IISER) - Mohali,1,2.59,30,100.0
"Paul, B. C.",939,University of North Bengal,6,0.3,30,100.0
"Singh, D.",939,Indian Institute of Technology (IIT) - Roorkee,5,0.42,30,100.0
"Narain, Udit",939,Chaudhary Charan Singh University,4,0.3,30,100.0
"Karia, S. P.",939,Sardar Vallabhbhai National Institute of Technology,4,0.77,30,100.0
"Iqbal, Wasim",939,SN Bose National Centre for Basic Science,2,0.91,30,100.0
"Mondala, Tanmoy",939,Indian Institute of Technology (IIT),1,5.87,30,100.0
"Mondala, Tanmoy",939,Physical Research Laboratory - India,1,5.87,30,100.0
"Nampuri, Suresh",939,Tata Institute of Fundamental Research,1,1.45,30,100.0
"Tharanath, R.",939,Cochin University Science & Technology,5,0.83,30,100.0
"Pandey, J. C.",939,Tata Institute of Fundamental Research,1,1.13,30,100.0
"Bandyopadhyay, Tanwi",964,Jadavpur University,4,0.35,29,75.0
"Chakraborty, S.",964,Jadavpur University,3,0.33,29,100.0
"Vats, H. O.",964,Physical Research Laboratory - India,2,0.74,29,100.0
"Goswami, Rituparno",964,Tata Institute of Fundamental Research,1,1.27,29,100.0
"Shankar, R.",964,Institute of Mathematical Sciences (IMSc) India,1,1.76,29,100.0
"Parihar, Padmakar",964,Indian Institute of Astrophysics,2,0.57,29,100.0
"Kumar, D.",964,Raman Research Institute,1,1.18,29,100.0
"Singh, K. P.",964,Banaras Hindu University,7,0.28,29,85.71
"Panda, Prafulla K.",964,Indian Association for the Cultivation of Science,1,1.3,29,100.0
"Panda, Prafulla K.",964,Indian Association for the Cultivation of Science (IACS) - Jadavpur,1,1.3,29,100.0
"Chakrabortty, Joydeep",964,Indian Institute of Technology (IIT) - Kanpur,2,1.41,29,100.0
"Sarkar, Swarnendu",964,University of Delhi,1,1.76,29,100.0
"Pant, P.",964,Aryabhatta Research Institute of Observational Sciences,3,0.49,29,100.0
"Mondal, Subhadeep",964,Indian Association for the Cultivation of Science,2,1.94,29,100.0
"Mondal, Subhadeep",964,Indian Association for the Cultivation of Science (IACS) - Jadavpur,2,1.94,29,100.0
"Chingangbam, Pravabati",964,Indian Institute of Astrophysics,5,0.53,29,100.0
"Ram, S. Tulasi",964,Andhra University,2,0.55,29,100.0
"Sircar, Nilanjan",964,Institute of Mathematical Sciences (IMSc) India,1,1.76,29,100.0
"Nayak, B. K.",964,Bhabha Atomic Research Center,1,1.95,29,100.0
"Mazumdar, Anwesh",964,Tata Institute of Fundamental Research,3,0.91,29,100.0
"Shukla, A.",964,Indian Institute of Astrophysics,3,0.57,29,100.0
"Godbole, R. M.",964,Indian Institute of Science (IISC) - Bangalore,2,0.77,29,100.0
"Maity, Debaprasad",964,Institute of Mathematical Sciences (IMSc) India,1,1.76,29,100.0
"Kumar, Yerra Bharat",964,University of Calicut,1,1.36,29,100.0
"Jose, Lijo",964,Vikram Sarabhai Space Center (VSSC),5,0.3,29,80.0
"Yadav, Ram Kesh",964,Aryabhatta Research Institute of Observational Sciences,6,0.39,29,100.0
"Hasan, Z.",964,University of Delhi,1,2.07,29,100.0
"Ravindranath, Swara",964,University of Pune,1,1.88,29,100.0
"Raghunathan, A.",964,Raman Research Institute,2,1.13,29,100.0
"Narang, Pankaj",964,University of Delhi,4,0.28,29,100.0
"Das, M. K.",964,University of Delhi,5,0.22,29,80.0
"Acharyya, K.",995,SN Bose National Centre for Basic Science,1,1.06,28,100.0
"Singhal, R. P.",995,Banaras Hindu University,9,0.3,28,77.78
"Suyal, Vinita",995,University of Delhi,4,0.38,28,100.0
"Vineeth, C.",995,Vikram Sarabhai Space Center (VSSC),9,0.16,28,77.78
"Banerjee, Kinjal",995,Institute of Mathematical Sciences (IMSc) India,2,0.65,28,100.0
"Rani, Bindu",995,University of Gorakhpur,2,0.43,28,100.0
"Dutta, Koushik",995,Saha Institute of Nuclear Physics,6,0.59,28,83.33
"Archana, K. N.",995,Mahatma Gandhi University,1,1.31,28,100.0
"Tripathi, A. K.",995,Banaras Hindu University,9,0.3,28,77.78
"Ghosh, P.",995,Tata Institute of Fundamental Research,4,0.29,28,75.0
"Sahu, Devendra",995,Indian Institute of Astrophysics,3,0.71,28,100.0
"Kamath, U. S.",995,Indian Institute of Astrophysics,5,0.25,28,100.0
"Chandra, S.",995,Physical Research Laboratory - India,2,0.72,28,100.0
"Chowdhury, Partha",995,Jadavpur University,2,0.57,28,100.0
"Pillai, K. G. M.",995,Council of Scientific & Industrial Research (CSIR) - India,3,0.37,28,100.0
"Pillai, K. G. M.",995,National Physics Laboratory - India,3,0.37,28,100.0
"Gurugubelli, Uday K.",995,Indian Institute of Science (IISC) - Bangalore,2,0.55,28,100.0
"Gurugubelli, Uday K.",995,Indian Institute of Astrophysics,2,0.55,28,100.0
"Aslam, O. P. M.",995,Aligarh Muslim University,5,0.47,28,100.0
"Mukhopadhyay, Himan",995,Inter-University Centre for Astronomy & Astrophysics,2,0.63,28,100.0
"Thakur, Shruti",1015,University of Delhi,3,0.63,27,100.0
"Pandey, S. K.",1015,Pt. Ravishankar Shukla University,6,0.29,27,100.0
"Javaraiah, J.",1015,Indian Institute of Astrophysics,2,0.83,27,100.0
"Kumar, Brajesh",1015,Physical Research Laboratory - India,5,0.23,27,80.0
"Ghosh, Swarna Kanti",1015,Tata Institute of Fundamental Research,1,0.91,27,100.0
"Munde, S. L.",1015,Sant Gadge Baba Amravati University,2,1.14,27,100.0
"Pant, Mamta (Joshi)",1015,Kumaun University,2,0.63,27,50.0
"Ojha, Devendra",1015,Tata Institute of Fundamental Research,1,0.91,27,100.0
"Tewari, Vinod C.",1015,Wadia Institute of Himalayan Geology,1,1.2,27,100.0
"Mishra, Hiranmaya",1015,Physical Research Laboratory - India,3,0.59,27,100.0
"Avery, Steven G.",1015,Institute of Mathematical Sciences (IMSc) India,1,1.56,27,100.0
"Surya, Sumati",1015,Raman Research Institute,7,0.28,27,100.0
"Mandal, Bhabani Prasad",1015,Banaras Hindu University,2,0.25,27,100.0
"Joshi, Jagdish C.",1015,Raman Research Institute,3,0.77,27,66.67
"Krishna, S. Gopi",1015,Andhra University,1,1.02,27,100.0
"Kayshap, Pradeep",1015,Aryabhatta Research Institute of Observational Sciences,2,1.04,27,100.0
"Maulick, Raju",1015,Jadavpur University,1,1.74,27,100.0
"Lata, Sneh",1015,Aryabhatta Research Institute of Observational Sciences,6,0.32,27,100.0
"Kaur, Ramanpreet",1015,Aryabhatta Research Institute of Observational Sciences,3,0.35,27,100.0
"Chandra, Ramesh",1015,Kumaun University,2,1.04,27,100.0
"Roy, Sourov",1015,Indian Association for the Cultivation of Science,6,0.27,27,83.33
"Roy, Sourov",1015,Indian Association for the Cultivation of Science (IACS) - Jadavpur,6,0.27,27,83.33
"Mahajan, K. K.",1015,Council of Scientific & Industrial Research (CSIR) - India,4,0.32,27,75.0
"Mahajan, K. K.",1015,National Physics Laboratory - India,4,0.32,27,75.0
"Vasanth, V.",1015,Madurai Kamaraj University,5,0.35,27,80.0
"Gopinathan, Maheswar",1015,Aryabhatta Research Institute of Observational Sciences,1,1.02,27,100.0
"Joshi, Navin Chandra",1015,Aryabhatta Research Institute of Observational Sciences,2,1.04,27,100.0
"Wadadekar, Y.",1015,Tata Institute of Fundamental Research,3,0.54,27,100.0
"Kulkarni, Shailesh",1015,University of Pune,1,2.06,27,100.0
"Bhardwaj, Anupam",1015,University of Delhi,4,0.82,27,100.0
"Dutta, Jibitesh",1015,North Eastern Hill University,2,0.81,27,100.0
"Sethi, S.",1015,Raman Research Institute,1,3.76,27,100.0
"Kushwaha, Pankaj",1015,Tata Institute of Fundamental Research,4,0.6,27,100.0
"Paul, S.",1015,Raman Research Institute,1,3.76,27,100.0
"Pant, Tarun K.",1015,Vikram Sarabhai Space Center (VSSC),5,0.42,27,100.0
"Mohan, Kirtimaan",1015,Indian Institute of Science (IISC) - Bangalore,1,2.59,27,100.0
"Pandey, Kanhaiya L.",1015,Raman Research Institute,2,0.85,27,100.0
"Mitra, D.",1052,Tata Institute of Fundamental Research,2,1.06,26,100.0
"Rajesh, S. R.",1052,Indian Institute of Science (IISC) - Bangalore,3,0.35,26,100.0
"Ocana Flaquer, B.",1052,Tata Institute of Fundamental Research,1,1.22,26,100.0
"Dutta, R.",1052,Inter-University Centre for Astronomy & Astrophysics,2,1.31,26,100.0
"Kishore, P.",1052,Indian Institute of Astrophysics,4,0.57,26,100.0
"Goyal, A.",1052,Tata Institute of Fundamental Research,2,0.76,26,100.0
"Goyal, A.",1052,Aryabhatta Research Institute of Observational Sciences,2,0.61,26,100.0
"Das, Sudipta",1052,Indian Statistical Institute Kolkata,4,0.46,26,100.0
"Arora, Avnish Kumar",1052,Indian Institute of Technology (IIT) - Roorkee,2,0.58,26,100.0
"Vaidya, Sachindeo",1052,Indian Institute of Science (IISC) - Bangalore,3,0.46,26,100.0
"Das, Ankan",1052,SN Bose National Centre for Basic Science,1,1.06,26,100.0
"Das, Mrinal Kumar",1052,Tezpur University,5,0.49,26,100.0
"Lah, Philip",1052,Tata Institute of Fundamental Research,1,1.69,26,100.0
"Kumari, G. Sreedevi",1052,Andhra University,2,0.69,26,50.0
"Gangadhara, R. T.",1052,Indian Institute of Astrophysics,7,0.18,26,85.71
"Mathew, Blesson",1052,University of Calicut,1,0.98,26,100.0
"Mahajan, S.",1052,University of Delhi,3,0.34,26,100.0
"Sinha, Monika",1052,Saha Institute of Nuclear Physics,3,0.4,26,100.0
"Hegde, M.",1052,Indian Institute of Astrophysics,6,0.21,26,50.0
"Mukherjee, Alok",1052,Banaras Hindu University,1,0.35,26,100.0
"Balasubramanyam, R.",1052,Raman Research Institute,1,1.03,26,100.0
"Vijayagovindan, G. V.",1052,Mahatma Gandhi University,2,0.53,26,100.0
"Vikram, Vinu",1052,Mahatma Gandhi University,2,0.53,26,100.0
"Vikram, Vinu",1052,Inter-University Centre for Astronomy & Astrophysics,2,0.53,26,100.0
"Suresh, Jishnu",1052,Cochin University Science & Technology,4,0.7,26,100.0
"Singh, G. P.",1052,"Visvesvaraya National Institute of Technology, Nagpur",2,0.79,26,100.0
"Banik, Sarmistha",1052,Birla Institute of Technology Science,2,1.2,26,100.0
"Arunbabu, K. P.",1052,Indian Institute of Science Education & Research (IISER) - Pune,3,0.82,26,100.0
"Sethi, N. K.",1052,Council of Scientific & Industrial Research (CSIR) - India,4,0.25,26,100.0
"Sethi, N. K.",1052,National Physics Laboratory - India,4,0.25,26,100.0
"Sharma, S. K.",1082,Institute of Advanced Study in Science & Technology - India,1,1.62,25,100.0
"Singh, M.",1082,Aryabhatta Research Institute of Observational Sciences,6,0.21,25,100.0
Gopal-Krishna,1082,University of Pune,4,0.37,25,100.0
"Sharma, S.",1082,Aryabhatta Research Institute of Observational Sciences,3,0.54,25,100.0
"Bose, Subhash",1082,Kumaun University,2,1.74,25,100.0
"Chatterjee, A.",1082,Saha Institute of Nuclear Physics,3,1.06,25,100.0
"Gupta, G. R.",1082,Inter-University Centre for Astronomy & Astrophysics,3,1.16,25,100.0
"Verma, Kuldeep",1082,Tata Institute of Fundamental Research,2,1.08,25,100.0
"Khan, Najimuddin",1082,Indian Institute of Technology (IIT) - Indore,3,1.03,25,66.67
"Jana, Soumya",1082,Indian Institute of Technology (IIT) - Kharagpur,3,0.93,25,100.0
"Dasgupta, Surajit",1082,Tata Institute of Fundamental Research,1,0.84,25,100.0
"Ghosh, Tuhin",1082,Inter-University Centre for Astronomy & Astrophysics,3,0.43,25,100.0
"Pal, Sujay",1082,SN Bose National Centre for Basic Science,2,0.78,25,100.0
"Atri, Dimitra",1082,Tata Institute of Fundamental Research,4,0.47,25,100.0
"Lal, D. V.",1082,University of Pune,1,1.17,25,100.0
"Banerjee, Asit",1082,Jadavpur University,1,1.15,25,100.0
"Sharma, M. K.",1082,Jiwaji University,7,0.46,25,71.43
"Muneer, S.",1082,Indian Institute of Astrophysics,8,0.13,25,62.5
"Mookerjea, Bhaswati",1082,Tata Institute of Fundamental Research,4,0.38,25,75.0
"Mahalakshmi, K.",1082,Tata Institute of Fundamental Research,3,0.72,25,100.0
"Basu, Rudranil",1082,SN Bose National Centre for Basic Science,5,0.27,25,100.0
"Pal, S.",1082,Tata Institute of Fundamental Research,3,0.36,25,100.0
"Nagaraju, K.",1082,Indian Institute of Astrophysics,4,0.26,25,100.0
"Hasan, Z.",1082,Aligarh Muslim University,1,1.31,25,100.0
"Singh, N. Ibotombi",1082,Manipur University,6,0.2,25,83.33
"Dwivedi, V. C.",1082,Tata Institute of Fundamental Research,3,0.72,25,100.0
"Bhattacharya, Sourav",1108,SN Bose National Centre for Basic Science,4,0.31,24,100.0
"Mondal, Saptarshi",1108,University of Calcutta,3,0.31,24,100.0
"Jain, A. R.",1108,Council of Scientific & Industrial Research (CSIR) - India,3,0.4,24,100.0
"Jain, A. R.",1108,National Physics Laboratory - India,3,0.4,24,100.0
"Sen, Asoke K.",1108,Assam University,2,0.61,24,100.0
"Basak, Abhishek",1108,Physical Research Laboratory - India,2,0.79,24,100.0
"Jain, A.",1108,Tata Institute of Fundamental Research,5,0.37,24,100.0
"Kapoor, A. K.",1108,University of Hyderabad,2,0.92,24,100.0
"Goswami, A.",1108,Indian Institute of Astrophysics,3,0.44,24,100.0
"Garg, Sumit K.",1108,Indian Institute of Science (IISC) - Bangalore,1,1.56,24,100.0
"Garg, Sumit K.",1108,Panjab University,1,1.56,24,100.0
"Vaidyan, V. K.",1108,University of Kerala,1,1.03,24,100.0
"Mandal, T. K.",1108,Council of Scientific & Industrial Research (CSIR) - India,2,0.6,24,100.0
"Mandal, T. K.",1108,National Physics Laboratory - India,2,0.6,24,100.0
"Sil, Arunansu",1108,Indian Institute of Technology (IIT),4,0.49,24,100.0
"Mishra, Amruta",1108,Indian Institute of Technology (IIT) - Delhi,2,0.79,24,100.0
"Suklabaidya, A.",1108,Assam University,2,0.51,24,100.0
"Mitra, Subhadip",1108,Indian Institute of Technology (IIT) - Kanpur,3,0.56,24,100.0
"Lakshmi, M. Anna",1108,Madurai Kamaraj University,4,0.3,24,50.0
"Vichare, Geeta",1108,Indian Institute of Geomagnetism,8,0.28,24,100.0
"Kumawat, Pramila",1108,University of Rajasthan,1,1.37,24,100.0
"Upadhayaya, A. K.",1108,Council of Scientific & Industrial Research (CSIR) - India,6,0.23,24,100.0
"Upadhayaya, A. K.",1108,National Physics Laboratory - India,6,0.23,24,100.0
"Sankarasubramanian, K.",1108,Indian Institute of Astrophysics,2,0.63,24,50.0
"Ramesh, K. B.",1108,Indian Institute of Astrophysics,5,0.2,24,100.0
"Patra, Nipanjana",1108,Indian Institute of Science (IISC) - Bangalore,1,1.56,24,100.0
"Patra, Nipanjana",1108,Raman Research Institute,1,1.56,24,100.0
"Abdujabbarov, Ahmadjon",1108,Inter-University Centre for Astronomy & Astrophysics,2,0.8,24,100.0
"Jaisawal, Gaurava K.",1108,Physical Research Laboratory - India,7,0.33,24,71.43
"Poulose, P.",1108,Indian Institute of Technology (IIT),2,1.17,24,100.0
"Kembhavi, A. K.",1108,Inter-University Centre for Astronomy & Astrophysics,3,0.37,24,66.67
"Mukherjee, Arunava",1108,Tata Institute of Fundamental Research,5,0.32,24,100.0
"Pal, Sridip",1108,Indian Institute of Science Education & Research (IISER) - Kolkata,4,0.78,24,75.0
"Gautam, R.",1108,Council of Scientific & Industrial Research (CSIR) - India,2,0.6,24,100.0
"Gautam, R.",1108,National Physics Laboratory - India,2,0.6,24,100.0
"Britto, R. J.",1108,Tata Institute of Fundamental Research,2,0.69,24,100.0
"Poria, Swarup",1144,University of Calcutta,1,1.21,23,100.0
"Bagchi, M.",1144,Institute of Mathematical Sciences (IMSc) India,1,3.21,23,100.0
"Pai, Archana",1144,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,5,0.37,23,100.0
"Greenhill, L. J.",1144,Raman Research Institute,1,1.99,23,100.0
"Rahman, K. A.",1144,Jadavpur University,2,0.86,23,100.0
"Chattopadhyay, T.",1144,University of Calcutta,2,0.53,23,100.0
"Rahmani, Hadi",1144,Inter-University Centre for Astronomy & Astrophysics,3,0.46,23,100.0
"Maurya, Ajeet K.",1144,Indian Institute of Geomagnetism,4,0.35,23,100.0
"Sivarani, T.",1144,Inter-University Centre for Astronomy & Astrophysics,1,0.91,23,100.0
"Sekar, R.",1144,Physical Research Laboratory - India,4,0.35,23,100.0
"Singh, Abhay K.",1144,Banaras Hindu University,3,0.5,23,100.0
"Misra, Ranjeev",1144,University of Pune,1,0.94,23,100.0
"Kothawala, Dawood",1144,Indian Institute of Technology (IIT) - Madras,4,0.77,23,100.0
"Das, A.",1144,University of Calcutta,5,0.28,23,100.0
"Malu, S.",1144,Raman Research Institute,1,1.33,23,100.0
"Sivaraman, B.",1144,Physical Research Laboratory - India,5,0.57,23,100.0
"Raja, K. Sasikumar",1144,Indian Institute of Astrophysics,4,0.41,23,100.0
"Gupchup, J.",1144,Inter-University Centre for Astronomy & Astrophysics,1,0.91,23,100.0
"Kasper, J. C.",1144,Raman Research Institute,1,1.99,23,100.0
"Debnath, U.",1144,Indian Institute of Engineering Science Technology Shibpur (IIEST),3,0.3,23,100.0
"Das, H.",1144,Inter-University Centre for Astronomy & Astrophysics,2,1.58,23,100.0
"Barway, Sudhanshu",1144,Inter-University Centre for Astronomy & Astrophysics,1,0.91,23,100.0
"Sanyal, D.",1144,Indian Institute of Science Education & Research (IISER) - Kolkata,1,1.49,23,100.0
"Shukla, Amit",1144,Indian Institute of Astrophysics,2,0.71,23,100.0
"Pandey, Shashi B.",1144,Aryabhatta Research Institute of Observational Sciences,3,0.78,23,100.0
"Das, M.",1144,Indian Institute of Astrophysics,6,0.4,23,100.0
"Verma, M. K.",1144,Banaras Hindu University,3,0.34,23,100.0
"Singh, Tejinder P.",1144,Tata Institute of Fundamental Research,8,0.22,23,87.5
"Pandey, C. P.",1144,Aryabhatta Research Institute of Observational Sciences,1,1.08,23,100.0
"Choudhury, S. Rai",1144,Jamia Millia Islamia,2,0.57,23,100.0
"Chattopadhyay, A. K.",1144,University of Calcutta,2,0.53,23,100.0
"Mishra, M. K.",1175,University of Rajasthan,4,0.41,22,100.0
"Anto, P.",1175,Indian Institute of Astrophysics,2,0.6,22,100.0
"Rao, S. Sumangala",1175,Indian Institute of Astrophysics,3,0.41,22,100.0
"Prasad, J. Vara",1175,Andhra University,1,1.0,22,100.0
"Sumod, S. G.",1175,Vikram Sarabhai Space Center (VSSC),6,0.18,22,66.67
"Devi, S. Romaleima",1175,Manipur University,5,0.2,22,80.0
"Sharma, Monika",1175,Jiwaji University,4,0.75,22,100.0
"Hazarika, Rumajyoti",1175,Dibrugarh University,3,0.67,22,100.0
"Ahuja, Gulsheen",1175,Panjab University,1,1.07,22,100.0
"Chatterjee, Bhaswar",1175,Physical Research Laboratory - India,1,1.27,22,100.0
"Prabhu, Tushar P.",1175,Indian Institute of Astrophysics,1,3.07,22,100.0
"Sowmya, K.",1175,Indian Institute of Astrophysics,5,0.3,22,100.0
"Bhuyan, B.",1175,Indian Institute of Technology (IIT),1,1.45,22,100.0
"Chakrabortty, Joydeep",1175,Physical Research Laboratory - India,2,1.02,22,100.0
"Ghosh, Dilip Kumar",1175,Physical Research Laboratory - India,1,1.37,22,100.0
"Patra, Sudhanwa",1175,Physical Research Laboratory - India,4,0.32,22,100.0
"Das, S. R.",1175,Assam University,2,0.42,22,100.0
"Mahapatra, S.",1175,University of Hyderabad,1,1.23,22,100.0
"Kumar, Jitendra",1175,Indian Institute of Technology (IIT) - Roorkee,4,0.27,22,100.0
"Sastry, Ch. V.",1175,Indian Institute of Astrophysics,2,0.44,22,100.0
"Dhuria, Mansi",1175,Physical Research Laboratory - India,2,1.68,22,100.0
"Gupta, Manmohan",1175,Panjab University,1,1.07,22,100.0
"Chowdhury, Anirban N.",1175,Tata Institute of Fundamental Research,1,1.29,22,100.0
"Shaw, Gargi",1175,Tata Institute of Fundamental Research,1,0.87,22,100.0
"Banik, Amit Dutta",1175,Saha Institute of Nuclear Physics,1,4.3,22,100.0
"Prasad, V.",1175,Indian Institute of Technology (IIT),1,1.45,22,100.0
"Yadav, Sneha",1175,Council of Scientific & Industrial Research (CSIR) - India,6,0.22,22,100.0
"Yadav, Sneha",1175,National Physics Laboratory - India,6,0.22,22,100.0
"Randhawa, Monika",1175,Panjab University,1,1.07,22,100.0
"Choudhury, Debajyoti",1175,University of Delhi,4,0.3,22,100.0
"Joshi, Jayant",1175,Physical Research Laboratory - India,2,0.43,22,100.0
"Stalin, Chelliah S.",1175,Indian Institute of Astrophysics,1,3.07,22,100.0
"Singh, Lakhwinder",1175,Banaras Hindu University,2,1.5,22,100.0
"Chandra, Suresh",1175,Lovely Professional University,4,0.75,22,100.0
"Reddy, V. Sivaranjana",1175,University of Hyderabad,1,1.23,22,100.0
"Ray, Subharthi",1175,Inter-University Centre for Astronomy & Astrophysics,6,0.13,22,50.0
"Chandrashekhar, K.",1175,Indian Institute of Astrophysics,2,0.8,22,100.0
"Modak, Sujoy Kumar",1175,Inter-University Centre for Astronomy & Astrophysics,2,0.68,22,100.0
"Ghanta, S.",1175,University of Hyderabad,1,1.23,22,100.0
