Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Ramaprakash, A. N.",76,Inter-University Centre for Astronomy & Astrophysics,17,1.27,261,94.12
"Rao, V. U. M.",77,Andhra University,26,0.6,260,88.46
"Chitnis, V. R.",77,Tata Institute of Fundamental Research,9,2.15,260,100.0
"Dasgupta, Basudeb",79,Tata Institute of Fundamental Research,7,1.91,259,100.0
"Roy, Jayanta",80,Tata Institute of Fundamental Research,7,1.92,257,100.0
"Rahmani, H.",80,Inter-University Centre for Astronomy & Astrophysics,12,1.41,257,100.0
"Kembhavi, A.",80,Inter-University Centre for Astronomy & Astrophysics,4,2.43,257,100.0
"Nayak, R.",83,Indian Institute of Science Education & Research (IISER) - Kolkata,8,3.75,255,100.0
"Bhatt, B. C.",84,Indian Institute of Astrophysics,18,0.66,254,100.0
"Sethi, Shiv K.",85,Raman Research Institute,16,1.17,251,93.75
"Deshpande, A.",86,Raman Research Institute,8,1.88,250,100.0
"Sarkar, S.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Banerjee, S.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Dutta, S.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Gomber, B.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Jain, Sh.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Kumar, V.",86,Bhabha Atomic Research Center,4,6.8,250,100.0
"Gupta, R.",86,Panjab University,4,6.8,250,100.0
"Abdulsalam, A.",86,Bhabha Atomic Research Center,4,6.8,250,100.0
"Khurana, R.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Jain, Sa.",86,Saha Institute of Nuclear Physics,4,6.8,250,100.0
"Ray, A.",97,Tata Institute of Fundamental Research,4,2.99,249,100.0
"Roychowdhury, Dibakar",98,SN Bose National Centre for Basic Science,6,2.64,247,100.0
"Seth, S.",99,Saha Institute of Nuclear Physics,2,13.11,243,100.0
"Das, M.",99,Saha Institute of Nuclear Physics,2,13.11,243,100.0
"Sirothia, S. K.",99,Tata Institute of Fundamental Research,18,0.69,243,88.89
"Singh, B. B.",102,Tata Institute of Fundamental Research,7,2.6,242,100.0
"Manoharan, P. K.",103,Tata Institute of Fundamental Research,17,0.81,240,88.24
"Sridharan, R.",104,Vikram Sarabhai Space Center (VSSC),12,0.82,234,100.0
"Subramaniam, Annapurni",105,Indian Institute of Astrophysics,18,0.64,229,83.33
"Karak, Bidya Binay",106,Indian Institute of Science (IISC) - Bangalore,10,1.37,227,100.0
"Sinha, Siddhartha",107,Indian Institute of Science (IISC) - Bangalore,4,2.73,226,100.0
"Sinha, Siddhartha",107,Raman Research Institute,4,2.73,226,100.0
"Bhattacharyya, Sudip",109,Tata Institute of Fundamental Research,18,0.63,224,94.44
"Sagar, R.",109,Aryabhatta Research Institute of Observational Sciences,17,0.56,224,94.12
"Venkatakrishnan, P.",111,Physical Research Laboratory - India,21,0.44,222,85.71
"Gupta, Y. K.",112,Indian Institute of Technology (IIT) - Roorkee,19,0.57,221,100.0
"Ramesh, R.",112,Indian Institute of Astrophysics,21,0.55,221,100.0
"Chandra, P.",112,Tata Institute of Fundamental Research,8,2.87,221,100.0
"Khare, Pushpa",115,Utkal University,7,0.92,220,100.0
"Seshadri, T. R.",116,University of Delhi,15,0.86,219,100.0
"Bhardwaj, Anil",117,Vikram Sarabhai Space Center (VSSC),19,0.59,218,100.0
"Jhingan, S.",117,Jamia Millia Islamia,8,1.12,218,100.0
"Sen, A. A.",119,Jamia Millia Islamia,6,1.74,215,100.0
"Kailas, S.",119,Bhabha Atomic Research Center,4,4.69,215,100.0
"Dhingra, N.",119,Panjab University,4,4.69,215,100.0
"Gothe, K. S.",122,Tata Institute of Fundamental Research,3,5.41,214,100.0
"Upadhya, S. S.",122,Tata Institute of Fundamental Research,3,5.41,214,100.0
"Bhattacharyya, S.",124,Bhabha Atomic Research Center,3,5.36,212,100.0
"Rannot, R. C.",125,Bhabha Atomic Research Center,3,5.46,211,100.0
"Yadav, K. K.",125,Bhabha Atomic Research Center,3,5.46,211,100.0
"Koul, R.",125,Bhabha Atomic Research Center,3,5.46,211,100.0
"Prabhu, T. P.",128,Indian Institute of Astrophysics,15,0.71,210,100.0
"Malafarina, Daniele",128,Tata Institute of Fundamental Research,9,1.46,210,100.0
"Dwivedi, B. N.",128,Banaras Hindu University,24,0.51,210,95.83
"Chakraborti, S.",131,Tata Institute of Fundamental Research,3,2.9,209,100.0
"Bhat, N.",132,Bhabha Atomic Research Center,1,15.8,207,100.0
"Harikumar, E.",132,University of Hyderabad,12,1.1,207,91.67
"Sharma, M.",132,Bhabha Atomic Research Center,1,15.8,207,100.0
"Kanekar, Nissim",135,Tata Institute of Fundamental Research,16,0.88,206,93.75
"Ghosh, S. K.",136,Tata Institute of Fundamental Research,20,0.55,204,90.0
"Majhi, Bibhas Ranjan",137,Inter-University Centre for Astronomy & Astrophysics,7,2.06,203,100.0
"Majumdar, Subhabrata",137,Tata Institute of Fundamental Research,11,1.03,203,100.0
"Patil, Mandar",139,Tata Institute of Fundamental Research,10,1.19,201,100.0
"Usmani, A. A.",140,Aligarh Muslim University,10,1.06,200,100.0
"Sagar, Ram",141,Aryabhatta Research Institute of Observational Sciences,20,0.51,198,100.0
"Sen, Anjan A.",142,Jamia Millia Islamia,25,0.52,197,92.0
