Data set,"102 competencies of the Indian Institute of Technology, Bombay (2015), based on publications in 2011-2015"
Entity,"Indian Institute of Technology, Bombay"
Year,2015

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

Competency ID,"Authors (Indian Institute of Technology, Bombay)",Keywords,Subject Areas,Publications worldwide,Publications in competencies (fractionalized count),Average annual growth,"Publications (Indian Institute of Technology, Bombay)","Publications from Indian Institute of Technology, Bombay (fractionalized count)",% Share of publications worldwide,"Average annual growth (Indian Institute of Technology, Bombay)","Rank of Indian Institute of Technology, Bombay by number of publications",Relative Publication Share,Relative Reference Share,State of the Art,"Citations of publications from the Indian Institute of Technology, Bombay"
23 (DC),"Sudarshan S., Ramachandra K., Shah S.Y.","Database systems; Applications; Data structures","General Computer Science (72.2); Software (27.8)",654,271.5,-19.0%,8,6.0,2.2%,22.6%,2,0.97,0.00,0.29,15
24 (DC),"Fernandes R.A., Singh V.K., Mulay S.V.","Synthesis (chemical); Cycloaddition Reaction; Stereoisomerism","Organic Chemistry (72.0); General Chemistry (15.5); Biochemistry (12.5)",955,293.7,-4.4%,46,27.2,9.2%,11.2%,1,2.93,0.47,0.55,238
25 (EC),"Fernandes B.G., Nikam S.P., Vandana R.","Reluctance motors; Torque; Motors","Electrical and Electronic Engineering (100.0)",481,280.3,2.8%,14,10.3,3.7%,5.1%,3,0.76,0.33,-0.96,58
26 (DC),"Mukherji S., Ramgopal Rao V., Punjabi N.","Sensors; Biosensors; Fiber optic sensors","Electrical and Electronic Engineering (100.0)",811,284.9,-8.7%,39,23.9,8.4%,18.4%,1,2.14,1.17,0.58,146
27 (DC),"Singh D.N., Mandal J.N., Uday K.V.","Soils; soil; Engineers","Geotechnical Engineering and Engineering Geology (77.3); Water Science and Technology (12.7); Agronomy and Crop Science (10.0)",587,268.4,14.6%,18,12.1,4.5%,3.9%,1,1.95,0.00,0.19,59
28 (EC),"Sunoj R.B., Reddi Y., Sharma A.K.","Aldehydes; Catalysis; Enantioselectivity","Organic Chemistry (100.0)",1092,281.2,-10.4%,13,6.4,2.3%,-19.1%,5,0.61,0.58,2.76,164
29 (DC),"Baghel A.P.S., Kulkarni S.V., Samajdar I.D.","Hysteresis; Hysteresis loops; Models","Electrical and Electronic Engineering (100.0)",589,264.3,-3.8%,9,7.1,2.7%,47.9%,4,0.48,1.67,3.24,41
30 (DC),"Mahapatra S., Goel N., Mukhopadhyay S.","Degradation; Stresses; Threshold voltage","Electrical and Electronic Engineering (100.0)",585,273.0,1.6%,29,18.5,6.8%,20.0%,4,0.86,1.50,1.93,163
31 (EC),"Kumar S., Akram M., Deshpande A.A.","Combustion; Combustors; Mixtures","General Chemical Engineering (53.8); Energy Engineering and Power Technology (46.2)",617,276.9,2.2%,18,10.2,3.7%,-15.9%,3,0.86,0.44,-0.44,104
32 (EC),"Thaokar R.M., Gambhire P., Deshmukh S.D.","Electrohydrodynamics; Electric fields; Drops","Condensed Matter Physics (100.0)",707,270.9,-8.2%,20,11.2,4.1%,-15.6%,3,0.68,0.50,-2.93,72
33 (EC),"Bandyopadhyay S., Roy A., Kedare S.B.","Solar energy; Photovoltaic cells; Wind","Renewable Energy, Sustainability and the Environment (43.3); Electrical and Electronic Engineering (29.6); Energy Engineering and Power Technology (27.2)",863,244.4,3.4%,13,7.5,3.1%,6.6%,1,1.58,0.40,-0.66,44
34 (EC),"Patwardhan S.C., Bhushan M., Bimal Raj K.","Boilers; Control; Controllers","Control and Systems Engineering (100.0)",684,254.1,-13.3%,16,8.2,3.2%,25.1%,6,0.46,0.33,-0.50,80
35 (EC),"Misra D.S., Bajpai R., Roy S.","Solar cells; Dyes; Electrodes","General Materials Science (100.0)",731,266.2,-0.5%,8,6.3,2.4%,-1.3%,9,0.59,0.25,0.48,170
36 (EC),"Kishore N., Kumar N.D.M., Choudhary S.","Urea; Protein Stability; Methylamines","Physical and Theoretical Chemistry (64.7); Biochemistry (35.3)",988,261.5,-6.9%,13,7.8,3.0%,9.2%,3,0.68,0.14,-0.36,43
37 (EC),"Karunakaran K.P., Bapat V.P., Raghavender N.","Manufacture; Additives; Welding","Mechanical Engineering (68.1); Philosophy (16.7); Industrial and Manufacturing Engineering (15.2)",660,244.8,4.3%,11,8.0,3.3%,20.7%,5,0.59,0.19,4.36,44
38 (EC),"Doolla S., Nunna H.S.V.S.K., Kumar Nunna H.S.V.S.K.","Multi agent systems; Agents; Control","Electrical and Electronic Engineering (100.0)",529,253.2,-11.0%,12,7.7,3.0%,-32.1%,1,1.02,0.50,2.60,134
39 (EC),"Rao Y.S.N.M., Shitole S., Bhattacharya A.K.","Polarimeters; Synthetic aperture radar; Polarization","General Earth and Planetary Sciences (77.9); Electrical and Electronic Engineering (22.1)",544,250.6,13.9%,22,16.4,6.5%,32.7%,4,0.84,1.31,1.76,19
40 (EC),"Fernandes R.A., Kattanguru P., Chaudhari D.A.","Hydration; Catalysts; Olefins","Organic Chemistry (80.5); General Chemistry (19.5)",837,247.7,8.9%,23,10.5,4.2%,20.7%,2,0.81,0.50,-0.10,196
41 (EC),"Belur M.N., Pillai H.K., Pal D.B.","Linear systems; Polynomials; Trajectories","Control and Systems Engineering (100.0)",445,232.5,-5.4%,23,17.4,7.5%,-6.8%,3,0.65,0.00,-0.35,16
42 (EC),"Dusane R.O., Raja V.S., Kumar S.","Coatings; Thermal barrier coatings; Plasma spraying","Materials Chemistry (67.0); Renewable Energy, Sustainability and the Environment (33.0)",585,230.1,-0.7%,10,8.9,3.9%,12.4%,1,1.19,0.56,0.98,37
43 (EC),"Kotha S., Ali R., Shirbhate M.E.","Alkenes; Olefins; Rings (components)","Organic Chemistry (100.0)",675,225.1,-2.3%,63,45.1,20.0%,31.6%,1,10.64,5.30,0.00,391
44 (EC),"Singh H.B., Singh V.P., Selvakumar K.","Organoselenium Compounds; Glutathione Peroxidase; Selenium","Organic Chemistry (100.0)",619,222.3,-14.0%,16,11.9,5.4%,-43.0%,4,0.93,0.27,-0.57,111
45 (EC),"Choudhury D., Dewaikar D.M., Rangari S.M.","Soils; Anchors; anchor","Geotechnical Engineering and Engineering Geology (100.0)",309,209.7,-0.4%,22,18.9,9.0%,-14.7%,2,0.96,0.46,4.61,79
46 (EC),"Rao C.P., Hinge V.K.U., Pathak R.K.U.","Fluorescence; Calixarenes; Metal ions","General Chemistry (81.9); Electrochemistry (18.1)",733,211.4,0.6%,28,13.9,6.6%,-20.9%,1,1.13,1.42,1.58,377
47 (EC),"Datta A., Iyer E.S.S., Bellare J.R.","Membranes; Proton conductivity; Protons","Physical and Theoretical Chemistry (100.0)",656,208.2,-11.0%,14,6.9,3.3%,-36.7%,3,0.77,0.50,0.41,83
48 (EC),"Ghosh P., Shaikh M.M., Rao M.","Ligands; Nickel; carbenes","Inorganic Chemistry (41.2); Physical and Theoretical Chemistry (35.3); General Chemistry (11.8)",678,210.7,-9.5%,25,9.5,4.5%,2.0%,2,1.00,0.28,2.58,156
49 (EC),"Chandrasekharam D., Singh H.K.U., Trupti G.","Geothermal fields; geothermal system; thermal spring","Renewable Energy, Sustainability and the Environment (73.2); Geophysics (26.8)",457,191.7,5.5%,15,12.6,6.6%,60.5%,2,0.75,0.14,-2.05,27
50 (EC),"Patil G.R., Kadali B.R., Pawar D.S.","Crosswalks; Vehicles; Intersections","Transportation (56.4); Civil and Structural Engineering (43.6)",420,192.5,7.9%,8,6.9,3.6%,49.6%,3,0.92,0.00,-1.41,9
51 (EC),"Sharma A., Gada V.H., Lakdawala A.M.","Phase change materials; Heat storage; Heat transfer","Condensed Matter Physics (66.3); Mechanical Engineering (33.7)",551,196.0,0.4%,21,14.4,7.3%,5.4%,1,2.03,1.25,-3.20,73
52 (EC),"Manchanda R., Appukuttan S., Mahapatra C.","Urinary Bladder; Urinary Bladder, Overactive; Interstitial Cells of Cajal","Urology (65.7); Endocrinology, Diabetes and Metabolism (34.3)",644,197.7,-11.1%,7,5.5,2.8%,66.1%,5,0.55,0.20,-3.42,4
53 (EC),"Balakrishna M.S., Ananthnag G.S., Siddiqui M.M.","Ligands; Hydroformylation; Palladium","Inorganic Chemistry (65.8); Organic Chemistry (34.2)",761,194.4,1.5%,35,20.3,10.5%,18.0%,1,1.34,1.53,1.70,165
54 (EC),"Padinhateeri R., Das D.K.U., Das D.","Microtubules; Tubulin; Guanosine Triphosphate","General Physics and Astronomy (39.7); General Biochemistry,Genetics and Molecular Biology (33.5); General Medicine (26.7)",641,194.7,-8.2%,12,7.8,4.0%,27.4%,2,0.91,0.31,0.00,54
55 (EC),"Dey B.K., Budkuley A.J., Pillai S.R.B.","Jamming; Scheduling; Radio","Computer Networks and Communications (83.3); Electrical and Electronic Engineering (16.7)",529,187.4,-17.1%,15,8.7,4.6%,41.5%,1,1.08,0.00,-2.97,5
56 (EC),"Vinjamur M., Mandal D., Mandal D.","Lithium; Tritium; Breeder reactors","General Materials Science (78.9); General Chemical Engineering (21.1)",360,186.2,0.6%,8,7.5,4.0%,-55.5%,7,0.37,0.06,-10.15,66
57 (EC),"Rajaraman G., Sharma S.C., Singh H.B.","Germanium; Ligands; Synthesis (chemical)","Inorganic Chemistry (100.0)",658,181.3,-9.8%,7,5.4,3.0%,13.6%,5,0.57,0.15,0.20,33
58 (EC),"Nataraj P.S.V., Patil M.D., Jeyasenthil R.","Feedback; Robust control; Controllers","Software (56.6); Control and Systems Engineering (43.4)",466,166.1,-12.8%,14,11.2,6.8%,2.5%,1,1.67,0.00,0.09,22
59 (EC),"Mukherjee A., Nandi B.K., Varma R.","transverse momentum; partons; production","Nuclear and High Energy Physics (100.0)",440,173.1,-2.6%,24,15.0,8.7%,-8.7%,5,0.59,0.04,1.05,126
60 (EC),"Chakrabarti S., Adhikary S., Ghadi H.","Semiconductor quantum dots; quantum dots; Photoluminescence","Condensed Matter Physics (100.0)",487,166.0,-17.4%,35,29.9,18.0%,2.1%,1,4.91,1.56,0.77,112
61 (EC),"Bahadur D., Sahu N.K.U., Jaiswal M.K.","Nanoparticles; clusters; potential","Physical and Theoretical Chemistry (72.1); General Materials Science (27.9)",696,159.7,2.6%,13,7.8,4.9%,49.9%,1,1.02,1.15,3.85,122
62 (EC),"Murthy S.K., Mavinkurve M., Kenkre A.B.","science; model; student","Education (100.0)",451,154.8,8.9%,9,3.5,2.3%,41.9%,6,0.82,0.00,-1.27,1
63 (EC),"Prasad S.V.G.V.A., Venkataramani N., Bohra M.","Ferrite; Magnetization; Magnetic properties","Condensed Matter Physics (64.4); Electronic, Optical and Magnetic Materials (35.6)",547,157.9,-11.7%,24,16.2,10.2%,0.1%,1,2.27,0.63,1.80,113
