Rank,Instituion,Teaching,International Outlook,Research,Citation,Industry Income,Overall
1,California Institute of TechnologyUnited States of America,96.3,59.8,99.4,99.7,95.6,95.5
2,Stanford UniversityUnited States of America,95,56.6,98.8,99.3,62.4,93.7
2,University of OxfordUnited Kingdom,89.7,88.7,98.1,95.6,79.8,93.7
4,Harvard UniversityUnited States of America,94.9,63.7,98.6,99.2,39.9,93.6
5,Massachusetts Institute of TechnologyUnited States of America,92.9,81.6,89.2,99.9,92.9,93.1
6,Princeton UniversityUnited States of America,89.5,54.5,99.4,99.8,79.5,92.7
7,University of CambridgeUnited Kingdom,91.2,83.6,95.6,96.2,59.1,92.6
8,Imperial College LondonUnited Kingdom,88,91.4,90.9,93,87.5,90.6
9,"University of California, BerkeleyUnited States of America",85.1,49.7,99.3,99.3,65.4,90.5
10,University of ChicagoUnited States of America,89.6,55.3,92.9,98.7,-,90.4
11,Yale UniversityUnited States of America,93.2,54.7,92.5,94.8,38.2,89.2
12,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,82.5,95.7,92.7,86.6,-,87.8
13,"University of California, Los AngelesUnited States of America",87.3,42.3,93.8,95.9,-,87.7
14,Columbia UniversityUnited States of America,89.7,66.1,82,96.1,-,87
15,University of PennsylvaniaUnited States of America,90,38.1,89.4,96.2,43.7,86.6
16,Johns Hopkins UniversityUnited States of America,81.8,57.3,85.5,95.3,100,85.6
17,University College LondonUnited Kingdom,83.5,89,88.8,86.8,45.1,85.5
18,Cornell UniversityUnited States of America,77,53.8,92.1,91.8,39.5,83.3
19,Northwestern UniversityUnited States of America,77.6,33.8,87.3,98.2,64.4,83.1
20,University of MichiganUnited States of America,76.1,47.6,91.4,91.6,53.9,82.6
21,University of TorontoCanada,79.6,65.1,89.4,85.1,42.9,82.2
22,Carnegie Mellon UniversityUnited States of America,71.8,51.4,87,95.5,55.9,81.5
23,Duke UniversityUnited States of America,72.3,45.8,81.5,97,100,81.2
24,University of WashingtonUnited States of America,74.7,39.1,81.3,97,41.3,79.9
25,Georgia Institute of TechnologyUnited States of America,70.2,66.3,79.5,90.3,74.9,78.8
25,University of Texas at AustinUnited States of America,75.5,42.1,80.7,91,57.9,78.8
27,University of TokyoJapan,87.9,27.6,89.9,71.3,59,78.3
28,University of MelbourneAustralia,68.4,77.2,82.5,83.7,67.6,77.9
29,National University of SingaporeSingapore,74.4,92.3,87.2,67.2,77.4,77.5
30,University of British ColumbiaCanada,69.1,82.1,80.4,84,42.4,77.3
31,University of Wisconsin-MadisonUnited States of America,76.1,29.8,80.1,88.2,54.8,76.9
32,University of EdinburghUnited Kingdom,68.4,78.9,71.3,90.8,43.8,76.1
33,University of Illinois at Urbana-ChampaignUnited States of America,74.2,36,84.9,80.8,-,75.8
34,McGill UniversityCanada,74.4,75.9,80.4,75.2,40.3,75.7
35,"University of California, Santa BarbaraUnited States of America",56.1,58.3,73.5,99.4,100,75.6
35,University of Hong KongHong Kong,78.4,81.7,85.9,62.1,62.5,75.6
37,Australian National UniversityAustralia,68.6,90,83.5,73.5,39.6,75.4
38,"University of California, San DiegoUnited States of America",63.4,34.2,79,96.2,43.9,75.2
39,London School of Economics and Political ScienceUnited Kingdom,70.8,87.2,80.8,66.5,42.9,73.1
40,École Polytechnique Fédérale de LausanneSwitzerland,62.4,98.8,57,95,49.8,73
41,New York UniversityUnited States of America,73.8,38.7,67.4,89.2,29.5,72.8
42,Karolinska InstituteSweden,66.3,64.5,75.7,77.3,71.4,72.4
42,University of North Carolina at Chapel HillUnited States of America,70.4,32.9,69.3,90.1,40,72.4
44,"University of California, DavisUnited States of America",67.9,51.7,71.6,82.7,52.5,71.8
44,Washington University in St LouisUnited States of America,66,44.3,62.8,95.2,-,71.8
46,Peking UniversityChina,81.5,54.1,67.9,64.3,99.9,70.7
