Rank,Institution,Teaching,International Outlook,Research,Citation,Industry Income,Overall,,,
98,"University of Maryland, College ParkUnited States of America",45.4,35.4,48.6,79.2,-,57.2,,,
99,Dartmouth CollegeUnited States of America,44.7,31,49.2,79.7,-,57.1,,,
100,École Normale Supérieure de LyonFrance,51.1,37.6,34.4,88.8,26.1,57,,,
101,Technical University of MunichGermany,50.4,85.3,43.2,71.2,-,56.9,,,
102,University of HelsinkiFinland,49,24.2,51.4,75.4,30.2,56.6,,,
103,University of St AndrewsUnited Kingdom,44.8,85.7,47.7,72.9,32.6,56.5,,,
104,Rensselaer Polytechnic InstituteUnited States of America,50.5,48,54.6,64.9,-,56.4,,,
105,"Rutgers, the State University of New JerseyUnited States of America",53.4,26.8,64.7,55.7,-,56.3,,,
106,Purdue UniversityUnited States of America,57,62.6,67.8,43.9,-,56.2,,,
107,National Tsing Hua UniversityTaiwan,52.2,34.1,52.6,66.9,50.2,56.1,,,
107,University of Cape TownSouth Africa,36.6,83.3,42.1,82.8,-,56.1,,,``
109,Pennsylvania State UniversityUnited States of America,46.3,19.9,49.2,77.6,44,56,,,
109,Seoul National UniversitySouth Korea,62.3,44.9,54.1,54.6,43,56,,,
111,Hong Kong Baptist UniversityHong Kong,32.9,71.8,32.5,97.6,26.7,55.6,,,
112,Bilkent UniversityTurkey,34.3,47.7,36.1,95.7,32.4,55.4,,,
112,Tokyo Institute of TechnologyJapan,62.9,24.8,63.4,45.5,60.5,55.4,,,
114,Eindhoven University of TechnologyNetherlands,55.4,44.9,51.7,56.9,99.8,55.3,,,
115,National Taiwan UniversityTaiwan,50.3,29.2,59,61.6,35.7,55.2,,,
115,University of Hawai’i at MānoaUnited States of America,38.3,34.2,47.6,81,-,55.2,,,
117,"University of California, RiversideUnited States of America",38.6,63,47.4,78.3,30.5,55.1,,,
118,University of GenevaSwitzerland,46.6,95.7,49.7,63.1,32.7,55,,,
119,KU LeuvenBelgium,57.7,29.6,62.9,45.2,97.7,54.8,,,
120,Nanjing UniversityChina,52.2,50.2,46.2,66,43.4,54.6,,,
120,Queen Mary University of LondonUnited Kingdom,39.7,91,44.1,73.5,38.9,54.6,,,
122,Michigan State UniversityUnited States of America,50.4,30.4,52.7,63.7,-,54.5,,,
122,Technical University of DenmarkDenmark,46.2,64,46.9,64.6,95.5,54.5,,,
124,Ghent UniversityBelgium,52.8,24.7,59.1,52.8,97.1,54.4,,,
124,Lancaster UniversityUnited Kingdom,43.5,73.8,41.9,74.9,28.8,54.4,,,
124,Leiden UniversityNetherlands,47.3,40,54.9,59.3,100,54.4,,,
127,University of AlbertaCanada,53.7,71.6,58,49.7,44.5,54.3,,,
128,University of GlasgowUnited Kingdom,45.6,55.1,50.3,65.1,61,54.2,,,
129,Stockholm UniversitySweden,36.9,-,49.2,75.9,31.7,54,,,
130,Osaka UniversityJapan,61.7,20.1,63.4,40,73.4,53.4,,,
130,University of VictoriaCanada,32.9,-,48.3,79.1,27.4,53.4,,,
132,Tohoku UniversityJapan,60.3,20.1,62.5,41.2,82.3,53.3,,,
132,University of FreiburgGermany,52.4,46.2,41.4,64.3,79.8,53.3,,,
132,University of IowaUnited States of America,48.6,31.7,59.8,54.8,-,53.3,,,
135,University of BergenNorway,39.9,66.6,42.1,73.1,41.5,52.7,,,
136,University of LausanneSwitzerland,43.1,84.1,50.5,59.1,42.5,52.6,,,
137,University of SheffieldUnited Kingdom,48.9,62.7,49.2,58.4,40.3,52.5,,,
138,University of MontrealCanada,56.1,-,49.4,51.9,-,52.4,,,
139,VU University AmsterdamNetherlands,47.6,30.6,51.6,58.5,81.4,52.3,,,
140,Pierre and Marie Curie UniversityFrance,51.9,30.7,37.2,71.5,26.4,52.2,,,
140,University of DundeeUnited Kingdom,34.1,54.4,41,79.3,49.3,52.2,,,
142,University of BarcelonaSpain,34.1,22.3,33.7,91.9,30,52.1,,,
143,Utrecht UniversityNetherlands,43.4,52.6,53,58.8,55.3,52,,,
144,Wageningen University and Research CenterNetherlands,58.5,24.3,48.8,53,-,51.9,,,
145,University of AucklandNew Zealand,34.8,94.3,39.2,71.8,61.1,51.8,,,
145,University of BirminghamUnited Kingdom,50.3,73.8,50.7,52.1,34.8,51.8,,,
147,Alexandria UniversityEgypt,29.5,19.3,28,99.8,36,51.6,,,
147,Uppsala UniversitySweden,49.6,77.9,62.2,40.7,39.5,51.6,,,
149,Hong Kong Polytechnic UniversityHong Kong,39.4,82.9,45.7,62.4,57.2,51.4,,,
149,University of AberdeenUnited Kingdom,37.8,86.1,45.2,64.6,47,51.4,,,
151,Delft University of TechnologyNetherlands,55.5,47.4,67.7,29,99.4,51.3,,,
152,"Birkbeck, University of LondonUnited Kingdom",41.2,88.5,35.8,70.6,27.4,51.2,,,
152,Newcastle UniversityUnited Kingdom,42.7,80.5,42.8,63.6,31.1,51.2,,,
152,University of New South WalesAustralia,49.5,70.7,48.9,51.2,60,51.2,,,
155,Pompeu Fabra UniversitySpain,35,44.1,33,84.7,40,51.1,,,
156,Indiana UniversityUnited States of America,48.5,37.7,42.5,63.2,-,51,,,
156,Iowa State UniversityUnited States of America,49.3,23.2,49.6,58.2,49.6,51,,,
158,Georgia Health Sciences UniversityUnited States of America,67.3,16.3,41.7,48.9,50.1,50.7,,,
159,Erasmus University RotterdamNetherlands,39.4,58.6,43.6,65.5,-,50.4,,,
159,University of DelawareUnited States of America,38.4,16.8,51.9,61.3,100,50.4,,,
161,Arizona State UniversityUnited States of America,43,24.1,44.1,66.9,-,50.3,,,
161,Boston CollegeUnited States of America,40.1,31.6,33.6,78,-,50.3,,,
163,National Sun Yat-Sen UniversityTaiwan,46.1,21.3,50.6,58.9,37.5,50.2,,,
164,Georgetown UniversityUnited States of America,65.1,24.7,44.7,45,-,50.1,,,
165,University of AmsterdamNetherlands,42.5,38.2,49.2,60.2,38.8,50,,,
165,University of LiverpoolUnited Kingdom,40.8,59.8,47.8,59.6,40.6,50,,,
167,Aarhus UniversityDenmark,38.1,33.4,55.6,57.3,61.5,49.9,,,
168,University of LeedsUnited Kingdom,46.2,50,48,55.6,38.3,49.8,,,
168,University of WürzburgGermany,48.7,40.3,40.9,60.4,-,49.8,,,
170,University of GroningenNetherlands,41.7,35.5,56.4,54.1,34.2,49.7,,,
171,Sun Yat-sen UniversityChina,46.2,29.3,34.7,70.2,41.2,49.6,,,
172,Goethe University FrankfurtGermany,39.2,56.1,37.3,69.5,41.6,49.4,,,
173,Bielefeld UniversityGermany,39.9,-,35.7,70.4,-,49.3,,,
174,Nanyang Technological UniversitySingapore,43.6,96.3,51.7,45,40,49,,,
174,University of East AngliaUnited Kingdom,42.1,62.8,40.4,62.8,29.7,49,,,
174,University of NottinghamUnited Kingdom,46.8,74.8,44.1,52.5,38.4,49,,,
177,University of CopenhagenDenmark,44.1,45.8,45.7,58.3,26.1,48.8,,,
178,Humboldt University of BerlinGermany,50.9,46.1,44.5,52,27.8,48.5,,,
178,Monash UniversityAustralia,39.4,87.1,38.8,60.5,40.8,48.5,,,
178,University of BonnGermany,46.8,46.8,33.8,65.3,29.4,48.5,,,
181,National Chiao Tung UniversityTaiwan,53.2,57.9,54.4,32.9,98.7,48.3,,,
182,RWTH Aachen UniversityGermany,50,63.8,42.5,48.9,56.6,48.2,,,
183,Middle East Technical UniversityTurkey,39.5,27.2,39.5,66.4,43.9,47.7,,,
184,University of ExeterUnited Kingdom,40.4,62.8,42.5,57.9,32.2,47.6,,,
185,University of TwenteNetherlands,49.9,62.4,48.3,42,49.8,47.5,,,
186,University of KonstanzGermany,42.7,93.6,40.1,51.3,-,47.3,,,
187,Karlsruhe Institute of TechnologyGermany,45,47.3,35.4,60.7,40,47.2,,,
187,University of InnsbruckAustria,37.9,99.5,34.8,60.2,35,47.2,,,
189,University of TübingenGermany,45.9,57.8,36.3,57.3,32.3,47,,,
190,Drexel UniversityUnited States of America,45,60.6,35.9,58.2,27.4,46.9,,,
190,University of CincinnatiUnited States of America,43.6,18.9,40.4,61.5,32.5,46.9,,,
190,Yonsei UniversitySouth Korea,43,28,48.7,52.2,40.4,46.9,,,
193,Dalhousie UniversityCanada,41.6,44.9,50.2,48.8,-,46.8,,,
193,KTH Royal Institute of TechnologySweden,49.1,64.2,56.2,29.2,100,46.8,,,
195,University of ViennaAustria,47.6,63.2,45.7,45.6,27,46.7,,,
196,Kent State UniversityUnited States of America,33.5,15.9,33.3,76.8,26.3,46.5,,,
197,University of Illinois at ChicagoUnited States of America,57.8,51.8,46.8,34.7,-,46.4,,,
197,Zhejiang UniversityChina,54.6,29.6,41.3,44.3,70.3,46.4,,,
199,Simon Fraser UniversityCanada,32.9,51.9,44.2,60.2,37.9,46.2,,,
199,Swedish University of Agricultural SciencesSweden,43.3,-,49.5,41.7,99.9,46.2,,,
