Rank,Title,Teaching,International Outlook,Research,Citations,Industry Income,Overall
70,Durham UniversityUnited Kingdom,47.9,86.4,51.9,87.7,34.4,63.6
71,Erasmus University RotterdamNetherlands,37.2,76.1,55.2,95.6,54.6,63.5
72,Free University of BerlinGermany,57.9,69.2,72.2,60.2,35.1,63.2
73,Monash UniversityAustralia,48.1,87.6,58.5,73.3,79.7,62.5
74,University of GroningenNetherlands,43.3,63.9,56.9,84,92.4,62.4
75,Pennsylvania State UniversityUnited States of America,50.4,40.8,61.9,80.5,56.2,62.3
76,University of GlasgowUnited Kingdom,41.6,85.8,48.3,92.3,31.6,61.9
76,University of HelsinkiFinland,48.4,51.8,60.4,82.1,31.6,61.9
78,University of TübingenGermany,47,58.2,59.8,79.3,59.2,61.7
79,University of PittsburghUnited States of America,50.6,33.9,50.3,92.3,39.3,61.5
80,University of WarwickUnited Kingdom,47.4,90.3,53.1,78.2,37.7,61.3
81,Uppsala UniversitySweden,44.1,59.6,61,80.9,39.5,61.2
82,University of CopenhagenDenmark,49.8,83.3,42.7,86.2,45,61
82,University of New South WalesAustralia,40.7,89.5,53.9,82.1,50,61
84,University of FreiburgGermany,47.4,60.3,51.1,80.5,100,60.7
85,Seoul National UniversitySouth Korea,66.5,30.9,70.5,50,85.4,60.5
86,University of St AndrewsUnited Kingdom,49.7,92.3,47.3,78.8,30.6,60.4
87,Vanderbilt UniversityUnited States of America,47.8,29.1,44.2,95.7,63.2,60.1
88,Kyoto UniversityJapan,70.6,26.1,69.3,46.6,79,59.9
88,Maastricht UniversityNetherlands,37.5,95.5,47.7,82.7,95.4,59.9
90,Emory UniversityUnited States of America,48.3,51,37.1,96.7,48.9,59.7
90,Lund UniversitySweden,39.7,74.1,53.6,81.3,70.4,59.7
90,Ohio State UniversityUnited States of America,51.6,53,46.6,83.2,53.1,59.7
93,University of ExeterUnited Kingdom,39.4,87.3,40,94.3,31.9,59.5
94,University of BonnGermany,45.1,63.6,47.5,85.3,-,58.8
94,Georgetown UniversityUnited States of America,54.4,52.7,39.3,82.5,80.7,58.8
94,McMaster UniversityCanada,39.8,76.1,44.8,84.9,88,58.8
97,University of SheffieldUnited Kingdom,42.4,81.9,48.8,80.1,43.4,58.6
98,Queen Mary University of LondonUnited Kingdom,34.1,93.5,41.3,93.3,36.8,58.5
99,University of GöttingenGermany,49.3,56.4,54.5,72.7,31.8,58
99,Michigan State UniversityUnited States of America,47.3,56.4,52.6,76.8,32.2,58
101,University of BaselSwitzerland,39.5,94.7,33.1,88.3,99.9,57.9
101,École PolytechniqueFrance,53.5,92.8,44.6,64.7,82.3,57.9
101,Rice UniversityUnited States of America,37.9,66.6,35.1,99.7,41.7,57.9
104,Dartmouth CollegeUnited States of America,50.7,38.3,35.8,93.3,40.8,57.8
104,University of ZurichSwitzerland,49.5,90.4,31.5,85.4,44,57.8
106,"University of California, IrvineUnited States of America",39.9,59.2,41.8,91.6,48.9,57.7
106,University of MannheimGermany,34.5,64.6,47.7,86.9,85.3,57.7
108,University of Notre DameUnited States of America,47.6,47.6,48.1,81.7,33.7,57.6
109,University of Western AustraliaAustralia,33.4,92.6,46.1,83.6,64.5,57.5
110,RWTH Aachen UniversityGermany,49.4,54.1,56.3,63.2,98.1,57.2
110,University of SouthamptonUnited Kingdom,39.8,88.4,43.6,82,37.5,57.2
112,Scuola Normale Superiore di PisaItaly,54.2,46.3,53.1,67.2,52,57.1
113,University of MontrealCanada,46.3,84.2,45.5,69.6,92.6,57
113,Pierre and Marie Curie UniversityFrance,52.8,74.1,32.7,82.9,37.4,57
113,Purdue UniversityUnited States of America,50.2,66.4,57.7,63.2,-,57
116,Pohang University of Science and TechnologySouth Korea,49.1,33.7,47.1,76.7,100,56.9
117,"University of Maryland, College ParkUnited States of America",45,43.5,42.1,88.2,32.3,56.7
118,Ghent UniversityBelgium,42.1,54.2,54.5,71.2,88.3,56.6
119,University of BirminghamUnited Kingdom,39.4,82,41.8,82.7,34.7,56.2
120,University of BernSwitzerland,40,83.7,42.5,76.6,82.9,56.1
120,University of Cape TownSouth Africa,34.9,80.2,38.7,85.6,92.7,56.1
120,University of FloridaUnited States of America,51.8,33.3,56.8,67.7,-,56.1
123,University of Erlangen-NurembergGermany,51.7,47,39.7,75.2,99.4,56
123,"Rutgers, the State University of New JerseyUnited States of America",43.9,34.7,55.7,75.4,35.9,56
125,University of MünsterGermany,40.3,46.3,44.1,85.6,58.2,55.9
125,Radboud University NijmegenNetherlands,34.3,60.9,48.5,84.9,39.2,55.9
127,University of Colorado BoulderUnited States of America,39.7,36.6,37.6,96.4,35.7,55.8
127,Tufts UniversityUnited States of America,45.2,49.4,33.3,90.1,60.7,55.8
129,"Royal Holloway, University of LondonUnited Kingdom",35.1,92.7,33.2,91.2,34.4,55.7
130,Lancaster UniversityUnited Kingdom,34,87,41.4,85.3,33.6,55.6
131,University of GenevaSwitzerland,34.9,98.5,40.5,78.5,72.4,55.4
131,University of YorkUnited Kingdom,41.9,83.5,46.3,73.1,31.1,55.4
133,Case Western Reserve UniversityUnited States of America,46.1,40.5,33.2,92,34.1,55.3
133,University of LeedsUnited Kingdom,43.7,77.4,39,79.2,36.7,55.3
135,University of OsloNorway,43.3,68.2,44.7,75.5,38.3,55.1
136,Stockholm UniversitySweden,34.1,48.5,51.2,82.5,31.1,54.8
137,University of AlbertaCanada,46.4,80.7,48.1,63.6,47.4,54.7
138,Chinese University of Hong KongHong Kong,41.5,81.1,48.5,68.4,37.5,54.5
138,Karlsruhe Institute of TechnologyGermany,37.7,56.7,47.5,73.8,99.5,54.5
140,University of SussexUnited Kingdom,33.4,88.3,37.2,86.1,30.6,54.4
141,University of MassachusettsUnited States of America,40.2,48.9,36.3,88.1,52.2,54.3
142,University of ViennaAustria,40.8,92.6,50.5,63.6,30.2,54.2
143,University of NottinghamUnited Kingdom,40.3,80.6,39,77.5,39.8,54.1
144,"University of California, Santa CruzUnited States of America",31.1,45.6,34.2,99.9,36.1,53.9
144,University of LausanneSwitzerland,30.9,89.2,45.6,76.2,56,53.9
146,Autonomous University of BarcelonaSpain,40.3,50.3,40,83.8,34.9,53.8
147,University of VirginiaUnited States of America,38.8,43.4,37.5,87.3,37.9,53.3
148,Korea Advanced Institute of Science and Technology (KAIST)South Korea,43.3,33.9,40.5,75.9,100,53
149,Aarhus UniversityDenmark,35.7,76.8,39.2,79.8,28,52.9
149,University of AdelaideAustralia,32.8,85.1,43.2,72.4,79.3,52.9
149,University of East AngliaUnited Kingdom,31.9,83.5,28.7,92.7,28.5,52.9
149,University of TwenteNetherlands,34.1,80.1,45.6,68.8,91.2,52.9
153,Sungkyunkwan University (SKKU)South Korea,51.4,36.7,53.5,53.8,97.5,52.8
154,VU University AmsterdamNetherlands,28.4,54.9,37.1,90.7,60.1,52.5
155,KTH Royal Institute of TechnologySweden,39,84.4,44.3,63.9,78.1,52.4
156,University of CologneGermany,42.2,53.1,38,75,68.5,52.3
157,University of LiverpoolUnited Kingdom,32.8,85.4,30.9,85.9,36.6,52.2
158,TU Dresden Germany,41.4,47.7,45.8,66.1,99.7,52.1
158,University of RochesterUnited States of America,39.7,55.8,27.9,89,37,52.1
160,Trinity College DublinRepublic of Ireland,41.9,90.5,30.8,75.8,28,52
161,Lomonosov Moscow State UniversityRussian Federation,75.4,57.8,66.7,8.6,95.7,51.9
161,University of MiamiUnited States of America,41.7,64,22.3,90.1,35.5,51.9
163,University of ArizonaUnited States of America,38.7,38.6,41.8,79.5,32.4,51.7
164,Pompeu Fabra UniversitySpain,32.9,63.3,28,90.7,37.2,51.2
164,University of ReadingUnited Kingdom,39.3,85.1,37.3,69.9,34.2,51.2
164,Yeshiva UniversityUnited States of America,44.8,28.5,23.7,92.8,-,51.2
167,"University of California, RiversideUnited States of America",27.5,59.5,33.3,91.2,42.5,51.1
167,University of LeicesterUnited Kingdom,32.1,86.6,27.8,86,31.7,51.1
167,National Taiwan UniversityTaiwan,54.1,27.7,58,47.3,49.6,51.1
167,Technical University of DenmarkDenmark,37.3,85.1,29.9,77.8,50,51.1
167,Université Catholique de LouvainBelgium,38.7,74.2,40.6,68.4,51,51.1
172,University of AberdeenUnited Kingdom,29.7,91.4,31.4,82.6,43.1,51
172,University of AucklandNew Zealand,31.4,90.5,39.5,69.8,78,51
174,University of BarcelonaSpain,38.5,49.2,37.4,78.9,31.1,50.9
175,University of KonstanzGermany,38.5,58.3,46.7,61.9,92.4,50.8
176,Eindhoven University of TechnologyNetherlands,34.3,71.3,41,70.7,57.3,50.6
176,University College DublinRepublic of Ireland,35,86.3,38.5,70.8,33.5,50.6
178,Hebrew University of JerusalemIsrael,45.8,55.6,41.4,64.6,31.9,50.5
179,University of WaterlooCanada,35.4,74.4,43.9,66.5,39.5,50.3
180,University of GothenburgSweden,28.5,58.3,39.8,81.8,30.3,50.2
180,Scuola Superiore Sant’AnnaItaly,42.5,45.2,23.2,84.5,71.2,50.2
182,University of BergenNorway,32.5,70,31.5,82.4,36.2,50.1
182,Cardiff UniversityUnited Kingdom,30.9,78.1,31.6,82,34.6,50.1
182,University of UtahUnited States of America,35.6,30.1,35.3,83.7,57.4,50.1
185,Brandeis UniversityUnited States of America,28.3,47,25.7,97.3,38.6,49.9
185,University of DundeeUnited Kingdom,25.6,78.5,26.9,90.2,49.5,49.9
185,University of WürzburgGermany,34.6,50.9,35.8,79.1,47.9,49.9
188,Paris-Sud UniversityFrance,38.7,64.2,29,79.8,28.8,49.8
189,Arizona State UniversityUnited States of America,32.4,31.9,38.1,84.6,32,49.7
190,University of AntwerpBelgium,31.6,64.8,40.8,71.7,60.3,49.6
190,Boston CollegeUnited States of America,34.1,60,29.3,83.3,46.8,49.6
192,Ulm UniversityGermany,35.2,58.2,23.9,86.4,58.4,49.5
193,University of LuxembourgLuxembourg,25,99.8,26.7,84.8,38.1,49.4
193,Texas A&M UniversityUnited States of America,49.4,47.8,52.4,47.1,46.4,49.4
195,Charité - Universitätsmedizin BerlinGermany,37.3,61.1,22.2,83.8,68.4,49.3
196,Newcastle UniversityUnited Kingdom,30.9,84.3,27.5,81.5,34.7,49.2
196,"St George’s, University of LondonUnited Kingdom",25.6,69.5,18.1,100,37.7,49.2
198,University of TrentoItaly,30.8,55.9,27.4,87.7,47.1,49.1
199,Paris Diderot University – Paris 7France,30.5,64.9,22.9,91,29,48.9
200,Queen’s University BelfastUnited Kingdom,34.1,93.4,33.3,68.9,35.7,48.8
201-250,Aalborg UniversityDenmark,25.1,71,28.4,73.8,43.7,-
201-250,"Birkbeck, University of LondonUnited Kingdom",33.5,89.9,35.1,66.3,28.5,-
201-250,University of BolognaItaly,39.3,39.9,29.5,73,34.5,-
201-250,University at BuffaloUnited States of America,36.5,60.6,37.9,62,43.8,-
201-250,University of CalgaryCanada,33.9,70.1,36.7,67.8,52,-
201-250,Chalmers University of TechnologySweden,36.6,77.6,35.3,52.2,79.5,-
201-250,City University of Hong KongHong Kong,32.1,81.6,26.7,76.8,50.1,-
201-250,Copenhagen Business SchoolDenmark,19.3,88.5,26.5,79.4,35.3,-
201-250,Dalhousie UniversityCanada,30.4,78.3,29.4,65.2,50.3,-
201-250,University of Duisburg-EssenGermany,32.3,48.5,27,81.3,82.3,-
201-250,École Normale Supérieure de LyonFrance,41.6,65.6,30,69,31.7,-
201-250,Florida State UniversityUnited States of America,38.5,41.6,40.1,64.7,32,-
201-250,University of FribourgSwitzerland,32.3,87.4,32.9,64.1,60.8,-
201-250,Fudan UniversityChina,44.7,38.6,30.4,61.1,28,-
201-250,George Washington UniversityUnited States of America,44.7,48.1,23.5,65.7,29.5,-
201-250,Goethe University FrankfurtGermany,35.8,60.2,28.6,79.3,38.1,-
201-250,University of Hawai’i at MānoaUnited States of America,32,63.4,35.5,67.7,44.7,-
201-250,Hong Kong Polytechnic UniversityHong Kong,29.3,79,35.2,63.3,45.1,-
201-250,University of Illinois at ChicagoUnited States of America,40.9,58.1,29.2,63.2,38,-
201-250,Indiana UniversityUnited States of America,43,41.2,27.3,74.8,-,-
201-250,University of IowaUnited States of America,41,32.3,26.7,73.5,54.1,-
201-250,Johannes Gutenberg University of MainzGermany,34.9,53.3,21.7,72.6,70.7,-
201-250,Joseph Fourier UniversityFrance,34.2,58.6,21.6,83.2,31.6,-
201-250,University of KielGermany,32.3,49.4,20.5,89.5,-,-
201-250,Laval UniversityCanada,37.5,63.8,31.7,62.2,57.5,-
201-250,Medical University of ViennaAustria,26.6,81.7,14.6,89.1,33.9,-
201-250,Northeastern UniversityUnited States of America,35.5,58.7,20.6,84,32.9,-
201-250,Oregon Health and Science UniversityUnited States of America,27.8,21.4,15.7,96,44.6,-
201-250,University of OtagoNew Zealand,30.7,89.9,30.5,74.9,31.5,-
201-250,University of OttawaCanada,37.1,69.9,36.7,61.5,41.5,-
201-250,Paris Descartes UniversityFrance,24.6,49.1,28.8,83.3,29,-
201-250,Peter the Great St Petersburg Polytechnic UniversityRussian Federation,30.8,29.6,17.8,97.4,42.5,-
201-250,Polytechnic University of MilanItaly,30.1,48.8,31.7,76.3,66.3,-
201-250,Royal Veterinary CollegeUnited Kingdom,26,81.7,27.8,74.9,45.5,-
201-250,Rush UniversityUnited States of America,37.7,21.8,17.4,88.9,45.4,-
201-250,Sapienza University of RomeItaly,38,34.7,37.3,61.5,32.6,-
201-250,University of Science and Technology of ChinaChina,46.7,21.4,36.6,67.2,80.3,-
201-250,University of South FloridaUnited States of America,24.8,45.1,35.7,73.4,99.8,-
201-250,Stony Brook UniversityUnited States of America,32.6,53.2,22,83,33.4,-
201-250,University of StuttgartGermany,40,52.7,44.5,55.7,99.8,-
201-250,Swedish University of Agricultural SciencesSweden,31.5,40.1,32.8,68.1,99.9,-
201-250,Technical University of DarmstadtGermany,37.1,54.4,43.2,51.1,99.1,-
201-250,University of Technology SydneyAustralia,27,90.1,35.1,66.9,42.3,-
201-250,Tel Aviv UniversityIsrael,41,47.5,50.5,49.2,42.9,-
201-250,University of Texas at DallasUnited States of America,24.3,52.3,26.7,86.8,41.8,-
201-250,Tilburg UniversityNetherlands,34.1,71.6,47.1,51.5,57.4,-
201-250,Tohoku UniversityJapan,45.3,29.3,42.7,49.4,74.7,-
201-250,Tokyo Institute of TechnologyJapan,45.6,31.9,47.6,42.2,70.9,-
201-250,University of VictoriaCanada,20.6,70.2,30,79,36.6,-
201-250,Wake Forest UniversityUnited States of America,34.6,24.2,19.5,94.8,42.5,-
201-250,University of Western OntarioCanada,38.6,73.6,32.4,59,59.7,-
201-250,William & MaryUnited States of America,38.5,26.6,17.5,85,29.1,-
201-250,University of the WitwatersrandSouth Africa,26.2,68.4,31.5,76,99.7,-
251-300,Aalto UniversityFinland,31.1,65.4,32.8,62.1,61.6,-
251-300,Aix-Marseille UniversityFrance,36.7,63,22.1,64.9,33.1,-
251-300,University of BathUnited Kingdom,28.9,84.8,27.9,56.7,36.3,-
251-300,Bayreuth UniversityGermany,32.2,52.6,31.2,60.1,56.4,-
251-300,Bielefeld UniversityGermany,35.2,45.4,46.2,49.9,60.9,-
251-300,University of BordeauxFrance,25.3,54.6,22,71.7,30.6,-
251-300,Charles Darwin UniversityAustralia,17.8,63.7,22.6,85.9,43.2,-
251-300,Colorado School of MinesUnited States of America,28.5,35.5,30.3,71.8,83.7,-
251-300,Colorado State UniversityUnited States of America,31.6,34.5,33,59.3,41,-
251-300,University of DelawareUnited States of America,23.7,41.6,34,70,98.7,-
251-300,Flinders UniversityAustralia,21.4,64.7,25.7,69.5,41.7,-
251-300,University of GeorgiaUnited States of America,41.1,39.2,30.5,52.2,30.9,-
251-300,Griffith UniversityAustralia,22.5,81.7,25.2,66.3,34.6,-
251-300,University of IcelandIceland,16.2,61,16.2,91.4,28,-
251-300,Indian Institute of ScienceIndia,42.7,16.4,47.2,42.4,52.4,-
251-300,Iowa State UniversityUnited States of America,31.2,35.4,29.4,61.5,54,-
251-300,James Cook UniversityAustralia,19,70.4,22.8,81.4,40.7,-
251-300,Justus Liebig University GiessenGermany,32.9,46.8,33.9,52.9,46.4,-
251-300,King Abdulaziz UniversitySaudi Arabia,23.9,93,11.8,76.6,73.1,-
251-300,Koç UniversityTurkey,21.2,53.5,27.1,74.9,82.4,-
251-300,Korea UniversitySouth Korea,43.9,40.2,43.4,41.8,99.8,-
251-300,University of LiègeBelgium,29.1,69.7,36.6,46.5,98.9,-
251-300,Linköping UniversitySweden,24.2,57.7,18.9,76.8,42.1,-
251-300,Nanjing UniversityChina,37.2,50.4,32.2,54.2,58.6,-
251-300,National Tsing Hua UniversityTaiwan,37.7,23.2,36.6,53,49.5,-
251-300,"National University of Ireland, GalwayRepublic of Ireland",27.3,76.5,25.4,68.5,41.9,-
251-300,University of NewcastleAustralia,27.4,75.9,26.5,67.2,64.4,-
251-300,North Carolina State UniversityUnited States of America,36.1,49,30.5,60,40.7,-
251-300,Oregon State UniversityUnited States of America,30.6,42.8,28.5,63.8,32.1,-
251-300,Osaka UniversityJapan,46.8,26.6,45.2,37.4,76.1,-
251-300,Queen’s UniversityCanada,35.8,61.6,35.8,54.4,54.2,-
251-300,Queensland University of TechnologyAustralia,28.8,76,35.6,56,73.7,-
251-300,Rensselaer Polytechnic InstituteUnited States of America,30.4,40.3,31.5,65.1,79.6,-
251-300,Royal College of Surgeons in IrelandRepublic of Ireland,29.9,90.1,20.1,65.3,33.9,-
251-300,Ruhr University BochumGermany,32.8,51.7,30,54.4,66.6,-
251-300,Saint Louis UniversityUnited States of America,36.9,26.6,10.9,85,29.9,-
251-300,University of São PauloBrazil,59.1,25.3,57.1,20.4,30.5,-
251-300,Simon Fraser UniversityCanada,23.2,61.4,29.2,72.8,42.3,-
251-300,University of SurreyUnited Kingdom,31.7,90.4,28.9,51.2,34.9,-
251-300,Syracuse UniversityUnited States of America,31.4,38.3,20.8,77.1,36.3,-
251-300,University of TasmaniaAustralia,21.8,79.1,25.7,68,42.7,-
251-300,"University of Tennessee, KnoxvilleUnited States of America",29.5,39.3,23.2,81.4,41.3,-
251-300,Tomsk Polytechnic UniversityRussian Federation,31.6,32.7,15.1,82.4,60.2,-
251-300,Tulane UniversityUnited States of America,39.1,35.3,19.3,67.8,32.4,-
251-300,Umeå UniversitySweden,20.8,56.1,25,74.5,31.1,-
251-300,Vienna University of TechnologyAustria,34.1,77.3,32,54.6,86.5,-
251-300,Virginia Polytechnic Institute and State UniversityUnited States of America,34.9,29.5,38.2,54.2,43.3,-
251-300,University of WollongongAustralia,25.8,86.8,28.4,59.3,57.9,-
251-300,Zhejiang UniversityChina,44.3,19.6,46,36.1,96.2,-
301-350,Aberystwyth UniversityUnited Kingdom,21.6,72.2,18.9,67.2,31.3,-
301-350,University of Alaska FairbanksUnited States of America,25.1,53.5,23.1,63,51.2,-
301-350,Autonomous University of MadridSpain,35.6,48.6,30.9,46.9,33,-
301-350,Bangor UniversityUnited Kingdom,22.6,81.3,22.1,65.4,31,-
301-350,University of BremenGermany,30.9,50,32.7,50,46,-
301-350,University of CincinnatiUnited States of America,31.3,28.3,20.4,72.1,35.3,-
301-350,University of ConnecticutUnited States of America,35.9,43.1,25.6,57,30.9,-
301-350,Deakin UniversityAustralia,22.4,76.9,21.9,66.8,30,-
301-350,University of EssexUnited Kingdom,33.9,93.7,33.3,38.6,28.9,-
301-350,George Mason UniversityUnited States of America,29.6,36.9,21.2,64.9,29.1,-
301-350,University of GreifswaldGermany,30.1,41.7,23.5,61.3,32.6,-
301-350,Gwangju Institute of Science and TechnologySouth Korea,35.2,36.2,42,43.7,45.2,-
301-350,University of HohenheimGermany,30.9,50.3,33.8,51.5,52.8,-
301-350,University of InnsbruckAustria,23.6,95.7,16.9,67.3,39.9,-
301-350,Kazan Federal UniversityRussian Federation,21.9,25.5,12.3,87.5,42.4,-
301-350,University of KentUnited Kingdom,24.6,87.2,19.1,60.9,28.8,-
301-350,Leibniz University of HanoverGermany,36.5,43.2,36.9,39,69.6,-
301-350,Macquarie UniversityAustralia,28.5,90,27.2,52.3,33.1,-
301-350,Medical College of WisconsinUnited States of America,25.4,30.4,12.1,85.2,31.8,-
301-350,University of MilanItaly,30.5,37.7,24.2,64.8,40.9,-
301-350,University of Milan-BicoccaItaly,24.3,34.3,25.5,65.8,46.6,-
301-350,Montpellier UniversityFrance,38.7,54.4,16.7,59.5,31.9,-
301-350,Nagoya UniversityJapan,40.8,27.4,38.9,40.1,91.4,-
301-350,University of Naples Federico IIItaly,24.7,21.1,14.8,81.3,47.4,-
301-350,National Chiao Tung UniversityTaiwan,32.9,32,45.4,34.2,96.9,-
301-350,National Research Nuclear University MePhIRussian Federation,43.9,27.5,24.1,52.8,28.1,-
301-350,National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,31.7,30.5,43.1,39.1,92.2,-
301-350,University of NavarraSpain,31.9,52.6,20.8,57.5,63.5,-
301-350,University of Nebraska-LincolnUnited States of America,30.1,45.8,30.2,53.5,35.6,-
301-350,Örebro UniversitySweden,18.3,39.4,10.4,87.8,29.8,-
301-350,University of OregonUnited States of America,21.2,33.5,22.7,72.6,30.8,-
301-350,University of PaduaItaly,25.7,37.9,22.6,74.6,32.6,-
301-350,University of PaviaItaly,25,40.5,22.5,65.1,69.4,-
301-350,Plymouth UniversityUnited Kingdom,19.3,64,18,75.2,28.5,-
301-350,Shanghai Jiao Tong UniversityChina,37.8,27.5,45.2,34,92.9,-
301-350,University of Southern DenmarkDenmark,19.2,71.8,14.7,79.7,28,-
301-350,Stellenbosch UniversitySouth Africa,28.2,49.8,35,46.9,100,-
301-350,University of StrasbourgFrance,25.5,71.6,23.4,64.4,32.8,-
301-350,Technical University of DortmundGermany,34.2,40.8,29.8,55.3,48.6,-
301-350,Technion Israel Institute of TechnologyIsrael,30.8,61.9,33.3,52.1,28.8,-
301-350,Toulouse 1 Capitole UniversityFrance,18.6,66.7,35.7,56.3,32.5,-
301-350,University of TriesteItaly,26.5,47.3,18.5,74.1,32.3,-
301-350,University of TurinItaly,27.4,38.8,22.3,67.5,54.2,-
301-350,University of TurkuFinland,27.1,66.2,21.2,65.8,31.2,-
301-350,Vrije Universiteit BrusselBelgium,28.7,64.5,24.5,56.8,77.1,-
