Rank,Title,Teaching,International Outlook,Research,Citations,Industry Income,Overall
1,University of OxfordUnited Kingdom,89.6,94.5,99.1,99.2,62.5,95
2,California Institute of TechnologyUnited States,95.5,63.4,95.7,99.8,90.8,94.3
3,Stanford UniversityUnited States,92.6,76.5,95.9,99.9,60.9,93.8
4,University of CambridgeUnited Kingdom,90.6,92.4,97.2,96.8,50.4,93.6
5,Massachusetts Institute of TechnologyUnited States,90.3,85.6,92.3,99.9,88.4,93.4
6,Harvard UniversityUnited States,87.5,77.9,98.3,99.7,47.3,92.7
7,Princeton UniversityUnited States,89.5,77.2,88.4,99.2,49.9,90.2
8,Imperial College LondonUnited Kingdom,86.4,96.5,86.6,97.3,67.5,90
9,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,81.5,98.1,93.7,92.5,63.7,89.3
10,"University of California, BerkeleyUnited States",82.4,59.6,96.1,99.8,37.6,88.9
10,University of ChicagoUnited States,88.1,67.8,89.1,99.1,37.7,88.9
12,Yale UniversityUnited States,88.5,64.3,87.8,97.8,44.5,88.2
13,University of PennsylvaniaUnited States,85.9,50.1,88.9,98.6,49.9,87.1
14,"University of California, Los AngelesUnited States",82.9,58,89,98.4,47.1,86.6
15,University College LondonUnited Kingdom,77.4,94.3,90,94,41.9,86.5
16,Columbia UniversityUnited States,86.9,75.3,78.9,98.6,44.9,86.1
17,Johns Hopkins UniversityUnited States,77.4,71.1,84.3,98.4,100,85.9
18,Duke UniversityUnited States,80.7,58.2,80,98.8,100,84.7
19,Cornell UniversityUnited States,79.7,62.2,86.5,97.2,36,84.6
20,Northwestern UniversityUnited States,75.8,56.1,85,97,85.8,83.7
21,University of MichiganUnited States,79.4,54.6,86.1,95.8,43.9,83.6
22,University of TorontoCanada,74.6,78.3,86.3,91.9,48.8,83
23,Carnegie Mellon UniversityUnited States,70.2,59.6,84,99.3,51.8,81.8
24,National University of SingaporeSingapore,76.7,96,86.9,79.7,61.3,81.7
25,London School of Economics and Political ScienceUnited Kingdom,70.8,91,74.7,96.3,34.8,80.2
25,University of WashingtonUnited States,70.2,55,80.4,98.8,49.8,80.2
