Rank,Instituion,Teaching,International Outlook,Research,Citation,Industry Income,Overall
1,California Institute of TechnologyUnited States of America,94.4,65.8,98.2,99.8,91.2,94.9
2,Harvard UniversityUnited States of America,95.3,66.2,98.5,99.1,40.6,93.9
2,University of OxfordUnited Kingdom,89,90.2,98.5,95.4,90.3,93.9
4,Stanford UniversityUnited States of America,94.7,68,96.8,99.1,61.3,93.8
5,Massachusetts Institute of TechnologyUnited States of America,92.9,82,89,100,94.3,93
6,Princeton UniversityUnited States of America,89.9,59.6,97.6,99.7,80.5,92.7
7,University of CambridgeUnited Kingdom,90.6,86.7,95.3,95.7,52.8,92.3
8,"University of California, BerkeleyUnited States of America",83.2,57.3,97.5,99.3,59.5,89.8
9,University of ChicagoUnited States of America,85.6,58.6,88.2,98,-,87.8
10,Imperial College LondonUnited Kingdom,84.5,91.8,88.1,90,72.3,87.5
11,Yale UniversityUnited States of America,89.5,57.6,90.5,93.5,38.7,87.4
12,"University of California, Los AngelesUnited States of America",84.8,46.4,91,95.6,-,86.3
13,Columbia UniversityUnited States of America,86.6,68,79.1,95.6,-,85.2
14,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,77.6,96.7,88.2,85,78.8,84.5
15,Johns Hopkins UniversityUnited States of America,75.7,59.3,85.1,95,100,83.7
16,University of PennsylvaniaUnited States of America,79.8,40.6,81.2,95,45.2,81
17,Duke UniversityUnited States of America,73.9,50,73,96.7,100,79.3
18,University of MichiganUnited States of America,70,49.5,86.2,90.8,53.5,79.2
19,Cornell UniversityUnited States of America,72.1,55.6,83.8,90.8,35.8,79.1
20,University of TorontoCanada,73.6,70,81.5,84.5,45.8,78.3
21,University College LondonUnited Kingdom,70.5,90.2,77.5,84.1,46.8,77.6
22,Northwestern UniversityUnited States of America,70.2,34.4,76,97.1,61.9,77.1
23,University of TokyoJapan,84.7,29.6,88,69.8,56.7,76.4
24,Carnegie Mellon UniversityUnited States of America,63.1,58.1,77.4,93.9,52.5,76
25,University of WashingtonUnited States of America,65.6,43.2,69.2,95.6,43.1,73.4
26,National University of SingaporeSingapore,68,94.3,77.8,66.4,64.3,72.4
27,University of Texas at AustinUnited States of America,64.7,42.4,69,91.3,59.6,72.2
28,Georgia Institute of TechnologyUnited States of America,59.4,67.8,68.6,87.9,71.3,71.6
29,University of Illinois at Urbana-ChampaignUnited States of America,66,41.1,78.9,79.4,-,71.4
30,University of Wisconsin-MadisonUnited States of America,69.8,32.3,67.7,87.2,51.2,71.1
31,University of British ColumbiaCanada,59.9,84.2,67.9,83.7,43.1,70.8
32,London School of Economics and Political ScienceUnited Kingdom,65.2,81.7,74.2,69.2,43.6,69.8
33,"University of California, Santa BarbaraUnited States of America",47.8,61.8,58.2,99.4,86.7,68.4
34,University of MelbourneAustralia,57.1,81.3,64.2,80.2,65.1,68.2
35,McGill UniversityCanada,61.5,77.8,68.1,74.5,40.8,68.1
36,Karolinska InstituteSweden,58.1,73.2,67.7,76,68.7,67.8
37,École Polytechnique Fédérale de LausanneSwitzerland,52.9,98.2,48.3,95.9,49.2,67.7
38,King’s College LondonUnited Kingdom,56.2,86,56.8,87.6,38.3,67.6
39,University of EdinburghUnited Kingdom,56.6,81.5,56.9,87.6,42.5,67.5
40,New York UniversityUnited States of America,65.4,41.8,58.4,87.9,29.9,67.4
40,"University of California, San DiegoUnited States of America",52,35.6,63,96.7,48.4,67.4
42,Washington University in St LouisUnited States of America,59.5,44.6,52.9,96.4,-,67.2
43,University of Hong KongHong Kong,61.6,80.3,69.9,61.5,56.9,65.3
44,Seoul National UniversitySouth Korea,76.4,29.4,79.2,47.3,86,65.2
45,Peking UniversityChina,72.3,60.6,58.1,62.8,99.9,65
46,University of MinnesotaUnited States of America,61.4,31.7,62.7,81.2,-,64.9
47,University of North Carolina at Chapel HillUnited States of America,57.6,35,55.3,90.2,39.1,64.5
48,Australian National UniversityAustralia,51.8,91.4,65.1,71.2,44.8,64.4
49,Pennsylvania State UniversityUnited States of America,55.3,33.7,65.9,79.4,60,64.2
50,Boston UniversityUnited States of America,56.5,44.2,46.1,95.3,31.1,63.5
50,Tsinghua UniversityChina,66.8,42.6,65.9,59.9,99.9,63.5
52,Brown UniversityUnited States of America,55.4,37.7,52,91.3,33.5,63.2
52,Kyoto UniversityJapan,69.5,27.5,69.5,58.2,78.7,63.2
52,"University of California, DavisUnited States of America",55.5,53.7,56.4,81.2,51.3,63.2
55,LMU MunichGermany,55.4,56.3,54.1,83.3,41.4,63.1
56,Korea Advanced Institute of Science and Technology (KAIST)South Korea,65.6,34.3,60,67,100,62.9
57,Hong Kong University of Science and TechnologyHong Kong,52.4,77,59.7,72.3,58.5,62.5
58,University of ManchesterUnited Kingdom,54.5,80.9,52.2,77.3,40.8,62.3
59,Ohio State UniversityUnited States of America,58.3,48.1,52.9,79.4,47.7,62
60,Pohang University of Science and TechnologySouth Korea,54.2,33.8,49,85.7,100,61.7
61,KU LeuvenBelgium,48.6,58.6,59.9,72.9,99.9,61.3
62,Purdue UniversityUnited States of America,53.7,60.6,62.5,67,-,60.7
63,The University of QueenslandAustralia,43.4,79.7,58,73.3,61,59.9
63,University of GöttingenGermany,45.1,51.5,48.8,89.6,41.2,59.9
