Name,,Publications,publication,Citations,h-index
"121. Chaturvedi, Subhash",,14,2014,28,14
"122. Krishna Podagatlapalli, G.",,14,2015,82,5
"123. Mishra, Ramesh Kumar",,14,2017,11,7
"124. Pallepogu, Raghavaiah",,14,2014,104,7
"125. Rajakumar, Anbazhagan",,14,2016,130,5
"126. Ramesh Babu, K.",,14,2014,125,6
"126. Ramesh Babu, K.",,14,2014,125,6
"127. Srinu, Sesham",,14,2015,58,6
"128. Swain, Debasis",,14,2015,180,8
"129. Valsakumar, M. C.",,14,2015,37,12
"130. Bolla, Geetha",,13,2016,165,8
"131. Dutta Gupta, Subhasish",,13,2016,60,7
"132. Gupta, Subhasish Dutta",,13,2016,119,11
"133. Narayana, Allu China",,13,2017,33,10
"134. Pal, Manojit",,13,2016,77,32
"135. Rajesh, Desapogu",,13,2016,31,4
"136. Sritharan, Manjula",,13,2016,89,10
"137. Suresh, Kuthuru",,13,2017,167,8
"138. Appalakondaiah, S.",,12,2016,151,4
"139. Babu, Phanithi Prakash",,12,2017,87,15
"140. Boda, Aalu",,12,2016,29,4
"141. Cherukuvada, Suryanarayan V B",,12,2014,208,10
"142. Chillarige, Raghavendra Rao",,12,2017,6,3
"143. Kagita, Venkateswara Rao",,12,2017,15,3
"144. Padmasree, Kollipara",,12,2016,59,14
"145. Paik, Pradip",,12,2016,90,9
"146. Perali, Ramu Sridhar",,12,2016,87,9
"147. Rit, Raja K.",,12,2016,502,9
"148. Santhosh, Kotni P.",,12,2015,72,19
"149. Sen, Kakali",,12,2014,88,19
"150. Sindam, Bashaiah",,12,2016,18,3
"151. Singh, Rajender",,12,2016,2,1
"152. Srinivasa Rao, N.",,12,2014,21,4
"153. Sundararaman, Mahadevan",,12,2015,45,12
"154. Tetali, Sarada Devi",,12,2016,52,7
"155. Thirupathi, Gadipelly",,12,2016,26,2
"156. Bansal, Chandrahas",,11,2016,85,12
"157. Baskar, Viswanathan",,11,2016,57,17
"158. Bhargavi, Govindugari",,11,2016,57,6
"159. Chaitanya, R. K.",,11,2016,78,5
"160. Chakravarthi, Vishnubhotla",,11,2017,25,8
"161. Durga Bhavani, S.",,11,2017,12,3
"162. Goud, N. Rajesh",,11,2016,470,9
"163. Kishore, Ravada S Krishna",,11,2015,83,7
"164. Mathew, Shinto Pulinthanathu",,11,2016,38,8
"165. Moothathu, T. K Subrahmonian",,11,2017,16,3
"166. Prasad, M. N V",,11,2016,6,1
"167. Satish, Kumar Ayila",,11,2015,36,5
"168. Sebastian, Abin",,11,2016,69,5
"169. Sekhar, H.",,11,2015,76,6
"170. Shaik, Sabiha",,11,2017,34,4
"171. Singh, Suneel Surachandra",,11,2016,16,4
"172. Sudhakumari, Cheni Chery",,11,2016,109,12
"173. Undi, Ram Babu",,11,2016,70,4
"174. Venkatesh, Miriyal",,11,2016,36,8
"175. Bagchi, Suman",,10,2013,46,9
"176. Basak, Supratim",,10,2015,114,8
"177. Bhattacharyya, Mrinal Kanti",,10,2016,43,7
"178. Bhattacharyya, Sunanda",,10,2016,50,5
"179. Bhukya, Wilson Naik",,10,2014,27,3
"180. Deepak, Kunhappan L N",,10,2012,82,8
"181. Devi, Savita Manjulata",,10,2017,103,10
"182. Gangadhararao, G.",,10,2016,49,5
"183. Ghanashyam Krishna, Mamidipudi",,10,2016,25,12
"184. Guddala, Sriram",,10,2015,25,4
"185. Hasnain, Seyed Ehtesham",,10,2016,38,33
"186. Korla, Kalyani",,10,2016,14,2
"187. Kotikalapudi, Ramesh",,10,2015,78,5
"188. Manavathi, Bramanandam",,10,2016,59,17
