University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
Nicolaus Copernicus University,52.8,42.4,,,10.4,0.196969697,0.0387970615,,0.196969697
Queen's University Belfast,52.7,52.4,,,0.3,0.0056925996,3.2405690439242E-005,,0.0056925996
China Medical University,52.4,55.8,,,-3.4,-0.0648854962,0.0042101276,,0.0648854962
"University of California, Berkeley (UCB)",52.4,46.9,,,5.5,0.1049618321,0.0110169862,,0.1049618321
Utrecht University,52.3,47.1,,,5.2,0.0994263862,0.0098856063,,0.0994263862
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,52.1,49.8,,,2.3,0.0441458733,0.0019488581,,0.0441458733
Fudan University,51.9,61.3,,,-9.4,-0.1811175337,0.032803561,,0.1811175337
Universidad de Palermo (UP),51.8,58.8,,,-7,-0.1351351351,0.0182615047,,0.1351351351
UNESP,51.7,53.8,,,-2.1,-0.0406189555,0.0016498995,,0.0406189555
WestfÃ¤lische Wilhelms-Universitat MÃ¼nster,51.6,54,,,-2.4,-0.0465116279,0.0021633315,,0.0465116279
Southeast University,51.6,40.7,,,10.9,0.2112403101,0.0446224686,,0.2112403101
University of York,51.4,51.5,,,-0.1,-0.0019455253,3.78506866114562E-006,,0.0019455253
University of Reading,51.3,51.5,,,-0.2,-0.0038986355,1.51993585870681E-005,,0.0038986355
Chonnam National University,51.3,50.8,,,0.5,0.0097465887,0.000094996,,0.0097465887
Universidad Anahuac,51.1,55.2,,,-4.1,-0.0802348337,0.0064376285,,0.0802348337
King Khalid University,50.9,62.4,,,-11.5,-0.2259332024,0.0510458119,,0.2259332024
American University,50.9,43.3,,,7.6,0.1493123772,0.022294186,,0.1493123772
University of Gothenburg,50.7,53.4,,,-2.7,-0.0532544379,0.0028360352,,0.0532544379
Georgetown University,50.6,58.7,,,-8.1,-0.1600790514,0.0256253027,,0.1600790514
University of Notre Dame,50.6,50.4,,,0.2,0.0039525692,1.56228030433225E-005,,0.0039525692
The American University in Cairo,50.5,49.2,,,1.3,0.0257425743,0.0006626801,,0.0257425743
SOAS University of London,50.2,52.2,,,-2,-0.0398406375,0.0015872764,,0.0398406375
"Stony Brook University, State University of New York",50.2,50.5,,,-0.3,-0.0059760956,3.57137188298592E-005,,0.0059760956
University of Szeged,50.1,52,,,-1.9,-0.0379241517,0.0014382413,,0.0379241517
National Cheng Kung University (NCKU),50.1,51,,,-0.9,-0.0179640719,0.0003227079,,0.0179640719
BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,50,51.6,,,-1.6,-0.032,0.001024,,0.032
University of Southern Denmark,50,47,,,3,0.06,0.0036,,0.06
Universidade Nova de Lisboa,49.8,48,,,1.8,0.0361445783,0.0013064305,,0.0361445783
Leiden University,49.8,43.6,,,6.2,0.124497992,0.01549975,,0.124497992
Martin-Luther-UniversitÃ¤t Halle-Wittenberg,49.7,64.3,,,-14.6,-0.2937625755,0.0862964507,,0.2937625755
Kanazawa University,49.7,57.3,,,-7.6,-0.152917505,0.0233837633,,0.152917505
University of Denver,49.6,51.2,,,-1.6,-0.0322580645,0.0010405827,,0.0322580645
Universidad Carlos III de Madrid (UC3M),49.5,62,,,-12.5,-0.2525252525,0.0637690032,,0.2525252525
Harbin Institute of Technology,49.3,49.4,,,-0.1,-0.0020283976,4.11439668544215E-006,,0.0020283976
University of the Pacific,49.2,46,,,3.2,0.0650406504,0.0042302862,,0.0650406504
Memorial University of Newfoundland,49.1,50.8,,,-1.7,-0.0346232179,0.0011987672,,0.0346232179
Kumamoto University,49,59,,,-10,-0.2040816327,0.0416493128,,0.2040816327
Universidade Federal Fluminense,48.9,57,,,-8.1,-0.1656441718,0.0274379916,,0.1656441718
UniversitÃ© Catholique de Louvain (UCL),48.9,55.2,,,-6.3,-0.1288343558,0.0165982912,,0.1288343558
Dublin City University,48.9,48.1,,,0.8,0.0163599182,0.0002676469,,0.0163599182
Abo Akademi University,48.9,42.4,,,6.5,0.1329243354,0.0176688789,,0.1329243354
INSEAD,48.8,47.1,,,1.7,0.0348360656,0.0012135515,,0.0348360656
University of Amsterdam,48.7,54.3,,,-5.6,-0.1149897331,0.0132226387,,0.1149897331
The University of Adelaide,48.6,42.2,,,6.4,0.1316872428,0.0173415299,,0.1316872428
The University of Queensland,48.6,41.9,,,6.7,0.1378600823,0.0190054023,,0.1378600823
Shanghai Jiao Tong University,48.5,47.3,,,1.2,0.024742268,0.0006121798,,0.024742268
Koc University,48.1,41.4,,,6.7,0.1392931393,0.0194025787,,0.1392931393
Plekhanov Russian University of Economics,48,54.3,,,-6.3,-0.13125,0.0172265625,,0.13125
Kazakh Ablai khan University of International Relations and World Languages,48,46.5,,,1.5,0.03125,0.0009765625,,0.03125
"The University of Tennessee, Knoxville",47.8,48.2,,,-0.4,-0.0083682008,7.00267852453583E-005,,0.0083682008
Renmin (People's) University of China,47.7,43.9,,,3.8,0.0796645702,0.0063464438,,0.0796645702
University of Southern California,47.7,42.9,,,4.8,0.1006289308,0.0101261817,,0.1006289308
Chiba University,47.3,44.5,,,2.8,0.0591966173,0.0035042395,,0.0591966173
Marquette University,47.2,44.3,,,2.9,0.061440678,0.0037749569,,0.061440678
Durham University,47.1,48.7,,,-1.6,-0.033970276,0.0011539797,,0.033970276
University of Cincinnati,47.1,43.8,,,3.3,0.0700636943,0.0049089213,,0.0700636943
National Central University,47.1,43.1,,,4,0.08492569,0.0072123728,,0.08492569
Pusan National University,46.9,43.3,,,3.6,0.0767590618,0.0058919536,,0.0767590618
Khazar University,46.6,46.5,,,0.1,0.0021459227,0.000004605,,0.0021459227
Beijing Normal University,46.6,42.2,,,4.4,0.0944206009,0.0089152499,,0.0944206009
University of Utah,46.5,45,,,1.5,0.0322580645,0.0010405827,,0.0322580645
University of Bayreuth,46.1,47.8,,,-1.7,-0.0368763557,0.0013598656,,0.0368763557
Drexel University,46.1,47.8,,,-1.7,-0.0368763557,0.0013598656,,0.0368763557
Qatar University,45.9,53.3,,,-7.4,-0.1612200436,0.0259919024,,0.1612200436
Kaunas University of Technology,45.9,49.7,,,-3.8,-0.082788671,0.006853964,,0.082788671
Michigan Technological University,45.9,44.1,,,1.8,0.0392156863,0.00153787,,0.0392156863
Karaganda State University named after academician E.A.Buketov,45.8,54.4,,,-8.6,-0.1877729258,0.0352586717,,0.1877729258
Sabanci University,45.7,53.4,,,-7.7,-0.1684901532,0.0283889317,,0.1684901532
National Taiwan University (NTU),45.7,46.1,,,-0.4,-0.0087527352,7.6610374002269E-005,,0.0087527352
Swansea University,45.5,46.4,,,-0.9,-0.0197802198,0.0003912571,,0.0197802198
Universidad AutÃ³noma de Madrid,45.3,51.3,,,-6,-0.1324503311,0.0175430902,,0.1324503311
"University of Illinois, Chicago (UIC)",45.1,47.5,,,-2.4,-0.0532150776,0.0028318445,,0.0532150776
College of William & Mary,45.1,44.8,,,0.3,0.0066518847,4.42475700709449E-005,,0.0066518847
University College Cork,45.1,43.2,,,1.9,0.0421286031,0.0017748192,,0.0421286031
Nankai University,45,43.2,,,1.8,0.04,0.0016,,0.04
University of Tulsa,44.9,43.5,,,1.4,0.0311804009,0.0009722174,,0.0311804009
University of Manitoba,44.9,43.4,,,1.5,0.0334075724,0.0011160659,,0.0334075724
University of Seoul,44.9,42.5,,,2.4,0.0534521158,0.0028571287,,0.0534521158
National Taiwan Normal University,44.7,53.3,,,-8.6,-0.192393736,0.0370153497,,0.192393736
Charles University in Prague,44.6,48.6,,,-4,-0.0896860987,0.0080435963,,0.0896860987
UniversitÃ¤t Konstanz,44.6,45.2,,,-0.6,-0.0134529148,0.0001809809,,0.0134529148
University of British Columbia,44.1,47,,,-2.9,-0.0657596372,0.0043243299,,0.0657596372
Universiti Putra Malaysia (UPM),43.2,48.1,,,-4.9,-0.1134259259,0.0128654407,,0.1134259259
University of Surrey,41.9,47.1,,,-5.2,-0.1241050119,0.015402054,,0.1241050119
Universidad Nacional AutÃ³noma de MÃ©xico  (UNAM),40.8,49.4,,,-8.6,-0.2107843137,0.0444300269,,0.2107843137
Uppsala University,40.7,47,,,-6.3,-0.1547911548,0.0239603016,,0.1547911548
University of the Philippines,40.1,45.3,,,-5.2,-0.1296758105,0.0168158158,,0.1296758105
Universiti Sains Malaysia (USM),39.9,44.3,,,-4.4,-0.1102756892,0.0121607276,,0.1102756892
The University of Exeter,39.6,44.3,,,-4.7,-0.1186868687,0.0140865728,,0.1186868687
Lancaster University,39.5,45.1,,,-5.6,-0.1417721519,0.0200993431,,0.1417721519
University of Twente,39.2,44.3,,,-5.1,-0.1301020408,0.016926541,,0.1301020408
The Hong Kong Polytechnic University,39,47,,,-8,-0.2051282051,0.0420775805,,0.2051282051
Georgia Institute of Technology,32.4,44.5,,,-12.1,-0.3734567901,0.1394699741,,0.3734567901
Christian-Albrechts-University zu Kiel,23.4,56.8,,,-33.4,-1.4273504274,2.0373292425,,1.4273504274
Universidad de Buenos Aires (UBA),17.9,61.4,,,-43.5,-2.4301675978,5.9057145532,,2.4301675978
Johannes Gutenberg UniversitÃ¤t Mainz,15.5,49.2,,,-33.7,-2.1741935484,4.7271175858,,2.1741935484
Universidade do Estado do Rio de Janeiro (UERJ),0,66.4,,,-66.4,,,,
UniversitÃ© Paul Sabatier Toulouse III,0,61.9,,,-61.9,,,,
"National Technical University  ""Kharkiv Polytechnic Institute""",0,49.4,,,-49.4,,,,
Universidad de Zaragoza,0,47.8,,,-47.8,,,,
Osaka City University,0,46.5,,,-46.5,,,,
Ateneo de Manila University,0,46.1,,,-46.1,,,,
Tianjin University,0,45.4,,,-45.4,,,,
Lobachevsky University,0,44.4,,,-44.4,,,,
Loyola University Chicago,0,44.1,,,-44.1,,,,
Universidade de BrasÃ­lia,0,44,,,-44,,,,
University of Latvia,0,43.6,,,-43.6,,,,
Pontificia Universidad CatÃ³lica del Ecuador (PUCE),0,42.3,,,-42.3,,,,
"University of Missouri, Columbia",0,41.7,,,-41.7,,,,
,,,,,,,,,
,,,,,,,17.0742569529,,34.3195221537
,,,,,,,0.0451699919,,0.0907923867
,,,,,,,0.2125323315,,
