University,Faculty Student-14,Faculty Student-15,FS-14,FS-15,b2-c2,B2/D2,E2^2,,ABS
Instituto TecnolÃ³gico de Buenos Aires (ITBA),91.9,81.1,,,10.8,0.1175190424,0.0138107253,,0.1175190424
The University of Tokyo,91.3,96.3,,,-5,-0.0547645126,0.0029991518,,0.0547645126
University of JyvÃ¤skylÃ¤,91.2,88.7,,,2.5,0.0274122807,0.0007514331,,0.0274122807
Ecole Normale SupÃ©rieure de Cachan,91,91.7,,,-0.7,-0.0076923077,5.91715976331366E-005,,0.0076923077
Universidad de San AndrÃ©s - UdeSA,90.7,81.6,,,9.1,0.1003307607,0.0100662616,,0.1003307607
RUDN University,90.7,67.4,,,23.3,0.256890849,0.0659929083,,0.256890849
King Saud University,90.6,90.2,,,0.4,0.004415011,1.94923224614897E-005,,0.004415011
Eberhard Karls UniversitÃ¤t TÃ¼bingen,90.5,82.4,,,8.1,0.0895027624,0.0080107445,,0.0895027624
King's College London,90.3,89.9,,,0.4,0.0044296788,1.96220546989294E-005,,0.0044296788
Ghent University,90.2,90.3,,,-0.1,-0.0011086475,1.22909916863718E-006,,0.0011086475
McGill University,90.2,80.8,,,9.4,0.1042128603,0.0108603203,,0.1042128603
Peter the Great Saint-Petersburg Polytechnic University,89.5,93.7,,,-4.2,-0.0469273743,0.0022021785,,0.0469273743
The University of Hong Kong,89.1,84.5,,,4.6,0.051627385,0.0026653869,,0.051627385
University of Mississippi,88.8,69.4,,,19.4,0.2184684685,0.0477284717,,0.2184684685
Hiroshima University,88.5,88.1,,,0.4,0.004519774,2.04283571132184E-005,,0.004519774
Tsinghua University,88.5,87.5,,,1,0.011299435,0.0001276772,,0.011299435
V. N. Karazin Kharkiv National University,88.4,81.8,,,6.6,0.0746606335,0.0055742102,,0.0746606335
University of Turku,88,92.5,,,-4.5,-0.0511363636,0.0026149277,,0.0511363636
University of Wisconsin-Madison,88,85.7,,,2.3,0.0261363636,0.0006831095,,0.0261363636
Taras Shevchenko National University of Kyiv,88,80.6,,,7.4,0.0840909091,0.007071281,,0.0840909091
KAIST - Korea Advanced Institute of Science & Technology,87.9,78.5,,,9.4,0.1069397042,0.0114361003,,0.1069397042
Jawaharlal Nehru University,87.8,69.3,,,18.5,0.2107061503,0.0443970818,,0.2107061503
Sungkyunkwan University (SKKU),87.2,86.9,,,0.3,0.003440367,1.18361249053108E-005,,0.003440367
Osaka University,87.1,86.8,,,0.3,0.0034443169,1.18633187502387E-005,,0.0034443169
Northwestern University,86.9,92.3,,,-5.4,-0.0621403913,0.0038614282,,0.0621403913
"National Research University Higher School of Economics (HSE, Moscow)",86.9,90.1,,,-3.2,-0.0368239356,0.0013560022,,0.0368239356
King Fahd University of Petroleum & Minerals,86.9,83.9,,,3,0.0345224396,0.0011917988,,0.0345224396
