# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
348,Iowa State University,38.5,32.2,22.6,28.4,41.7,33.2,69.1
350,James Cook University,38.4,19.8,38.9,37.2,92.4,46.1,60.8
351,University of Coimbra,38.3,51,39.7,27.7,22.6,32.4,28
352,University of Florence,38.1,55.9,19.2,22.9,9.4,18.4,38.7
352,Heriot-Watt University,38.1,20.8,59.9,41.5,94.9,99.6,28.6
352,"Stony Brook University, State University of New York",38.1,24.9,8.8,50.2,22.1,73.7,61.5
355,Universidad Carlos III de Madrid (UC3M),38,45,61.9,49.5,20.4,25.2,7.7
355,Virginia Polytechnic Institute and State University,38,38.2,43.8,37.5,26.2,35,38.5
355,Ewha Womans University,38,35.2,33.4,70,17.3,43.6,17.2
355,Brunel University London,38,24.7,38.8,30.6,95.7,98,41.9
359,Rensselaer Polytechnic Institute,37.7,18,26.7,33.7,11.9,49.6,89.4
360,Deakin University,37.5,37.3,64.3,13.8,96.6,58,27.9
360,The American University in Cairo,37.5,35.2,68.2,50.5,95.9,15.8,4.2
362,Tampere University of Technology,37.4,20.9,27.8,81.7,90.3,35.1,17.7
363,University of Bordeaux,37.3,45.5,29.2,20.2,21.5,30.9,47.2
363,Aalborg University,37.3,35.8,58.2,33.3,72,45.3,22.9
365,Politecnico di Torino,37.1,45.5,63.2,8.1,2.9,53.4,40.3
366,Dublin City University,37,25.4,49.2,48.9,82,63.9,23.7
367,University of the Philippines,36.9,54,62.4,40.1,2.8,2.6,3.4
367,Tilburg University,36.9,38.9,41.5,20.3,85.4,30.9,36.3
367,Université Paris Dauphine,36.9,38.9,85.7,22.9,47.2,82.6,7.9
370,University of Essex,36.8,37.8,24.6,23.3,97.6,98.8,23.5
371,Jagiellonian University,36.6,44.3,52,53.3,6.1,10.2,10.4
371,Università degli Studi di Pavia,36.6,40.3,24.1,16,4.5,15,68.9
371,National Taiwan University of Science and Technology (Taiwan Tech),36.6,30.6,29.6,68.2,23.7,24.9,26.1
371,University of Kansas,36.6,22.9,23.2,74,21.3,25.8,39.2
375,University of Mississippi,36.5,7.9,0,88.8,10.2,22,69.4
376,Universiti Putra Malaysia (UPM),36.4,45.7,36.4,43.2,31.3,44.8,9.8
377,Università Cattolica del Sacro Cuore,36.2,37.7,65.1,27.5,34.6,23,30.7
377,University of Texas Dallas,36.2,21.7,22.5,15.5,14.6,65,90.5
379,University of Tartu,36.1,37.9,30.9,56,24.5,9.4,24.5
379,Washington State University,36.1,36.5,24.2,34.6,69.7,18.9,38.4
379,Oxford Brookes University,36.1,36.3,71,24.6,63,82.9,11
379,Taipei Medical University,36.1,22.5,25,62.3,26.6,18.2,49.3
379,Xi’an Jiaotong University,36.1,33.5,46.2,62.9,13.5,12.8,20.5
384,Sogang University,36,33.3,53.9,59.3,20.3,34.4,13
385,Politécnica de Madrid,35.9,34.8,45.8,62.4,3,54.4,9.6
385,United Arab Emirates University,35.9,32.4,28.1,39.7,100,85.1,14.5
385,University of Tampere,35.9,33,22,60.7,25.4,9.1,32.8
388,Ruhr-Universität Bochum,35.8,38.4,38.9,27.4,40.5,40.9,34.5
388,North Carolina State University,35.8,30.4,39.4,27.4,5.9,30,61.9
390,Stellenbosch University,35.6,43.8,40.4,19.8,26.7,21.8,38
390,American University of Sharjah,35.6,29.5,61.3,29.1,100,100,8.6
390,Aston University,35.6,23.4,56,26.3,92.8,93.6,29.8
393,Tongji University,35.5,39.6,55.5,44.7,23.1,15.8,15.8
394,University of Turin,35.2,45.5,23.8,11,6.7,16.9,56
395,Universität Regensburg,35,22.1,23.6,49.9,44.1,18.6,52.8
396,Christian-Albrechts-University zu Kiel,34.9,26.9,29,23.4,32.7,21.3,68.9
397,Universität Jena,34.8,31.3,23.9,56.3,11,23.1,34.2
397,University of New Mexico,34.8,24.5,25.2,65.6,2.7,6.7,44.2
399,Bilkent University,34.7,38.9,50.7,33.3,61.4,6.4,19.9
399,Bogaziçi Üniversitesi,34.7,36,60.3,0,31.7,0,37.3
399,Moscow State Institute of International Relations (MGIMO University),34.7,0,47.4,97.4,0,48.5,0
399,Northeastern University,34.7,24,38,36.7,10.2,85.4,45.7
401-410,Université Claude Bernard Lyon 1,34.6,45.7,0,0,0,0,39.7
401-410,Middle East Technical University,34.2,45,63.5,0,0,0,0
401-410,Institut National des Sciences Appliquées de Lyon (INSA),34.3,0,70.3,55.7,38.6,93.5,0
401-410,Instituto Tecnológico de Buenos Aires (ITBA),34,0,55.5,91.9,0,0,0
401-410,La Trobe University,34,0,48.4,0,91,90.2,0
401-410,National Central University,34.3,0,0,47.1,0,0,43.4
401-410,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires (UCA),34,0,68.4,61.7,0,0,0
401-410,University of Connecticut,34.3,0,0,0,85.8,0,64.8
401-410,University of Tasmania,34.6,0,0,0,70.8,72.6,37.7
401-410,University of Waikato,34.5,0,59.5,0,96.4,77,0
411-420,National Taiwan Normal University,33.4,41,0,44.7,0,37.9,0
411-420,Karl-Franzens-Universitaet Graz,33.9,41,0,0,59.1,37.4,0
411-420,University of Trento,33.7,37.8,0,0,29.5,0,61.1
411-420,Czech Technical University in Prague,33.2,34.7,66.1,0,0,0,0
411-420,Lincoln University,33.2,0,0,83,0,92,0
411-420,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),33.6,0,0,99.9,0,36.1,0
411-420,University Duesseldorf,33.3,0,0,0,0,36.9,60
411-420,Université Montpellier 2 Sciences et Techniques,33.3,0,0,0,0,38.5,60.4
421-430,University of Delhi,33.1,57.3,77.3,0,0,0,0
421-430,York University,32.9,44.7,44.4,0,43.3,0,0
421-430,UNESP,33.1,38.3,0,51.7,0,0,0
421-430,Leibniz Universität Hannover,33.1,0,44.8,0,0,36.1,66
421-430,Taras Shevchenko National University of Kyiv,33,0,0,88,0,0,0
421-430,Tulane University,33,0,0,71.7,0,0,49.1
421-430,Universidad de San Andrés - UdeSA,33,0,49.8,90.7,0,0,0
421-430,Universidad Politècnica de València,33.1,0,40,53,0,0,0
421-430,Universidade Federal de São Paulo,32.9,0,0,71.5,0,0,38.1
421-430,University of St.Gallen (HSG),32.9,0,94.4,0,100,93.9,0
431-440,National Sun Yat-sen University,32.6,39.5,0,0,0,0,45.1
431-440,Pusan National University,32.7,35.7,0,46.9,0,0,0
431-440,American University,32.2,0,62.6,50.9,0,38.5,0
431-440,"Birkbeck, University of London",32.4,0,0,0,92.3,93.7,0
431-440,Chang Gung University,32.2,0,0,67.7,0,0,64.8
431-440,Illinois Institute of Technology,32.4,0,0,0,0,100,36.3
431-440,The University of Georgia,32.2,0,0,0,0,0,53.7
431-440,University of Delaware,32.3,0,0,0,40.5,36.6,69
431-440,University of Guelph,32.5,0,42.3,0,51.6,0,48.8
431-440,"The University of Tennessee, Knoxville",32.2,0,0,47.8,0,0,63.7
441-450,Université Paul Sabatier Toulouse III,31.9,40.3,0,0,0,0,0
441-450,Xiamen University,32,40.1,0,0,0,0,0
441-450,Abo Akademi University,31.7,0,0,48.9,48.3,48.7,0
441-450,Chung-Ang University (CAU),31.7,0,0,75.5,0,35.7,0
441-450,Colorado State University,31.9,0,43.8,0,27.5,0,56.1
441-450,Khalifa University,31.9,0,0,77,100,74.5,0
441-450,National Technical University of Athens,31.7,0,65.9,0,0,0,42
441-450,Tokyo Metropolitan University,32,0,0,0,0,0,75
441-450,Universität des Saarlandes,32,0,0,0,42.4,54.9,48
441-450,Université de Sherbrooke,31.7,0,0,66.6,0,69.3,0
451-460,Universidad Nacional de La Plata (UNLP),31.2,54.4,0,0,0,0,0
451-460,Universidad de Santiago de Chile (USACH),31.3,49.3,65.2,0,0,0,0
451-460,Universidade Federal de Minas Gerais,31.1,45.3,0,0,0,0,0
451-460,Beihang University (former BUAA),31.3,0,0,67.2,0,0,0
451-460,Florida State University,31.5,0,0,0,0,0,49.3
451-460,Oregon State University,31.3,0,0,0,51.5,35.2,48.4
451-460,University of Crete,31.6,0,0,0,0,0,69.5
451-460,University of Kent,31.6,0,0,0,91.5,79.5,0
451-460,"University of Missouri, Columbia",31.3,0,0,0,49.7,0,37.7
451-460,University of Oklahoma,31.4,0,0,60.6,37.9,0,0
461-470,Bandung Institute of Technology (ITB),31,49.1,66.9,0,0,0,0
461-470,University of Granada,31,45.7,0,0,0,0,0
461-470,Aristotle University of Thessaloniki,31,43.4,42.3,0,0,0,35
461-470,Ateneo de Manila University,31,39.8,58,0,0,0,0
461-470,Concordia University,30.8,0,55.7,0,68.9,86.4,0
461-470,Indian Institute of Technology Roorkee (IITR),31,0,39.3,0,0,0,53.6
461-470,Koc University,31,0,45.9,48.1,57.7,0,0
461-470,Renmin (People's) University of China,31,0,55.9,47.7,0,0,0
461-470,Swansea University,30.8,0,0,45.5,68.3,67.3,0
461-470,Universidad de Belgrano,30.9,0,55.6,56.2,0,81.5,0
471-480,City University of New York,30.6,49.3,0,0,0,0,0
471-480,Universidade Federal do Rio Grande Do Sul,30.7,44.3,0,0,0,0,0
471-480,University of Pretoria,30.3,42.6,52.4,0,0,0,0
471-480,Universidad Católica Andres Bello,30.5,42,61.8,0,0,0,0
471-480,Bangor University,30.5,0,0,0,70.6,72.5,39.2
471-480,Bond University,30.5,0,0,63,84,87.7,0
471-480,RUDN University,30.5,0,0,90.7,0,93.6,0
471-480,Sabanci University,30.5,0,39.9,45.7,42.1,0,0
471-480,University of Siena,30.3,0,0,0,0,0,76.9
471-480,University of Cincinnati,30.5,0,0,47.1,0,0,61.5
481-490,University of Salamanca,29.8,38.6,0,0,0,0,0
481-490,Universidad de Costa Rica,29.8,35.9,50.4,48.1,0,0,0
481-490,Flinders University,29.8,0,0,42.9,0,49.6,0
481-490,Hankuk (Korea) University of Foreign Studies,30,0,44.2,72.4,47.3,0,0
481-490,Harbin Institute of Technology,30,0,0,49.3,0,0,0
481-490,Huazhong University of Science and Technology,29.8,0,41.2,47.5,0,0,0
481-490,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),29.8,0,0,85.5,0,0,0
481-490,National University of Sciences And Technology (NUST) Islamabad,29.8,0,48.9,77,0,0,0
481-490,Peter the Great Saint-Petersburg Polytechnic University,29.9,0,0,89.5,0,0,0
481-490,University of Bayreuth,30.1,0,0,46.1,43.2,0,0
481-490,"Université Lille 1, Sciences et Technologies",30,0,0,0,28.6,67.2,0
481-490,University of Saskatchewan,30.2,0,0,43.2,38.8,49.1,34.8
481-490,University of South Florida,30.2,0,0,0,52.9,0,75.7
481-490,University of Vermont,30,0,0,66.5,0,0,50.7
481-490,V. N. Karazin Kharkiv National University,29.9,0,0,88.4,0,85.6,0
491-500,Belarus State University,29.7,0,0,82,0,0,0
491-500,Chiba University,29.7,0,0,47.3,0,0,40.6
491-500,National and Kapodistrian University of Athens,29.7,0,47.9,0,0,0,57.3
491-500,Philipps-Universität Marburg,29.7,0,0,0,0,0,34.1
491-500,TU Dortmund University,29.7,0,57.5,0,0,0,0
491-500,Tomsk State University,,0,0,66.1,27.6,0,0
501-550,Universidad Nacional de Córdoba - UNC,,53.2,0,0,0,0,0
501-550,Pontificia Universidad Católica del Perú,,48,49.8,0,0,0,0
501-550,University of Lisbon,,43.8,0,0,0,0,0
501-550,Universidad de Sevilla,,43.6,0,0,0,0,0
501-550,Universidad de Antioquia,,42.6,40,0,0,0,0
501-550,Pontifícia Universidade Católica do Rio de Janeiro,,42,43.9,0,0,0,0
501-550,Universitat de Valencia,,40.3,0,0,0,0,0
501-550,Chiang Mai University,,37.3,0,0,0,0,0
501-550,Universität Bielefeld,,36.8,0,0,0,0,0
501-550,Université du Québec,,35.9,45.6,0,0,0,0
501-550,Al-Imam Muhammed Ibn Saud Islamic University,,0,0,76.4,99.3,46.8,0
501-550,Arabian Gulf University,,0,0,69.3,100,100,0
501-550,Auckland University of Technology (AUT),,0,52.6,0,81,85.1,0
501-550,Beijing Institute of Technology,,0,39.5,0,0,0,0
501-550,Carleton University,,0,0,0,32.7,55.8,36.6
501-550,East China Normal University,,0,0,0,0,49.8,0
501-550,"Goldsmiths, University of London",,0,0,0,79,97.9,0
501-550,International Islamic University Malaysia (IIUM),,0,0,0,56.2,74.5,0
501-550,Istanbul Technical University,,0,61.6,0,0,0,0
501-550,Jilin University,,0,0,50,0,0,0
501-550,Kanazawa University,,0,0,49.7,0,0,42.5
501-550,Kansas State University,,0,0,0,0,0,88.7
501-550,Keele University,,0,0,0,56.6,69.4,37.6
501-550,"Kingston University, London",,0,45.9,0,58.2,96.4,0
501-550,Louisiana State University,,0,0,0,0,0,80.4
501-550,National Chung Hsing University,,0,0,0,0,0,51.6
501-550,"National Research University Higher School of Economics (HSE, Moscow)",,0,0,86.9,0,0,0
501-550,Okayama University,,0,0,75.7,0,0,37
501-550,Shanghai University,,0,53.8,0,0,0,0
501-550,Tallinn University of Technology,,0,41.2,59.8,27.5,0,0
501-550,Technische Universität Braunschweig,,0,0,56.7,0,0,0
501-550,The Catholic University of Korea,,0,0,92.7,0,0,0
501-550,Tianjin University,,0,45.8,0,0,0,0
501-550,National Research Tomsk Polytechnic University,,0,0,85.2,0,54.7,0
501-550,Universidad de Zaragoza,,0,0,0,0,0,0
501-550,Universität Duisburg-Essen,,0,0,0,0,53.1,43.4
501-550,Université Montpellier 1,,0,0,0,0,46.3,0
501-550,Université Nice Sophia Antipolis,,0,0,0,0,62.7,35.7
501-550,Université Panthéon-Assas (Paris 2),,0,0,77,0,81.7,0
501-550,University of Alabama,,0,0,0,0,0,59.2
501-550,University of Kentucky,,0,0,0,0,0,65.3
501-550,University of Kwazulu-Natal,,0,0,0,90.7,0,0
501-550,University of Limerick,,0,47.6,0,93.8,0,0
501-550,University of Ljubljana,,0,0,0,0,0,0
501-550,University of Manitoba,,0,0,44.9,0,59.1,39.6
501-550,University of Milano-Bicocca,,0,0,0,0,0,56.4
501-550,University of South Carolina,,0,0,0,29.1,0,37.4
501-550,University of Stirling,,0,0,0,80.9,67.8,0
501-550,Yokohama City University,,0,0,99.8,0,0,0
551-600,Gadjah Mada University,,44.8,42.4,0,0,0,0
551-600,Cairo University,,41.2,68,0,0,0,0
551-600,Universidad Central de Venezuela,,37.2,48,0,0,0,0
551-600,Charles Darwin University,,0,0,0,64.1,80.1,50.4
551-600,Chonbuk National University,,0,0,56.5,0,0,0
551-600,College of William & Mary,,0,0,45.1,0,0,0
551-600,Dongguk University,,0,0,68,0,36.5,0
551-600,Drexel University,,0,0,46.1,32.5,40.2,37.8
551-600,Dublin Institute of Technology,,0,40,0,44.3,79.2,0
551-600,Indian Institute of Technology Guwahati (IITG),,0,0,0,0,0,41.7
551-600,Inha University,,0,0,70,0,0,0
551-600,Instituto Politécnico Nacional (IPN),,0,57.7,42.6,0,0,0
551-600,Johannes Kepler University Linz,,0,0,0,83.4,0,0
551-600,Justus-Liebig-University Giessen,,0,0,0,26.9,0,43
551-600,Kazan (Volga region) Federal University,,0,0,67.5,0,0,0
551-600,Kyungpook National University,,0,0,0,0,0,0
551-600,Masaryk University,,0,0,0,0,57.9,0
551-600,Michigan Technological University,,0,0,45.9,28.5,49.6,0
551-600,Murdoch University,,0,0,0,85.5,53.2,0
551-600,Nagasaki University,,0,0,84.4,0,0,0
551-600,National Taipei University of Technology,,0,0,57.4,0,0,0
551-600,"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",,0,0,72.1,0,0,0
551-600,New Jersey Institute of Technology (NJIT),,0,0,92.1,0,59.1,0
551-600,Pontifícia Universidade Católica de São Paulo,,0,0,64.2,0,0,0
551-600,Qatar University,,0,0,45.9,100,99.8,0
551-600,Shandong University,,0,0,0,0,0,0
551-600,Southeast University,,0,0,51.6,0,0,0
551-600,Swinburne University of Technology,,0,45.3,0,58.8,96.4,0
551-600,Umm Al-Qura University,,0,0,65.9,98.6,0,0
551-600,Universidad Iberoamericana (UIA),,0,63.8,0,0,0,0
551-600,Universidad Panamericana (UP),,0,0,94.2,0,0,0
551-600,Universidade de Brasília,,0,0,0,27.1,0,0
551-600,Universidade de Santiago de Compostela,,0,0,0,0,0,0
551-600,Universidade Federal de São Carlos (UFSCAR),,0,0,54.8,0,0,0
551-600,University of Genoa,,0,0,0,0,0,39.2
551-600,Università degli Studi di Perugia,,0,0,0,0,0,69.5
551-600,University of  Lorraine,,0,0,0,0,51.6,0
551-600,Université de Rennes 1,,0,0,0,0,35,0
551-600,Université Saint-Joseph de Beyrouth,,0,0,92.8,0,0,0
551-600,University of Houston,,0,0,0,0,0,48.9
551-600,University of Hull,,0,0,0,65.1,55.4,0
551-600,University of Mumbai,,0,59.2,0,0,0,58.3
551-600,University of Nebraska-Lincoln,,0,0,0,64.7,0,41.5
551-600,University of Oregon,,0,0,0,56.4,0,33.2
551-600,University of Sharjah,,0,0,0,100,100,0
551-600,University of Szeged,,0,0,50.1,0,34.6,0
551-600,Ulster University,,0,0,0,96.3,48.2,0
551-600,Ural Federal University,,0,0,85,0,0,0
551-600,Vilnius University,,0,0,58.1,0,0,0
551-600,Virginia Commonwealth University,,0,0,52.9,0,0,45.9
601-650,University of Calcutta,,38.8,0,0,0,0,0
601-650,Thammasat University,,34.6,39.7,0,0,0,0
601-650,Universidad de Concepción,,34.3,40.1,0,0,0,0
601-650,Aberystwyth University,,0,0,0,58,70,0
601-650,American University in Dubai,,0,53.8,0,0,100,0
601-650,Eötvös Lorànd University,,0,0,0,0,0,0
601-650,George Mason University,,0,0,56.5,0,0,0
601-650,Hacettepe University,,0,0,0,0,0,0
601-650,Howard University,,0,0,72.2,0,0,0
601-650,Istanbul University,,0,0,0,0,0,0
601-650,Kazakh National Technical University named after K.I.Satpaev,,0,0,75.9,0,0,0
601-650,King Khalid University,,0,0,50.9,100,0,0
601-650,Kumamoto University,,0,0,49,0,0,39.1
601-650,Lehigh University,,0,0,42.5,0,51.9,43.5
601-650,"Lingnan University, Hong Kong",,0,0,0,98.7,42.6,0
601-650,Loyola University Chicago,,0,0,0,0,0,44.5
601-650,Martin-Luther-Universität Halle-Wittenberg,,0,0,49.7,0,0,0
601-650,National Chengchi University,,0,0,0,0,0,0
601-650,National Research Saratov State University,,0,0,100,0,0,0
601-650,Maynooth University,,0,0,0,78.3,0,0
601-650,The New School,,0,0,61.8,0,89.6,0
601-650,Osaka City University,,0,0,0,0,0,39.3
601-650,Pontificia Universidad Católica de Valparaíso,,0,47.7,0,0,0,0
601-650,Rhodes University,,0,0,0,0,78.8,43.2
601-650,"Rutgers - The State University of New Jersey, Newark",,0,0,0,0,0,0
601-650,Sharif University of Technology,,0,0,0,0,0,60.4
601-650,Southern Federal University,,0,0,82.3,0,0,0
601-650,Sultan Qaboos University,,0,0,64.5,100,0,0
601-650,Syracuse University,,0,0,0,0,56,0
601-650,Temple University,,0,0,0,0,0,0
601-650,Tokyo University of Agriculture and Technology,,0,0,0,0,0,40
601-650,Tokyo University of Science,,0,0,0,0,0,42.7
601-650,Universidad Adolfo Ibàñez,,0,74.7,0,26.9,0,0
601-650,Universidad Anahuac,,0,51.6,51.1,0,0,0
601-650,Universidad de Guadalajara (UDG),,0,0,60.5,0,0,0
601-650,Universidad de Palermo (UP),,0,0,51.8,40.7,92.2,0
601-650,Universidad Peruana Cayetano Heredia (UPCH),,0,0,54.4,0,0,0
601-650,Universidad Simón Bolívar (USB),,0,0,0,0,0,0
601-650,Universidad Torcuato Di Tella,,0,52.9,0,28.2,0,0
601-650,Universidade Católica Portuguesa - UCP,,0,45.4,0,0,0,0
601-650,Universidade Federal da Bahia,,0,0,79.8,0,0,0
601-650,University of Modena and Reggio Emilia,,0,0,0,0,0,64.8
601-650,University of Trieste,,0,0,0,0,0,44.6
601-650,University at Albany SUNY,,0,0,0,0,0,58.1
601-650,University of Bradford,,0,0,0,53.7,94.3,0
601-650,University of Debrecen,,0,0,0,0,45.9,0
601-650,University of Johannesburg,,0,0,0,46.9,0,0
601-650,University of New Hampshire,,0,0,57.3,0,0,32.8
601-650,University of Patras,,0,0,0,0,0,49.7
601-650,University of Seoul,,0,0,44.9,0,0,0
601-650,University of Zagreb,,0,0,45.6,0,0,0
651-700,Kasetsart University,,37.4,0,0,0,0,0
651-700,Abu Dhabi University,,0,0,0,100,100,0
651-700,Ajou University,,0,0,66.1,0,0,0
651-700,Bar-Ilan University,,0,0,0,62.6,0,33.4
651-700,Brigham Young University,,0,51.6,0,0,0,0
651-700,Brno University of Technology,,0,56.3,0,0,45.2,0
651-700,Chonnam National University,,0,0,51.3,0,0,0
651-700,Chungnam National University,,0,0,0,0,0,0
651-700,Clark University,,0,0,0,0,77.1,0
651-700,Clarkson University,,0,0,0,39.7,0,45.6
651-700,De La Salle University,,0,51.5,0,0,0,0
651-700,Gifu University,,0,0,77.6,0,0,0
651-700,Gunma University,,0,0,61.3,0,0,36.6
651-700,Hallym University,,0,0,76.5,0,0,0
651-700,Instituto Tecnológico Autónomo de México (ITAM),,0,59.9,0,0,0,0
651-700,Jordan University of Science & Technology,,0,44,0,0,81.1,0
651-700,Kazakh National Pedagogical University named after Abay,,0,0,68.2,0,0,0
651-700,Kazakh-British Technical University,,0,0,43.7,72.2,0,0
651-700,Lebanese American University,,0,51.8,0,29,76.7,0
651-700,Auezov South Kazakhstan State University (SKSU),,0,0,64.5,0,0,0
651-700,Memorial University of Newfoundland,,0,0,49.1,0,0,0
651-700,Middlesex University,,0,0,0,83.9,99.6,0
651-700,Missouri University of Science and Technology,,0,0,0,73.1,50,36.7
651-700,Niigata University,,0,0,63.6,0,0,0
651-700,Osaka Prefecture University,,0,0,59.2,0,0,0
651-700,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),,0,0,52.9,0,0,0
651-700,Qafqaz University,,0,0,0,60,37.6,0
651-700,Sofia University St. Kliment Ohridski,,0,0,56.7,0,0,0
651-700,Southern Methodist University,,0,0,54.4,0,0,0
651-700,Sumy State University,,0,0,67.8,0,51.5,0
651-700,Universidad de Alcalá,,0,0,0,0,44.3,0
651-700,Universidad de Montevideo (UM),,0,43.7,0,58.1,0,0
651-700,Universidad Diego Portales (UDP),,0,44.5,0,61.1,0,0
651-700,Universidade Federal de Santa Catarina,,0,0,0,0,0,0
651-700,Universidade Federal do Paraná - UFPR,,0,0,50.8,0,0,0
651-700,Université de Nantes,,0,0,0,0,34.2,0
651-700,Université Lumière Lyon 2,,0,0,0,27.9,44.8,0
651-700,Universiti Teknologi MARA - UiTM,,0,0,0,0,0,0
651-700,University of Brescia,,0,0,0,0,0,57.6
651-700,University of Bucharest,,0,54,0,0,0,0
651-700,University of Canberra,,0,0,0,59.5,74.5,0
651-700,University of Denver,,0,0,49.6,0,0,0
651-700,University of Jordan,,0,45.6,0,0,45.6,0
651-700,University of Tehran,,0,0,0,0,0,0
651-700,University of Ulsan,,0,0,57.5,0,0,37.6
651-700,Western Sydney University,,0,0,0,0,0,0
651-700,Warsaw University of Technology,,0,59.3,0,0,0,0
651-700,Worcester Polytechnic Institute,,0,0,0,0,74,0
651-700,Yokohama National University,,0,0,0,0,0,0
701+,Universidad Nacional de Rosario (UNR),,35.7,0,0,0,0,0
701+,Ain Shams University,,0,52.5,0,0,0,0
701+,Airlangga University,,0,0,0,0,0,0
701+,Al Azhar University,,0,0,0,0,40.3,0
701+,Alexandria University,,0,44.2,0,0,0,0
701+,Alexandru Ioan Cuza University,,0,0,0,0,0,0
701+,Alpen-Adria-Universitaet Klagenfurt,,0,0,0,80.9,54.4,0
701+,Ankara Üniversitesi,,0,0,0,0,0,0
701+,Aoyama Gakuin University,,0,0,0,0,0,0
701+,Athens University of Economics and Business,,0,56.5,0,0,0,0
701+,Auburn University,,0,0,0,0,0,0
701+,Babes-Bolyai University,,0,0,0,0,0,0
701+,Baku State University,,0,0,0,0,0,0
701+,Banaras Hindu University,,0,0,0,0,0,0
701+,Baylor University,,0,0,0,0,0,36.9
701+,BELARUSSIAN NATIONAL TECHNICAL UNIVERSITY,,0,0,50,0,0,0
701+,Benemérita Universidad Autónoma de Puebla,,0,0,0,0,0,0
701+,Binghamton University SUNY,,0,0,0,0,47.4,0
701+,Bogor Agricultural University,,0,0,0,0,0,0
701+,Charles Sturt University,,0,0,0,54.4,53.6,0
701+,Clemson University,,0,0,0,0,0,36
701+,Corvinus University of Budapest,,0,60.7,0,0,0,0
701+,Coventry University,,0,0,0,40,97,0
701+,Cukurova University,,0,0,0,0,0,0
701+,Diponegoro University,,0,0,0,0,0,0
701+,Vasyl` Stus Donetsk National University,,0,0,50.1,0,0,0
701+,Doshisha University,,0,0,0,0,0,0
701+,Karaganda State University named after academician E.A.Buketov,,0,0,45.8,0,0,0
701+,East China University of Science and Technology,,0,0,0,0,0,38.8
701+,Edith Cowan University,,0,0,0,0,91.6,0
701+,Far Eastern Federal University,,0,0,67.3,0,0,0
701+,Fordham University,,0,0,0,0,0,0
701+,Fu Jen Catholic University,,0,0,0,0,0,0
701+,Georgia State University,,0,0,0,0,0,0
701+,Kagoshima University,,0,0,60.4,0,0,0
701+,Kaunas University of Technology,,0,0,45.9,0,0,0
701+,Kazakh Ablai khan University of International Relations and World Languages,,0,0,48,0,0,0
701+,Khazar University,,0,0,46.6,53,0,0
701+,Khon Kaen University,,0,0,0,0,0,0
701+,King Faisal University,,0,0,0,100,0,0
701+,King Mongkut's University of Technology Thonburi,,0,0,0,0,0,0
701+,Kuwait University,,0,0,0,57.4,35.9,0
701+,Lahore University of Management Sciences (LUMS),,0,56.4,0,0,0,0
701+,Lobachevsky University,,0,0,0,0,0,0
701+,University of Lodz,,0,0,0,0,0,0
701+,London Metropolitan University,,0,0,0,74.7,98.8,0
701+,Makerere University,,0,0,0,0,0,0
701+,Manchester Metropolitan University,,0,0,0,35.6,46.2,0
701+,Marquette University,,0,0,47.2,0,0,0
701+,Miami University,,0,0,0,0,0,0
701+,"National Technical University  ""Kharkiv Polytechnic Institute""",,0,0,0,0,0,0
701+,The National University of Science and Technology MISIS,,0,0,64.1,0,40.4,0
701+,Nicolaus Copernicus University,,0,0,52.8,0,0,0
701+,Northumbria University at Newcastle,,0,43.1,0,38.2,52.5,0
701+,Nottingham Trent University,,0,0,0,36.6,58.8,0
701+,Ochanomizu University,,0,0,0,0,0,0
701+,Ohio University,,0,0,0,0,0,0
701+,Oklahoma State University,,0,0,0,46.9,0,0
701+,Paris Lodron University of Salzburg,,0,0,0,0,91.1,0
701+,Plekhanov Russian University of Economics,,0,0,48,0,0,0
701+,Pontificia Universidad Católica del Ecuador (PUCE),,0,0,0,0,0,0
701+,Prince of Songkla University,,0,0,0,0,0,0
701+,Ritsumeikan University,,0,0,0,39.8,0,0
701+,Ryerson MBA,,0,0,0,0,0,0
701+,JSC  “ S.Seifullin Kazakh Agro Technical University”,,0,0,45.5,0,60,0
701+,Saitama University,,0,0,0,0,0,41.9
701+,Institute of Technology Sepuluh Nopember,,0,0,0,0,0,0
701+,Shinshu University,,0,0,0,0,0,39.6
701+,Smith College,,0,0,53.6,0,36.2,0
701+,Stevens Institute of Technology,,0,0,0,0,82.8,0
701+,Robert Gordon University,,0,0,0,43.5,74.7,0
701+,Tokai University,,0,0,0,0,0,0
701+,Universidad Austral de Chile,,0,0,0,0,0,0
701+,Universidad Autónoma de Nuevo León,,0,0,0,0,0,0
701+,Universidad Autónoma del Estado de México (UAEMex),,0,0,0,0,0,0
701+,Universidad Autónoma Metropolitana (UAM),,0,0,0,0,0,0
701+,Universidad de la Habana,,0,0,0,0,0,0
701+,Universidad de la República (UdelaR),,0,0,0,0,0,0
701+,Universidad de La Sabana,,0,58.6,0,0,0,0
701+,Universidad de las Américas Puebla (UDLAP),,0,0,0,57.3,0,0
701+,Universidad de los Andes - (ULA) Mérida,,0,0,0,0,0,0
701+,University of Murcia,,0,0,0,0,0,0
