# RANK     2014,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
83,Université de Montréal,73.6,83.1,72.1,33.2,87.3,82.3,89.2
84,University of Alberta,73.3,81.6,71.2,61.7,90.1,76.1,63.7
85,University of Geneva,73.1,68.1,32.7,62.5,100,99,99.7
86,Delft University of Technology,72.9,82.2,88.9,34.1,91.6,71.6,80
86,Pohang University of Science And Technology (POSTECH),72.9,59.4,67.7,99.4,53.8,12.9,94.9
88,University of St Andrews,72.7,69,68.4,75.7,95.8,99.9,66
89,The University of Western Australia,72.6,79.4,72.2,37.9,100,67.6,87.7
90,University of Groningen,72.1,68.6,61.3,73.3,89.5,93.1,73.1
90,Erasmus University Rotterdam,72.1,58.8,88.5,66.5,78.9,61.6,96
92,The University of Auckland,72,91.6,93.6,28.7,87.4,87.2,56.8
92,Durham University,72,77.4,99.2,47.1,89.9,80.6,65.2
94,University of Southampton,71.9,73.8,56.3,69.8,86.2,91.2,68.8
95,"University of California, Davis",71.7,82.2,62.1,37.2,63.3,41.6,98.7
96,Aarhus University,71.6,79,67.7,53.3,65,45.7,84.2
97,University of Leeds,71.3,81.1,92.4,56.2,77.5,70.4,54.2
98,Queen Mary University of London,71.2,64.6,59.7,76.6,94.4,98.8,71.2
99,Washington University in St. Louis,70.8,60.7,36.4,99.9,4,53.7,99.2
100,The University of Adelaide,70.5,76.8,85.7,48.6,90.1,97.5,59.8
101,University of Oslo,70.1,71.3,41.7,74.8,54.3,42.5,87
102,Purdue University,69.5,78.4,78.2,37,94,76.2,71.1
103,Nagoya University,69.4,78.1,65.4,94.2,21,26.7,51.4
104,Shanghai Jiao Tong University,69.1,87.6,95,48.5,42.5,12.6,59.6
105,University of Lausanne,68.9,57.3,56.5,59,93.4,78.6,98.7
106,Yonsei University,68.4,81.6,88.9,84.3,13.9,35.9,36.9
107,Georgia Institute of Technology,68.3,77.4,79.8,32.4,17.3,84.5,88.1
108,City University of Hong Kong,68.2,67.5,56.6,75.4,100,89.5,54.3
109,The Ohio State University,68.1,77.1,50.6,61.2,81.4,57.2,64.2
110,KTH Royal Institute of Technology,67.9,63.8,89,74.5,80.6,58.2,57.6
111,University of Pittsburgh,67.7,55.1,31.3,97.6,55.2,53.8,86.8
112,Pennsylvania State University,67.5,83.1,72.8,34.9,13.4,42.8,85.2
113,McMaster University,67.4,65.8,64.3,61.9,88.4,51.9,75.4
114,Lomonosov Moscow State University,66.9,86.1,76.2,99.9,10.9,52.1,7.8
115,Université Pierre et Marie Curie (UPMC),66.2,73,47.9,41.4,37.5,57,95.2
116,Korea University,66,77.1,86,83.7,23.5,37.2,33.1
116,University of Basel,66,55.8,49.2,48.4,100,79.2,99.7
118,Maastricht University,65.8,42,65.1,75.3,95.9,99.9,87.5
119,University of Minnesota,65.7,82.2,48.9,28.7,6.7,35.8,99.8
120,University of York,65.1,71.3,62.8,51.4,77.8,83.3,59.2
121,Albert-Ludwigs-Universitaet Freiburg,64.8,77.1,40.1,73.6,48.4,48,51.3
122,"University of Maryland, College Park",64.7,70.2,34.5,67.3,30,34.6,81.6
123,Cardiff University,64.5,63.8,64.1,65.6,73.2,73.3,59.9
123,University of Liverpool,64.5,58.9,65.6,67.1,76.3,91.9,62.2
123,Technical University of Denmark,64.5,46.2,54.7,95.8,96.2,73.9,63.5
126,Kyushu University,64.4,73.3,71.6,98.4,17.8,24.3,29.9
127,"KIT, Karlsruhe Institute of Technology",64.3,62.5,95.7,95.4,53.9,49.3,26.7
127,Newcastle University,64.3,53,74.9,68.4,77.3,91.2,67
129,Ghent University,64.2,67.7,58.9,90.2,55.3,26.6,44.7
129,Rice University,64.2,49,17.4,77.4,79.4,84.3,95.2
131,University of Southern California,64,66.2,70.2,47.7,14.1,72.5,82.2
132,Universidade de São Paulo,63.9,94,89.1,36.6,11.1,5.5,45.3
132,"University of California, Santa Barbara (UCSB)",63.9,83.3,27.7,13.9,64.3,34,100
134,Humboldt-Universität zu Berlin,63.7,96.8,70,27.8,52.1,41.5,37.8
135,Hokkaido University,63.4,71.5,71.8,86.7,12.8,18.6,43
136,Dartmouth College,63.3,41.6,66,86.3,6.6,53.4,98.5
137,University of Aberdeen,62.9,56.3,63,57.1,91.9,92.4,66.6
138,The Hebrew University of Jerusalem,62.7,68.6,31.1,81.1,43.6,10,65.6
139,University College Dublin,62.6,61.5,75.4,50.9,90.5,95.9,54.2
