University,Overall,Overall-16
University of NottinghamUnited Kingdom,47.8,54.1
"University of California, Santa CruzUnited States of America",53.7,53.9
University of LausanneSwitzerland,51.4,53.9
University of VirginiaUnited States of America,52.1,53.3
Korea Advanced Institute of Science and Technology (KAIST)South Korea,64.5,53
Aarhus UniversityDenmark,49.9,52.9
University of AdelaideAustralia,48.2,52.9
University of East AngliaUnited Kingdom,45.9,52.9
Sungkyunkwan University (SKKU)South Korea,50.2,52.8
VU University AmsterdamNetherlands,51.4,52.5
KTH Royal Institute of TechnologySweden,52.5,52.4
University of LiverpoolUnited Kingdom,49.1,52.2
University of RochesterUnited States of America,52.7,52.1
TU Dresden Germany,51.6,52.1
Trinity College DublinRepublic of Ireland,51.2,52
University of MiamiUnited States of America,48,51.9
Lomonosov Moscow State UniversityRussian Federation,46,51.9
University of ArizonaUnited States of America,56.5,51.7
Pompeu Fabra UniversitySpain,48.1,51.2
Yeshiva UniversityUnited States of America,46.7,51.2
Technical University of DenmarkDenmark,52.7,51.1
"University of California, RiversideUnited States of America",50.1,51.1
National Taiwan UniversityTaiwan,49.3,51.1
Université Catholique de LouvainBelgium,47.8,51.1
University of LeicesterUnited Kingdom,45.7,51.1
University of AucklandNew Zealand,47.5,51
University of AberdeenUnited Kingdom,47.1,51
Eindhoven University of TechnologyNetherlands,50.5,50.6
University of UtahUnited States of America,48.6,50.1
Brandeis UniversityUnited States of America,50.3,49.9
Paris-Sud UniversityFrance,52.8,49.8
Arizona State UniversityUnited States of America,46.9,49.7
Boston CollegeUnited States of America,52.5,49.6
University of AntwerpBelgium,47.9,49.6
Texas A&M UniversityUnited States of America,50.9,49.4
"St George’s, University of LondonUnited Kingdom",46,49.2
Paris Diderot University – Paris 7France,47,48.9
