University,Award-16,Award-17,,,,,,,
Harvard University,100,100,,,0,0,0,,0
Princeton University,98,97.9,,,0.1,0.0010204082,1.04123281965836E-006,,0.0010204082
University of Cambridge,96.6,95.4,,,1.2,0.0124223602,0.000154315,,0.0124223602
Stanford University,89.6,88.5,,,1.1,0.0122767857,0.0001507195,,0.0122767857
University of Chicago,86.3,85.1,,,1.2,0.0139049826,0.0001933485,,0.0139049826
Massachusetts Institute of Technology (MIT),80.7,82.3,,,-1.6,-0.019826518,0.0003930908,,0.019826518
"University of California, Berkeley",79.4,78.4,,,1,0.0125944584,0.0001586204,,0.0125944584
California Institute of Technology,66.7,65.8,,,0.9,0.0134932534,0.0001820679,,0.0134932534
Columbia University,65.9,65.1,,,0.8,0.0121396055,0.00014737,,0.0121396055
Rockefeller University,59.8,59,,,0.8,0.0133779264,0.0001789689,,0.0133779264
University of Oxford,54.9,54.2,,,0.7,0.0127504554,0.0001625741,,0.0127504554
University of Paris-Sud (Paris 11),54.3,53.6,,,0.7,0.0128913444,0.0001661868,,0.0128913444
Yale University,50.4,49.7,,,0.7,0.0138888889,0.0001929012,,0.0138888889
Cornell University,49.8,49.1,,,0.7,0.0140562249,0.0001975775,,0.0140562249
"University of California, Los Angeles",47.1,46.4,,,0.7,0.0148619958,0.0002208789,,0.0148619958
"University of California, San Francisco",39.9,39.4,,,0.5,0.0125313283,0.0001570342,,0.0125313283
"University of California, Santa Barbara",39.1,38.6,,,0.5,0.0127877238,0.0001635259,,0.0127877238
University of Washington,31.6,37.4,,,-5.8,-0.1835443038,0.0336885115,,0.1835443038
Technion-Israel Institute of Technology,37.6,37.2,,,0.4,0.0106382979,0.0001131734,,0.0106382979
Kyoto University,37.2,36.7,,,0.5,0.0134408602,0.0001806567,,0.0134408602
University College London,36.2,35.8,,,0.4,0.0110497238,0.0001220964,,0.0110497238
University of Illinois at Urbana-Champaign,36.2,35.8,,,0.4,0.0110497238,0.0001220964,,0.0110497238
"University of California, San Diego",35.5,35.1,,,0.4,0.0112676056,0.0001269589,,0.0112676056
Swiss Federal Institute of Technology Zurich,35.5,35.1,,,0.4,0.0112676056,0.0001269589,,0.0112676056
University of Wisconsin - Madison,34.8,34.3,,,0.5,0.0143678161,0.0002064341,,0.0143678161
The University of Texas Southwestern Medical Center at Dallas,34.5,34,,,0.5,0.0144927536,0.0002100399,,0.0144927536
University of Colorado at Boulder,34.1,33.6,,,0.5,0.0146627566,0.0002149964,,0.0146627566
University of Pennsylvania,33.8,33.4,,,0.4,0.0118343195,0.0001400511,,0.0118343195
Johns Hopkins University,33.6,33.2,,,0.4,0.0119047619,0.0001417234,,0.0119047619
University of Strasbourg,28.8,33.1,,,-4.3,-0.1493055556,0.0222921489,,0.1493055556
Moscow State University,33,32.6,,,0.4,0.0121212121,0.0001469238,,0.0121212121
The University of Manchester,32.6,32.2,,,0.4,0.0122699387,0.0001505514,,0.0122699387
University of Oslo,32.6,32.2,,,0.4,0.0122699387,0.0001505514,,0.0122699387
New York University,31.9,31.5,,,0.4,0.012539185,0.0001572312,,0.012539185
George Mason University,31.9,31.5,,,0.4,0.012539185,0.0001572312,,0.012539185
University of Southern California,31.7,31.3,,,0.4,0.0126182965,0.0001592214,,0.0126182965
Carnegie Mellon University,31.6,31.2,,,0.4,0.0126582278,0.0001602307,,0.0126582278
University of Warwick,29.8,29.4,,,0.4,0.0134228188,0.0001801721,,0.0134228188
"University of California, Irvine",29.3,28.9,,,0.4,0.0136518771,0.0001863737,,0.0136518771
Vanderbilt University,29,28.6,,,0.4,0.0137931034,0.0001902497,,0.0137931034
University of Geneva,28.2,27.9,,,0.3,0.0106382979,0.0001131734,,0.0106382979
The Hebrew University of Jerusalem,28.2,27.9,,,0.3,0.0106382979,0.0001131734,,0.0106382979
Ecole Normale Superieure - Paris,28,27.6,,,0.4,0.0142857143,0.0002040816,,0.0142857143
Northwestern University,22.1,27.6,,,-5.5,-0.2488687783,0.0619356688,,0.2488687783
Pierre and Marie  Curie University - Paris 6,27.4,27.1,,,0.3,0.0109489051,0.0001198785,,0.0109489051
Uppsala University,27.4,27.1,,,0.3,0.0109489051,0.0001198785,,0.0109489051
Stockholm University,27.4,27.1,,,0.3,0.0109489051,0.0001198785,,0.0109489051
Karolinska Institute,26.6,26.3,,,0.3,0.0112781955,0.0001271977,,0.0112781955
Universit̩ libre de Bruxelles (ULB),26.6,26.3,,,0.3,0.0112781955,0.0001271977,,0.0112781955
Paris Dauphine University (Paris 9),26.6,26.3,,,0.3,0.0112781955,0.0001271977,,0.0112781955
University of Groningen,18.8,25.2,,,-6.4,-0.3404255319,0.1158895428,,0.3404255319
The University of Tokyo,25.3,25,,,0.3,0.0118577075,0.0001406052,,0.0118577075
Heidelberg University,25.3,25,,,0.3,0.0118577075,0.0001406052,,0.0118577075
Nagoya University,25.3,25,,,0.3,0.0118577075,0.0001406052,,0.0118577075
Washington University in St. Louis,24.9,24.6,,,0.3,0.0120481928,0.0001451589,,0.0120481928
The University of Edinburgh,24.9,24.6,,,0.3,0.0120481928,0.0001451589,,0.0120481928
MINES ParisTech,24.9,24.6,,,0.3,0.0120481928,0.0001451589,,0.0120481928
University of Zurich,24,23.7,,,0.3,0.0125,0.00015625,,0.0125
University of Buenos Aires,24,23.7,,,0.3,0.0125,0.00015625,,0.0125
University of North Carolina at Chapel Hill,23.7,23.4,,,0.3,0.0126582278,0.0001602307,,0.0126582278
Purdue University - West Lafayette,23.1,22.8,,,0.3,0.012987013,0.0001686625,,0.012987013
University of Pisa,23.1,22.8,,,0.3,0.012987013,0.0001686625,,0.012987013
University of Sussex,22.4,22.1,,,0.3,0.0133928571,0.0001793686,,0.0133928571
Aarhus University,22.1,21.8,,,0.3,0.0135746606,0.0001842714,,0.0135746606
Rice University,21.7,21.4,,,0.3,0.0138248848,0.0001911274,,0.0138248848
Technical University Munich,21.6,21.3,,,0.3,0.0138888889,0.0001929012,,0.0138888889
Indiana University Bloomington,21.6,21.3,,,0.3,0.0138888889,0.0001929012,,0.0138888889
King's College London,21,20.8,,,0.2,0.0095238095,9.07029478458043E-005,,0.0095238095
Norwegian University of Science and Technology - NTNU,21,20.8,,,0.2,0.0095238095,9.07029478458043E-005,,0.0095238095
Queen's University,21,20.8,,,0.2,0.0095238095,9.07029478458043E-005,,0.0095238095
University of Helsinki,16.3,20.8,,,-4.5,-0.2760736196,0.0762166435,,0.2760736196
"University of Maryland, College Park",20,19.7,,,0.3,0.015,0.000225,,0.015
Utrecht University,20,19.7,,,0.3,0.015,0.000225,,0.015
Arizona State University,20,19.7,,,0.3,0.015,0.000225,,0.015
University of Nottingham,20,19.7,,,0.3,0.015,0.000225,,0.015
University of Massachusetts Medical School - Worcester,20,19.7,,,0.3,0.015,0.000225,,0.015
Ecole Normale Superieure - Lyon,20,19.7,,,0.3,0.015,0.000225,,0.015
Brown University,13.3,19.7,,,-6.4,-0.4812030075,0.2315563344,,0.4812030075
University of Bonn,19.8,19.5,,,0.3,0.0151515152,0.0002295684,,0.0151515152
University of Tsukuba,19.6,19.3,,,0.3,0.0153061224,0.0002342774,,0.0153061224
Duke University,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
The Australian National University,19.2,19,,,0.2,0.0104166667,0.0001085069,,0.0104166667
University of Munich,19.1,18.9,,,0.2,0.0104712042,0.0001096461,,0.0104712042
University of Copenhagen,18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
University of British Columbia,18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
McMaster University,18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
"Rutgers, The State University of New Jersey - New Brunswick",18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
University of Freiburg,18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
ESPCI ParisTech,18.8,18.6,,,0.2,0.0106382979,0.0001131734,,0.0106382979
University of Toronto,17.2,17,,,0.2,0.011627907,0.0001352082,,0.011627907
"University of Minnesota, Twin Cities",16.3,16.1,,,0.2,0.0122699387,0.0001505514,,0.0122699387
