University,PUB-16,PUB-17,,,,,,
Newcastle University,38.5,40.6,,,-2.1,-0.0545454545,0.0029752066,0.0545454545
University of Bordeaux,39.2,40.4,,,-1.2,-0.0306122449,0.0009371095,0.0306122449
University of Granada,40.7,40.3,,,0.4,0.0098280098,9.65897771794605E-005,0.0098280098
Indiana University Bloomington,40.1,40.3,,,-0.2,-0.0049875312,2.48754671923671E-005,0.0049875312
Korea Advanced Institute of Science and Technology,39.8,40.2,,,-0.4,-0.0100502513,0.0001010076,0.0100502513
University of Basel,39.5,40.1,,,-0.6,-0.0151898734,0.0002307323,0.0151898734
Federal University of Rio Grande do Sul,38.7,40.1,,,-1.4,-0.0361757106,0.001308682,0.0361757106
Lanzhou University,39.5,40,,,-0.5,-0.0126582278,0.0001602307,0.0126582278
Iowa State University,39.4,40,,,-0.6,-0.0152284264,0.000231905,0.0152284264
KTH Royal Institute of Technology,39.2,40,,,-0.8,-0.0204081633,0.0004164931,0.0204081633
Griffith University,38.7,39.9,,,-1.2,-0.0310077519,0.0009614807,0.0310077519
University of Geneva,38.2,39.9,,,-1.7,-0.0445026178,0.001980483,0.0445026178
University of Cape Town,38.1,39.9,,,-1.8,-0.0472440945,0.0022320045,0.0472440945
Norwegian University of Science and Technology - NTNU,37.7,39.9,,,-2.2,-0.0583554377,0.0034053571,0.0583554377
University of South Florida,40.8,39.8,,,1,0.0245098039,0.0006007305,0.0245098039
University of Florence,39.3,39.7,,,-0.4,-0.010178117,0.0001035941,0.010178117
Case Western Reserve University,39.6,39.5,,,0.1,0.0025252525,6.37690031629444E-006,0.0025252525
Indiana University-Purdue University at Indianapolis,39.6,39.5,,,0.1,0.0025252525,6.37690031629444E-006,0.0025252525
"University at Buffalo, the State University of New York",38.9,39.5,,,-0.6,-0.0154241645,0.0002379049,0.0154241645
University of Southern Denmark,38.3,39.5,,,-1.2,-0.0313315927,0.0009816687,0.0313315927
Icahn School of Medicine at Mount Sinai,37.2,39.5,,,-2.3,-0.061827957,0.0038226963,0.061827957
Indian Institute of Science,37.9,39.4,37.9,39.4,-1.5,-0.0395778364,0.0015664051,0.0395778364
University of Bonn,40.3,39.1,,,1.2,0.0297766749,0.0008866504,0.0297766749
University of Rochester,38.9,39.1,,,-0.2,-0.0051413882,2.6433872364048E-005,0.0051413882
University of Cincinnati,38.8,39.1,,,-0.3,-0.0077319588,5.97831863109806E-005,0.0077319588
Florida State University,38,39.1,,,-1.1,-0.0289473684,0.0008379501,0.0289473684
Autonomous University of Madrid,38.4,39,,,-0.6,-0.015625,0.0002441406,0.015625
University of Missouri - Columbia,37.6,39,,,-1.4,-0.0372340426,0.0013863739,0.0372340426
University of Electronic Science and Technology of China,36.2,38.9,,,-2.7,-0.0745856354,0.005563017,0.0745856354
Kyung Hee University,39.5,38.8,,,0.7,0.017721519,0.0003140522,0.017721519
City University of Hong Kong,39.1,38.8,,,0.3,0.0076726343,5.8869316658056E-005,0.0076726343
Deakin University,38.5,38.8,,,-0.3,-0.0077922078,6.07185022769427E-005,0.0077922078
Laval University,38.1,38.8,,,-0.7,-0.0183727034,0.0003375562,0.0183727034
University of Freiburg,37.1,38.8,,,-1.7,-0.0458221024,0.0020996651,0.0458221024
University of Houston,37.3,38.6,,,-1.3,-0.0348525469,0.0012147,0.0348525469
University of Goettingen,38.4,38.5,,,-0.1,-0.0026041667,6.78168402777797E-006,0.0026041667
The Hebrew University of Jerusalem,38.3,38.5,,,-0.2,-0.0052219321,2.72685750124421E-005,0.0052219321
University of Pisa,36.7,38.5,,,-1.8,-0.0490463215,0.0024055417,0.0490463215
Karlsruhe Institute of Technology (KIT),38.9,38.4,,,0.5,0.0128534704,0.0001652117,0.0128534704
Queensland University of Technology,37,38.4,,,-1.4,-0.0378378378,0.001431702,0.0378378378
"University of California, Santa Barbara",37.7,38.3,,,-0.6,-0.0159151194,0.000253291,0.0159151194
University of Montpellier,37.6,38.3,,,-0.7,-0.0186170213,0.0003465935,0.0186170213
Tokyo Institute of Technology,37.4,38.3,,,-0.9,-0.0240641711,0.0005790843,0.0240641711
Nankai University,37.9,38.1,,,-0.2,-0.0052770449,2.78472024004296E-005,0.0052770449
University of Bergen,37.3,38.1,,,-0.8,-0.0214477212,0.0004600047,0.0214477212
University of Vienna,36.5,38.1,,,-1.6,-0.0438356164,0.0019215613,0.0438356164
Nanjing Medical University,35.3,38.1,,,-2.8,-0.0793201133,0.0062916804,0.0793201133
Queen Mary University of London,34.8,38.1,,,-3.3,-0.0948275862,0.0089922711,0.0948275862
University of Antwerp,37.1,38,,,-0.9,-0.0242587601,0.0005884874,0.0242587601
Stony Brook University,38.1,37.7,,,0.4,0.0104986877,0.0001102224,0.0104986877
Hunan University,35.1,37.6,,,-2.5,-0.0712250712,0.0050730108,0.0712250712
University of Frankfurt,36.9,37.5,,,-0.6,-0.0162601626,0.0002643929,0.0162601626
University of Massachusetts Amherst,36.2,37.5,,,-1.3,-0.0359116022,0.0012896432,0.0359116022
University of Hamburg,37.4,37.4,,,0,0,0,0
Paul Sabatier University (Toulouse 3),36.8,37.4,,,-0.6,-0.0163043478,0.0002658318,0.0163043478
University of Strasbourg,35.2,37.4,,,-2.2,-0.0625,0.00390625,0.0625
Federal University of Minas Gerais,38,37.3,,,0.7,0.0184210526,0.0003393352,0.0184210526
University of the Basque Country,36.4,37.3,,,-0.9,-0.0247252747,0.0006113392,0.0247252747
Oregon State University,35.8,37.1,,,-1.3,-0.0363128492,0.001318623,0.0363128492
Peking Union Medical College,35.2,37.1,,,-1.9,-0.0539772727,0.002913546,0.0539772727
National and Kapodistrian University of Athens,37.4,37,,,0.4,0.0106951872,0.000114387,0.0106951872
Wayne State University,37.2,37,,,0.2,0.0053763441,2.89050757312992E-005,0.0053763441
University of South Carolina - Columbia,36.2,36.9,,,-0.7,-0.0193370166,0.0003739202,0.0193370166
University of Exeter,35.8,36.9,,,-1.1,-0.030726257,0.0009441029,0.030726257
The George Washington University,36,36.8,,,-0.8,-0.0222222222,0.0004938272,0.0222222222
Colorado State University,35.8,36.7,,,-0.9,-0.0251396648,0.0006320027,0.0251396648
University of the Witwatersrand,35.2,36.7,,,-1.5,-0.0426136364,0.001815922,0.0426136364
"University of Maryland, Baltimore",38.5,36.6,,,1.9,0.0493506494,0.0024354866,0.0493506494
Jagiellonian University,35.6,36.5,,,-0.9,-0.0252808989,0.0006391238,0.0252808989
University of Mainz,36.5,36.4,,,0.1,0.002739726,7.50609870519819E-006,0.002739726
East China University of Science and Technology,35.6,36.4,,,-0.8,-0.0224719101,0.0005049867,0.0224719101
Macquarie University,35.2,36.4,,,-1.2,-0.0340909091,0.0011621901,0.0340909091
University of Tsukuba,35.8,36.3,,,-0.5,-0.0139664804,0.0001950626,0.0139664804
University of Connecticut,36.3,36.1,,,0.2,0.0055096419,3.03561535717796E-005,0.0055096419
University of Nebraska - Lincoln,35.1,36.1,,,-1,-0.0284900285,0.0008116817,0.0284900285
The University of New Mexico - Albuquerque,35.6,36,,,-0.4,-0.0112359551,0.0001262467,0.0112359551
University of Manitoba,35.4,35.8,,,-0.4,-0.011299435,0.0001276772,0.011299435
University of Lausanne,35.2,35.8,,,-0.6,-0.0170454545,0.0002905475,0.0170454545
Catholic University of Louvain,35,35.7,,,-0.7,-0.02,0.0004,0.02
China Agricultural University,41.3,35.6,,,5.7,0.1380145278,0.0190480099,0.1380145278
Virginia Commonwealth University,35.5,35.6,,,-0.1,-0.0028169014,7.93493354493179E-006,0.0028169014
