University,PUB-16,PUB-17,,,,,,
"National University of Ireland, Galway",23,22.7,,,0.3,0.0130434783,0.0001701323,0.0130434783
The University of Texas Medical Branch at Galveston,21.9,22.6,,,-0.7,-0.0319634703,0.0010216634,0.0319634703
Bielefeld University,25.1,22.4,,,2.7,0.1075697211,0.0115712449,0.1075697211
University of Fribourg,20.3,20.7,,,-0.4,-0.0197044335,0.0003882647,0.0197044335
Osaka City University,21.4,20.3,,,1.1,0.0514018692,0.0026421522,0.0514018692
Bangor University,19.6,20.1,,,-0.5,-0.0255102041,0.0006507705,0.0255102041
Rockefeller University,19.3,19.6,,,-0.3,-0.0155440415,0.0002416172,0.0155440415
Brandeis University,18.6,18.8,,,-0.2,-0.0107526882,0.0001156203,0.0107526882
St George's Hospital Medical School,15,18.6,,,-3.6,-0.24,0.0576,0.24
University of Montana - Missoula,16.5,17.5,,,-1,-0.0606060606,0.0036730946,0.0606060606
City University of New York City College,17.1,17.3,,,-0.2,-0.0116959064,0.0001367942,0.0116959064
Vita-Salute San Raffaele University,16,17.2,,,-1.2,-0.075,0.005625,0.075
ESPCI ParisTech,15.5,14.8,,,0.7,0.0451612903,0.0020395421,0.0451612903
Paris Dauphine University (Paris 9),14.1,14.5,,,-0.4,-0.0283687943,0.0008047885,0.0283687943
Stockholm School of Economics,10.2,9.6,,,0.6,0.0588235294,0.0034602076,0.0588235294
,,,,,,,,
,,,,,,,0.5476065038,
,,,,,,,0.0011852955,12.1923565354
,,,,,,,0.0344281202,0.0263903821
