University,N&S-16,N&S-17,,,,,,,
Sapienza University of Rome,10.5,9.3,,,1.2,0.1142857143,0.0130612245,,0.1142857143
University of Bochum,9.4,9.3,,,0.1,0.0106382979,0.0001131734,,0.0106382979
Jilin University,8.9,9.3,,,-0.4,-0.0449438202,0.002019947,,0.0449438202
Ocean University of China,8.2,9.3,,,-1.1,-0.1341463415,0.0179952409,,0.1341463415
Ecole Polytechnique,10.1,9.2,,,0.9,0.0891089109,0.007940398,,0.0891089109
The Hong Kong University of Science and Technology,9.9,9.2,,,0.7,0.0707070707,0.0049994898,,0.0707070707
University of Twente,9.9,9.1,,,0.8,0.0808080808,0.0065299459,,0.0808080808
Xian Jiao Tong University,6.6,9.1,,,-2.5,-0.3787878788,0.1434802571,,0.3787878788
Queen's University,10.7,9,,,1.7,0.1588785047,0.0252423792,,0.1588785047
University of Bologna,8.8,9,,,-0.2,-0.0227272727,0.0005165289,,0.0227272727
Ben-Gurion University of the Negev,8.4,9,,,-0.6,-0.0714285714,0.0051020408,,0.0714285714
Moscow State University,8.3,8.9,,,-0.6,-0.0722891566,0.0052257222,,0.0722891566
University of Western Sydney,8,8.9,,,-0.9,-0.1125,0.01265625,,0.1125
University of Central Florida,8,8.9,,,-0.9,-0.1125,0.01265625,,0.1125
University of Halle-Wittenberg,9.4,8.8,,,0.6,0.0638297872,0.0040742417,,0.0638297872
Korea University,8.8,8.8,,,0,0,0,,0
City University of New York City College,8.6,8.8,,,-0.2,-0.023255814,0.0005408329,,0.023255814
Huazhong University of Science and Technology,8.5,8.8,,,-0.3,-0.0352941176,0.0012456747,,0.0352941176
Victoria University of Wellington,8.3,8.8,,,-0.5,-0.0602409639,0.0036289737,,0.0602409639
Charles University in Prague,8,8.7,,,-0.7,-0.0875,0.00765625,,0.0875
Hanyang University,6.8,8.7,,,-1.9,-0.2794117647,0.0780709343,,0.2794117647
Eindhoven University of Technology,8.8,8.6,,,0.2,0.0227272727,0.0005165289,,0.0227272727
University College Dublin,8.8,8.6,,,0.2,0.0227272727,0.0005165289,,0.0227272727
Sichuan University,7.4,8.6,,,-1.2,-0.1621621622,0.0262965668,,0.1621621622
National Chiao Tung University,9.9,8.5,,,1.4,0.1414141414,0.0199979594,,0.1414141414
University of South Florida,8.9,8.5,,,0.4,0.0449438202,0.002019947,,0.0449438202
