Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited,% Documents in Q1 Journals,% Documents in Q2 Journals,% Documents in Q3 Journals,% Documents in Q4 Journals,Citation Impact,% International Collaborations
"George, L. T.",367,Raman Research Institute,1,0.14,1,100.0,100.0,0.0,0.0,0.0,1.0,100.0
"Ramaprakash, A. N.",373,Inter-University Centre for Astronomy & Astrophysics,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Burse, Mahesh",373,Inter-University Centre for Astronomy & Astrophysics,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Das, Hillol",373,Inter-University Centre for Astronomy & Astrophysics,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Chordia, Pravin",373,Inter-University Centre for Astronomy & Astrophysics,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Punnadi, Sujit",373,Inter-University Centre for Astronomy & Astrophysics,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Rahaman, M. A.",373,Tata Institute of Fundamental Research,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Jindal, P.",373,Panjab University,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
"Raja, N.",373,Tata Institute of Fundamental Research,1,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,100.0

Filter Summary:
Dataset: Astronomy-6909
Schema:  Web of Science
Location:  [INDIA]
"Authors per Document:  [30, 5154]"

"Exported date  2017-09-05. "
"InCites dataset updated  2017-08-19. Includes Web of Science content indexed through 2017-06-30. "
