,Int_Stud,Int_Stud-14
Cornell University,66,65.6
University of Illinois at Urbana-Champaign,70,65.4
Université de Liège,66,65.4
University of Texas Dallas,57.6,65
Singapore Management University,64,64.7
Université de Toulouse II-Le Mirail,43.6,64.5
Université Catholique de Louvain (UCL),65.4,64.4
University of Canterbury,61.9,64.3
University of Strathclyde,73.8,64.2
Dublin City University,58.8,63.9
"Ecole normale supérieure, Paris",82.6,63.7
Université de Strasbourg,54.2,62.9
Université Nice Sophia-Antipolis,78.5,62.7
Yale University,65.5,62.7
University of South Australia,61,62.6
Erasmus University Rotterdam,65.3,61.6
Université Stendhal Grenoble 3,51.6,61.4
University of Zurich,62.6,60.8
EBS Business School,85.2,60.6
Dalhousie University,63.2,60.3
Case Western Reserve University,65.3,59.2
New Jersey Institute of Technology (NJIT),60,59.1
Technische Universität Darmstadt,59.1,59.1
University of Manitoba,42.4,59.1
Ruprecht-Karls-Universitaet Heidelberg,59.6,59
"University of Economics, Prague",60.8,58.8
Nottingham Trent University,38.1,58.8
King Abdulaziz University (KAU),69.9,58.6
KTH Royal Institute of Technology,46.2,58.2
Deakin University,55.6,58
Masaryk University,59.2,57.9
Université Toulouse 1 Capitole,57,57.9
Université Paris-Sorbonne (Paris IV),52,57.7
The Ohio State University,55.2,57.2
Université Pierre et Marie Curie (UPMC),53.2,57
University of Calgary,64.7,56.5
Syracuse University,64.7,56
Fudan University,49.4,55.9
Carleton University,59.1,55.8
University of Hull,54.8,55.4
Brown University,66.2,55
University of Cape Town,52.5,54.9
Universität des Saarlandes,52.5,54.9
National Research Tomsk Polytechnic University,68.1,54.7
Alpen-Adria-Universitaet Klagenfurt,67.7,54.4
University of Southern Denmark,54.6,54.3
Georgetown University,54.3,54.2
National Chiao Tung University,63.1,54.1
The University of Western Ontario,57.9,54.1
Washington University in St. Louis,58.7,53.7
Michigan State University,55.6,53.6
Charles Sturt University,53,53.6
Freie Universitaet Berlin,54.6,53.5
Politecnico di Torino,53.7,53.4
Dartmouth College,51.6,53.4
Murdoch University,49.6,53.2
Universität Duisburg-Essen,56.1,53.1
Northwestern University,51.7,53.1
Université Paris-Sud,48.6,53.1
Northumbria University at Newcastle,50.4,52.5
Lomonosov Moscow State University,56.1,52.1
Queensland University of Technology (QUT),54.6,52.1
"University of California, Irvine",69.9,52
Lehigh University,52.3,51.9
McMaster University,50.6,51.9
University of British Columbia,63.2,51.5
Sumy State University,58,51.5
Université Paris Ouest Nanterre La Défense,47.8,50.8
"National University of Ireland, Galway",53.4,50.6
George Washington University,49.5,49.9
Flinders University,51.4,49.6
Rensselaer Polytechnic Institute,49.2,49.6
Michigan Technological University,47.9,49.6
University of Antwerp,51.6,49.5
University of Navarra,49.6,49.3
Université de Technologie de Compiègne (UTC),49.2,49.3
"KIT, Karlsruhe Institute of Technology",48.6,49.3
Baylor College of Medicine,43.4,49.3
University of Saskatchewan,50.8,49.1
University College Cork,47.8,48.9
Abo Akademi University,51.9,48.7
Moscow State Institute of International Relations (MGIMO University),43.2,48.5
"University of Illinois, Chicago (UIC)",57.7,48.2
Université Jean Moulin Lyon 3,46.1,48.2
Ulster University,39,48.2
Albert-Ludwigs-Universitaet Freiburg,45.4,48
Université Paris Diderot - Paris 7,47.2,47.7
Binghamton University SUNY,48.2,47.4
Universität Frankfurt am Main,53.6,47.3
Victoria University,78.7,47.2
RWTH Aachen University,50.7,47.2
Stockholm School of Economics,44.4,47.1
Manchester Metropolitan University,45.4,46.2
Charles University in Prague,48.1,46.1
James Cook University,45.5,46.1
University of Copenhagen,37.8,46
Karolinska Institutet,72.4,45.9
University of Debrecen,52.5,45.9
Aarhus University,47.1,45.7
University of Jordan,49.9,45.6
KU Leuven,41.6,45.4
Aalborg University,48.7,45.3
Aix-Marseille University,44.8,45.3
Brno University of Technology,52.4,45.2
Universiti Putra Malaysia (UPM),57.2,44.8
Université Lumière Lyon 2,42.8,44.8
Massey University,48.3,44.5
Universidad de Alcalá,68.6,44.3
University of Ottawa,49.2,44.1
Politecnico di Milano,48.5,44.1
University of Bern,43.5,43.8
University of San Francisco,43.9,43.7
Université de Poitiers,36.8,43.2
Pennsylvania State University,45.5,42.8
Université Joseph Fourier - Grenoble 1,44,42.8
Chalmers University of Technology,44.6,42.7
"Lingnan University, Hong Kong",45.1,42.6
University of Oslo,45.4,42.5
Université Paris Descartes,46.6,42.4
Technische Universität Berlin,56.9,42.3
Duke University,57.4,41.8
Tufts University,45.4,41.7
"University of California, Davis",46.9,41.6
Norwegian University of Science And Technology,41.1,41.6
Humboldt-Universität zu Berlin,42.8,41.5
Novosibirsk State University,45.6,41.1
Kyung Hee University,39.6,41.1
Emory University,45.2,40.9
Ruhr-Universität Bochum,41.6,40.9
Université Pierre Mendès France - Grenoble 2,58.6,40.7
"The University of Newcastle, Australia (UoN)",52.5,40.7
Copenhagen Business School,64.5,40.6
