name,x,y,z
KTH Royal Institute of TechnologySweden,126,155,29
University of LiverpoolUnited Kingdom,157,157,0
University of RochesterUnited States of America,121,158,37
TU Dresden Germany,135,158,23
Trinity College DublinRepublic of Ireland,138,160,22
University of MiamiUnited States of America,169,161,8
Lomonosov Moscow State UniversityRussian Federation,196,161,35
University of ArizonaUnited States of America,86,163,77
Pompeu Fabra UniversitySpain,165,164,1
Yeshiva UniversityUnited States of America,186,164,22
Technical University of DenmarkDenmark,121,167,46
"University of California, RiversideUnited States of America",150,167,17
National Taiwan UniversityTaiwan,155,167,12
Université Catholique de LouvainBelgium,171,167,4
University of LeicesterUnited Kingdom,199,167,32
University of AucklandNew Zealand,175,172,3
University of AberdeenUnited Kingdom,178,172,6
Eindhoven University of TechnologyNetherlands,144,176,32
University of UtahUnited States of America,162,182,20
Brandeis UniversityUnited States of America,147,185,38
Paris-Sud UniversityFrance,120,188,68
Arizona State UniversityUnited States of America,182,189,7
Boston CollegeUnited States of America,126,190,64
University of AntwerpBelgium,170,190,20
Texas A&M UniversityUnited States of America,141,193,52
"St George’s, University of LondonUnited Kingdom",196,196,0
Paris Diderot University – Paris 7France,180,199,19
