University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
University of Cergy-PontoiseFrance,18.7,18.9,,,-0.2,-0.0106951872,0.000114387,,,0.0106951872
National Chengchi UniversityTaiwan,18.4,18.9,,,-0.5,-0.027173913,0.0007384216,,,0.027173913
The Open UniversityUnited Kingdom,21,18.8,,,2.2,0.1047619048,0.0109750567,,,0.1047619048
National Chung Hsing UniversityTaiwan,20.2,18.8,,,1.4,0.0693069307,0.0048034506,,,0.0693069307
Kindai UniversityJapan,18.5,18.8,,,-0.3,-0.0162162162,0.0002629657,,,0.0162162162
Memorial University of NewfoundlandCanada,18.1,18.8,,,-0.7,-0.0386740331,0.0014956808,,,0.0386740331
University of FerraraItaly,17.7,18.8,,,-1.1,-0.0621468927,0.0038622363,,,0.0621468927
Amrita UniversityIndia,20.4,18.7,,,1.7,0.0833333333,0.0069444444,,,0.0833333333
Ulster UniversityUnited Kingdom,19.1,18.7,,,0.4,0.0209424084,0.0004385845,,,0.0209424084
University of CreteGreece,18.6,18.7,,,-0.1,-0.0053763441,2.89050757312972E-005,,,0.0053763441
Montana State UniversityUnited States,17.7,18.7,,,-1,-0.0564971751,0.0031919308,,,0.0564971751
Chiang Mai UniversityThailand,17.8,18.6,,,-0.8,-0.0449438202,0.002019947,,,0.0449438202
University of LimerickIreland,19.8,18.5,,,1.3,0.0656565657,0.0043107846,,,0.0656565657
Middlesex UniversityUnited Kingdom,18.5,18.5,,,0,0,0,,,0
Federal University of BahiaBrazil,18.2,18.5,,,-0.3,-0.0164835165,0.0002717063,,,0.0164835165
Khon Kaen UniversityThailand,18.2,18.5,,,-0.3,-0.0164835165,0.0002717063,,,0.0164835165
Warsaw University of TechnologyPoland,19.4,18.4,,,1,0.0515463918,0.0026570305,,,0.0515463918
University of MurciaSpain,19.3,18.4,,,0.9,0.0466321244,0.002174555,,,0.0466321244
Charles Darwin UniversityAustralia,17.8,18.4,,,-0.6,-0.0337078652,0.0011362202,,,0.0337078652
Keele UniversityUnited Kingdom,20,18.3,,,1.7,0.085,0.007225,,,0.085
University of OviedoSpain,19.5,18.3,,,1.2,0.0615384615,0.0037869822,,,0.0615384615
University of HuddersfieldUnited Kingdom,17.4,18.3,,,-0.9,-0.0517241379,0.0026753864,,,0.0517241379
Manchester Metropolitan UniversityUnited Kingdom,22.7,18.2,,,4.5,0.1982378855,0.0392982592,,,0.1982378855
Cairo UniversityEgypt,18.9,18.2,,,0.7,0.037037037,0.0013717421,,,0.037037037
Quaid-i-azam UniversityPakistan,17.9,18.2,,,-0.3,-0.0167597765,0.0002808901,,,0.0167597765
Shanghai UniversityChina,19.1,18.1,,,1,0.0523560209,0.0027411529,,,0.0523560209
West University of TimiÅŸoaraRomania,16.1,18.1,,,-2,-0.1242236025,0.0154315034,,,0.1242236025
Chongqing UniversityChina,19.5,18,,,1.5,0.0769230769,0.0059171598,,,0.0769230769
Kyushu Institute of TechnologyJapan,19.4,18,,,1.4,0.0721649485,0.0052077798,,,0.0721649485
Catholic University of the Sacred HeartItaly,18.6,18,,,0.6,0.0322580645,0.0010405827,,,0.0322580645
Glasgow Caledonian UniversityUnited Kingdom,17.1,18,,,-0.9,-0.0526315789,0.0027700831,,,0.0526315789
Western Sydney UniversityAustralia,20.1,17.9,,,2.2,0.1094527363,0.0119799015,,,0.1094527363
Edith Cowan UniversityAustralia,18.9,17.9,,,1,0.0529100529,0.0027994737,,,0.0529100529
Murdoch UniversityAustralia,18.7,17.9,,,0.8,0.0427807487,0.0018301925,,,0.0427807487
University of BradfordUnited Kingdom,18.7,17.9,,,0.8,0.0427807487,0.0018301925,,,0.0427807487
Auckland University of TechnologyNew Zealand,17.3,17.8,,,-0.5,-0.0289017341,0.0008353102,,,0.0289017341
University of PalermoItaly,15.3,17.8,,,-2.5,-0.1633986928,0.0266991328,,,0.1633986928
Ã–rebro UniversitySweden,18.3,17.7,,,0.6,0.0327868852,0.0010749798,,,0.0327868852
Adam Mickiewicz UniversityPoland,20,17.6,,,2.4,0.12,0.0144,,,0.12
University of A CoruÃ±aSpain,18.3,17.6,,,0.7,0.0382513661,0.001463167,,,0.0382513661
Brno University of TechnologyCzech Republic,18,17.6,,,0.4,0.0222222222,0.0004938272,,,0.0222222222
Northumbria UniversityUnited Kingdom,17.7,17.6,,,0.1,0.0056497175,3.19193079894014E-005,,,0.0056497175
University of IndonesiaIndonesia,18.1,17.5,,,0.6,0.0331491713,0.0010988676,,,0.0331491713
Xidian UniversityChina,17.9,17.5,,,0.4,0.0223463687,0.0004993602,,,0.0223463687
Shantou UniversityChina,17.6,17.5,,,0.1,0.0056818182,3.22830578512406E-005,,,0.0056818182
"Chonnam National UniversityKorea, Republic of",17.5,17.5,,,0,0,0,,,0
University of DebrecenHungary,17.3,17.5,,,-0.2,-0.0115606936,0.0001336496,,,0.0115606936
University of BelgradeSerbia,20.4,17.4,,,3,0.1470588235,0.0216262976,,,0.1470588235
Oakland UniversityUnited States,18.1,17.4,,,0.7,0.0386740331,0.0014956808,,,0.0386740331
University of NantesFrance,19.6,17.3,,,2.3,0.1173469388,0.013770304,,,0.1173469388
University of Texas at San AntonioUnited States,18.1,17.3,,,0.8,0.044198895,0.0019535423,,,0.044198895
University of Silesia in KatowicePoland,17.7,17.1,,,0.6,0.0338983051,0.0011490951,,,0.0338983051
Yuan Ze UniversityTaiwan,16.2,17.1,,,-0.9,-0.0555555556,0.0030864198,,,0.0555555556
Bournemouth UniversityUnited Kingdom,32,17,,,15,0.46875,0.2197265625,,,0.46875
Hunan UniversityChina,18.3,17,,,1.3,0.0710382514,0.0050464332,,,0.0710382514
Coventry UniversityUnited Kingdom,17.1,17,,,0.1,0.0058479532,3.41985568209031E-005,,,0.0058479532
Southern Cross UniversityAustralia,18.9,16.9,,,2,0.1058201058,0.0111978948,,,0.1058201058
University of South AfricaSouth Africa,18.4,16.9,,,1.5,0.0815217391,0.006645794,,,0.0815217391
"Birla Institute of Technology and Science, PilaniIndia",18.3,16.9,,,1.4,0.0765027322,0.005852668,,,0.0765027322
University of La LagunaSpain,16.9,16.9,,,0,0,0,,,0
University of IcelandIceland,16.8,16.9,,,-0.1,-0.005952381,3.54308390022661E-005,,,0.005952381
Athens University of Economics and BusinessGreece,13.4,16.9,,,-3.5,-0.2611940299,0.0682223212,,,0.2611940299
University of Castilla-La ManchaSpain,18.4,16.8,,,1.6,0.0869565217,0.0075614367,,,0.0869565217
University of PortsmouthUnited Kingdom,17.2,16.7,,,0.5,0.0290697674,0.0008450514,,,0.0290697674
Suez Canal UniversityEgypt,22.6,16.6,,,6,0.2654867257,0.0704832015,,,0.2654867257
King Mongkutâ€™s University of Technology ThonburiThailand,18.2,16.6,,,1.6,0.0879120879,0.0077285352,,,0.0879120879
Sheffield Hallam UniversityUnited Kingdom,17.3,16.6,,,0.7,0.0404624277,0.0016372081,,,0.0404624277
Kingston UniversityUnited Kingdom,16.9,16.6,,,0.3,0.0177514793,0.000315115,,,0.0177514793
Austral University of ChileChile,16.7,16.6,,,0.1,0.005988024,3.58564308508716E-005,,,0.005988024
University of AntioquiaColombia,18.1,16.5,,,1.6,0.0883977901,0.0078141693,,,0.0883977901
University of ReginaCanada,15.6,16.5,,,-0.9,-0.0576923077,0.0033284024,,,0.0576923077
National Taiwan Ocean UniversityTaiwan,18.1,16.3,,,1.8,0.0994475138,0.009889808,,,0.0994475138
De Montfort UniversityUnited Kingdom,16.8,16.3,,,0.5,0.0297619048,0.000885771,,,0.0297619048
American University of SharjahUnited Arab Emirates,12.4,16.3,,,-3.9,-0.314516129,0.0989203954,,,0.314516129
Alexandria UniversityEgypt,20.3,16.2,,,4.1,0.2019704433,0.04079206,,,0.2019704433
University of Modena and Reggio EmiliaItaly,18.7,16.2,,,2.5,0.1336898396,0.0178729732,,,0.1336898396
Nottingham Trent UniversityUnited Kingdom,16.5,16.1,,,0.4,0.0242424242,0.0005876951,,,0.0242424242
