University,Industry Income-16,Industry Income-17,,,B2-C2,D2/B2,E2^2,,,
University of SzegedHungary,33.2,36.1,,,-2.9,-0.0873493976,0.0076299173,,,0.0873493976
Niigata UniversityJapan,33,36.1,,,-3.1,-0.0939393939,0.0088246097,,,0.0939393939
University of LimerickIreland,34,36,,,-2,-0.0588235294,0.0034602076,,,0.0588235294
Cornell UniversityUnited States,33.7,36,,,-2.3,-0.0682492582,0.0046579612,,,0.0682492582
Gifu UniversityJapan,32.8,36,,,-3.2,-0.0975609756,0.009518144,,,0.0975609756
University of BradfordUnited Kingdom,32.7,36,,,-3.3,-0.1009174312,0.0101843279,,,0.1009174312
University of Modena and Reggio EmiliaItaly,32.3,36,,,-3.7,-0.1145510836,0.0131219508,,,0.1145510836
Oregon State UniversityUnited States,32.1,36,,,-3.9,-0.1214953271,0.0147611145,,,0.1214953271
University of MontanaUnited States,31,36,,,-5,-0.1612903226,0.0260145682,,,0.1612903226
Complutense University of MadridSpain,30.9,36,,,-5.1,-0.1650485437,0.0272410218,,,0.1650485437
"Binghamton University, State University of New YorkUnited States",34,35.9,,,-1.9,-0.0558823529,0.0031228374,,,0.0558823529
Chiang Mai UniversityThailand,32.3,35.9,,,-3.6,-0.1114551084,0.0124222412,,,0.1114551084
University of West BohemiaCzech Republic,32.1,35.9,,,-3.8,-0.1183800623,0.0140138392,,,0.1183800623
Montpellier UniversityFrance,31.9,35.9,,,-4,-0.1253918495,0.0157231159,,,0.1253918495
Autonomous University of MadridSpain,33,35.8,,,-2.8,-0.0848484848,0.0071992654,,,0.0848484848
"Royal Holloway, University of LondonUnited Kingdom",34.4,35.7,,,-1.3,-0.0377906977,0.0014281368,,,0.0377906977
University of StrasbourgFrance,32.8,35.7,,,-2.9,-0.0884146341,0.0078171475,,,0.0884146341
Swansea UniversityUnited Kingdom,32.7,35.7,,,-3,-0.0917431193,0.0084167999,,,0.0917431193
University of TriesteItaly,32.3,35.7,,,-3.4,-0.1052631579,0.0110803324,,,0.1052631579
University of Santiago de CompostelaSpain,32.3,35.7,,,-3.4,-0.1052631579,0.0110803324,,,0.1052631579
Pontifical Catholic University of ChileChile,28,35.7,,,-7.7,-0.275,0.075625,,,0.275
"Sejong UniversityKorea, Republic of",35.4,35.6,,,-0.2,-0.0056497175,3.19193079894037E-005,,,0.0056497175
Lancaster UniversityUnited Kingdom,33.6,35.6,,,-2,-0.0595238095,0.0035430839,,,0.0595238095
Stony Brook UniversityUnited States,33.4,35.6,,,-2.2,-0.0658682635,0.0043386281,,,0.0658682635
University of Eastern FinlandFinland,33.3,35.6,,,-2.3,-0.0690690691,0.0047705363,,,0.0690690691
Kindai UniversityJapan,33.2,35.6,,,-2.4,-0.0722891566,0.0052257222,,,0.0722891566
University of ArizonaUnited States,32.4,35.6,,,-3.2,-0.0987654321,0.0097546106,,,0.0987654321
Waseda UniversityJapan,32.4,35.6,,,-3.2,-0.0987654321,0.0097546106,,,0.0987654321
University of OtagoNew Zealand,31.5,35.6,,,-4.1,-0.1301587302,0.016941295,,,0.1301587302
"Chonnam National UniversityKorea, Republic of",31.4,35.6,,,-4.2,-0.1337579618,0.0178911923,,,0.1337579618
Western Sydney UniversityAustralia,30.7,35.6,,,-4.9,-0.1596091205,0.0254750714,,,0.1596091205
University of A CoruÃ±aSpain,38.2,35.5,,,2.7,0.0706806283,0.0049957512,,,0.0706806283
"St Georgeâ€™s, University of LondonUnited Kingdom",37.7,35.5,,,2.2,0.0583554377,0.0034053571,,,0.0583554377
Northeastern UniversityUnited States,32.9,35.5,,,-2.6,-0.0790273556,0.0062453229,,,0.0790273556
University of IoanninaGreece,32.9,35.5,,,-2.6,-0.0790273556,0.0062453229,,,0.0790273556
University of PaduaItaly,32.6,35.5,,,-2.9,-0.0889570552,0.0079133577,,,0.0889570552
Tulane UniversityUnited States,32.4,35.5,,,-3.1,-0.0956790123,0.0091544734,,,0.0956790123
Swinburne University of TechnologyAustralia,32.2,35.5,,,-3.3,-0.102484472,0.010503067,,,0.102484472
Andhra UniversityIndia,31.3,35.5,31.3,35.5,-4.2,-0.1341853035,0.0180056957,,,0.1341853035
National Yang-Ming UniversityTaiwan,30.2,35.5,,,-5.3,-0.1754966887,0.0307990878,,,0.1754966887
University of JyvÃ¤skylÃ¤Finland,34.2,35.4,,,-1.2,-0.0350877193,0.001231148,,,0.0350877193
Indian Institute of Technology GuwahatiIndia,32.3,35.4,32.3,35.4,-3.1,-0.0959752322,0.0092112452,,,0.0959752322
University of LjubljanaSlovenia,32.3,35.4,,,-3.1,-0.0959752322,0.0092112452,,,0.0959752322
Hebrew University of JerusalemIsrael,31.9,35.4,,,-3.5,-0.1097178683,0.0120380106,,,0.1097178683
Caâ€™ Foscari University of VeniceItaly,32.3,35.3,,,-3,-0.092879257,0.0086265564,,,0.092879257
University of BarcelonaSpain,31.1,35.3,,,-4.2,-0.1350482315,0.0182380248,,,0.1350482315
University of CagliariItaly,33.6,35.2,,,-1.6,-0.0476190476,0.0022675737,,,0.0476190476
Kaohsiung Medical UniversityTaiwan,33.2,35.2,,,-2,-0.0602409639,0.0036289737,,,0.0602409639
Florida International UniversityUnited States,32.7,35.2,,,-2.5,-0.0764525994,0.005845,,,0.0764525994
University of SalamancaSpain,31.6,35.2,,,-3.6,-0.1139240506,0.0129786893,,,0.1139240506
